#{"t_start": 1692366820.689282, "env_id": null}
r,l,t
6.184599,9,0.410753
6.6317368,9,0.411922
7.6527348,11,0.427936
10.803718,12,0.437092
9.191379,13,0.444599
9.171399,14,0.452639
8.557662,14,0.453515
15.7478,17,0.470878
8.993469,17,0.472026
10.771986,18,0.4769
18.490185,20,0.490327
17.12777,20,0.491425
18.990456,20,0.492447
9.463945,13,0.50279
6.9736714,22,0.503652
19.814398,22,0.504597
10.655643,12,0.5182
7.8485103,25,0.519399
10.688821,18,0.529226
31.316256,30,0.544807
28.122852,32,0.558384
9.487919,15,0.559271
6.8342476,12,0.568754
10.83085,16,0.569538
27.62233,22,0.570208
41.2442,35,0.574959
9.071087,13,0.57609
10.473702,15,0.576885
8.125667,11,0.581703
15.365386,16,0.582594
13.93775,15,0.588658
15.845074,20,0.589737
32.182507,28,0.597376
8.862179,12,0.614242
12.206843,19,0.615133
68.48766,45,0.618341
38.84174,33,0.625293
17.665459,22,0.632814
10.750814,16,0.637738
16.819616,21,0.642184
13.678899,16,0.647742
13.502766,17,0.648782
7.164821,9,0.65433
12.075518,18,0.655305
19.84898,20,0.659539
11.412517,22,0.667445
19.520084,20,0.668422
7.4834146,13,0.678085
20.819073,25,0.68627
17.26517,29,0.691616
9.102674,13,0.703675
8.436162,14,0.704716
10.135059,17,0.712286
18.83995,26,0.717709
16.75028,21,0.718541
85.0158,52,0.725293
20.394926,30,0.731792
32.72922,47,0.732375
24.469501,31,0.737737
8.839271,16,0.738516
7.910479,14,0.739166
15.359986,17,0.745292
18.060303,21,0.759166
11.241296,15,0.764674
16.43723,19,0.787406
16.075891,22,0.788333
8.169851,11,0.796376
27.59421,25,0.807547
9.306873,13,0.808239
12.619492,17,0.828266
7.4115086,9,0.839113
27.744684,22,0.839974
10.36954,16,0.850104
14.194604,17,0.850925
15.957337,19,0.858793
6.5248585,12,0.871346
8.148307,11,0.872093
8.961841,13,0.877208
13.236953,22,0.883924
9.588844,13,0.894171
27.282875,35,0.895172
7.109475,10,0.902497
7.938947,11,0.929641
14.23919,20,0.942881
17.337183,40,0.948442
15.591735,17,0.949285
28.061367,37,0.950001
7.662808,10,0.950542
15.24175,17,0.956479
16.594374,21,0.962062
70.004364,42,0.971525
10.067154,19,0.977847
16.11829,17,0.978769
8.389775,17,0.987542
20.01237,41,0.997872
44.390038,43,1.003973
13.634457,24,1.011058
9.742879,12,1.022242
10.176285,13,1.02301
5.4558606,9,1.023618
9.459787,14,1.029339
40.244625,37,1.030071
29.211628,36,1.053712
15.128656,18,1.077113
5.980574,10,1.077791
16.984913,19,1.085375
7.4098043,11,1.08654
20.021217,23,1.091768
45.520306,59,1.097259
12.078312,16,1.103928
20.591454,28,1.11172
14.217273,18,1.113031
11.299702,15,1.121201
40.350124,40,1.143639
4.7983313,7,1.144685
39.62167,34,1.145539
33.298798,33,1.155224
11.19622,14,1.161107
20.013634,23,1.179213
24.822546,37,1.183591
72.1921,66,1.184529
13.683356,24,1.190059
9.270948,13,1.195199
8.67096,16,1.19623
20.020151,33,1.213202
11.941904,14,1.2185
9.269194,21,1.229666
35.577633,39,1.235357
14.766145,16,1.243367
11.711833,21,1.250839
17.107132,26,1.267407
6.1545057,10,1.269178
8.521717,22,1.274673
10.773314,19,1.280908
23.723959,21,1.287917
13.2177305,16,1.294353
8.502744,15,1.295529
19.288609,24,1.306771
8.529899,16,1.307498
6.4007893,10,1.324035
11.957938,15,1.346905
7.9264607,11,1.354009
24.580275,27,1.360141
12.598731,14,1.360921
12.082071,15,1.362132
62.54902,40,1.379008
16.04198,20,1.386801
5.6994967,9,1.402981
25.640259,28,1.404084
6.415263,21,1.409036
12.613447,30,1.418036
17.096586,28,1.437082
11.507736,14,1.443109
10.128046,18,1.443761
11.500539,19,1.444328
11.416783,14,1.449878
84.42047,58,1.450917
11.672867,31,1.460217
58.930298,45,1.465539
11.89303,14,1.470609
10.86468,24,1.471429
32.36454,37,1.472233
85.75806,56,1.478394
13.399632,17,1.48361
20.187706,33,1.487835
9.657515,16,1.493665
8.137824,10,1.499297
10.218941,20,1.500655
7.896855,11,1.501364
10.970917,14,1.509345
6.950615,14,1.517331
13.009429,17,1.525085
41.851616,38,1.530144
91.27168,64,1.530878
14.6961975,16,1.545331
22.181103,22,1.54616
98.100746,62,1.550523
14.200133,17,1.555217
12.212458,18,1.556137
9.265734,12,1.560172
14.790327,20,1.565426
11.155363,15,1.566383
12.817064,15,1.567135
20.235647,20,1.575195
25.44849,24,1.57596
70.558334,56,1.579927
9.487617,21,1.584838
7.2609425,13,1.589605
12.276017,14,1.590447
5.856562,9,1.599625
13.656292,19,1.600525
10.616632,17,1.605743
10.215281,14,1.609736
7.899572,10,1.610535
8.348585,27,1.617126
22.108385,33,1.617882
7.2853746,9,1.626068
9.4717655,14,1.627012
9.680453,19,1.630597
7.0664787,12,1.636881
6.7778864,10,1.643339
11.208794,16,1.647862
10.515314,17,1.648587
10.265536,18,1.652764
7.9773493,10,1.653409
20.16847,21,1.65792
6.4592705,10,1.661599
6.8315277,25,1.662348
9.374278,16,1.669523
14.693793,17,1.684365
13.9682865,15,1.685541
10.965115,16,1.699281
10.09191,13,1.700303
8.9137,16,1.707674
29.886946,38,1.712889
12.797593,17,1.718205
16.031374,16,1.723048
26.109575,24,1.723857
64.23723,41,1.729236
16.242918,22,1.734705
16.967268,19,1.735564
32.83641,33,1.744794
23.964104,22,1.754412
8.21408,26,1.760673
9.281946,13,1.765775
6.0259256,8,1.76665
5.047117,7,1.771578
6.4277954,9,1.780765
23.206783,22,1.788874
67.23566,41,1.789606
30.988054,27,1.790242
33.935642,38,1.803432
9.197229,20,1.814514
5.886985,10,1.815287
20.546698,25,1.822423
12.978847,15,1.826821
11.538574,15,1.83142
76.48716,76,1.832388
12.048602,24,1.836184
13.631591,18,1.849716
14.798911,25,1.850755
12.252358,23,1.858049
13.190077,31,1.862893
14.965027,19,1.863725
30.293566,38,1.869283
10.736678,15,1.887901
18.816765,21,1.89177
9.337558,11,1.892654
15.971724,19,1.89323
11.554687,15,1.897593
11.696072,17,1.898449
17.787256,25,1.904241
12.720661,15,1.90847
8.237044,13,1.923874
8.268567,18,1.92504
25.93455,27,1.929985
19.071175,20,1.937282
11.200071,16,1.93809
124.168816,76,1.939017
10.19742,14,1.940422
36.82204,43,1.945313
8.080548,10,1.94945
14.728339,17,1.953577
8.66478,11,1.954393
11.746877,14,1.96088
23.749275,36,1.9677
12.9190235,15,1.968555
19.608753,24,1.976344
17.954866,24,1.983974
9.128598,13,1.984787
10.640228,14,1.985624
8.887429,12,1.990634
18.82192,19,1.995439
9.875297,21,2.000679
7.997489,13,2.007308
8.515882,13,2.008232
12.6890135,24,2.012899
11.2493105,17,2.013532
12.30847,18,2.020533
9.928809,13,2.029459
8.926801,11,2.030226
26.517773,27,2.037885
22.338789,30,2.042159
11.3373575,13,2.047922
15.333092,16,2.052625
9.00198,13,2.059504
7.391622,15,2.060238
