rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
13.636363636363637,10,320,447,8.819007,0,,,,,,
16.272727272727273,20,560,630,11.528503,0,,,,,,
16.966666666666665,30,760,778,12.437823,0,,,,,,
18.025,40,980,895,13.796232,1,,,,,,
18.36,50,1160,989,14.976611,1,,,,,,
19.183333333333334,60,1360,1095,15.354016,1,,,,,,
19.685714285714287,70,1620,1238,16.235216,1,,,,,,
19.775,80,1820,1310,16.21452,1,,,,,,
19.68888888888889,90,1980,1353,15.637117,1,,,,,,
19.75,100,2280,777,15.424429,2,,,,,,
20.99,110,2500,833,16.920229,2,,,,,,
20.97,120,2740,893,17.098639,3,,,,,,
21.76,130,3020,960,17.565945,3,,,,,,
22.11,140,3180,997,17.693737,3,,,,,,
22.72,150,3500,1073,17.977198,3,,,,,,
22.66,160,3700,1118,17.86109,3,,,,,,
22.57,170,3940,1166,17.312191,3,,,,,,
22.4,180,4140,1204,17.272161,3,,,,,,
22.82,190,4340,1241,18.92047,3,,,,,,
22.66,200,4600,1290,18.83151,3,,,,,,
23.12,210,4780,1321,19.638851,3,,,,,,
23.8,220,5040,1361,20.596325,3,,,,,,
22.84,230,5300,1401,19.872952,3,,,,,,
22.33,240,5520,1431,19.61626,3,,,,,,
21.73,250,5700,1457,18.625486,3,,,,,,
22.28,260,5880,1475,20.262035,3,,,,,,
22.42,270,6040,1493,20.491287,4,,,,,,
22.43,280,6280,1527,20.35522,4,,,,,,
22.0,290,6460,1548,19.123795,4,,,,,,
22.29,300,6760,1586,19.258293,4,,,,,,
21.43,310,6920,1605,17.591974,4,,,,,,
20.9,320,7200,1644,16.543493,4,,,,,,
21.99,330,7420,1673,17.446344,4,,,,,,
22.33,340,7660,1701,17.59483,4,,,,,,
22.41,350,7800,1713,17.613556,4,,,,,,
21.52,360,7940,1725,16.088385,4,,,,,,
20.98,370,8200,1754,15.738822,4,,,,,,
20.73,380,8480,1786,15.26625,4,,,,,,
21.56,390,8600,1795,15.724992,4,,,,,,
21.16,400,8860,1820,15.278461,4,,,,,,
20.92,410,9100,1844,15.251174,4,,,,,,
20.85,420,9240,1856,14.789268,4,,,,,,
20.51,430,9520,1885,15.39287,5,,,,,,
