rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
13.4,10,360,2415,9.370648,0,,,,,,
16.8,20,600,2763,12.253808,0,,,,,,
17.433333333333334,30,720,2828,13.741813,0,,,,,,
18.85,40,1020,3246,16.19635,0,,,,,,
18.86,50,1220,3355,15.812506,0,,,,,,
20.065573770491802,60,1360,3308,16.938503,0,,,,,,
19.771428571428572,70,1600,3199,16.68734,0,,,,,,
19.419753086419753,80,1820,3210,16.265865,0,,,,,,
19.511111111111113,90,2060,3248,16.081244,0,,,,,,
19.93,100,2280,3280,16.553034,0,,,,,,
21.02,110,2560,3299,17.636368,0,,,,,,
21.83,120,2760,3223,18.765461,0,,,,,,
22.25,130,2980,3225,18.724028,0,,,,,,
21.73,140,3180,3192,17.590235,0,,,,,,
21.84,150,3500,3237,18.017437,1,,,,,,
22.18,160,3780,3304,18.281694,1,,,,,,
22.52,170,3920,3318,18.748919,1,,,,,,
23.78,180,4160,3376,20.764929,1,,,,,,
23.44,190,4340,3411,20.529716,1,,,,,,
23.04,200,4520,3451,20.07677,1,,,,,,
22.08,210,4760,3506,19.032864,1,,,,,,
21.43,220,4980,3538,18.437197,1,,,,,,
21.28,230,5200,3557,19.04928,1,,,,,,
22.26,240,5460,3585,19.989073,1,,,,,,
22.2,250,5640,3592,19.615746,1,,,,,,
22.03,260,5780,3585,19.70594,1,,,,,,
21.72,270,6000,3619,19.282299,1,,,,,,
20.47,280,6220,3654,17.058508,1,,,,,,
20.24,290,6420,3685,16.575481,1,,,,,,
20.67,300,6620,3711,17.530756,1,,,,,,
21.14,310,6840,3740,18.21474,1,,,,,,
21.32,320,7000,3737,17.904427,1,,,,,,
21.11,330,7200,3744,17.346275,1,,,,,,
20.47,340,7440,3785,16.699526,1,,,,,,
20.32,350,7660,3810,16.42815,2,,,,,,
19.51,360,7820,3785,15.282962,2,,,,,,
19.32,370,8020,3801,15.030156,2,,,,,,
20.21,380,8300,3829,16.407093,2,,,,,,
21.35,390,8540,3845,18.334099,2,,,,,,
20.92,400,8740,3839,17.70393,2,,,,,,
20.86,410,8920,3844,17.594212,2,,,,,,
20.57,420,9060,3845,17.535877,2,,,,,,
21.22,430,9300,3844,17.982647,2,,,,,,
21.08,440,9580,3848,17.915514,2,,,,,,
21.3,450,9760,3850,18.466198,2,,,,,,
20.98,460,10000,3862,17.988869,2,,,,,,
21.3,470,10300,3486,18.154884,2,0.0001,0.9986996054649353,-0.006591710262000561,6.46518611907959,-2.534966468811035,14
21.65,480,10440,3336,18.286795,3,0.0001,0.9979989528656006,-0.010050302371382713,5.1060991287231445,-2.6819586753845215,21
21.37,490,10680,3105,16.94758,3,0.0001,0.9967986941337585,-0.01622062176465988,4.286728858947754,-3.0662362575531006,33
22.17,500,10940,2853,17.94845,3,0.0001,0.9954991936683655,-0.02269267663359642,3.258819580078125,-3.434098720550537,46
22.61,510,11100,2768,18.00024,4,0.0001,0.9947001934051514,-0.026825152337551117,2.5832502841949463,-3.7259597778320312,54
22.13,520,11360,2631,17.41788,4,0.0001,0.9934036731719971,-0.033334918320178986,1.972839593887329,-4.170893669128418,67
21.79,530,11560,2526,16.769913,4,0.0001,0.9924084544181824,-0.03840053081512451,1.887251377105713,-4.373740196228027,77
21.99,540,11780,2440,16.949255,4,0.0001,0.9913154244422913,-0.044042959809303284,1.7254793643951416,-4.60907506942749,88
22.06,550,11940,2378,17.344172,5,0.0001,0.9905216097831726,-0.04776943475008011,1.664865255355835,-4.723075866699219,96
22.5,560,12140,2311,18.093252,5,0.0001,0.9895303845405579,-0.05311991274356842,1.8449698686599731,-4.765079498291016,106
22.49,570,12360,2248,18.413927,5,0.0001,0.9884396195411682,-0.05865384638309479,1.3171690702438354,-4.959517002105713,117
21.61,580,12620,2161,17.223364,5,0.0001,0.9871532320976257,-0.06490889191627502,1.312796950340271,-4.967309951782227,130
20.72,590,12760,2119,16.577156,6,0.0001,0.9864616990089417,-0.06928500533103943,1.589815616607666,-5.163646697998047,137
20.78,600,12960,2064,16.115719,6,0.0001,0.9854738712310791,-0.07391428202390671,1.3492146730422974,-5.289701461791992,147
20.01,610,13280,1999,15.766982,6,0.0001,0.9838962554931641,-0.08208253979682922,1.4197121858596802,-5.450118064880371,163
21.31,620,13420,1964,18.160204,6,0.0001,0.9832066297531128,-0.08527274429798126,1.3961081504821777,-5.5205979347229,170
20.76,630,13640,1925,17.836386,7,0.0001,0.9821242690086365,-0.09129243344068527,1.186615228652954,-5.589024543762207,181
21.35,640,13840,1901,18.816883,7,0.0001,0.9811408519744873,-0.0963253602385521,0.9615311622619629,-5.642560005187988,191
21.09,650,14020,1869,18.135826,7,0.0001,0.9802569150924683,-0.10079873353242874,1.1674515008926392,-5.669039726257324,200
20.71,660,14200,1845,17.231098,7,0.0001,0.9793742895126343,-0.10507218539714813,1.0327192544937134,-5.789896011352539,209
20.54,670,14420,1808,16.892427,7,0.0001,0.97829669713974,-0.11070794612169266,1.22551429271698,-5.961240768432617,220
20.46,680,14540,1791,17.005667,8,0.0001,0.9777097105979919,-0.11398440599441528,0.9928727149963379,-6.06694221496582,226
20.26,690,14800,1755,16.931477,8,0.0001,0.9764384627342224,-0.12027525901794434,1.1314592361450195,-6.17577600479126,239
19.94,700,15020,1719,16.968512,8,0.0001,0.9753652215003967,-0.1257384568452835,1.1826022863388062,-6.161150932312012,250
20.29,710,15320,1678,17.368889,9,0.0001,0.9739025831222534,-0.13389480113983154,1.45698881149292,-6.339649677276611,265
19.74,720,15520,1654,15.581185,9,0.0001,0.9729279279708862,-0.1379057765007019,0.7109056711196899,-6.4238362312316895,275
21.4,730,15740,1630,17.760792,9,0.0001,0.9718575477600098,-0.14368987083435059,1.2725353240966797,-6.533293724060059,286
20.85,740,15960,1596,17.203514,9,0.0001,0.9707893133163452,-0.14974966645240784,1.3470118045806885,-6.655767917633057,297
20.91,750,16120,1573,17.596888,10,0.0001,0.9700131416320801,-0.15340407192707062,1.4642517566680908,-6.798012733459473,305
20.97,760,16340,1545,18.011492,10,0.0001,0.9689465761184692,-0.15943065285682678,1.099364995956421,-6.791375637054443,316
21.75,770,16560,1517,19.47599,10,0.0001,0.9678816795349121,-0.1633947789669037,1.060080885887146,-6.912623405456543,327
21.68,780,16740,1500,19.607342,11,0.0001,0.9670114517211914,-0.17039722204208374,1.335508942604065,-7.034351348876953,336
22.02,790,16960,1483,19.794483,11,0.0001,0.9659479856491089,-0.17380622029304504,1.2211997509002686,-7.181432723999023,347
21.8,800,17200,1461,19.521257,11,0.0001,0.9647888541221619,-0.18059945106506348,1.09059476852417,-7.208093643188477,359
21.47,810,17360,1448,19.190702,11,0.0001,0.9640178084373474,-0.1846344769001007,1.6022121906280518,-7.348446369171143,367
21.11,820,17640,1429,18.978827,12,0.0001,0.9626687169075012,-0.191470667719841,1.2788738012313843,-7.4514055252075195,381
20.31,830,17880,1410,17.844404,12,0.0001,0.961515486240387,-0.19790372252464294,1.2276183366775513,-7.668396472930908,393
20.64,840,18220,1385,18.793686,13,0.0001,0.9598863124847412,-0.20722784101963043,1.7355819940567017,-7.802673816680908,410
22.32,850,18380,1379,21.049997,13,0.0001,0.9591196775436401,-0.20931226015090942,1.2306510210037231,-7.8276472091674805,418
21.98,860,18620,1367,20.458427,13,0.0001,0.9579704403877258,-0.21546058356761932,1.488877296447754,-7.888442516326904,430
21.77,870,18880,1357,19.83773,13,0.0001,0.9567304849624634,-0.22145134210586548,1.1319403648376465,-8.077801704406738,443
22.52,880,19180,1346,21.594404,14,0.0001,0.9553015828132629,-0.22979602217674255,1.3690067529678345,-8.302794456481934,458
23.52,890,19500,1335,23.114336,14,0.0001,0.9537788033485413,-0.23615849018096924,1.4799277782440186,-8.3779935836792,474
24.36,900,19760,1327,24.451561,14,0.0001,0.9525429606437683,-0.2431841492652893,1.716012954711914,-8.582831382751465,487
25.64,910,19980,1320,26.80841,15,0.0001,0.9514986872673035,-0.24957068264484406,1.7294514179229736,-8.579035758972168,498
26.47,920,20180,1310,28.09852,15,0.0001,0.9505506157875061,-0.25574302673339844,1.2051513195037842,-8.81329345703125,508
26.21,930,20380,1304,27.6148,15,0.0001,0.9496037364006042,-0.2591981887817383,1.7087926864624023,-9.04887866973877,518
25.65,940,20620,1291,26.253366,15,0.0001,0.948469340801239,-0.26394903659820557,2.090181827545166,-8.955978393554688,530
24.82,950,20920,1277,25.27796,16,0.0001,0.9470551609992981,-0.2721649408340454,1.1411986351013184,-9.297879219055176,545
25.58,960,21340,1254,25.40541,17,0.0001,0.9450809955596924,-0.2796228229999542,1.4984850883483887,-9.397525787353516,566
26.56,970,21620,1240,26.739006,17,0.0001,0.9437682032585144,-0.28752273321151733,1.868514895439148,-9.40567398071289,580
27.32,980,21920,1233,27.607964,17,0.0001,0.9423679709434509,-0.29469940066337585,1.404396653175354,-9.725275039672852,595
28.16,990,22280,1219,28.804548,18,0.0001,0.9406906962394714,-0.30448800325393677,1.5084704160690308,-9.881168365478516,613
28.38,1000,22540,1212,29.152864,18,0.0001,0.9394816160202026,-0.31107813119888306,1.5686993598937988,-10.093457221984863,626
28.32,1010,22900,1198,27.744326,19,0.0001,0.9378118515014648,-0.31880247592926025,3.1241955757141113,-10.052387237548828,644
28.85,1020,23280,1178,28.56517,19,0.0001,0.9360485076904297,-0.3263697028160095,2.6788017749786377,-10.320026397705078,663
30.09,1030,23680,1166,30.999197,20,0.0001,0.9341971278190613,-0.33783841133117676,2.521080732345581,-10.556602478027344,683
32.68,1040,24060,1157,34.447018,20,0.0001,0.9324448108673096,-0.3483705222606659,1.8753993511199951,-10.736614227294922,702
