time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/n_updates
3138,380,10,9.403293,14.0,0,,,,,,
3165,580,20,13.747053,18.0,0,,,,,,
3451,820,30,15.463911,19.4,0,,,,,,
2901,1100,40,16.273916,19.975609756097562,0,,,,,,
3074,1340,50,17.0693,20.92,0,,,,,,
3175,1520,60,17.88114,21.85,0,,,,,,
3324,1720,70,17.484137,21.62857142857143,0,,,,,,
3534,2000,80,17.93863,21.7375,0,,,,,,
3379,2180,90,18.08421,22.055555555555557,0,,,,,,
3358,2440,100,17.940662,22.24,0,,,,,,
3371,2640,110,18.267136,22.94,0,,,,,,
3489,2980,120,17.875408,22.61,0,,,,,,
3536,3160,130,18.07592,22.79,0,,,,,,
3559,3340,140,17.88053,22.94,0,,,,,,
3564,3480,150,17.290443,22.36,0,,,,,,
3630,3720,160,16.358088,21.41,1,,,,,,
3651,3860,170,16.112698,21.24,1,,,,,,
3680,4080,180,15.322308,20.87,1,,,,,,
3630,4300,190,16.390898,20.72,1,,,,,,
3562,4540,200,16.096878,20.46,1,,,,,,
3436,4800,210,16.171127,20.3,1,,,,,,
3434,4980,220,17.60425,21.41,1,,,,,,
3445,5200,230,16.43428,20.5,1,,,,,,
3463,5400,240,16.390482,20.57,1,,,,,,
3465,5560,250,16.702328,20.55,1,,,,,,
3487,5800,260,17.884712,21.15,1,,,,,,
3500,6020,270,18.116255,21.61,1,,,,,,
3514,6180,280,18.23326,21.77,1,,,,,,
3551,6420,290,16.915756,21.42,1,,,,,,
3580,6660,300,16.740976,21.3,1,,,,,,
3580,6840,310,17.358479,21.57,1,,,,,,
3602,7120,320,16.10856,20.66,1,,,,,,
3620,7380,330,16.334902,21.07,2,,,,,,
3645,7700,340,17.281296,21.94,2,,,,,,
3655,7920,350,17.660728,22.36,2,,,,,,
3652,8160,360,17.032581,22.3,2,,,,,,
3644,8320,370,17.235344,22.49,2,,,,,,
3619,8520,380,17.780588,22.4,2,,,,,,
3608,8740,390,19.242609,23.04,2,,,,,,
3607,8980,400,19.19343,23.0,2,,,,,,
3610,9140,410,19.7946,23.05,2,,,,,,
3624,9380,420,19.295553,22.62,2,,,,,,
3629,9560,430,18.580133,22.4,2,,,,,,
3631,9740,440,19.328562,22.53,2,,,,,,
3634,9960,450,17.44115,21.15,2,,,,,,
390,10220,460,17.668388,21.09,26,-2.729228973388672,-0.009765883907675743,0.00021544346900318823,5.250369548797607,0.9980610013008118,10
392,10400,470,17.169819,20.6,26,-3.2316057682037354,-0.019508330151438713,0.00021544346900318823,3.8581690788269043,0.9961228966712952,19
395,10600,480,17.091469,20.69,26,-4.043740272521973,-0.030539611354470253,0.00021544346900318823,2.2204067707061768,0.9939734935760498,29
399,10860,490,18.270298,20.94,27,-4.691590309143066,-0.04457110911607742,0.00021544346900318823,1.7321349382400513,0.9911862015724182,42
402,11080,500,18.124702,21.13,27,-4.74074649810791,-0.05649456009268761,0.00021544346900318823,1.4487661123275757,0.9888350367546082,53
404,11240,510,17.040161,20.47,27,-4.768719673156738,-0.0660940557718277,0.00021544346900318823,1.2338775396347046,0.9871295690536499,61
409,11520,520,16.641483,19.98,28,-4.935097694396973,-0.08072095364332199,0.00021544346900318823,1.1235778331756592,0.9841502904891968,75
411,11700,530,18.02584,20.73,28,-5.109088897705078,-0.09026302397251129,0.00021544346900318823,0.8350710868835449,0.9822409749031067,84
414,11880,540,18.044397,20.74,28,-5.201777458190918,-0.09979917109012604,0.00021544346900318823,1.1111981868743896,0.9803361296653748,93
417,12080,550,18.363634,20.82,28,-5.219549655914307,-0.11104230582714081,0.00021544346900318823,1.0586471557617188,0.978225588798523,103
422,12360,560,18.366474,20.98,29,-5.420870780944824,-0.12653520703315735,0.00021544346900318823,0.6813470721244812,0.9752752780914307,117
424,12520,570,18.47132,20.95,29,-5.442887783050537,-0.13456492125988007,0.00021544346900318823,0.6014077663421631,0.9735936522483826,125
428,12740,580,17.620302,20.57,29,-5.457760810852051,-0.14682921767234802,0.00021544346900318823,0.7012181282043457,0.9712870717048645,136
430,12920,590,19.763006,21.9,29,-5.628006935119629,-0.15676452219486237,0.00021544346900318823,0.6965523958206177,0.9694024920463562,145
435,13200,600,18.087666,20.88,30,-5.772348403930664,-0.17200645804405212,0.00021544346900318823,0.5888375043869019,0.9664784669876099,159
439,13460,610,18.718222,21.48,30,-5.89609432220459,-0.18538564443588257,0.00021544346900318823,0.7722578048706055,0.963771402835846,172
442,13660,620,19.048317,22.29,30,-5.90455436706543,-0.19733954966068268,0.00021544346900318823,0.5736005306243896,0.9616947174072266,182
447,14020,630,19.299955,22.4,31,-6.03812313079834,-0.21654096245765686,0.00021544346900318823,0.7588489055633545,0.95796799659729,200
449,14160,640,20.367424,23.12,31,-6.175931930541992,-0.22399090230464935,0.00021544346900318823,0.8752167224884033,0.9565243124961853,207
452,14400,650,20.788353,23.35,31,-6.283161163330078,-0.23684370517730713,0.00021544346900318823,0.789086103439331,0.9540539383888245,219
455,14600,660,21.373571,23.58,32,-6.336592674255371,-0.24751663208007812,0.00021544346900318823,0.9394126534461975,0.9520009756088257,229
459,14880,670,21.693882,23.71,32,-6.456453800201416,-0.26377642154693604,0.00021544346900318823,0.9096598625183105,0.949134886264801,243
463,15180,680,22.56385,24.77,32,-6.5914506912231445,-0.2791737914085388,0.00021544346900318823,0.8252036571502686,0.9460779428482056,258
466,15440,690,20.696266,23.97,33,-6.85410213470459,-0.2913329601287842,0.00021544346900318823,0.7131921052932739,0.9434336423873901,271
471,15800,700,21.7584,25.12,33,-6.748472213745117,-0.31107017397880554,0.00021544346900318823,0.5529300570487976,0.9397855997085571,289
475,16100,710,23.424446,25.8,33,-7.193051338195801,-0.32779866456985474,0.00021544346900318823,0.484516441822052,0.9367611408233643,304
477,16360,720,24.13983,25.61,34,-7.025922775268555,-0.33958834409713745,0.00021544346900318823,0.970167875289917,0.9341461658477783,317
479,16580,730,24.82766,25.68,34,-7.257465362548828,-0.3544253706932068,0.00021544346900318823,0.9650039672851562,0.93194180727005,328
479,16700,740,24.604738,25.32,34,-7.356310844421387,-0.36326658725738525,0.00021544346900318823,0.6386268138885498,0.9307417869567871,334
481,17040,750,24.46596,25.19,35,-7.588774681091309,-0.3784474730491638,0.00021544346900318823,0.5163244009017944,0.9273502826690674,351
484,17320,760,24.887878,25.62,35,-7.536371231079102,-0.39116886258125305,0.00021544346900318823,0.8294703960418701,0.9245672225952148,365
487,17620,770,26.662415,26.75,36,-7.870038986206055,-0.4086300730705261,0.00021544346900318823,1.169097661972046,0.9215925335884094,380
490,17880,780,28.014803,26.84,36,-7.904393672943115,-0.4242091774940491,0.00021544346900318823,0.8691332340240479,0.9190272688865662,393
492,18120,790,28.231821,26.97,36,-7.965886116027832,-0.43929123878479004,0.00021544346900318823,0.5644062757492065,0.9166672229766846,405
495,18400,800,27.616657,26.17,37,-7.966495037078857,-0.4467538297176361,0.00021544346900318823,0.949713945388794,0.9139163494110107,419
499,18760,810,27.236965,26.77,37,-8.191280364990234,-0.4669078588485718,0.00021544346900318823,1.0696847438812256,0.9104024171829224,437
503,19180,820,29.168404,27.81,38,-8.57276725769043,-0.49329903721809387,0.00021544346900318823,1.0880168676376343,0.9063233733177185,458
507,19560,830,28.122068,28.19,38,-8.7634859085083,-0.515231728553772,0.00021544346900318823,1.0903143882751465,0.9026475548744202,477
511,19880,840,31.537155,29.82,38,-8.759004592895508,-0.5263969898223877,0.00021544346900318823,0.6679665446281433,0.8995670676231384,493
