#{"t_start": 1692366892.4856129, "env_id": null}
r,l,t
5.2232037,9,17.356426
6.6620574,10,17.363211
9.938197,13,17.376198
10.2332325,15,17.384341
9.208045,15,17.385185
9.797635,17,17.394261
12.856344,17,17.395375
16.328247,18,17.402338
14.831161,18,17.403562
18.7075,20,17.445696
13.583021,21,17.456949
8.209387,12,17.458202
6.779617,12,17.463302
15.448272,23,17.467937
25.580103,25,17.476377
19.273483,27,17.484999
16.9929,27,17.486255
12.200534,15,17.491569
8.024335,14,17.496682
19.181393,29,17.497864
9.148255,13,17.506654
11.705093,32,17.511935
13.083176,16,17.518032
7.726685,12,17.519082
6.969297,14,17.523947
9.71727,12,17.524875
26.426287,36,17.532967
19.464996,18,17.534423
10.632885,13,17.548376
12.31364,16,17.553059
8.650552,19,17.559122
4.8417225,13,17.5601
22.929127,20,17.578735
9.599016,11,17.579559
12.755169,21,17.651939
12.438965,14,17.653272
33.123516,36,17.657582
5.145523,11,17.662446
8.902706,18,17.663141
33.047756,31,17.663911
7.9457803,11,17.669965
16.631868,21,17.677949
23.997766,24,17.68654
16.359894,29,17.687785
9.204143,17,17.688841
37.869232,28,17.701786
42.55112,33,17.711167
14.947633,32,17.712218
11.659211,13,17.716629
22.3931,23,17.71776
15.833128,19,17.725086
51.136196,49,17.726139
10.680364,15,17.730381
9.03316,13,17.734297
11.535777,19,17.739883
27.04517,24,17.749846
17.07835,21,17.750591
9.203506,20,17.754988
8.842933,16,17.760129
135.30919,73,17.761184
9.652202,23,17.768117
24.350735,22,17.784785
10.175736,13,17.793049
6.9074025,12,17.794003
11.149975,15,17.798389
10.774237,18,17.831398
16.067757,17,17.836483
10.114294,12,17.837387
30.909517,31,17.841601
13.095816,28,17.845847
26.836325,26,17.854139
17.072563,22,17.855048
19.065594,23,17.856209
13.415078,17,17.859883
16.21747,23,17.864857
18.232126,19,17.875892
7.9445662,11,17.880634
201.27612,93,17.881441
7.9057455,11,17.885874
15.896791,20,17.886688
6.202121,16,17.892846
9.110875,14,17.893739
7.227937,11,17.894392
10.6890745,14,17.943266
6.331311,11,17.953933
14.040408,18,17.965527
8.210798,20,17.971403
6.6812124,10,17.98343
17.09182,16,17.988399
28.783327,40,17.98926
9.670016,11,17.995484
6.477914,21,17.996494
7.49594,14,18.006278
11.799157,14,18.013505
12.907129,18,18.023063
7.267221,13,18.023981
8.012023,12,18.030884
21.332146,26,18.033713
6.0523934,9,18.046708
8.125971,12,18.047693
11.852147,15,18.066925
75.65495,48,18.067882
6.623756,9,18.068774
8.049526,22,18.079728
8.047013,13,18.080935
28.797422,27,18.082011
15.024849,17,18.082996
16.506958,17,18.088149
5.967328,11,18.093679
26.933594,30,18.095359
10.658892,31,18.111737
11.34395,23,18.116954
7.249198,21,18.128064
99.02835,62,18.141079
9.998014,12,18.146787
14.959328,16,18.147693
7.546659,17,18.152716
13.221126,21,18.153707
15.237175,24,18.15441
10.604567,19,18.170734
18.8603,25,18.171643
17.91181,21,18.172981
9.270212,14,18.182977
7.162014,13,18.192675
43.18083,53,18.193839
5.684176,9,18.198712
18.546597,26,18.207391
7.975508,12,18.212458
113.28397,63,18.217369
12.802346,16,18.22289
7.9755707,11,18.229481
66.37317,64,18.230647
45.504623,34,18.248863
9.698547,16,18.250416
38.034504,36,18.256668
13.549304,22,18.257576
9.602872,22,18.258385
20.085445,36,18.267062
11.411978,17,18.279765
10.288431,12,18.286472
10.492318,23,18.287235
27.634905,22,18.293962
18.33443,30,18.301411
16.364283,20,18.306787
4.9600687,8,18.307782
6.446151,24,18.312869
52.54524,48,18.317603
13.622601,21,18.324371
10.166161,16,18.329069
11.797743,16,18.332879
9.109003,11,18.341678
13.15167,14,18.348067
18.648512,34,18.352056
4.464775,8,18.356297
17.833973,18,18.36096
78.69909,53,18.361961
9.819193,24,18.362784
23.890993,23,18.363554
24.927504,32,18.369012
10.8450985,14,18.370133
11.181721,24,18.370975
9.005944,16,18.376746
20.513208,33,18.384507
15.606838,18,18.389914
11.546023,18,18.397439
13.669772,15,18.410315
6.3658705,10,18.411176
7.4623895,11,18.415999
8.041095,18,18.416967
6.6923995,12,18.422178
7.4640985,14,18.434313
8.908005,14,18.439163
14.808889,20,18.44394
15.438881,17,18.449481
19.322985,18,18.454137
12.105533,18,18.467867
15.579188,17,18.477901
6.1082244,10,18.483031
59.813793,42,18.483967
9.056519,21,18.48935
10.510451,26,18.490147
36.91313,34,18.490967
10.638776,12,18.500531
7.998191,12,18.505584
30.726093,33,18.514814
18.95085,24,18.530061
6.830793,24,18.530914
8.847311,11,18.535537
7.6141768,18,18.544694
28.143108,40,18.553832
10.323266,18,18.560865
9.479165,15,18.561992
35.742332,29,18.567075
12.15251,19,18.581106
20.979265,19,18.586297
19.081226,20,18.592169
10.439333,12,18.597174
9.067275,12,18.605633
11.47276,22,18.610439
6.84464,10,18.616179
138.11038,85,18.626946
14.178343,19,18.62808
22.806711,22,18.628817
29.739645,28,18.633736
