time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss
2449,15.2,0,400,11.378563,10,,,,,,
2694,17.85,0,580,12.952932,20,,,,,,
3033,17.966666666666665,0,820,12.874875,30,,,,,,
2728,18.325,0,1040,13.442007,40,,,,,,
2989,19.28,0,1300,14.824802,50,,,,,,
3051,20.55,0,1460,17.282297,60,,,,,,
3017,20.34285714285714,0,1700,16.85908,70,,,,,,
3114,21.1125,0,1880,19.049974,80,,,,,,
2973,20.655555555555555,0,2100,18.204075,90,,,,,,
3033,20.09,0,2320,17.375067,100,,,,,,
3051,20.66,0,2480,18.271786,110,,,,,,
3167,21.08,0,2820,18.976717,120,,,,,,
3212,21.77,0,3020,20.09243,130,,,,,,
3265,22.65,1,3280,20.928799,140,,,,,,
3314,22.5,1,3480,20.591377,150,,,,,,
3345,22.13,1,3640,19.763592,160,,,,,,
3388,21.96,1,3860,19.417171,170,,,,,,
3426,21.52,1,4140,17.985716,180,,,,,,
3461,21.86,1,4400,18.19265,190,,,,,,
3479,22.12,1,4640,18.657068,200,,,,,,
3492,23.71,1,4860,20.987537,210,,,,,,
3512,23.42,1,5080,21.178833,220,,,,,,
3520,22.91,1,5300,20.227242,230,,,,,,
3505,22.38,1,5460,20.126785,240,,,,,,
3495,21.9,1,5780,19.466944,250,,,,,,
3487,21.25,1,6000,18.31636,260,,,,,,
3488,22.29,1,6200,19.59932,270,,,,,,
3505,23.2,1,6400,20.009975,280,,,,,,
3517,23.56,1,6600,21.337217,290,,,,,,
3545,23.68,1,6880,20.972712,300,,,,,,
3556,22.17,1,7100,17.931055,310,,,,,,
3562,22.24,2,7280,17.371794,320,,,,,,
3588,22.55,2,7520,17.762554,330,,,,,,
3599,22.66,2,7720,17.318663,340,,,,,,
3622,22.71,2,7940,17.418407,350,,,,,,
3628,23.01,2,8060,17.664162,360,,,,,,
3662,21.85,2,8380,16.431456,370,,,,,,
3690,21.59,2,8620,16.811167,380,,,,,,
3697,21.96,2,8800,16.91717,390,,,,,,
3716,21.83,2,9040,16.952997,400,,,,,,
3733,21.64,2,9240,17.171745,410,,,,,,
3727,21.55,2,9360,17.147799,420,,,,,,
3749,21.22,2,9620,16.90042,430,,,,,,
3755,21.1,2,9820,16.764214,440,,,,,,
399,20.97,25,10040,16.724823,450,0.0,0.00046415888336127773,1,1.0,7.351861953735352,-2.108778953552246
401,21.58,25,10240,17.214293,460,-0.023322269320487976,0.00046415888336127773,11,0.9953639507293701,3.2801003456115723,-3.569706439971924
403,22.03,25,10420,17.36609,470,-0.0443592444062233,0.00046415888336127773,20,0.9912069439888,2.077083110809326,-4.813480377197266
406,21.33,26,10660,16.062279,480,-0.07243352383375168,0.00046415888336127773,32,0.9856956005096436,0.8466334342956543,-4.800262451171875
409,20.22,26,10920,14.495547,490,-0.10307389497756958,0.00046415888336127773,45,0.9797559976577759,1.313743233680725,-4.837853908538818
411,20.6,26,11080,15.121762,500,-0.12194465845823288,0.00046415888336127773,53,0.9761180281639099,0.5807541608810425,-4.947842597961426
415,20.49,27,11340,15.085524,510,-0.15231622755527496,0.00046415888336127773,66,0.9702326059341431,0.914348304271698,-5.11065149307251
418,20.47,27,11560,15.054793,520,-0.17843720316886902,0.00046415888336127773,77,0.965280294418335,0.6729322671890259,-5.173921585083008
421,20.39,27,11760,14.87582,530,-0.20052462816238403,0.00046415888336127773,87,0.9608029723167419,0.5061320662498474,-5.317715644836426
425,20.25,28,12020,14.565565,540,-0.2321813851594925,0.00046415888336127773,100,0.9550204873085022,0.5768758058547974,-5.380008697509766
430,20.25,28,12320,14.933025,550,-0.26621872186660767,0.00046415888336127773,115,0.9483856558799744,0.31979936361312866,-5.586482048034668
433,20.4,28,12500,15.319771,560,-0.28991401195526123,0.00046415888336127773,124,0.9444276690483093,0.4976885914802551,-5.625578880310059
437,22.32,29,12720,20.176615,570,-0.314034640789032,0.00046415888336127773,135,0.939612090587616,0.4136866629123688,-5.6569952964782715
439,22.92,29,12900,20.243744,580,-0.3351139426231384,0.00046415888336127773,144,0.9356905221939087,0.40595391392707825,-5.689807415008545
445,22.9,29,13240,20.208456,590,-0.3751680254936218,0.00046415888336127773,161,0.9283318519592285,0.5217803716659546,-5.834924697875977
449,22.95,30,13500,20.032694,600,-0.4064820110797882,0.00046415888336127773,174,0.9227447509765625,0.2563154697418213,-5.910696983337402
453,24.14,30,13840,21.986618,610,-0.4458712339401245,0.00046415888336127773,191,0.9154861569404602,0.429345041513443,-6.029844284057617
456,24.56,30,14040,22.632673,620,-0.4684237837791443,0.00046415888336127773,201,0.9112464785575867,0.5116877555847168,-6.042215347290039
460,25.31,31,14320,23.5706,630,-0.4988754987716675,0.00046415888336127773,215,0.9053477644920349,0.6231311559677124,-6.1999406814575195
463,26.61,31,14560,25.212122,640,-0.530687689781189,0.00046415888336127773,227,0.900326132774353,0.6322453022003174,-6.356944561004639
469,26.87,31,14900,25.423647,650,-0.566673755645752,0.00046415888336127773,244,0.893256664276123,0.6405699253082275,-6.481694221496582
472,27.74,32,15140,27.06639,660,-0.5957331657409668,0.00046415888336127773,256,0.8883069157600403,0.5891659259796143,-6.567983627319336
477,26.52,32,15520,23.883507,670,-0.6355451941490173,0.00046415888336127773,275,0.8805227875709534,0.4575675129890442,-6.896522521972656
481,27.05,32,15840,25.320175,680,-0.6740173697471619,0.00046415888336127773,291,0.8740248680114746,0.613494873046875,-6.842185974121094
483,28.7,33,16060,27.14969,690,-0.7031699419021606,0.00046415888336127773,302,0.8695858120918274,0.3101778030395508,-7.031312942504883
486,28.85,33,16320,28.473764,700,-0.733723521232605,0.00046415888336127773,315,0.8643691539764404,0.5498102903366089,-6.992893218994141
487,28.95,34,16600,28.274328,710,-0.7630714178085327,0.00046415888336127773,329,0.858792781829834,0.6479916572570801,-7.136877059936523
490,28.34,34,16980,28.042429,720,-0.803818941116333,0.00046415888336127773,348,0.8512881398200989,0.6735297441482544,-7.202622413635254
493,28.98,35,17340,29.398985,730,-0.8525623679161072,0.00046415888336127773,366,0.844248354434967,0.7263579964637756,-7.466883659362793
498,29.75,35,17720,30.939857,740,-0.8884586095809937,0.00046415888336127773,385,0.8368644714355469,0.5059252977371216,-7.640266418457031
502,29.84,35,18100,31.658253,750,-0.9346408247947693,0.00046415888336127773,404,0.8295597434043884,0.4136192202568054,-7.71221923828125
505,30.11,36,18320,31.586182,760,-0.9577848315238953,0.00046415888336127773,415,0.8253563046455383,0.639703631401062,-7.853339195251465
508,31.59,36,18660,33.656788,770,-0.990829586982727,0.00046415888336127773,432,0.8189142346382141,0.8365082740783691,-8.163341522216797
513,31.77,37,19100,34.175034,780,-1.0456690788269043,0.00046415888336127773,454,0.810651957988739,0.6929119229316711,-8.29998779296875
515,31.62,37,19240,34.774254,790,-1.0617084503173828,0.00046415888336127773,461,0.808047354221344,0.7602371573448181,-8.237607955932617
522,32.24,38,19880,35.019005,800,-1.1219242811203003,0.00046415888336127773,493,0.7962328195571899,1.3270163536071777,-8.351993560791016
468,33.67,43,20200,35.71261,810,-1.1611188650131226,0.00046415888336127773,509,0.7904098629951477,1.1201648712158203,-8.687620162963867
472,36.32,43,20580,39.914852,820,-1.2138118743896484,0.00046415888336127773,528,0.7835514545440674,0.9964202046394348,-8.533951759338379
478,36.49,44,21120,40.16218,830,-1.2647430896759033,0.00046415888336127773,555,0.7739090323448181,0.6225098371505737,-8.84351634979248
485,38.17,44,21700,42.21753,840,-1.3137825727462769,0.00046415888336127773,584,0.7637001872062683,0.7363739013671875,-9.568656921386719
488,41.05,45,22140,48.022804,850,-1.3923250436782837,0.00046415888336127773,606,0.7560596466064453,0.6564468145370483,-9.418992042541504
493,42.9,46,22840,53.11135,860,-1.4738818407058716,0.00046415888336127773,641,0.744087815284729,0.9676967859268188,-10.103128433227539
498,43.98,47,23460,55.885433,870,-1.506617784500122,0.00046415888336127773,672,0.7336263656616211,1.1561017036437988,-10.010383605957031
504,47.5,47,24060,62.04764,880,-1.5912784337997437,0.00046415888336127773,702,0.7236931920051575,1.6610682010650635,-10.396556854248047
508,49.95,48,24580,66.67502,890,-1.630666971206665,0.00046415888336127773,728,0.7152358293533325,0.6922332048416138,-11.008220672607422
511,52.85,48,25060,71.251945,900,-1.6646244525909424,0.00046415888336127773,752,0.7075119614601135,1.6001930236816406,-10.704891204833984
515,52.54,49,25720,72.81901,910,-1.7314095497131348,0.00046415888336127773,785,0.6970826983451843,1.8391025066375732,-11.066082000732422
519,54.23,50,26180,75.76486,920,-1.777121901512146,0.00046415888336127773,808,0.689893901348114,1.4379671812057495,-11.537334442138672
523,57.05,50,26720,81.09738,930,-1.809006690979004,0.00046415888336127773,835,0.6815775036811829,1.587536096572876,-11.479768753051758
530,56.52,51,27440,83.2362,940,-1.9274821281433105,0.00046415888336127773,871,0.6707034707069397,1.1773016452789307,-11.890151977539062
535,57.56,52,28100,84.05527,950,-1.9536335468292236,0.00046415888336127773,904,0.6608991622924805,2.1263976097106934,-12.186137199401855
540,59.04,53,28760,88.541824,960,-2.007491111755371,0.00046415888336127773,937,0.6512317061424255,0.8938505053520203,-12.84949016571045
545,59.84,53,29340,92.20837,970,-2.009950876235962,0.00046415888336127773,966,0.64288729429245,3.0198822021484375,-12.655913352966309
547,59.27,54,29700,94.55289,980,-2.134216785430908,0.00046415888336127773,984,0.6377625465393066,3.7695493698120117,-13.255292892456055
525,57.99,57,30340,94.07039,990,-2.1895594596862793,0.00046415888336127773,1016,0.6287634968757629,1.1944553852081299,-13.737944602966309
530,57.98,58,31120,96.96508,1000,-2.2137579917907715,0.00046415888336127773,1055,0.6180134415626526,1.7537914514541626,-13.944818496704102
534,61.0,59,31900,105.15698,1010,-2.2916438579559326,0.00046415888336127773,1094,0.6074690222740173,3.732954978942871,-14.152559280395508
538,61.99,60,32480,109.46855,1020,-2.3494462966918945,0.00046415888336127773,1123,0.5997114777565002,1.9118680953979492,-15.030638694763184
547,63.17,61,33620,114.347374,1030,-2.4968817234039307,0.00046415888336127773,1180,0.5849424600601196,4.971935272216797,-15.803315162658691
552,68.4,62,34340,126.52319,1040,-2.4882843494415283,0.00046415888336127773,1216,0.5759130716323853,3.7184693813323975,-15.910356521606445
559,71.84,63,35340,136.81982,1050,-2.658672332763672,0.00046415888336127773,1266,0.5636062026023865,0.9474495649337769,-16.447734832763672
564,73.68,63,36080,142.37875,1060,-2.6299073696136475,0.00046415888336127773,1303,0.5546719431877136,4.520066261291504,-17.422792434692383
569,74.93,65,37040,147.53954,1070,-2.74884033203125,0.00046415888336127773,1351,0.5433657765388489,3.2431528568267822,-17.324615478515625
574,77.87,65,37920,155.07288,1080,-2.7874975204467773,0.00046415888336127773,1395,0.533164381980896,6.215829372406006,-17.932384490966797
580,81.95,67,38880,165.5177,1090,-2.832366466522217,0.00046415888336127773,1443,0.5223182439804077,5.97990608215332,-18.639951705932617
584,84.59,67,39620,173.68257,1100,-2.8082447052001953,0.00046415888336127773,1480,0.5142078399658203,2.99525785446167,-18.909656524658203
535,86.46,75,40640,180.52364,1110,-2.8922250270843506,0.00046415888336127773,1531,0.5032808184623718,4.4554901123046875,-19.786834716796875
539,87.38,76,41360,184.58908,1120,-2.864469051361084,0.00046415888336127773,1567,0.4957640767097473,5.955589294433594,-20.594402313232422
545,88.35,77,42320,188.7426,1130,-3.1070556640625,0.00046415888336127773,1615,0.4859508275985718,3.0850906372070312,-20.899269104003906
549,86.81,78,43040,188.14592,1140,-2.822385311126709,0.00046415888336127773,1651,0.47872090339660645,7.632041931152344,-21.224502563476562
554,85.37,79,44060,186.89928,1150,-3.041527032852173,0.00046415888336127773,1702,0.46882838010787964,3.4815163612365723,-21.79167938232422
557,85.41,80,44720,187.39674,1160,-3.1408019065856934,0.00046415888336127773,1735,0.4624970853328705,3.384207248687744,-21.943111419677734
561,85.96,81,45760,189.03053,1170,-3.1746139526367188,0.00046415888336127773,1787,0.45264923572540283,8.004810333251953,-22.903751373291016
564,86.32,82,46480,190.00005,1180,-3.2566263675689697,0.00046415888336127773,1823,0.4460485875606537,7.053858757019043,-23.058876037597656
569,85.67,83,47440,189.22798,1190,-3.3620448112487793,0.00046415888336127773,1871,0.4374673068523407,3.042384624481201,-23.70067596435547
573,85.51,84,48180,189.11153,1200,-3.27829647064209,0.00046415888336127773,1908,0.43098485469818115,4.85556173324585,-24.81878089904785
577,85.44,85,49160,188.78764,1210,-3.258540153503418,0.00046415888336127773,1957,0.42260172963142395,3.7320356369018555,-25.409622192382812
580,85.23,85,49900,188.79602,1220,-3.417330265045166,0.00046415888336127773,1994,0.4163186550140381,4.532756805419922,-25.92621421813965
