time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss
2955,16.7,0,480,11.7763,10,,,,,,
2613,20.05,0,640,12.922244,20,,,,,,
2650,19.766666666666666,0,860,14.649056,30,,,,,,
2657,20.146341463414632,0,1120,16.015385,40,,,,,,
2586,21.07843137254902,0,1320,17.404646,50,,,,,,
2636,21.049180327868854,0,1540,17.28784,60,,,,,,
2739,20.457142857142856,0,1760,16.337109,70,,,,,,
2831,21.125,0,1980,16.71324,80,,,,,,
2918,21.593406593406595,0,2200,17.190535,90,,,,,,
2932,21.84,0,2480,17.720043,100,,,,,,
2913,22.09,0,2600,17.940954,110,,,,,,
3020,21.52,0,2860,18.087326,120,,,,,,
3075,21.68,0,3060,17.836538,130,,,,,,
3110,21.87,1,3240,17.629436,140,,,,,,
3159,21.76,1,3420,17.40261,150,,,,,,
3253,21.61,1,3680,17.27918,160,,,,,,
3277,21.75,1,3900,17.608118,170,,,,,,
3314,21.49,1,4120,17.515924,180,,,,,,
3330,21.41,1,4300,17.8616,190,,,,,,
3351,20.97,1,4560,17.332666,200,,,,,,
3303,20.96,1,4780,17.069887,210,,,,,,
3297,22.14,1,5140,17.749823,220,,,,,,
3333,22.33,1,5380,18.569221,230,,,,,,
3375,22.56,1,5640,18.554016,240,,,,,,
3371,23.24,1,5920,18.79074,250,,,,,,
3328,23.24,1,6080,18.869606,260,,,,,,
3314,24.18,1,6360,20.917387,270,,,,,,
3339,24.28,1,6640,20.847939,280,,,,,,
3347,23.96,2,6800,20.593561,290,,,,,,
3358,23.85,2,7040,20.548973,300,,,,,,
3347,24.67,2,7200,22.425049,310,,,,,,
3340,23.89,2,7440,22.115856,320,,,,,,
3343,23.53,2,7700,21.808199,330,,,,,,
3346,24.24,2,7920,22.163294,340,,,,,,
3369,23.17,2,8140,21.10629,350,,,,,,
3394,23.47,2,8360,21.702505,360,,,,,,
3419,22.65,2,8580,19.52435,370,,,,,,
3436,22.4,2,8780,19.6403,380,,,,,,
3444,22.13,2,8980,18.98542,390,,,,,,
3460,22.31,2,9200,18.98399,400,,,,,,
3461,22.41,2,9480,18.627043,410,,,,,,
3448,22.62,2,9680,18.486578,420,,,,,,
3445,22.65,2,9900,18.201298,430,,,,,,
3255,21.7,3,10100,17.693365,440,-0.006985388696193695,0.00046415888336127773,4,0.9986079335212708,6.552487373352051,-2.6009860038757324
3010,21.7,3,10380,18.257555,450,-0.03967641666531563,0.00046415888336127773,18,0.9921309351921082,1.5591707229614258,-4.535523414611816
2815,21.92,3,10580,18.31017,460,-0.06300421804189682,0.00046415888336127773,28,0.9875293970108032,1.5286182165145874,-4.902875900268555
2674,21.98,4,10800,18.412611,470,-0.08877357840538025,0.00046415888336127773,39,0.982492208480835,0.9864632487297058,-4.604354381561279
2488,23.04,4,11080,19.523844,480,-0.12147572636604309,0.00046415888336127773,53,0.9761178493499756,0.7855478525161743,-5.044391632080078
2404,23.23,4,11240,19.194374,490,-0.1419956535100937,0.00046415888336127773,61,0.9724938273429871,0.7649305462837219,-5.207759857177734
2223,22.87,5,11500,18.832306,500,-0.1701025664806366,0.00046415888336127773,74,0.9666266441345215,0.5451711416244507,-5.2211503982543945
2141,22.26,5,11680,17.871868,510,-0.19335708022117615,0.00046415888336127773,83,0.9625895619392395,0.6972019672393799,-5.329403877258301
2078,22.23,5,11860,18.089745,520,-0.21279984712600708,0.00046415888336127773,92,0.9585709571838379,0.4819776713848114,-5.361083507537842
1993,22.61,6,12100,18.974468,530,-0.24371570348739624,0.00046415888336127773,104,0.9532466530799866,0.5360538959503174,-5.495889186859131
1936,22.3,6,12300,18.380083,540,-0.26369529962539673,0.00046415888336127773,114,0.948824405670166,0.5318131446838379,-5.510005950927734
1866,22.09,6,12580,17.732038,550,-0.29790300130844116,0.00046415888336127773,128,0.9426724910736084,0.29684895277023315,-5.743527889251709
1843,22.36,6,12680,18.330769,560,-0.3096376657485962,0.00046415888336127773,133,0.9404853582382202,0.3505018949508667,-5.731189250946045
1790,21.94,7,12940,18.193933,570,-0.33965420722961426,0.00046415888336127773,146,0.9348193407058716,0.4259471595287323,-5.798194885253906
1748,21.0,7,13200,17.247032,580,-0.3710078299045563,0.00046415888336127773,159,0.9291911125183105,0.41763603687286377,-5.793420791625977
1684,21.3,8,13540,17.553907,590,-0.40995752811431885,0.00046415888336127773,176,0.9218817949295044,0.6467839479446411,-5.938384056091309
1638,23.23,8,13900,20.715984,600,-0.4520229399204254,0.00046415888336127773,194,0.9142114520072937,0.3403736352920532,-6.166136264801025
