time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
10,2734,14.5,9.345113,0,340,,,,,,
20,2996,16.5,10.019284,0,580,,,,,,
30,3045,18.096774193548388,10.129009,0,760,,,,,,
40,2511,18.15,10.601207,0,960,,,,,,
50,2707,18.78,11.913774,0,1220,,,,,,
60,2752,19.25,12.892727,0,1360,,,,,,
70,2903,19.314285714285713,13.287743,0,1640,,,,,,
80,2992,20.025,13.922251,0,1860,,,,,,
90,2928,20.477777777777778,14.260138,0,2040,,,,,,
100,2951,20.07,14.215614,0,2180,,,,,,
110,3022,20.37,14.570147,0,2420,,,,,,
120,3054,20.49,15.366825,0,2620,,,,,,
130,3063,20.28,15.873976,0,2740,,,,,,
140,3050,19.87,15.114233,0,2920,,,,,,
150,3052,19.66,15.361539,1,3100,,,,,,
160,3048,19.04,14.62568,1,3240,,,,,,
170,3106,19.03,14.706226,1,3460,,,,,,
180,3163,18.37,13.959238,1,3700,,,,,,
190,3220,18.11,14.390148,1,3940,,,,,,
200,3265,18.57,14.721738,1,4200,,,,,,
210,3317,19.92,15.981192,1,4440,,,,,,
220,3365,20.26,16.857931,1,4660,,,,,,
230,3391,20.09,16.471352,1,4860,,,,,,
240,3436,20.9,17.445248,1,5120,,,,,,
250,3477,21.55,17.741879,1,5340,,,,,,
260,3507,22.08,18.382301,1,5540,,,,,,
270,3535,22.26,18.390755,1,5720,,,,,,
280,3544,22.37,19.190483,1,5880,,,,,,
290,3570,22.01,18.595139,1,6060,,,,,,
300,3581,21.91,18.315481,1,6220,,,,,,
310,3607,20.71,17.05703,1,6420,,,,,,
320,3628,20.13,15.433658,1,6620,,,,,,
330,3646,20.08,15.731297,1,6840,,,,,,
340,3653,19.92,15.278395,1,6960,,,,,,
350,3702,19.48,14.316297,1,7260,,,,,,
360,3734,19.32,14.256264,2,7520,,,,,,
370,3759,19.41,14.206003,2,7780,,,,,,
380,3773,20.29,15.827904,2,7980,,,,,,
390,3782,20.72,15.771289,2,8120,,,,,,
400,3816,20.62,15.754012,2,8380,,,,,,
410,3817,20.68,15.732121,2,8540,,,,,,
420,3839,20.94,16.457157,2,8820,,,,,,
430,3843,21.38,16.471655,2,8960,,,,,,
440,3861,21.34,16.948078,2,9200,,,,,,
450,3868,21.47,17.44561,2,9360,,,,,,
460,3886,21.33,17.30555,2,9580,,,,,,
470,3915,21.43,17.557035,2,9900,,,,,,
480,411,21.2,16.687483,24,10060,0.9990005493164062,-2.6565146446228027,2,6.313016414642334,-0.005007890053093433,0.001
490,413,20.95,16.67302,24,10280,0.9880625605583191,-5.1034440994262695,13,2.029853343963623,-0.06077215075492859,0.001
500,416,20.94,16.525476,25,10520,0.9762520790100098,-4.498683452606201,25,1.0293694734573364,-0.12150570005178452,0.001
510,418,21.82,17.581808,25,10700,0.9674875736236572,-4.930562973022461,34,0.770763635635376,-0.16653886437416077,0.001
520,423,21.58,17.205326,25,11000,0.9530591368675232,-4.997015953063965,49,0.33592939376831055,-0.24162304401397705,0.001
530,425,21.71,17.576778,26,11160,0.9454493522644043,-5.062248706817627,57,0.5409530997276306,-0.28240343928337097,0.001
540,429,21.4,16.998552,26,11400,0.934147834777832,-5.273237228393555,69,0.3426791727542877,-0.34447500109672546,0.001
550,433,22.2,17.900951,26,11640,0.922982931137085,-5.283576488494873,81,0.41700229048728943,-0.4047658443450928,0.001
560,436,22.26,18.440363,27,11880,0.9119531512260437,-5.314990520477295,93,0.5036474466323853,-0.462769478559494,0.001
570,439,22.11,18.130322,27,12120,0.901074230670929,-5.3730669021606445,105,0.40235984325408936,-0.5252951383590698,0.001
580,443,22.66,19.157856,27,12380,0.8894156217575073,-5.424698352813721,118,0.318717896938324,-0.5897407531738281,0.001
590,446,23.07,19.780619,28,12620,0.8788009285926819,-5.359537601470947,130,0.46480855345726013,-0.6481338739395142,0.001
600,451,23.79,20.595877,28,12880,0.8674437403678894,-5.5861310958862305,143,0.4794071316719055,-0.718193769454956,0.001
