time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
10,2541,15.0,10.700683,0,360,,,,,,
20,2546,17.130434782608695,12.074093,0,520,,,,,,
30,2795,16.766666666666666,12.035158,0,680,,,,,,
40,2909,16.8,11.765248,0,820,,,,,,
50,3056,16.24,11.580639,0,1020,,,,,,
60,3022,16.666666666666668,12.039518,0,1200,,,,,,
70,3036,16.9,12.454844,0,1360,,,,,,
80,3218,17.23170731707317,12.734506,0,1680,,,,,,
90,3218,17.67032967032967,13.102629,0,1880,,,,,,
100,3247,18.39,14.039692,0,2040,,,,,,
110,3325,18.73,14.187998,0,2240,,,,,,
120,3333,19.03,14.607648,0,2420,,,,,,
130,3376,19.22,14.703008,0,2620,,,,,,
140,3428,19.17,14.898567,0,2820,,,,,,
150,3459,19.64,15.432693,0,3000,,,,,,
160,3465,19.88,15.409538,0,3340,,,,,,
170,3521,20.16,15.4393215,1,3640,,,,,,
180,3544,21.16,16.60972,1,3820,,,,,,
190,3580,21.06,16.495033,1,4080,,,,,,
200,3600,21.59,17.779531,1,4280,,,,,,
210,3606,22.03,18.747238,1,4480,,,,,,
220,3609,22.0,18.49875,1,4640,,,,,,
230,3593,22.4,18.893852,1,4880,,,,,,
240,3568,22.55,18.966036,1,5080,,,,,,
250,3601,22.2,18.473782,1,5300,,,,,,
260,3619,22.02,18.70712,1,5500,,,,,,
270,3630,21.63,18.469404,1,5740,,,,,,
280,3640,21.62,19.60926,1,5980,,,,,,
290,3661,21.97,19.794064,1,6240,,,,,,
300,3673,20.93,17.95762,1,6400,,,,,,
310,3688,20.65,17.468452,1,6600,,,,,,
320,3687,20.59,18.232513,1,6820,,,,,,
330,3669,21.31,20.084412,1,7040,,,,,,
340,3648,21.79,20.68246,1,7220,,,,,,
350,3652,21.99,20.704613,2,7460,,,,,,
360,3671,22.45,21.04283,2,7680,,,,,,
370,3678,22.94,20.942167,2,7880,,,,,,
380,3695,22.13,19.218735,2,8140,,,,,,
390,3681,22.09,18.938637,2,8360,,,,,,
400,3681,22.21,18.748436,2,8580,,,,,,
410,3688,23.14,20.108013,2,8820,,,,,,
420,3705,22.59,19.045134,2,9080,,,,,,
430,3733,22.3,17.382912,2,9400,,,,,,
