time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
360,0,13.8,2638,10.996847,10,,,,,,
620,0,15.75,3193,12.287431,20,,,,,,
780,0,18.4,3311,13.811861,30,,,,,,
1080,0,18.093023255813954,3541,13.226091,40,,,,,,
1180,0,18.52,3552,14.241568,50,,,,,,
1440,0,19.316666666666666,3633,15.403377,60,,,,,,
1720,0,20.34285714285714,3722,16.835358,70,,,,,,
1980,0,20.8375,3681,17.035847,80,,,,,,
2240,0,21.31111111111111,3745,17.647345,90,,,,,,
2460,0,21.48,3747,17.642227,100,,,,,,
2580,0,21.72,3718,17.62623,110,,,,,,
2740,0,22.82,3748,19.328373,120,,,,,,
2940,0,21.8,3758,18.648232,130,,,,,,
3200,0,21.59,3820,18.741817,140,,,,,,
3420,0,21.52,3853,18.236189,150,,,,,,
3680,0,21.67,3884,18.402697,160,,,,,,
3960,1,21.84,3865,18.573051,170,,,,,,
4080,1,21.71,3863,18.06234,180,,,,,,
4420,1,21.76,3926,18.819338,190,,,,,,
4640,1,21.78,3928,18.41517,200,,,,,,
4820,1,22.7,3910,19.579536,210,,,,,,
5140,1,21.98,3962,18.267406,220,,,,,,
5320,1,22.92,3948,19.11512,230,,,,,,
5480,1,23.89,3923,19.974611,240,,,,,,
5700,1,23.63,3940,19.747383,250,,,,,,
5940,1,23.22,3861,19.445143,260,,,,,,
6140,1,22.52,3872,18.428902,270,,,,,,
6340,1,22.1,3873,18.783728,280,,,,,,
6580,1,22.15,3830,17.956102,290,,,,,,
6800,1,22.63,3797,19.278482,300,,,,,,
6920,1,21.52,3770,17.721321,310,,,,,,
7160,1,21.16,3768,17.450434,320,,,,,,
7340,1,20.69,3709,16.922218,330,,,,,,
7520,2,19.98,3697,16.22214,340,,,,,,
7780,2,20.44,3691,16.549007,350,,,,,,
7940,2,20.79,3683,16.545757,360,,,,,,
8260,2,20.55,3682,16.661976,370,,,,,,
8440,2,20.47,3672,16.56594,380,,,,,,
