time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef
2023,12.7,0,9.818539,340,10,,,,,,
2338,16.1,0,11.747076,580,20,,,,,,
2433,17.366666666666667,0,13.120607,720,30,,,,,,
1978,17.625,0,13.408383,980,40,,,,,,
2057,17.2,0,13.137052,1100,50,,,,,,
2223,18.095238095238095,0,14.609984,1320,60,,,,,,
2384,18.257142857142856,0,14.886917,1540,70,,,,,,
2438,18.382716049382715,0,15.022227,1680,80,,,,,,
2559,18.288888888888888,0,14.692707,1920,90,,,,,,
2591,18.56,0,15.041773,2060,100,,,,,,
2733,18.94,0,15.039685,2360,110,,,,,,
2754,19.1,0,15.78136,2580,120,,,,,,
2790,19.01,0,15.54374,2740,130,,,,,,
2837,20.4,1,18.132746,2980,140,,,,,,
2846,20.79,1,18.505735,3200,150,,,,,,
2820,20.45,1,17.876087,3400,160,,,,,,
2815,20.81,1,18.052916,3640,170,,,,,,
2847,21.23,1,17.99839,3860,180,,,,,,
2892,22.03,1,18.912878,4160,190,,,,,,
2912,22.82,1,19.202246,4320,200,,,,,,
2982,22.61,1,19.07782,4620,210,,,,,,
3007,23.21,1,18.909473,4800,220,,,,,,
3047,23.77,1,19.4827,5000,230,,,,,,
3091,22.51,1,16.505089,5220,240,,,,,,
3123,22.62,1,16.792858,5420,250,,,,,,
3144,22.37,1,16.479671,5580,260,,,,,,
3182,22.35,1,16.592436,5820,270,,,,,,
3210,22.28,1,16.925163,6040,280,,,,,,
3212,21.76,1,16.015797,6180,290,,,,,,
3252,20.64,1,15.3496,6460,300,,,,,,
3257,21.15,2,16.326105,6600,310,,,,,,
3288,20.54,2,16.015429,6840,320,,,,,,
3339,20.36,2,15.755939,7120,330,,,,,,
3378,20.48,2,16.42994,7340,340,,,,,,
3364,20.51,2,16.766562,7480,350,,,,,,
3403,20.62,2,16.591463,7720,360,,,,,,
3442,20.66,2,16.2057,7960,370,,,,,,
3438,20.78,2,16.414043,8020,380,,,,,,
3497,20.44,2,16.373049,8360,390,,,,,,
3524,20.75,2,16.438839,8560,400,,,,,,
3564,21.07,2,16.09002,8900,410,,,,,,
3595,21.45,2,16.489817,9120,420,,,,,,
3608,21.82,2,17.23787,9280,430,,,,,,
3635,21.69,2,17.10482,9480,440,,,,,,
3674,21.25,2,16.173592,9760,450,,,,,,
3684,21.51,2,16.45801,9900,460,,,,,,
400,21.55,25,17.151531,10060,470,2,-0.020815473049879074,-4.166440963745117,2.898674964904785,0.004641588833612777,0.9953691363334656
405,21.5,25,18.131027,10320,480,15,-0.32675790786743164,-4.574366569519043,0.5299040079116821,0.004641588833612777,0.9369016289710999
408,21.96,25,18.58605,10500,490,24,-0.5399198532104492,-4.685741424560547,0.23850126564502716,0.004641588833612777,0.8983107805252075
412,21.84,26,18.55745,10740,500,36,-0.8236575722694397,-4.698687553405762,0.243900865316391,0.004641588833612777,0.8493069410324097
417,21.66,26,18.44572,11020,510,50,-1.1576775312423706,-4.649172782897949,0.3085121810436249,0.004641588833612777,0.7955356240272522
423,21.77,26,18.711756,11300,520,64,-1.4830687046051025,-4.65618896484375,0.2912842333316803,0.004641588833612777,0.7452132701873779
427,21.68,27,18.210705,11540,530,76,-1.7616279125213623,-4.482089042663574,0.23119071125984192,0.004641588833612777,0.7046581506729126
431,21.56,27,17.780481,11820,540,90,-2.086608648300171,-4.3332390785217285,0.2306569367647171,0.004641588833612777,0.6602025032043457
435,23.05,27,20.138325,12040,550,101,-2.3515164852142334,-4.233681678771973,0.24772140383720398,0.004641588833612777,0.6272804141044617
439,23.55,27,21.354012,12260,560,112,-2.623945713043213,-4.28709602355957,0.24746255576610565,0.004641588833612777,0.595999002456665
444,24.52,28,22.974394,12560,570,127,-2.9515371322631836,-4.447013854980469,0.2044549137353897,0.004641588833612777,0.5558635592460632
449,24.73,28,22.608374,12860,580,142,-3.2769999504089355,-4.30128288269043,0.22410082817077637,0.004641588833612777,0.5184839367866516
455,25.35,29,23.222649,13220,590,160,-3.6861939430236816,-4.112347602844238,0.2075800597667694,0.004641588833612777,0.4769939184188843
460,26.86,29,26.529797,13680,600,183,-4.204497814178467,-4.4238104820251465,0.23522046208381653,0.004641588833612777,0.4288526475429535
466,28.7,30,29.436762,14040,610,201,-4.613990783691406,-4.305704593658447,0.20947015285491943,0.004641588833612777,0.39470067620277405
473,30.93,30,31.954412,14520,620,225,-5.129033088684082,-4.232418537139893,0.19772203266620636,0.004641588833612777,0.3535560667514801
480,32.05,31,34.617252,14900,630,244,-5.485888481140137,-4.373346328735352,0.11429579555988312,0.004641588833612777,0.32421091198921204
487,34.89,31,40.95363,15420,640,270,-5.916086673736572,-4.278494358062744,0.167314350605011,0.004641588833612777,0.28818684816360474
493,36.99,32,45.069054,15860,650,292,-6.431636333465576,-4.531285285949707,0.16408771276474,0.004641588833612777,0.2610727548599243
498,39.29,32,49.167004,16260,660,312,-6.451085567474365,-4.446408271789551,0.31734663248062134,0.004641588833612777,0.2388801872730255
506,40.43,33,52.466236,16820,670,340,-7.008227825164795,-4.756191253662109,0.21791985630989075,0.004641588833612777,0.21160447597503662
514,41.93,33,57.459633,17460,680,372,-7.198084831237793,-5.183561325073242,0.1457313448190689,0.004641588833612777,0.18456941843032837
