time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef
2571,14.6,0,9.469393,340,10,,,,,,
2808,17.375,0,13.598929,580,20,,,,,,
2942,17.966666666666665,0,13.9741535,720,30,,,,,,
3084,18.375,0,14.125949,960,40,,,,,,
3185,18.71153846153846,0,14.011545,1140,50,,,,,,
3311,19.433333333333334,0,14.915093,1360,60,,,,,,
3447,18.84285714285714,0,14.409634,1620,70,,,,,,
3409,19.2875,0,14.498289,1840,80,,,,,,
3400,19.933333333333334,0,15.022351,2040,90,,,,,,
3551,19.8,0,14.819858,2300,100,,,,,,
3649,20.75,0,15.56326,2540,110,,,,,,
3671,21.44,0,16.5613,2740,120,,,,,,
3573,22.14,0,17.304165,2960,130,,,,,,
3533,22.03,0,17.218882,3160,140,,,,,,
3431,21.91,0,17.11354,3400,150,,,,,,
3354,21.92,1,16.44478,3620,160,,,,,,
3333,22.22,1,16.513836,3840,170,,,,,,
3307,22.61,1,17.71492,4040,180,,,,,,
3342,21.93,1,17.200577,4280,190,,,,,,
3369,22.02,1,17.753935,4460,200,,,,,,
3408,21.71,1,17.962038,4640,210,,,,,,
3417,21.17,1,17.24021,4780,220,,,,,,
3471,20.55,1,16.462164,5060,230,,,,,,
3441,20.43,1,16.738342,5220,240,,,,,,
3416,20.8,1,17.109388,5500,250,,,,,,
3436,21.05,1,18.222649,5760,260,,,,,,
3449,21.29,1,18.812075,5900,270,,,,,,
3464,21.06,1,18.593063,6100,280,,,,,,
3513,21.49,1,18.98578,6420,290,,,,,,
3522,21.75,1,19.147465,6580,300,,,,,,
3538,21.75,1,18.968555,6800,310,,,,,,
3560,21.33,1,18.429916,7060,320,,,,,,
3553,21.98,2,18.909075,7280,330,,,,,,
3581,22.36,2,19.800137,7540,340,,,,,,
3578,22.46,2,19.168543,7720,350,,,,,,
3597,22.21,2,19.157446,7880,360,,,,,,
3599,22.14,2,18.891722,8060,370,,,,,,
3613,21.75,2,18.25459,8280,380,,,,,,
3631,21.15,2,17.985083,8480,390,,,,,,
3641,20.82,2,17.222336,8760,400,,,,,,
3644,21.02,2,17.571638,8900,410,,,,,,
3654,20.96,2,17.573933,9180,420,,,,,,
3643,21.15,2,17.918646,9300,430,,,,,,
3645,20.56,2,16.669807,9540,440,,,,,,
3649,20.85,2,17.452045,9760,450,,,,,,
3641,20.71,2,17.20199,9940,460,,,,,,
3450,20.31,2,16.839035,10120,470,5,-0.09286180138587952,-4.225717544555664,1.1893730163574219,0.004641588833612777,0.9816208481788635
3141,20.4,3,16.926786,10320,480,15,-0.32652896642684937,-4.586940765380859,0.3410091996192932,0.004641588833612777,0.936890184879303
2951,20.35,3,15.950652,10480,490,23,-0.5186236500740051,-4.720317840576172,0.3746773302555084,0.004641588833612777,0.9024925231933594
2712,20.49,3,16.056046,10720,500,35,-0.8007950782775879,-4.807778835296631,0.24136140942573547,0.004641588833612777,0.8532346487045288
2544,19.95,4,15.394851,11020,510,50,-1.1555267572402954,-4.690410137176514,0.28757649660110474,0.004641588833612777,0.795481264591217
2455,20.32,4,15.660851,11160,520,57,-1.3213586807250977,-4.601676940917969,0.2739400267601013,0.004641588833612777,0.7699061036109924
2382,20.21,4,15.770168,11340,530,66,-1.5314445495605469,-4.622079849243164,0.29000982642173767,0.004641588833612777,0.7382414937019348
