rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss
10.4812975,2561,400,0,14.3,10,,,,,,
13.683096,2955,620,0,17.85,20,,,,,,
15.410663,2812,780,0,19.566666666666666,30,,,,,,
14.38696,2779,1060,0,18.825,40,,,,,,
16.299246,2916,1240,0,20.1,50,,,,,,
16.624952,3130,1480,0,20.316666666666666,60,,,,,,
15.744128,3152,1660,0,20.414285714285715,70,,,,,,
15.677832,3131,1880,0,20.075,80,,,,,,
15.678621,3119,2000,0,20.4,90,,,,,,
15.511976,3092,2220,0,20.03,100,,,,,,
15.780462,3120,2440,0,20.53,110,,,,,,
15.772002,3130,2700,0,20.44,120,,,,,,
15.330631,2973,2960,0,20.05,130,,,,,,
16.989359,3034,3180,1,21.21,140,,,,,,
16.385899,3077,3400,1,21.03,150,,,,,,
17.20719,3148,3680,1,21.33,160,,,,,,
17.879078,3007,3960,1,21.74,170,,,,,,
18.58229,3050,4200,1,22.43,180,,,,,,
18.213589,3103,4460,1,22.12,190,,,,,,
19.78954,3119,4620,1,23.25,200,,,,,,
20.386791,3145,4840,1,23.5,210,,,,,,
20.41169,3146,5000,1,23.55,220,,,,,,
20.336418,3145,5220,1,23.62,230,,,,,,
19.505901,3143,5400,1,22.9,240,,,,,,
19.607405,3188,5720,1,22.9,250,,,,,,
19.029158,3187,5880,1,22.73,260,,,,,,
18.524097,3209,6100,1,21.92,270,,,,,,
17.46452,3211,6240,1,21.2,280,,,,,,
18.871569,3235,6500,2,21.89,290,,,,,,
17.31504,3250,6740,2,20.95,300,,,,,,
17.737333,3267,6920,2,21.15,310,,,,,,
17.857294,3295,7120,2,21.2,320,,,,,,
18.919977,3315,7300,2,21.79,330,,,,,,
17.9607,3323,7440,2,21.1,340,,,,,,
17.394157,3349,7740,2,20.69,350,,,,,,
17.114029,3361,7960,2,20.35,360,,,,,,
18.364365,3374,8220,2,21.13,370,,,,,,
17.418856,3388,8460,2,20.59,380,,,,,,
17.38815,3394,8640,2,21.08,390,,,,,,
18.036718,3398,8880,2,21.43,400,,,,,,
17.515923,3397,9100,2,21.04,410,,,,,,
17.669096,3395,9300,2,21.21,420,,,,,,
16.98183,3405,9600,2,20.71,430,,,,,,
18.415142,3380,9780,2,21.84,440,,,,,,
18.272684,375,10000,26,21.85,450,,,,,,
18.007587,373,10100,27,21.78,460,-0.14215189218521118,0.01,4.992845058441162,4,0.971943736076355,-2.52394962310791
18.691078,377,10340,27,21.88,470,-0.7443026304244995,0.01,0.9527721405029297,16,0.862062394618988,-4.041195869445801
18.666248,380,10560,27,21.71,480,-1.3006638288497925,0.01,0.41270145773887634,27,0.7710279822349548,-4.493698596954346
19.505486,386,10880,28,22.06,490,-2.1226847171783447,0.01,0.25700023770332336,43,0.6554861068725586,-4.051236152648926
19.478745,389,11080,28,21.97,500,-2.636385917663574,0.01,0.20922517776489258,53,0.5923643112182617,-3.969602584838867
19.461763,393,11340,28,22.45,510,-3.307807445526123,0.01,0.24633440375328064,66,0.5194233059883118,-3.753990888595581
18.95829,398,11600,29,22.18,520,-3.9506001472473145,0.01,0.18068984150886536,79,0.455608069896698,-3.6574668884277344
20.25186,402,11840,29,23.3,530,-4.5670976638793945,0.01,0.1534186452627182,91,0.40378743410110474,-3.4674439430236816
20.410137,406,12060,29,23.29,540,-5.08449125289917,0.01,0.14807595312595367,102,0.3615638017654419,-3.3581674098968506
22.252867,413,12480,30,24.1,550,-6.131616592407227,0.01,0.14134368300437927,123,0.2930305600166321,-3.259253978729248
23.69457,419,12840,30,25.2,560,-6.934250354766846,0.01,0.180719792842865,141,0.24484854936599731,-3.330470561981201
27.735197,425,13220,31,27.43,570,-7.655323505401611,0.01,0.20135334134101868,160,0.20307020843029022,-3.1772563457489014
31.743725,431,13680,31,29.06,580,-8.495147705078125,0.01,0.15665335953235626,183,0.1625378578901291,-3.297215223312378
35.840668,438,14140,32,30.72,590,-8.89224624633789,0.01,0.12861622869968414,206,0.13082091510295868,-3.2992513179779053
39.504494,443,14440,32,31.73,600,-9.415643692016602,0.01,0.1297750473022461,221,0.11418727040290833,-3.2518362998962402
44.33037,449,14820,32,33.4,610,-8.806207656860352,0.01,0.08699992299079895,240,0.09690108895301819,-3.340529441833496
48.972878,452,15040,33,35.61,620,-8.138107299804688,0.01,0.1228613331913948,251,0.08856251835823059,-3.445498466491699
50.432133,456,15340,33,35.27,630,-9.707221031188965,0.01,0.14766889810562134,266,0.07908797264099121,-3.4367623329162598
52.88918,459,15580,33,35.58,640,-5.232767105102539,0.01,0.16095398366451263,278,0.07225125283002853,-3.4788637161254883
54.265087,463,15820,34,35.28,650,-7.62113618850708,0.01,0.1630016267299652,290,0.06667952984571457,-3.6985113620758057
55.704643,467,16060,34,34.74,660,-6.204751014709473,0.01,0.31992411613464355,302,0.06141568347811699,-3.9564146995544434
52.826916,471,16360,34,32.57,670,-7.66423225402832,0.01,0.3877265751361847,317,0.05568743497133255,-4.045823097229004
52.589935,474,16620,34,31.83,680,-10.464105606079102,0.01,0.31185290217399597,330,0.051655180752277374,-4.214486598968506
51.40335,479,16940,35,30.38,690,-7.493680477142334,0.01,0.15962177515029907,346,0.04759865626692772,-4.030744552612305
53.364418,487,17520,35,30.93,700,-5.086879730224609,0.01,0.32736438512802124,375,0.04207979515194893,-4.4021382331848145
60.446163,499,18520,37,33.5,710,-5.878941535949707,0.01,0.2653316259384155,425,0.03567033261060715,-4.768866539001465
69.60316,504,18940,37,36.82,720,-3.0493717193603516,0.01,0.26280510425567627,446,0.03326614946126938,-4.767796516418457
74.34019,508,19260,37,38.8,730,0.36992549896240234,0.01,0.4732323884963989,462,0.03153545409440994,-4.711909770965576
76.306145,515,19900,38,39.5,740,-3.3824472427368164,0.01,0.3954746127128601,494,0.02927509695291519,-5.494568824768066
79.76799,457,20320,44,41.1,750,-1.7534425258636475,0.01,0.23128165304660797,515,0.02827138639986515,-5.862704277038574
84.91002,460,20640,44,43.55,760,-0.3109801411628723,0.01,0.46791312098503113,531,0.02754318155348301,-5.563878536224365
95.33116,474,21880,46,48.36,770,-5.858524322509766,0.01,0.29017138481140137,593,0.02578783594071865,-6.533370018005371
106.445526,477,22180,46,53.55,780,-0.10169397294521332,0.01,0.3153536319732666,608,0.025230469182133675,-6.455722808837891
116.161766,489,23420,47,58.14,790,1.286431908607483,0.01,0.7736954689025879,670,0.024552294984459877,-7.224989414215088
124.63441,492,23780,48,62.19,800,3.6825318336486816,0.01,0.6030963063240051,688,0.02456456795334816,-7.323774814605713
127.68453,503,25080,49,63.65,810,1.324820637702942,0.01,0.32181382179260254,753,0.02393663115799427,-7.894510269165039
128.36197,505,25420,50,63.95,820,5.041365623474121,0.01,0.48374277353286743,770,0.023764051496982574,-8.340154647827148
132.21371,513,26660,51,65.82,830,6.39365291595459,0.01,0.618263304233551,832,0.02391830086708069,-8.049688339233398
141.73564,516,26940,52,70.41,840,-2.0369534492492676,0.01,0.8539484143257141,846,0.02455112896859646,-8.881933212280273
148.62079,522,27660,52,73.59,850,6.457517623901367,0.01,0.8832497596740723,882,0.023800844326615334,-8.4994535446167
150.956,529,28600,53,74.61,860,-0.4239044189453125,0.01,0.478626549243927,929,0.023385463282465935,-9.437935829162598
151.76439,533,29160,54,75.07,870,0.10308665037155151,0.01,0.7723382711410522,957,0.022878436371684074,-9.416275024414062
149.24535,537,29700,55,73.84,880,-1.7869641780853271,0.01,0.6903347969055176,984,0.02246496081352234,-9.869440078735352
148.87384,483,30380,62,73.73,890,2.232813835144043,0.01,1.0671602487564087,1018,0.023127786815166473,-9.804871559143066
146.72563,488,31160,63,72.82,900,4.167213439941406,0.01,0.4008009433746338,1057,0.023000339046120644,-9.624610900878906
142.67825,490,31480,64,71.0,910,-0.6436205506324768,0.01,0.7829495072364807,1073,0.022489033639431,-10.290019989013672
143.96103,501,33020,65,71.41,920,-0.21667686104774475,0.01,0.6124166250228882,1150,0.02322150580585003,-11.730316162109375
151.42297,503,33340,66,73.99,930,4.349277019500732,0.01,0.9248228073120117,1166,0.023163843899965286,-12.076778411865234
144.41203,507,33860,66,70.53,940,-2.7168993949890137,0.01,2.0382137298583984,1192,0.024086566641926765,-11.370979309082031
141.25876,511,34440,67,69.23,950,1.0172849893569946,0.01,1.6528245210647583,1221,0.02391030080616474,-11.622865676879883
142.55695,518,35600,68,69.83,960,2.0188584327697754,0.01,0.3762270212173462,1279,0.0229979045689106,-12.948810577392578
143.48639,521,36080,69,70.27,970,-0.37209028005599976,0.01,0.8162668943405151,1303,0.023059530183672905,-12.831478118896484
145.84523,525,36940,70,71.38,980,-2.7732911109924316,0.01,1.278586983680725,1346,0.0243833027780056,-12.05372428894043
146.43295,528,37760,71,71.42,990,3.373655319213867,0.01,1.3092257976531982,1387,0.024119295179843903,-12.804943084716797
151.31773,532,38620,72,73.24,1000,-2.127307653427124,0.01,1.6476061344146729,1430,0.025805389508605003,-13.950666427612305
155.51018,537,39420,73,75.14,1010,0.8800321221351624,0.01,1.6817715167999268,1470,0.025766000151634216,-13.554121971130371
155.33888,495,40320,81,75.23,1020,2.6113600730895996,0.01,1.1511878967285156,1515,0.02451467327773571,-14.642729759216309
157.01108,502,41620,82,76.36,1030,0.7013939023017883,0.01,1.062295913696289,1580,0.025624901056289673,-14.884958267211914
166.79572,504,41960,83,80.58,1040,-0.6901019811630249,0.01,1.975515604019165,1597,0.025455188006162643,-15.236698150634766
173.49736,511,43360,84,83.42,1050,-1.380124807357788,0.01,1.2123897075653076,1667,0.028600944206118584,-16.71506690979004
178.98618,514,43960,85,85.74,1060,-2.52115797996521,0.01,1.4570953845977783,1697,0.027289969846606255,-16.306339263916016
183.46762,519,45300,87,86.98,1070,-1.1813844442367554,0.01,2.073728084564209,1764,0.026253562420606613,-15.927179336547852
188.68399,520,45560,87,88.93,1080,0.7187382578849792,0.01,2.424981117248535,1777,0.025120416656136513,-16.685256958007812
192.18668,529,47340,89,90.39,1090,-0.7963837385177612,0.01,3.1363115310668945,1866,0.02235276810824871,-18.04826545715332
198.31512,531,47760,89,92.28,1100,1.3341350555419922,0.01,2.8950700759887695,1887,0.022283261641860008,-17.399614334106445
203.14102,539,49400,91,93.99,1110,1.0430744886398315,0.01,5.8688249588012695,1969,0.02462899312376976,-18.370891571044922
209.70627,503,50000,99,96.16,1120,2.0316061973571777,0.01,5.551078796386719,1999,0.024342777207493782,-18.18476676940918
