rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss
10.743101,2874,380,0,14.0,10,,,,,,
13.271315,3157,580,0,17.25,20,,,,,,
14.254111,3529,840,0,19.266666666666666,30,,,,,,
14.503195,3772,1100,0,19.658536585365855,40,,,,,,
15.888425,3791,1260,0,20.44,50,,,,,,
17.871653,3917,1500,0,21.35,60,,,,,,
17.740227,4011,1760,0,21.125,70,,,,,,
16.795168,4009,1940,0,20.790123456790123,80,,,,,,
16.734077,3898,2120,0,21.1,90,,,,,,
16.451712,3919,2320,0,20.79,100,,,,,,
16.82592,3922,2640,0,21.47,110,,,,,,
17.268248,3931,2800,0,21.8,120,,,,,,
17.417858,3985,3060,0,21.77,130,,,,,,
18.312956,3981,3240,0,22.21,140,,,,,,
17.84417,3912,3440,0,22.18,150,,,,,,
16.276361,3916,3640,0,21.5,160,,,,,,
15.933955,3935,3900,0,21.37,170,,,,,,
17.293114,3930,4120,1,22.23,180,,,,,,
17.286823,3963,4400,1,21.95,190,,,,,,
17.750324,3953,4560,1,22.11,200,,,,,,
17.72724,3962,4760,1,22.08,210,,,,,,
17.346994,3945,5060,1,21.99,220,,,,,,
17.584747,3942,5300,1,22.73,230,,,,,,
16.910952,3922,5500,1,22.08,240,,,,,,
16.764412,3909,5780,1,21.83,250,,,,,,
17.499039,3934,6000,1,22.09,260,,,,,,
18.218987,3959,6220,1,22.46,270,,,,,,
18.87009,3958,6400,1,22.96,280,,,,,,
18.818176,3962,6580,1,23.11,290,,,,,,
18.142582,3989,6820,1,22.8,300,,,,,,
18.572393,3995,6960,1,22.86,310,,,,,,
18.072546,4012,7200,1,22.15,320,,,,,,
18.038328,3998,7480,1,21.46,330,,,,,,
18.487545,3979,7640,1,21.89,340,,,,,,
18.976515,4000,7900,1,22.09,350,,,,,,
18.358467,4009,8140,2,21.74,360,,,,,,
16.868519,4008,8340,2,20.92,370,,,,,,
17.11529,4012,8480,2,21.14,380,,,,,,
16.556147,4024,8680,2,20.71,390,,,,,,
16.546331,4038,8960,2,20.62,400,,,,,,
16.453331,4036,9180,2,20.75,410,,,,,,
17.408915,4046,9440,2,21.56,420,,,,,,
17.224312,4053,9660,2,21.65,430,,,,,,
17.097282,4052,9860,2,21.58,440,,,,,,
16.4912,3809,10180,2,21.23,450,-0.3372713327407837,0.01,3.4188082218170166,8,0.9343211650848389,-3.1681876182556152
19.988796,3505,10440,2,23.35,460,-1.0051943063735962,0.01,0.8644227981567383,21,0.8190467357635498,-3.7761592864990234
19.245699,3350,10620,3,22.71,470,-1.4647798538208008,0.01,0.4544455409049988,30,0.7473118305206299,-3.9798929691314697
20.133991,3131,10940,3,22.7,480,-2.2787420749664307,0.01,0.2046901285648346,46,0.635151743888855,-3.9682369232177734
20.860937,3032,11100,3,23.48,490,-2.696044445037842,0.01,0.22318899631500244,54,0.5856861472129822,-3.8258814811706543
21.438417,2899,11280,3,23.82,500,-3.156017303466797,0.01,0.16789710521697998,63,0.5347033739089966,-3.8119137287139893
20.977528,2687,11560,4,23.57,510,-3.8474133014678955,0.01,0.26130425930023193,77,0.46419256925582886,-3.642047166824341
20.943121,2601,11720,4,23.72,520,-4.278594970703125,0.01,0.15663650631904602,85,0.4282471537590027,-3.5980567932128906
21.77248,2497,11940,4,24.03,530,-4.825294494628906,0.01,0.1257653683423996,96,0.38333407044410706,-3.4639880657196045
21.344454,2389,12260,5,23.57,540,-5.667544364929199,0.01,0.20027205348014832,112,0.3263958990573883,-3.2917866706848145
23.420097,2280,12620,5,24.89,550,-6.459303855895996,0.01,0.11320582032203674,130,0.2724466323852539,-3.2729668617248535
21.291313,2206,12840,5,23.68,560,-7.041658401489258,0.01,0.12456340342760086,141,0.24406112730503082,-3.217928409576416
23.074286,2073,13220,6,24.84,570,-7.734923362731934,0.01,0.11012940853834152,160,0.2019807994365692,-3.16899037361145
25.268791,1986,13560,6,25.84,580,-8.64509391784668,0.01,0.13592186570167542,177,0.17093884944915771,-3.1348538398742676
28.511602,1904,13940,7,26.86,590,-9.282671928405762,0.01,0.14708200097084045,196,0.14202342927455902,-3.155094623565674
32.446312,1849,14360,7,29.23,600,-9.92751693725586,0.01,0.11107093840837479,217,0.1163531094789505,-3.255192756652832
36.751232,1800,14680,8,30.96,610,-10.314538955688477,0.01,0.18402288854122162,233,0.10057640820741653,-3.2572319507598877
40.062775,1763,15040,8,31.76,620,-9.39358139038086,0.01,0.14273342490196228,251,0.08575063943862915,-3.3434548377990723
42.563194,1729,15280,8,32.8,630,-10.62706184387207,0.01,0.12711068987846375,263,0.07758968323469162,-3.5713870525360107
45.822514,1693,15660,9,33.9,640,-10.094178199768066,0.01,0.06692188233137131,282,0.0670151337981224,-3.5461435317993164
48.09712,1672,15840,9,33.98,650,-7.891379356384277,0.01,0.07329902052879333,291,0.06266819685697556,-3.531826972961426
50.0406,1636,16200,9,33.9,660,-7.07361364364624,0.01,0.30006515979766846,309,0.055346354842185974,-3.6021060943603516
50.105717,1616,16400,10,33.11,670,-9.865283966064453,0.01,0.18936245143413544,319,0.05183101445436478,-3.3424367904663086
49.97806,1587,16700,10,32.34,680,-12.940916061401367,0.01,0.13088646531105042,334,0.04752900451421738,-3.9068546295166016
48.810226,1569,16900,10,31.1,690,-1.5288727283477783,0.01,0.2513757348060608,344,0.04457852989435196,-3.7812371253967285
47.957306,1546,17240,11,30.13,700,-1.9986481666564941,0.01,0.1346537321805954,361,0.040344011038541794,-3.722917079925537
47.16638,1522,17500,11,29.21,710,-8.124114990234375,0.01,0.1502402126789093,374,0.03795698285102844,-4.341440200805664
46.23113,1511,17720,11,28.5,720,-0.5179381966590881,0.01,0.24051903188228607,385,0.03612928465008736,-3.8943076133728027
45.391678,1500,17960,11,27.35,730,-4.565711498260498,0.01,0.43654191493988037,397,0.03460116311907768,-4.313974380493164
44.26453,1479,18220,12,26.44,740,-4.668758869171143,0.01,0.2821125388145447,410,0.032988373190164566,-4.275205612182617
43.706425,1462,18420,12,26.01,750,-4.890423774719238,0.01,0.24492129683494568,420,0.03195660188794136,-4.486444473266602
43.334686,1449,18680,12,25.72,760,-0.4904502034187317,0.01,0.27549588680267334,433,0.030669111758470535,-4.784877300262451
43.108433,1439,18900,13,25.55,770,-8.208162307739258,0.01,0.13699735701084137,444,0.029832804575562477,-4.73595666885376
42.860542,1428,19140,13,25.38,780,-5.021086692810059,0.01,0.25624316930770874,456,0.02857569046318531,-4.4136857986450195
42.63534,1416,19360,13,25.19,790,-0.7669790387153625,0.01,0.32400184869766235,467,0.02734442986547947,-4.8434882164001465
41.823307,1399,19680,14,24.15,800,-1.9047390222549438,0.01,0.3489043116569519,483,0.025895508006215096,-4.8553571701049805
41.4247,1392,19820,14,23.84,810,1.462953805923462,0.01,0.290632039308548,490,0.02542116306722164,-5.036925315856934
41.28994,1375,20140,14,23.7,820,1.1334964036941528,0.01,0.3201037049293518,506,0.02448119781911373,-5.140966415405273
41.452427,1362,20300,14,23.8,830,-6.160088539123535,0.01,0.32547691464424133,514,0.024096781387925148,-5.414543151855469
41.754383,1345,20620,15,23.94,840,-5.3155517578125,0.01,0.23924872279167175,530,0.023260448127985,-5.142013072967529
42.047035,1339,20820,15,24.08,850,-2.4391469955444336,0.01,0.20166736841201782,540,0.022723115980625153,-5.691545486450195
45.075172,1319,21360,16,25.66,860,0.5814379453659058,0.01,0.6128822565078735,567,0.021782441064715385,-5.312863349914551
48.78541,1305,22000,16,27.58,870,-0.8616616725921631,0.01,0.4124410152435303,599,0.020997706800699234,-6.003561973571777
59.4649,1281,22760,17,33.05,880,-3.778625965118408,0.01,0.32851123809814453,637,0.02128905989229679,-6.1898627281188965
63.19834,1279,22800,17,34.91,890,-0.816129207611084,0.01,0.39695098996162415,639,0.021241862326860428,-6.245203018188477
71.214,1249,24160,19,39.03,900,4.535773754119873,0.01,0.3040482699871063,707,0.02078690379858017,-7.028631210327148
80.35557,1247,24200,19,43.69,910,0.3897080719470978,0.01,0.4208899140357971,709,0.020824037492275238,-6.678706645965576
91.9986,1214,25780,21,49.32,920,-1.8617315292358398,0.01,0.6837848424911499,788,0.020611785352230072,-7.252763748168945
102.997696,1211,25880,21,54.6,930,-6.013241767883301,0.01,0.30972686409950256,793,0.020538954064249992,-7.0967206954956055
113.93833,1186,27280,22,59.91,940,1.176496148109436,0.01,0.5430998802185059,863,0.022052036598324776,-7.859992504119873
127.36381,1179,27540,23,66.28,950,0.1766567826271057,0.01,0.6478545069694519,876,0.0227066483348608,-7.757125377655029
135.96922,1155,28920,25,70.2,960,-1.1335718631744385,0.01,1.361507534980774,945,0.023055240511894226,-8.367176055908203
145.03113,1152,29220,25,74.38,970,-3.3185997009277344,0.01,0.7307298183441162,960,0.022995008155703545,-9.028923988342285
150.59233,1138,30580,26,76.8,980,2.5619540214538574,0.01,1.4233641624450684,1028,0.024098297581076622,-8.442903518676758
153.61763,1137,30780,27,78.32,990,-1.9567272663116455,0.01,1.3875967264175415,1038,0.024224378168582916,-9.032322883605957
159.32036,1119,32280,28,80.74,1000,0.2178143411874771,0.01,0.4773123264312744,1113,0.024951379746198654,-9.772010803222656
162.91917,1116,32500,29,82.22,1010,-0.8325110673904419,0.01,0.6055483818054199,1124,0.0250367671251297,-10.138699531555176
162.94662,1101,33920,30,82.18,1020,1.6547117233276367,0.01,0.7189314365386963,1195,0.026178844273090363,-10.130928993225098
163.57281,1092,34200,31,82.38,1030,-1.1538965702056885,0.01,0.8589315414428711,1209,0.025905856862664223,-10.79081916809082
160.7397,1072,35260,32,81.12,1040,-4.126849174499512,0.01,1.841151237487793,1262,0.024741435423493385,-10.95925521850586
159.24127,1068,35900,33,80.43,1050,0.7445642352104187,0.01,1.1597263813018799,1294,0.024783877655863762,-11.986909866333008
156.56837,1062,36940,34,79.18,1060,1.4827053546905518,0.01,1.2963193655014038,1346,0.025493353605270386,-11.963104248046875
157.18275,1059,37200,35,79.3,1070,-2.981365442276001,0.01,0.939806342124939,1359,0.026355648413300514,-11.446765899658203
150.78114,1052,38080,36,76.26,1080,-0.9709864854812622,0.01,1.5416083335876465,1403,0.026933802291750908,-11.48046875
149.07426,1050,38620,36,75.22,1090,0.31049415469169617,0.01,1.8446577787399292,1430,0.026396235451102257,-12.749542236328125
145.29759,1043,39420,37,73.41,1100,1.8384897708892822,0.01,1.4436177015304565,1470,0.023957401514053345,-12.78654956817627
145.68147,1037,40300,38,73.18,1110,-2.295630931854248,0.01,2.4143288135528564,1514,0.02385736256837845,-13.351179122924805
144.66286,1035,40740,39,72.75,1120,-0.5466671586036682,0.01,1.547907829284668,1536,0.024639088660478592,-13.439711570739746
141.90816,1028,42000,40,71.41,1130,-0.647079586982727,0.01,2.37740421295166,1599,0.025504739955067635,-13.81234359741211
145.56683,1028,42100,40,72.75,1140,1.2069594860076904,0.01,0.8213720917701721,1604,0.025217879563570023,-14.221433639526367
147.26659,1021,43680,42,73.38,1150,-1.2431522607803345,0.01,1.531449556350708,1683,0.02563042938709259,-14.750564575195312
150.40892,1021,43800,42,74.81,1160,-0.7164392471313477,0.01,1.6978007555007935,1689,0.0257816631346941,-14.994571685791016
147.67023,1017,45260,44,73.52,1170,2.002565622329712,0.01,0.9445963501930237,1762,0.024752244353294373,-15.191215515136719
155.1431,1014,45460,44,76.8,1180,0.8607150316238403,0.01,1.4646142721176147,1772,0.02477549947798252,-15.552295684814453
159.63663,1011,47060,46,78.84,1190,-0.3069232106208801,0.01,1.016826868057251,1852,0.0272494126111269,-16.227420806884766
162.96457,1011,47200,46,80.51,1200,5.3581037521362305,0.01,2.117743492126465,1859,0.027209466323256493,-16.555965423583984
159.16771,1018,48760,47,78.96,1210,-2.272780418395996,0.01,3.425938606262207,1937,0.0308538805693388,-16.88996124267578
161.94582,1018,48860,47,79.85,1220,-1.2371582984924316,0.01,1.261676549911499,1942,0.03052908554673195,-16.399639129638672
