#{"t_start": 1692366615.090967, "env_id": null}
r,l,t
6.558341,10,2.344836
8.473875,12,2.349965
7.859931,12,2.351155
7.1221194,12,2.352419
9.068314,12,2.353386
9.284284,13,2.357394
8.498318,13,2.358601
8.757814,14,2.36225
8.652696,16,2.368939
10.759829,16,2.370185
13.168215,17,2.376976
18.161324,17,2.378082
15.581856,19,2.386475
3.6877122,13,2.40053
8.202983,23,2.401767
14.115172,23,2.403013
11.272197,24,2.408005
20.69605,24,2.409257
11.472345,25,2.413875
2.5277987,14,2.418369
5.7589765,13,2.419632
9.772985,15,2.426477
4.4853053,11,2.427455
10.862125,15,2.428513
19.22552,28,2.43279
8.133816,12,2.443662
17.34332,18,2.453584
11.546964,15,2.466777
3.0134358,26,2.467963
26.487055,25,2.472301
4.951708,12,2.473291
9.553139,15,2.491102
19.815432,19,2.496262
8.352632,20,2.505337
11.125064,13,2.506262
20.011139,31,2.507299
5.0502563,8,2.515013
14.612057,23,2.516245
15.434316,22,2.521317
23.09395,23,2.522294
48.053738,35,2.54134
14.797245,26,2.54247
7.9380636,11,2.546615
9.468847,13,2.559115
7.7317104,14,2.564079
19.311453,17,2.574248
11.814753,22,2.575382
7.973727,27,2.576445
7.360897,10,2.581037
36.41261,38,2.590545
19.484867,27,2.591658
16.471798,26,2.592693
21.718594,48,2.593743
12.019059,18,2.594666
11.107751,17,2.608061
14.902487,24,2.615473
22.402235,25,2.616379
8.022922,13,2.626093
15.602315,38,2.64209
11.218953,19,2.647201
28.644934,54,2.653818
47.8256,35,2.655201
12.446797,20,2.660385
7.700489,17,2.661678
26.687473,30,2.6673
7.493735,19,2.672146
24.407335,24,2.677043
21.859589,28,2.678376
16.506336,22,2.686683
12.82714,16,2.68784
7.7728815,11,2.708447
9.52168,13,2.712484
5.8599043,10,2.717084
10.628094,21,2.718132
8.812943,11,2.722839
11.514347,15,2.723934
28.48376,26,2.729278
12.918707,16,2.736984
13.462504,16,2.750168
47.96317,39,2.754461
16.399202,24,2.755491
44.263474,41,2.764398
11.129302,20,2.768506
42.57843,39,2.772724
21.18413,30,2.777388
10.281435,14,2.781976
12.828147,18,2.786619
19.49882,32,2.796465
6.350063,11,2.797593
7.3332076,16,2.801732
158.39792,115,2.802833
17.732042,19,2.809046
17.346613,23,2.813606
12.84383,14,2.817772
84.64371,61,2.821551
5.133128,25,2.825988
7.338965,13,2.827101
4.576763,15,2.830926
7.55813,11,2.834834
38.072227,30,2.84324
9.162532,12,2.848804
47.96634,42,2.850067
4.975777,11,2.851275
9.959143,12,2.859305
7.123731,18,2.86062
17.96261,22,2.871325
9.672061,15,2.883846
10.65973,17,2.885031
16.198803,16,2.886235
168.93393,108,2.8915
4.759663,10,2.892645
13.485941,21,2.901955
15.629679,18,2.903251
10.835539,25,2.907569
5.393882,16,2.918148
