#{"t_start": 1692366665.0524924, "env_id": null}
r,l,t
6.425019,11,0.175392
8.190993,12,0.18264
8.612018,12,0.183364
10.005452,14,0.18966
13.196644,15,0.193746
10.353134,15,0.194554
12.65399,16,0.199853
10.452419,17,0.204201
19.742374,19,0.211297
20.51831,21,0.217045
18.760593,23,0.224271
10.76681,23,0.225079
9.173249,11,0.225512
24.077396,24,0.229414
17.167992,26,0.234725
11.260871,28,0.243772
30.961964,29,0.246697
9.379865,12,0.24737
9.050205,15,0.251337
17.80496,17,0.258118
15.739317,23,0.264499
8.585358,13,0.271937
37.51221,38,0.276823
18.78776,29,0.284291
14.013822,17,0.28522
13.568872,14,0.288321
12.730498,22,0.29136
14.869003,30,0.294394
49.199318,44,0.295257
23.104004,45,0.29828
42.294888,46,0.302781
12.286724,23,0.304856
9.266467,15,0.307669
22.446608,21,0.31444
9.923224,16,0.323411
22.163004,31,0.324327
8.28422,13,0.325247
10.796447,14,0.328845
15.478827,19,0.329813
8.054601,11,0.333869
8.599252,10,0.334706
10.149927,12,0.335574
11.100484,14,0.340289
10.383659,12,0.344275
46.698124,44,0.35046
9.174326,15,0.356236
8.6109,20,0.362715
22.183594,22,0.363815
32.389244,36,0.367886
8.776143,11,0.369021
48.998253,46,0.370137
44.638138,40,0.375136
9.907198,12,0.376057
8.971755,12,0.382559
16.675726,18,0.383717
11.805907,14,0.387971
8.925898,10,0.391561
13.589082,16,0.394907
9.566358,12,0.403594
19.745335,21,0.407589
25.67094,46,0.412314
9.497576,11,0.415423
10.204173,15,0.422314
10.115904,25,0.42943
15.494217,17,0.430607
8.253524,14,0.434162
15.49533,27,0.437739
11.670898,18,0.438756
41.396915,50,0.442414
6.9332957,11,0.447574
22.413671,22,0.454747
7.616715,12,0.455708
9.9629965,33,0.461898
13.066769,21,0.465617
27.321762,24,0.468851
23.36717,22,0.472002
32.53327,30,0.478326
6.836739,14,0.479264
39.28188,31,0.482776
11.8857765,14,0.486789
9.581696,15,0.487656
10.893409,20,0.488469
9.91988,12,0.493033
10.526048,12,0.499879
8.67431,17,0.500892
10.943345,12,0.508852
16.267849,21,0.514399
17.864536,26,0.515376
44.040485,38,0.520793
8.701998,11,0.531593
16.703096,17,0.535929
12.754061,17,0.536643
18.97791,25,0.539737
16.671078,17,0.542935
9.04857,16,0.543888
28.3988,34,0.547492
16.603746,18,0.548494
91.68402,57,0.549514
46.7086,42,0.552944
22.247791,24,0.56297
33.248867,29,0.570448
12.780729,16,0.573891
18.777693,21,0.577381
12.981109,15,0.583097
9.442505,14,0.584108
8.961416,22,0.587751
18.944427,28,0.592057
20.656702,36,0.593177
11.412222,14,0.594206
35.583,39,0.598268
7.449707,13,0.599289
12.69891,22,0.621295
26.332474,23,0.622444
11.138106,14,0.627205
9.867331,22,0.628221
10.147097,12,0.632612
8.360323,11,0.637166
39.154205,44,0.645809
16.431051,22,0.650533
40.278755,38,0.654936
20.121174,21,0.655775
31.910122,33,0.663995
32.453934,30,0.665178
9.398896,22,0.676877
11.497601,24,0.681114
8.693354,14,0.684589
10.443988,12,0.691155
9.5946665,15,0.694637
8.659764,11,0.701754
9.741077,14,0.705487
16.615534,19,0.706564
10.173598,14,0.707448
28.07072,44,0.714294
14.712643,18,0.71749
7.087111,12,0.721492
26.62628,33,0.72237
20.512434,39,0.728551
20.479773,29,0.734669
27.427145,30,0.74067
31.727682,31,0.741733
24.511354,22,0.742818
13.032304,14,0.753664
6.517649,9,0.754668
14.191502,17,0.755465
55.111973,43,0.76402
13.428422,17,0.77089
7.261381,17,0.771705
63.113342,47,0.774904
9.50673,16,0.778466
11.390555,27,0.784076
11.739906,17,0.801875
19.450583,19,0.803104
15.9062195,16,0.807707
18.313028,22,0.808616
23.983515,30,0.819402
14.966085,20,0.82056
11.034888,14,0.827106
9.77727,15,0.828306
22.14675,22,0.836824
12.896248,24,0.842881
16.284405,20,0.844067
16.933966,19,0.852526
14.971171,20,0.853626
14.85962,15,0.861177
12.103639,28,0.868842
11.857998,13,0.870059
34.945137,49,0.870906
9.335049,18,0.875479
9.616645,11,0.88215
34.296806,49,0.883305
30.604662,36,0.88441
9.149709,17,0.889767
11.381177,13,0.899254
155.47676,79,0.903033
9.402063,12,0.904059
34.021225,29,0.913074
40.16344,30,0.917184
89.95432,56,0.926381
20.706163,21,0.927504
12.815189,15,0.928515
19.940392,28,0.938426
15.706877,28,0.939764
22.958666,22,0.943617
36.637917,52,0.956802
21.97988,22,0.957725
7.415773,11,0.961862
16.495337,20,0.962936
14.191927,20,0.967133
14.851311,25,0.970985
26.607622,29,0.977781
17.073973,19,0.979027
18.192171,27,0.984569
24.198412,23,0.991366
21.081629,22,0.992272
16.901999,18,1.003112
26.133003,23,1.006954
11.336215,19,1.007881
10.210638,18,1.014129
5.3076835,12,1.023238
9.002092,24,1.024031
11.1979475,20,1.03404
14.47278,15,1.035035
32.949345,39,1.03597
12.446378,15,1.039934
4.5057187,9,1.047125
38.643215,42,1.048181
4.849729,8,1.054946
6.957111,23,1.055961
11.151957,18,1.059811
9.305006,14,1.060877
12.507463,32,1.065611
14.691118,28,1.071638
7.779971,28,1.072657
14.166424,30,1.076066
6.2634697,19,1.079305
7.8884506,11,1.082572
27.850916,25,1.085695
11.301139,15,1.09212
6.6919794,9,1.092821
16.370684,32,1.0937
11.124628,13,1.098767
20.82151,19,1.099865
19.46399,21,1.112323
8.278253,10,1.113318
31.413069,48,1.120696
15.662729,18,1.121958
41.115955,32,1.122926
11.673444,12,1.126607
14.697385,15,1.129918
17.64594,21,1.133931
32.025463,27,1.139042
11.3285055,25,1.14308
9.374716,14,1.147073
13.373797,22,1.154108
14.532808,17,1.158414
9.864676,19,1.159495
6.281111,12,1.163975
