time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate
0,8.5035515,320,10,13.0,4743,,,,,,
0,9.98477,520,20,16.285714285714285,4445,,,,,,
0,10.500078,780,30,16.741935483870968,4414,,,,,,
0,11.313759,940,40,17.325,4287,,,,,,
0,12.835327,1300,50,18.98148148148148,4455,,,,,,
0,12.939405,1600,60,19.35,4648,,,,,,
0,14.039485,1740,70,20.37142857142857,4516,,,,,,
0,14.272851,2080,80,20.098765432098766,4596,,,,,,
0,16.373034,2300,90,21.582417582417584,4599,,,,,,
0,16.851913,2500,100,21.75,4625,,,,,,
0,18.94362,2720,110,23.11,4611,,,,,,
0,19.249056,2940,120,23.12,4610,,,,,,
0,19.554346,3160,130,23.44,4582,,,,,,
0,20.097254,3380,140,23.77,4598,,,,,,
0,19.550852,3600,150,23.56,4616,,,,,,
0,20.827984,3840,160,23.65,4633,,,,,,
0,20.3824,4120,170,23.52,4668,,,,,,
0,21.241426,4340,180,24.17,4673,,,,,,
0,19.648853,4520,190,22.74,4684,,,,,,
1,19.241957,4680,200,22.24,4660,,,,,,
1,18.144852,4900,210,21.49,4714,,,,,,
1,18.996435,5080,220,22.13,4704,,,,,,
1,18.57469,5280,230,21.61,4696,,,,,,
1,19.243996,5520,240,22.15,4682,,,,,,
1,19.999424,5780,250,22.44,4671,,,,,,
1,18.531456,5920,260,21.29,4651,,,,,,
1,18.611277,6240,270,21.44,4616,,,,,,
1,18.234598,6500,280,21.34,4645,,,,,,
1,17.888313,6700,290,21.49,4651,,,,,,
1,18.668728,6940,300,22.66,4670,,,,,,
1,18.132126,7160,310,22.88,4649,,,,,,
1,17.072176,7380,320,22.02,4626,,,,,,
1,17.840155,7600,330,22.62,4647,,,,,,
1,17.233084,7820,340,22.57,4667,,,,,,
1,16.68187,8040,350,22.32,4674,,,,,,
1,18.172684,8220,360,23.17,4670,,,,,,
1,17.97036,8500,370,22.72,4670,,,,,,
1,17.614073,8700,380,22.56,4664,,,,,,
1,17.976748,8840,390,22.78,4636,,,,,,
1,17.32504,9060,400,21.96,4638,,,,,,
2,17.140436,9300,410,21.56,4645,,,,,,
2,17.944624,9540,420,22.22,4677,,,,,,
2,17.94182,9740,430,22.17,4671,,,,,,
2,18.209654,9920,440,21.73,4664,,,,,,
6,18.202839,10120,450,21.51,1524,5,-2.0543389320373535,-0.00019712623907253146,0.9999600648880005,7.124921798706055,1e-05
6,16.211645,10380,460,20.69,1515,18,-2.103090524673462,-0.0008415646734647453,0.999829888343811,7.02158260345459,1e-05
7,16.768867,10600,470,21.24,1502,29,-2.1250905990600586,-0.001382795162498951,0.9997197985649109,7.366663932800293,1e-05
7,16.369768,10800,480,21.0,1499,39,-2.1673855781555176,-0.0018841774435713887,0.9996196627616882,6.788874626159668,1e-05
7,16.254196,11060,490,20.98,1494,52,-2.247385025024414,-0.002551804296672344,0.9994891881942749,7.193953514099121,1e-05
7,16.150639,11280,500,20.96,1480,63,-2.2741756439208984,-0.003104117698967457,0.9993787407875061,7.022747039794922,1e-05
7,16.092875,11540,510,21.31,1472,76,-2.2872672080993652,-0.0037469316739588976,0.9992481470108032,7.157391548156738,1e-05
8,16.473377,11760,520,21.79,1461,87,-2.30837345123291,-0.004285270348191261,0.9991376996040344,6.776864528656006,1e-05
8,16.582277,11860,530,21.94,1457,92,-2.3635597229003906,-0.004567741882055998,0.9990875720977783,6.400439262390137,1e-05
8,15.904749,12080,540,21.57,1453,103,-2.434511184692383,-0.005160483065992594,0.9989771842956543,7.003439903259277,1e-05
8,16.004297,12340,550,22.16,1446,116,-2.474404811859131,-0.005831631366163492,0.9988464713096619,6.816322326660156,1e-05
8,16.17533,12580,560,21.92,1434,128,-2.479724884033203,-0.006387990899384022,0.9987257719039917,6.629734992980957,1e-05
8,16.080921,12700,570,21.74,1429,134,-2.4789514541625977,-0.0066798049956560135,0.9986655712127686,6.420707702636719,1e-05
9,16.995363,12900,580,22.25,1422,144,-2.5367767810821533,-0.0072257304564118385,0.998565137386322,6.513798713684082,1e-05
9,16.791939,13120,590,21.96,1410,155,-2.542339324951172,-0.00774658378213644,0.9984545707702637,6.700002670288086,1e-05
9,16.445972,13340,600,21.46,1406,166,-2.6230506896972656,-0.008369280025362968,0.9983441829681396,6.0168232917785645,1e-05
9,17.14334,13640,610,21.53,1403,181,-2.645589828491211,-0.009136827662587166,0.9981935620307922,6.102313041687012,1e-05
9,16.532145,13840,620,21.18,1401,191,-2.7024850845336914,-0.009635990485548973,0.9980931878089905,5.970689296722412,1e-05
9,16.010931,13980,630,21.06,1398,198,-2.6966776847839355,-0.00997634045779705,0.9980228543281555,6.283156394958496,1e-05
10,15.049732,14200,640,20.59,1397,209,-2.7253823280334473,-0.010511773638427258,0.9979125261306763,5.789116859436035,1e-05
10,15.286552,14400,650,20.47,1396,219,-2.7338850498199463,-0.010999107733368874,0.9978121519088745,6.0960893630981445,1e-05
10,15.096755,14620,660,20.5,1392,230,-2.818138599395752,-0.011636517010629177,0.99770188331604,5.9546003341674805,1e-05
10,15.2765465,14940,670,20.75,1389,246,-2.8845596313476562,-0.012458832934498787,0.997541606426239,5.798415184020996,1e-05
10,15.999085,15200,680,21.04,1387,259,-2.9704813957214355,-0.013075420632958412,0.99741131067276,5.825023651123047,1e-05
11,17.007607,15440,690,21.82,1384,271,-2.9658749103546143,-0.01362431887537241,0.9972909688949585,5.583072662353516,1e-05
11,17.883184,15600,700,22.78,1382,279,-3.0325369834899902,-0.014245595782995224,0.9972108602523804,5.4211530685424805,1e-05
11,17.578083,15860,710,22.4,1381,292,-3.027296304702759,-0.014700647443532944,0.9970806241035461,5.428583145141602,1e-05
11,17.146894,16100,720,21.68,1377,304,-2.9815731048583984,-0.015261387452483177,0.9969605207443237,5.741982460021973,1e-05
11,17.382463,16260,730,21.45,1375,312,-3.0711019039154053,-0.01581227406859398,0.9968803524971008,5.485719680786133,1e-05
11,21.027637,16460,740,22.89,1373,322,-3.1305882930755615,-0.016277380287647247,0.996780276298523,5.579475402832031,1e-05
12,20.898792,16600,750,22.28,1370,329,-3.1753458976745605,-0.01665349304676056,0.9967101812362671,5.175160884857178,1e-05
12,21.35272,16820,760,22.31,1369,340,-3.2129242420196533,-0.017197925597429276,0.9966000914573669,5.52252721786499,1e-05
12,21.166904,16980,770,22.21,1367,348,-3.3437492847442627,-0.017725232988595963,0.9965200424194336,4.914525032043457,1e-05
12,19.570482,17260,780,21.32,1365,362,-3.30727219581604,-0.018245652318000793,0.9963799118995667,5.098875045776367,1e-05
12,18.921371,17460,790,20.75,1364,372,-3.4049129486083984,-0.018749872222542763,0.996279776096344,4.688493728637695,1e-05
12,18.000208,17720,800,19.89,1365,385,-3.4144606590270996,-0.019370855763554573,0.9961496591567993,5.090370178222656,1e-05
13,19.734535,17860,810,21.07,1364,392,-3.4088363647460938,-0.019780948758125305,0.996079683303833,5.022624969482422,1e-05
13,19.615105,18080,820,21.02,1362,403,-3.5152840614318848,-0.020351599901914597,0.9959697127342224,4.821815013885498,1e-05
13,19.428171,18240,830,21.02,1360,411,-3.5109925270080566,-0.020746801048517227,0.9958898425102234,5.244121551513672,1e-05
13,16.312141,18460,840,19.66,1358,422,-3.61041259765625,-0.021446220576763153,0.9957798719406128,4.9323577880859375,1e-05
13,16.340889,18680,850,20.06,1356,433,-3.610060214996338,-0.021792560815811157,0.995669960975647,4.765279293060303,1e-05
13,17.304035,18860,860,20.65,1352,442,-3.669854164123535,-0.022257553413510323,0.9955801367759705,4.873040676116943,1e-05
14,16.64269,19120,870,20.0,1350,455,-3.8252902030944824,-0.023056061938405037,0.9954503774642944,4.805072784423828,1e-05
14,16.80183,19300,880,20.36,1349,464,-3.773940086364746,-0.023423172533512115,0.9953604936599731,4.752567291259766,1e-05
14,17.380648,19520,890,20.93,1346,475,-3.8439042568206787,-0.024015698581933975,0.9952507019042969,4.625978469848633,1e-05
14,18.111065,19700,900,21.16,1345,484,-3.8273353576660156,-0.024365125223994255,0.9951608180999756,4.726984977722168,1e-05
14,16.019066,19900,910,19.62,1343,494,-3.9618844985961914,-0.025038782507181168,0.9950610995292664,4.324938774108887,1e-05
17,15.966931,20060,920,20.02,1146,502,-3.914475440979004,-0.025534192100167274,0.9949812293052673,4.599536418914795,1e-05
17,16.764828,20280,930,20.42,1147,513,-4.004398345947266,-0.025831658393144608,0.9948714375495911,4.732344627380371,1e-05
17,16.476385,20460,940,20.23,1147,522,-3.9936490058898926,-0.026373691856861115,0.9947816729545593,4.8873796463012695,1e-05
17,16.653471,20680,950,20.34,1149,533,-4.12924861907959,-0.026887197047472,0.9946718215942383,4.6028289794921875,1e-05
18,15.721749,20840,960,19.84,1150,541,-4.118334770202637,-0.027437303215265274,0.994592010974884,4.65118408203125,1e-05
18,15.954002,21080,970,20.14,1153,553,-4.120209217071533,-0.027918782085180283,0.994472324848175,4.291769981384277,1e-05
18,16.179842,21340,980,20.2,1154,566,-4.186695575714111,-0.02840277925133705,0.9943426251411438,4.238628387451172,1e-05
