time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate
0,12.015036,420,10,15.2,4519,,,,,,
0,13.927713,640,20,18.0,4776,,,,,,
0,16.222147,900,30,21.166666666666668,5153,,,,,,
0,15.866871,1120,40,20.61904761904762,5289,,,,,,
0,16.955359,1300,50,21.294117647058822,5279,,,,,,
0,16.809147,1500,60,20.683333333333334,5286,,,,,,
0,16.61831,1720,70,21.071428571428573,5314,,,,,,
0,16.805405,1940,80,21.134146341463413,5323,,,,,,
0,16.72202,2220,90,20.91111111111111,5447,,,,,,
0,17.847794,2400,100,21.49,5464,,,,,,
0,18.361069,2580,110,22.21,5423,,,,,,
0,18.752539,2860,120,22.42,5374,,,,,,
0,17.874836,3140,130,21.29,5379,,,,,,
0,18.736261,3340,140,22.37,5394,,,,,,
0,19.077137,3540,150,22.58,5359,,,,,,
0,18.657179,3880,160,22.3,5385,,,,,,
0,19.037672,4060,170,22.78,5335,,,,,,
0,21.149641,4300,180,23.49,5343,,,,,,
0,21.647072,4540,190,24.24,5306,,,,,,
0,20.439766,4780,200,23.6,5311,,,,,,
0,20.076672,4960,210,23.29,5294,,,,,,
0,19.513208,5140,220,23.37,5299,,,,,,
1,19.907032,5360,230,23.5,5306,,,,,,
1,19.501232,5560,240,22.89,5279,,,,,,
1,18.543774,5700,250,22.27,5247,,,,,,
1,18.243015,5960,260,22.01,5254,,,,,,
1,17.989708,6180,270,21.53,5233,,,,,,
1,15.252719,6380,280,20.43,5232,,,,,,
1,14.903229,6660,290,19.89,5260,,,,,,
1,16.000174,6900,300,21.32,5255,,,,,,
1,16.080887,7080,310,21.3,5256,,,,,,
1,16.41732,7320,320,20.97,5266,,,,,,
1,15.949113,7480,330,20.97,5239,,,,,,
1,16.27952,7760,340,21.07,5239,,,,,,
1,16.435942,7860,350,21.44,5216,,,,,,
1,16.574476,8120,360,21.56,5206,,,,,,
1,17.115925,8340,370,21.94,5230,,,,,,
1,17.48534,8540,380,22.2,5242,,,,,,
1,16.88276,8720,390,21.44,5245,,,,,,
1,15.321161,8860,400,19.62,5233,,,,,,
1,15.728396,9100,410,19.96,5260,,,,,,
1,15.315051,9300,420,19.81,5268,,,,,,
1,15.49646,9500,430,19.84,5271,,,,,,
1,15.858105,9680,440,20.31,5268,,,,,,
1,15.855595,9940,450,20.13,5277,,,,,,
2,16.580309,10140,460,20.47,4985,6,-2.0451650619506836,-0.0002459714305587113,0.9999500513076782,7.580613136291504,1e-05
2,16.53317,10400,470,20.43,4576,19,-2.081773281097412,-0.0008858750807121396,0.9998199343681335,7.663971424102783,1e-05
2,16.404833,10600,480,20.26,4351,29,-2.129469394683838,-0.0013853779528290033,0.9997198581695557,7.417457580566406,1e-05
2,17.225986,10920,490,21.16,4046,45,-2.177499294281006,-0.002183455042541027,0.9995594620704651,7.178155899047852,1e-05
2,17.928904,11100,500,22.13,3908,54,-2.2232770919799805,-0.0026451675221323967,0.9994692206382751,6.909122467041016,1e-05
3,17.862934,11320,510,22.2,3756,65,-2.2667105197906494,-0.003202097723260522,0.9993587136268616,7.47418212890625,1e-05
3,18.142647,11620,520,22.61,3581,80,-2.3192014694213867,-0.003961235284805298,0.9992080330848694,6.819526672363281,1e-05
3,19.008055,11820,530,23.06,3478,90,-2.3281331062316895,-0.0044445740059018135,0.9991077184677124,6.593484878540039,1e-05
3,19.035719,12020,540,22.83,3377,100,-2.4026598930358887,-0.005006011575460434,0.9990074038505554,7.019665718078613,1e-05
3,19.443306,12260,550,23.34,3261,112,-2.4365086555480957,-0.0056101856753230095,0.9988868236541748,6.483477592468262,1e-05
3,18.972057,12460,560,23.29,3173,122,-2.4446420669555664,-0.006069696508347988,0.998786211013794,6.666628837585449,1e-05
4,18.169981,12700,570,22.62,3077,134,-2.4699931144714355,-0.006688777357339859,0.9986656308174133,6.4879889488220215,1e-05
4,18.872164,12940,580,23.43,2998,146,-2.5343165397644043,-0.0073246583342552185,0.9985450506210327,6.684798717498779,1e-05
4,18.72855,13100,590,23.24,2954,154,-2.553864002227783,-0.0076859937980771065,0.9984647035598755,6.460565090179443,1e-05
4,18.464516,13320,600,22.65,2892,165,-2.6358304023742676,-0.008350217714905739,0.9983543157577515,6.372591972351074,1e-05
4,18.251135,13640,610,22.54,2810,181,-2.612489700317383,-0.009088022634387016,0.9981935620307922,6.069828510284424,1e-05
5,18.789635,13840,620,22.83,2754,191,-2.6606311798095703,-0.009614172391593456,0.9980931878089905,6.143308639526367,1e-05
5,17.954586,14020,630,22.41,2699,200,-2.727022647857666,-0.01007858570665121,0.9980028867721558,5.785661697387695,1e-05
5,17.348303,14220,640,22.42,2644,210,-2.7407054901123047,-0.010585376992821693,0.9979026317596436,6.14813232421875,1e-05
5,16.76306,14460,650,21.74,2599,222,-2.7709944248199463,-0.011200319975614548,0.9977823495864868,5.836367607116699,1e-05
5,16.678675,14660,660,21.6,2562,232,-2.848219394683838,-0.011713619343936443,0.9976819753646851,5.41874885559082,1e-05
5,17.626507,14940,670,22.58,2520,246,-2.858769178390503,-0.012398781254887581,0.9975417852401733,5.320036888122559,1e-05
6,16.990654,15100,680,21.9,2495,254,-2.911207437515259,-0.012813540175557137,0.9974616765975952,5.852239608764648,1e-05
