#{"t_start": 1692366710.4955647, "env_id": null}
r,l,t
4.0108953,8,6.493649
6.688324,10,6.503844
7.534671,12,6.514496
7.6325383,13,6.520929
13.559811,17,6.538059
12.007526,18,6.546468
9.692989,18,6.547528
11.294562,18,6.548358
5.903787,18,6.549246
18.979565,19,6.555945
16.981922,21,6.575146
16.27993,22,6.580709
15.301511,22,6.582044
10.800915,13,6.588729
8.657406,11,6.593224
14.018342,25,6.600345
22.5648,25,6.601192
6.9208226,26,6.606674
18.305208,22,6.625235
4.23039,31,6.631666
7.1749196,11,6.639017
12.71833,15,6.645243
16.752447,34,6.650693
11.685963,13,6.669352
16.253096,16,6.670138
19.02685,22,6.67858
15.281282,17,6.684243
22.839195,24,6.688425
15.949143,18,6.694303
22.527552,24,6.695337
16.439707,27,6.701709
25.62961,22,6.702855
5.429503,11,6.704258
10.252206,17,6.788372
1.6046553,26,6.789394
44.38782,50,6.794861
8.446906,11,6.801068
11.196811,34,6.806734
21.597181,26,6.807659
14.6310215,22,6.808643
6.4010677,9,6.816041
6.974938,11,6.817074
91.949104,56,6.828458
11.192909,17,6.838648
10.142276,11,6.8518
13.422361,22,6.852832
10.999125,17,6.858611
14.055897,23,6.886382
7.427936,33,6.891778
10.165613,12,6.898178
8.860395,17,6.910558
27.19108,33,6.917534
20.670074,27,6.918304
37.96886,40,6.920371
37.32598,28,6.921342
20.529305,22,6.935489
78.09106,63,6.941638
14.033584,15,6.947995
7.7779536,23,6.948746
18.624596,26,6.95476
36.847546,29,6.961149
6.465146,19,6.967764
6.2593513,29,6.977633
9.171902,10,6.978591
6.9578414,12,6.988929
11.4155655,16,6.990112
23.671484,34,6.99495
29.59103,34,7.004641
6.127446,16,7.005936
6.0381722,11,7.006884
8.789739,12,7.018172
16.442945,24,7.027428
15.883786,19,7.028301
17.443092,18,7.046697
8.450997,23,7.047913
15.725173,17,7.04878
9.016976,13,7.049465
11.371508,21,7.054941
16.248316,17,7.05583
8.191144,13,7.066444
11.4585085,16,7.077415
12.764051,21,7.084897
11.480192,14,7.085909
29.171673,40,7.086988
14.460663,21,7.097421
27.485065,35,7.103206
9.224232,14,7.108344
7.578236,20,7.117448
9.361511,16,7.118984
18.44148,23,7.119986
19.216324,19,7.126272
10.496609,12,7.127267
12.930439,15,7.139447
10.003179,17,7.155293
9.925162,17,7.157048
74.80256,54,7.165617
11.652358,15,7.180639
9.531747,12,7.186673
17.954096,22,7.187702
13.176521,16,7.188467
7.388519,10,7.204502
16.8664,20,7.220333
26.464777,26,7.226106
3.7018685,16,7.227247
9.700852,12,7.228147
9.527029,12,7.234131
6.335835,30,7.240067
13.525666,19,7.241039
31.357176,27,7.252785
6.438695,12,7.259374
28.339823,42,7.260687
4.4887075,10,7.282387
8.448142,15,7.295254
10.081809,19,7.297997
14.725935,30,7.30826
7.095296,13,7.314933
10.699546,16,7.328722
9.833738,17,7.348334
7.0031457,16,7.355275
7.2662663,19,7.361392
33.83867,38,7.362257
8.000064,13,7.371255
58.365814,39,7.378473
14.154697,30,7.379986
7.657095,24,7.385681
9.073972,14,7.39173
10.088569,21,7.399504
46.621017,51,7.405194
15.665679,16,7.407079
13.84093,15,7.413825
9.316898,12,7.444524
8.2007,11,7.445538
36.634216,30,7.463351
11.535032,16,7.464633
38.418213,36,7.471836
20.246199,22,7.473167
8.474826,15,7.485693
17.430288,19,7.493866
6.654315,12,7.494916
6.980138,15,7.502825
18.939442,25,7.511788
9.753889,16,7.523887
57.59709,57,7.535848
32.29823,25,7.548939
36.978756,28,7.556137
10.778518,13,7.557099
20.03502,22,7.563009
29.987284,26,7.572941
16.155867,19,7.573888
134.18109,74,7.585077
10.405836,18,7.587507
11.2810755,18,7.602675
35.838303,34,7.608771
14.634436,24,7.614439
21.206766,22,7.626819
11.744317,13,7.633855
21.191525,21,7.634723
13.613836,16,7.650838
7.7001843,33,7.657223
18.130215,30,7.671149
17.501667,23,7.673535
9.304825,14,7.693377
10.329099,17,7.694698
16.152767,17,7.695355
13.153082,20,7.70042
16.720537,18,7.720975
8.827975,15,7.729944
129.45761,84,7.730867
19.39408,27,7.742605
7.490431,10,7.752645
18.954887,18,7.765277
6.829167,12,7.766353
6.8524437,36,7.772115
62.506542,45,7.778205
9.214356,14,7.784286
6.825092,10,7.785518
13.356002,28,7.790424
81.3353,53,7.795351
10.924744,27,7.801155
28.815767,28,7.802079
14.488784,22,7.809009
16.282324,23,7.81489
9.869668,13,7.820823
10.274635,15,7.821945
60.17778,42,7.822834
9.141424,11,7.832036
28.428308,28,7.83324
13.741564,18,7.838437
7.965435,11,7.849281
14.908633,17,7.854897
5.823641,13,7.861463
6.7693534,13,7.867409
9.412108,16,7.872026
11.880223,14,7.877398
32.43745,60,7.883355
6.9569716,12,7.88845
7.3452234,20,7.889495
26.254995,23,7.898388
7.9804473,11,7.90893
8.26913,19,7.909626
11.699402,16,7.919051
19.366514,21,7.927907
12.954831,18,7.928947
10.702958,24,7.933637
9.3390875,17,7.950495
23.302742,21,7.960475
12.033406,22,7.970295
8.4641075,19,7.971331
16.559795,27,7.976727
20.349646,21,7.977613
52.4581,51,7.978468
9.360879,13,7.998032
36.644524,35,8.002909
16.494259,18,8.010629
14.485813,16,8.013278
16.39701,23,8.017968
5.7460365,8,8.022179
28.352901,41,8.031399
9.709213,28,8.038666
8.074925,12,8.045659
26.006485,29,8.046799
21.773064,33,8.063511
29.780525,44,8.064329
22.094578,20,8.06992
12.031432,30,8.076433
6.0623875,9,8.093188
7.257117,11,8.094091
20.10192,19,8.094942
24.574112,21,8.100818
10.049535,15,8.108061
8.607656,16,8.109092
13.867111,17,8.110093
23.950205,36,8.117725
7.5923615,10,8.128921
7.1463327,18,8.135827
16.883503,25,8.136636
16.51043,20,8.142815
11.579413,13,8.148436
29.689306,37,8.149969
8.853498,13,8.173241
14.820379,16,8.174446
14.912326,22,8.181786
5.570802,14,8.186796
5.3269014,20,8.193025
5.1109095,11,8.20722
14.126613,15,8.217458
22.24775,29,8.218137
17.24228,22,8.222808
13.89051,14,8.22421
6.3821025,9,8.225169
8.322844,18,8.232578
14.886538,16,8.233838
5.638589,10,8.240118
6.2063656,10,8.245976
4.9230886,10,8.252992
8.7861185,15,8.26279
9.059665,31,8.279817
35.91964,30,8.287053
6.3489747,10,8.287978
3.8815143,10,8.294975
4.4594164,7,8.296177
9.610562,12,8.31384
12.107096,18,8.319226
43.102074,50,8.333209
8.529932,19,8.343032
5.0046043,13,8.35444
111.800255,66,8.355582
33.28887,44,8.365092
13.148098,15,8.370569
69.89158,45,8.371571
30.541374,27,8.37787
13.796549,15,8.378876
7.8554087,12,8.380295
6.9334345,9,8.385934
16.94004,29,8.396233
33.57948,30,8.397196
31.954435,29,8.397778
24.610289,49,8.403327
21.241978,25,8.409456
11.582131,24,8.428276
5.363872,9,8.429167
10.98289,15,8.439052
13.11569,18,8.444682
6.180845,17,8.452327
7.776763,12,8.453426
6.2270403,12,8.463138
20.90393,34,8.478241
16.388168,20,8.490222
106.09641,63,8.496562
5.5669045,19,8.501531
11.7859335,14,8.508201
40.03174,34,8.509236
5.917951,14,8.510515
32.324814,25,8.516798
26.023396,25,8.51783
7.7996564,12,8.523188
18.157843,23,8.529222
8.72326,16,8.542039
14.742515,16,8.547926
34.868668,30,8.552925
26.26671,27,8.561677
7.2052093,15,8.568012
7.924176,10,8.572814
9.988289,13,8.573628
8.62447,15,8.592953
28.56058,34,8.593772
65.0321,41,8.599846
32.058987,28,8.60097
15.053766,15,8.609821
8.367381,19,8.616482
11.573851,19,8.627332
14.206056,16,8.628231
11.3751545,22,8.628999
12.696303,23,8.637889
6.9783835,12,8.656107
11.703679,13,8.666181
11.637614,20,8.67487
42.10276,35,8.680386
116.87456,79,8.684677
13.02036,18,8.690025
11.172319,19,8.690723
14.196872,24,8.691414
