time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
380,15.1,10,9.730467,2576,0,,,,,,
620,18.45,20,11.568296,2772,0,,,,,,
860,18.766666666666666,30,13.05249,2996,0,,,,,,
1040,20.225,40,13.779752,2598,0,,,,,,
1360,20.4,50,14.678425,2771,0,,,,,,
1540,21.9,60,16.749903,2818,0,,,,,,
1720,21.771428571428572,70,16.393425,2876,0,,,,,,
1940,21.2625,80,15.938792,2950,0,,,,,,
2120,21.344444444444445,90,15.850325,2980,0,,,,,,
2320,21.2,100,16.16218,2975,0,,,,,,
2560,21.74,110,16.615782,3004,0,,,,,,
2880,21.59,120,16.50805,3018,0,,,,,,
3020,21.99,130,16.812391,3004,1,,,,,,
3260,21.41,140,16.855145,2979,1,,,,,,
3540,22.36,150,18.710339,3002,1,,,,,,
3820,21.64,160,17.448162,3019,1,,,,,,
4080,22.05,170,18.699486,3035,1,,,,,,
4240,22.99,180,19.879993,3040,1,,,,,,
4420,22.79,190,20.218523,3055,1,,,,,,
4620,22.81,200,19.552927,3078,1,,,,,,
4900,23.12,210,19.928766,3120,1,,,,,,
5120,23.42,220,20.506676,3125,1,,,,,,
5320,23.31,230,20.258814,3125,1,,,,,,
5540,23.29,240,19.97594,3137,1,,,,,,
5720,22.05,250,17.546387,3149,1,,,,,,
5940,21.2,260,16.798233,3147,1,,,,,,
6220,21.8,270,17.55476,3169,1,,,,,,
6420,21.45,280,16.997719,3177,2,,,,,,
6680,21.77,290,17.222208,3192,2,,,,,,
6840,21.85,300,17.99467,3190,2,,,,,,
7080,21.96,310,18.63776,3206,2,,,,,,
7380,21.89,320,18.958107,3233,2,,,,,,
7520,21.82,330,18.572018,3243,2,,,,,,
7720,21.95,340,18.74995,3263,2,,,,,,
7900,22.4,350,19.670504,3291,2,,,,,,
8180,22.6,360,19.820518,3343,2,,,,,,
8340,21.99,370,18.042587,3363,2,,,,,,
8640,22.08,380,18.528412,3413,2,,,,,,
8880,22.26,390,18.46951,3441,2,,,,,,
9140,22.36,400,18.257578,3478,2,,,,,,
9280,22.71,410,18.390724,3484,2,,,,,,
9600,22.58,420,17.53332,3527,2,,,,,,
9800,21.87,430,17.19698,3538,2,,,,,,
9960,21.87,440,17.11184,3559,2,,,,,,
10240,22.51,450,17.741116,486,21,-2.0870134830474854,7.8648529052734375,11,-0.001057760906405747,2.1544346900318823e-05,0.9997845888137817
10420,22.74,460,17.818312,488,21,-2.1871562004089355,7.273644924163818,20,-0.0020349822007119656,2.1544346900318823e-05,0.9995904564857483
10660,22.38,470,17.495424,491,21,-2.2633681297302246,6.987107753753662,32,-0.003326127538457513,2.1544346900318823e-05,0.9993313550949097
10940,22.19,480,17.245476,495,22,-2.3645355701446533,6.677545547485352,46,-0.004849459510296583,2.1544346900318823e-05,0.9990286231040955
11080,23.03,490,18.329731,497,22,-2.421010732650757,6.323050022125244,53,-0.005630740895867348,2.1544346900318823e-05,0.9988770484924316
11340,22.64,500,17.710106,502,22,-2.511751651763916,6.159282684326172,66,-0.0070554399862885475,2.1544346900318823e-05,0.9985955953598022
11480,21.9,510,16.697147,505,22,-2.5714054107666016,5.817502498626709,73,-0.007855748757719994,2.1544346900318823e-05,0.9984440207481384
11700,21.6,520,16.279972,508,23,-2.624945640563965,5.965867519378662,84,-0.00905530247837305,2.1544346900318823e-05,0.9982060790061951
11900,21.51,530,16.318031,511,23,-2.640418767929077,5.316616535186768,94,-0.010022936388850212,2.1544346900318823e-05,0.9979899525642395
12120,21.12,540,15.761474,513,23,-2.772918224334717,5.546343803405762,105,-0.011325858533382416,2.1544346900318823e-05,0.9977524876594543
12320,21.37,550,16.001904,516,23,-2.8304924964904785,5.356174945831299,115,-0.012422800064086914,2.1544346900318823e-05,0.997536301612854
12520,21.21,560,15.974439,520,24,-2.911892890930176,5.184014797210693,125,-0.013453499414026737,2.1544346900318823e-05,0.9973202347755432
12700,21.17,570,16.16207,523,24,-2.9843032360076904,4.764334678649902,134,-0.014485787600278854,2.1544346900318823e-05,0.9971258640289307
12920,20.7,580,15.094629,527,24,-3.0038962364196777,5.01715087890625,145,-0.01571189984679222,2.1544346900318823e-05,0.9968883395195007
13200,19.54,590,13.730002,532,24,-3.1389057636260986,4.7076029777526855,159,-0.017191961407661438,2.1544346900318823e-05,0.996586263179779
13380,20.32,600,15.116487,535,24,-3.227966070175171,4.375133514404297,168,-0.01824275776743889,2.1544346900318823e-05,0.9963922500610352
13560,20.59,610,15.331381,537,25,-3.3087315559387207,4.195872783660889,177,-0.01917068287730217,2.1544346900318823e-05,0.996198296546936
13840,20.61,620,16.037996,542,25,-3.455909252166748,3.9940173625946045,191,-0.02078382298350334,2.1544346900318823e-05,0.9958964586257935
14020,20.84,630,16.19842,544,25,-3.4737143516540527,4.198090553283691,200,-0.021709978580474854,2.1544346900318823e-05,0.9957026243209839
14200,21.91,640,17.219433,547,25,-3.590393543243408,3.7567050457000732,209,-0.022736994549632072,2.1544346900318823e-05,0.9955089092254639
14440,21.23,650,16.430645,551,26,-3.7104673385620117,3.617967367172241,221,-0.024098023772239685,2.1544346900318823e-05,0.9952507019042969
14580,21.23,660,16.533043,553,26,-3.7574520111083984,3.650082588195801,228,-0.024741727858781815,2.1544346900318823e-05,0.9951000809669495
14880,21.06,670,16.499481,556,26,-3.9686222076416016,3.24180269241333,243,-0.02646520733833313,2.1544346900318823e-05,0.9947774410247803
15140,21.37,680,16.7577,560,27,-4.075374126434326,3.190436363220215,256,-0.027904843911528587,2.1544346900318823e-05,0.9944981932640076
15380,21.85,690,17.590046,564,27,-4.110466480255127,3.316483974456787,268,-0.029206302016973495,2.1544346900318823e-05,0.9942402839660645
15580,22.26,700,17.44044,567,27,-4.152350425720215,3.4732961654663086,278,-0.030134297907352448,2.1544346900318823e-05,0.9940252900123596
15820,22.31,710,18.371712,570,27,-4.1794843673706055,3.2431068420410156,290,-0.031477924436330795,2.1544346900318823e-05,0.9937676191329956
16020,22.3,720,18.278328,573,27,-4.338352203369141,3.1376240253448486,300,-0.03248600661754608,2.1544346900318823e-05,0.9935531616210938
16240,22.12,730,18.210411,576,28,-4.52158260345459,3.5777053833007812,311,-0.03371017426252365,2.1544346900318823e-05,0.9933173060417175
16440,21.66,740,18.15287,579,28,-4.453678607940674,2.9721901416778564,321,-0.034852538257837296,2.1544346900318823e-05,0.9931028485298157
16560,21.35,750,18.036331,581,28,-4.6173481941223145,3.377253293991089,327,-0.03536854684352875,2.1544346900318823e-05,0.9929741621017456
16740,21.5,760,18.768837,583,28,-4.634097099304199,2.760810375213623,336,-0.036811601370573044,2.1544346900318823e-05,0.9927813410758972
16960,21.48,770,19.017286,586,28,-4.781867980957031,3.318629503250122,347,-0.03763483464717865,2.1544346900318823e-05,0.9925456047058105
17220,21.52,780,19.42499,589,29,-4.826343536376953,2.9972920417785645,360,-0.03921618312597275,2.1544346900318823e-05,0.9922667741775513
17380,20.73,790,18.330465,591,29,-4.838891983032227,2.7719202041625977,368,-0.04029226675629616,2.1544346900318823e-05,0.992095410823822
17620,19.59,800,17.029911,594,29,-4.973081588745117,3.0815255641937256,380,-0.04134219139814377,2.1544346900318823e-05,0.9918382167816162
17800,19.42,810,17.072887,595,29,-5.183404445648193,3.5148215293884277,389,-0.042537540197372437,2.1544346900318823e-05,0.9916454553604126
18020,19.86,820,17.752098,598,30,-5.179551124572754,3.2470760345458984,400,-0.04341592267155647,2.1544346900318823e-05,0.9914100766181946
18240,19.94,830,17.89886,599,30,-5.096930980682373,3.2676026821136475,411,-0.0446685329079628,2.1544346900318823e-05,0.9911748766899109
18420,19.77,840,17.455502,601,30,-5.353659629821777,2.8852643966674805,420,-0.04589754343032837,2.1544346900318823e-05,0.9909822940826416
18560,19.89,850,17.22123,603,30,-5.272510051727295,3.2450170516967773,427,-0.046322695910930634,2.1544346900318823e-05,0.9908325672149658
18760,20.28,860,17.736187,604,31,-5.489047050476074,3.6298904418945312,437,-0.0473947674036026,2.1544346900318823e-05,0.990618884563446
18920,20.08,870,17.354313,606,31,-5.548686981201172,3.3382632732391357,445,-0.0486869141459465,2.1544346900318823e-05,0.9904482364654541
19160,19.57,880,16.85982,608,31,-5.6350016593933105,3.2745885848999023,457,-0.04990755766630173,2.1544346900318823e-05,0.9901920557022095
19320,19.68,890,16.89745,610,31,-5.566039085388184,3.0372469425201416,465,-0.05023551732301712,2.1544346900318823e-05,0.9900210499763489
19500,19.99,900,18.024061,610,31,-5.673470497131348,2.7735748291015625,474,-0.05147312581539154,2.1544346900318823e-05,0.9898288249969482
19740,20.15,910,17.582952,613,32,-5.8328633308410645,3.524960517883301,486,-0.05282121151685715,2.1544346900318823e-05,0.9895727038383484
19840,19.21,920,15.525291,614,32,-5.89398193359375,4.721037864685059,491,-0.05305848270654678,2.1544346900318823e-05,0.9894660115242004
20040,18.8,930,15.264751,572,34,-6.100539207458496,3.763606548309326,501,-0.0545932836830616,2.1544346900318823e-05,0.9892529249191284
20200,18.77,940,14.874698,574,35,-5.978071212768555,4.145639419555664,509,-0.05536704510450363,2.1544346900318823e-05,0.9890822172164917
20400,18.41,950,14.860342,577,35,-6.24138069152832,3.720534324645996,519,-0.05623158439993858,2.1544346900318823e-05,0.9888689517974854
20560,18.05,960,13.675268,579,35,-6.186277389526367,3.9581422805786133,527,-0.057336099445819855,2.1544346900318823e-05,0.9886982440948486
20740,18.34,970,14.186733,581,35,-6.244483470916748,4.019286632537842,536,-0.05847843363881111,2.1544346900318823e-05,0.9885063767433167
