#{"t_start": 1692366801.080628, "env_id": null}
r,l,t
9.324292,11,0.256956
11.04966,13,0.264851
10.290659,14,0.269131
10.601099,15,0.273649
9.284639,16,0.278898
12.607959,17,0.283675
8.424317,18,0.288123
11.117006,18,0.28882
12.012047,19,0.292636
15.728815,19,0.293414
12.307219,19,0.29408
9.039859,20,0.299785
14.276319,20,0.300584
10.762785,22,0.308062
17.023376,22,0.308749
20.815228,24,0.320112
9.400872,12,0.326287
17.406992,25,0.327257
9.75857,26,0.332425
10.345205,12,0.337376
12.61114,17,0.344591
8.657106,11,0.345399
9.991001,14,0.351455
7.689562,12,0.355665
30.069714,32,0.359379
12.931735,18,0.360297
10.099987,16,0.366976
10.672787,12,0.384441
9.273727,20,0.388145
13.943892,15,0.389034
11.611515,18,0.393535
15.622433,23,0.397242
11.034338,16,0.40306
24.382809,25,0.407229
15.351507,25,0.412234
11.39848,17,0.413858
9.43995,18,0.426987
15.858185,21,0.428274
6.696335,17,0.429095
13.745351,27,0.430093
81.298676,52,0.442743
8.488803,28,0.447822
33.91174,30,0.456363
12.4603615,21,0.457397
11.139524,25,0.458295
21.235853,25,0.464947
9.4993925,17,0.466058
19.611805,38,0.471032
15.032117,20,0.475652
9.173865,12,0.483461
12.674814,24,0.490836
7.2403517,11,0.499187
10.898661,20,0.504028
8.549056,16,0.505043
21.508318,26,0.513141
3.919182,23,0.514144
28.444336,29,0.520285
14.422635,16,0.521434
12.920009,14,0.525861
9.722967,15,0.530516
26.745863,26,0.53677
9.063086,14,0.537596
8.621226,10,0.545223
9.63073,13,0.549376
15.074744,18,0.550393
17.365477,18,0.556709
24.270258,21,0.562085
8.30849,13,0.566365
39.71768,31,0.567473
5.871782,15,0.568345
30.750174,31,0.569261
10.987378,19,0.570089
28.373552,27,0.577492
22.17123,42,0.586917
10.753703,20,0.587946
9.925846,18,0.588861
14.413463,17,0.59259
9.14955,13,0.602807
10.900084,15,0.606551
14.265594,15,0.610469
11.387779,13,0.611514
12.220904,23,0.617267
20.695404,22,0.621157
8.036407,26,0.62796
14.426472,16,0.635153
9.230692,12,0.639512
7.8477445,10,0.650095
8.021632,20,0.650998
12.911814,21,0.655216
20.319094,22,0.656001
11.498642,17,0.661117
15.79282,21,0.665456
16.959618,23,0.666621
22.346289,24,0.671461
11.383298,17,0.676107
10.362031,17,0.681586
39.043957,38,0.690341
9.245829,13,0.694044
6.1868634,11,0.700484
30.735949,22,0.704512
10.163855,11,0.709681
12.743324,14,0.713588
16.714825,30,0.718632
8.829857,11,0.722464
7.4991384,18,0.727199
25.386711,22,0.728309
10.704404,16,0.734807
30.971428,27,0.739015
24.746416,37,0.74297
19.16895,20,0.744013
45.554104,52,0.748919
14.136762,15,0.753896
6.0795097,13,0.766865
11.996156,16,0.767892
42.93412,37,0.771621
8.926999,12,0.782091
30.060398,34,0.792763
12.909531,17,0.79365
8.45513,11,0.800868
18.750998,17,0.801861
15.000256,23,0.807864
12.832141,19,0.812137
17.848652,33,0.816021
8.427539,11,0.820001
44.651196,50,0.82485
20.630083,19,0.828854
6.843038,10,0.840816
22.765387,22,0.844614
13.701108,18,0.850943
20.389904,25,0.851861
18.662407,32,0.857102
34.501545,27,0.857942
13.557631,22,0.867159
29.460674,44,0.877736
13.280829,18,0.878407
8.94668,15,0.881815
5.0321,8,0.88686
9.278756,11,0.895509
71.5845,46,0.898907
13.137653,27,0.909189
100.32946,59,0.91013
35.963116,29,0.914849
17.095316,16,0.915877
20.270304,29,0.921572
11.35091,28,0.925585
27.303476,22,0.929352
6.8138986,34,0.930226
34.83887,29,0.934956
8.244681,29,0.942376
20.981453,22,0.947299
7.9923124,10,0.948318
15.350724,15,0.949022
21.663074,29,0.953759
5.7751184,8,0.957443
10.56608,17,0.964328
15.136213,23,0.965395
6.45524,10,0.975099
9.623357,13,0.988084
10.22899,12,0.989288
24.812534,28,0.993034
25.228373,22,0.999948
9.434559,16,1.005738
14.160088,24,1.018693
10.557374,22,1.019434
13.459516,26,1.020207
14.754801,16,1.025971
23.49807,23,1.026995
12.451529,17,1.031139
36.126884,36,1.032503
28.394901,28,1.036643
12.964116,23,1.037499
16.31081,33,1.045018
9.575816,13,1.053162
85.40317,52,1.061839
26.568003,33,1.067529
8.481611,10,1.075312
31.620016,32,1.080404
7.464168,14,1.084746
6.8554063,13,1.092038
11.57473,16,1.096941
7.9647784,10,1.097935
12.583049,16,1.104672
5.7108955,15,1.105947
7.036233,14,1.110799
14.940061,24,1.114944
18.510645,21,1.120247
13.421288,29,1.128922
25.324886,40,1.129658
8.557995,11,1.130435
9.816593,26,1.142656
9.634645,38,1.148408
8.048009,10,1.153131
25.747688,32,1.157872
13.658594,15,1.158851
15.667691,16,1.170266
6.983225,9,1.171345
29.210316,46,1.197989
20.387968,21,1.199052
6.719878,19,1.203333
12.411479,19,1.204209
10.711953,15,1.210693
32.81815,44,1.214613
7.415464,13,1.215608
15.097986,27,1.219534
41.05123,34,1.224417
34.24068,31,1.228046
14.899601,18,1.235246
11.970382,25,1.24169
7.6175733,23,1.242993
47.1587,44,1.249049
8.618151,13,1.256714
9.230511,14,1.257714
7.063562,11,1.267503
21.670023,37,1.268362
12.467154,14,1.280136
5.6712394,21,1.284951
19.901003,39,1.292119
6.3673496,10,1.293051
10.57185,16,1.298003
5.577028,14,1.29905
11.644723,14,1.299852
95.51788,58,1.305023
56.395252,50,1.309681
32.428604,28,1.315824
10.209277,16,1.323364
60.001797,43,1.329104
23.816462,26,1.329961
11.023352,17,1.335783
23.13183,27,1.343289
6.026015,9,1.353443
11.622257,18,1.359549
6.5946155,11,1.363914
37.07117,34,1.369158
12.456527,16,1.370565
8.5901575,15,1.371615
12.117095,14,1.375801
10.907344,15,1.387615
11.543788,15,1.391855
9.374436,11,1.40108
15.338076,16,1.405318
16.695719,18,1.410805
13.32549,24,1.411561
10.162887,13,1.416313
22.201769,24,1.417238
8.115867,12,1.418149
48.732304,46,1.422841
7.3964033,10,1.432922
8.912405,14,1.433877
21.649124,25,1.441316
32.979115,29,1.44521
22.150335,27,1.456904
17.672287,23,1.457794
19.278435,22,1.464128
6.6771274,12,1.470696
47.408768,45,1.474608
6.696443,13,1.475508
18.823822,20,1.488793
19.69134,19,1.495999
16.934153,32,1.500058
11.019441,17,1.501945
13.128848,23,1.507978
55.066174,39,1.512069
16.324062,17,1.513028
13.901972,21,1.519094
19.824217,26,1.523156
20.742981,20,1.526753
29.882599,28,1.530804
48.00825,37,1.541744
13.242197,19,1.54574
22.312748,23,1.553358
9.826611,17,1.55804
11.259529,24,1.561775
11.0627775,20,1.562707
27.61257,37,1.566101
8.593653,18,1.56958
30.843494,32,1.577689
48.38704,34,1.578636
10.590841,12,1.582426
18.618793,18,1.583456
19.442684,30,1.600542
10.224954,24,1.605173
73.019745,45,1.611059
36.109627,30,1.616229
110.58201,129,1.624111
11.364046,14,1.627874
12.870899,21,1.631662
15.330456,16,1.635645
8.512676,10,1.642121
54.371902,40,1.646004
32.49262,26,1.649828
22.128532,28,1.655902
16.711054,26,1.656842
6.5929575,10,1.664273
9.269609,14,1.667806
10.416864,17,1.668651
24.57213,42,1.672298
20.447496,27,1.680458
32.310062,47,1.68161
23.066816,37,1.682482
9.975781,14,1.688336
6.6912236,10,1.694827
6.1482987,9,1.702253
19.2153,23,1.70905
98.41789,58,1.71275
14.0925255,15,1.717726
45.656536,44,1.719069
9.517442,12,1.72002
10.9790745,19,1.724114
19.52186,23,1.728904
22.618538,42,1.730224
11.618349,20,1.735493
9.862601,12,1.739148
10.859193,18,1.742749
12.1593,15,1.74376
8.840632,23,1.751129
14.432396,16,1.757767
6.556313,12,1.763931
6.572401,13,1.764957
16.35174,23,1.765931
16.723019,23,1.769967
6.498874,11,1.778159
13.349473,16,1.787893
12.6452675,28,1.788623
6.6407747,10,1.800509
14.341185,15,1.805083
48.493546,60,1.806285
10.012207,22,1.807179
10.503879,14,1.811695
11.871777,24,1.812783
15.454313,19,1.813843
20.659876,24,1.814717
20.424332,20,1.820103
25.50099,27,1.837794
27.418545,35,1.846195
19.311405,36,1.852804
7.7549148,11,1.853887
7.2229247,14,1.86501
18.219051,23,1.866043
10.993553,19,1.869963
13.691995,19,1.871045
9.914259,23,1.876499
7.350065,14,1.880451
12.199918,36,1.881733
6.9444294,9,1.887878
13.25466,19,1.892821
6.725029,9,1.896492
21.68159,33,1.903326
17.976347,25,1.913587
9.028153,13,1.917566
19.612606,21,1.918482
50.633404,39,1.923577
11.20517,14,1.924534
23.496582,29,1.928078
21.084213,31,1.938438
12.146717,21,1.939881
13.846377,20,1.960276
14.387098,20,1.96989
10.784173,13,1.97101
16.675135,27,1.97494
9.261006,13,1.979756
16.107742,21,1.980804
29.505276,40,1.981781
