time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
0,10,10.439173,380,15.1,1690,,,,,,
0,20,11.618912,580,18.35,1909,,,,,,
0,30,12.556742,860,19.2,2172,,,,,,
0,40,13.516123,1060,19.6,2119,,,,,,
0,50,16.639132,1380,20.98,2273,,,,,,
0,60,17.449947,1660,21.783333333333335,2147,,,,,,
2,70,17.88122,1880,22.450704225352112,874,,,,,,
2,80,17.769363,2100,22.4125,949,,,,,,
2,90,17.494911,2340,22.252747252747252,1026,,,,,,
2,100,17.9065,2540,22.63,1087,,,,,,
2,110,19.299385,2720,23.69,1140,,,,,,
2,120,19.336515,2880,23.32,1184,,,,,,
2,130,18.492332,3080,22.3,1241,,,,,,
2,140,19.402853,3280,22.82,1295,,,,,,
2,150,17.257668,3580,21.54,1366,,,,,,
2,160,17.411331,3740,21.65,1403,,,,,,
2,170,16.716694,3980,20.85,1456,,,,,,
2,180,17.096565,4180,21.16,1499,,,,,,
2,190,17.195337,4400,21.3,1544,,,,,,
2,200,17.095093,4580,21.08,1568,,,,,,
2,210,15.920454,4780,20.15,1601,,,,,,
3,220,15.675052,4960,20.28,1625,,,,,,
3,230,16.317696,5160,20.83,1656,,,,,,
3,240,16.227697,5400,20.71,1682,,,,,,
3,250,16.200445,5640,20.62,1716,,,,,,
3,260,15.9383545,5800,20.39,1734,,,,,,
3,270,16.819136,5980,21.04,1758,,,,,,
3,280,16.769835,6180,20.52,1784,,,,,,
3,290,16.781984,6440,20.53,1824,,,,,,
3,300,16.080263,6660,20.12,1854,,,,,,
3,310,16.714743,6820,20.67,1874,,,,,,
3,320,17.867258,7080,21.12,1911,,,,,,
3,330,17.94734,7280,21.29,1933,,,,,,
3,340,16.970522,7520,21.15,1958,,,,,,
3,350,17.615572,7740,21.59,1984,,,,,,
3,360,17.641026,8000,21.43,2014,,,,,,
4,370,17.92031,8220,21.78,2036,,,,,,
4,380,17.992498,8500,22.04,2070,,,,,,
4,390,18.218252,8640,22.13,2079,,,,,,
4,400,18.030445,8920,21.99,2108,,,,,,
4,410,17.728664,9160,21.88,2137,,,,,,
4,420,18.489697,9360,22.67,2156,,,,,,
4,430,18.704166,9580,22.76,2178,,,,,,
4,440,19.074915,9780,22.63,2200,,,,,,
