time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
0,10,11.158883,380,16.272727272727273,3822,,,,,,
0,20,12.078847,540,18.1,3769,,,,,,
0,30,12.250585,780,17.633333333333333,4006,,,,,,
0,40,12.566462,980,18.4,4132,,,,,,
0,50,14.490212,1220,20.08,4213,,,,,,
0,60,14.246847,1400,19.966666666666665,4156,,,,,,
0,70,14.739136,1600,19.819444444444443,4257,,,,,,
0,80,14.722947,1800,19.839506172839506,4314,,,,,,
0,90,14.514098,2020,19.766666666666666,4376,,,,,,
0,100,14.798243,2260,19.82,4428,,,,,,
0,110,15.363125,2440,20.28,4440,,,,,,
0,120,16.049797,2700,20.5,4443,,,,,,
0,130,16.621283,2940,21.13,4469,,,,,,
0,140,17.634611,3240,21.63,4526,,,,,,
0,150,18.091974,3380,21.75,4479,,,,,,
0,160,18.03073,3660,21.56,4580,,,,,,
0,170,18.086834,3820,21.99,4531,,,,,,
0,180,18.781738,4100,22.26,4537,,,,,,
0,190,18.803654,4280,22.5,4511,,,,,,
1,200,18.552797,4600,22.72,4555,,,,,,
1,210,19.113327,4840,23.4,4589,,,,,,
1,220,18.153112,5080,22.96,4595,,,,,,
1,230,19.657724,5260,23.63,4536,,,,,,
1,240,18.839453,5520,22.78,4556,,,,,,
1,250,17.909248,5680,21.96,4540,,,,,,
1,260,18.496733,5960,22.61,4557,,,,,,
1,270,19.140413,6260,22.84,4606,,,,,,
1,280,18.934614,6560,22.87,4664,,,,,,
1,290,21.344742,6820,24.36,4685,,,,,,
1,300,21.614962,6980,24.73,4672,,,,,,
1,310,21.913729,7180,24.54,4675,,,,,,
1,320,21.98211,7400,24.4,4696,,,,,,
1,330,20.268648,7620,23.77,4702,,,,,,
1,340,20.53409,7880,24.34,4699,,,,,,
1,350,19.87925,8140,24.21,4721,,,,,,
1,360,19.625109,8420,24.17,4710,,,,,,
1,370,21.423456,8600,25.2,4718,,,,,,
1,380,20.975527,8760,24.49,4719,,,,,,
