time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
0,10.111353,15.8,4097,10,420,,,,,,
0,13.660957,18.4,4164,20,580,,,,,,
0,13.940288,18.6,4349,30,740,,,,,,
0,14.937271,18.725,4532,40,920,,,,,,
0,13.732414,17.76,4522,50,1160,,,,,,
0,14.326875,19.133333333333333,4506,60,1340,,,,,,
0,13.846772,18.6,4618,70,1520,,,,,,
0,14.591055,19.125,4775,80,1740,,,,,,
0,14.452787,19.42222222222222,4764,90,1900,,,,,,
0,14.092921,19.11,4765,100,2100,,,,,,
0,14.386156,19.42,4777,110,2300,,,,,,
0,14.20527,19.28,4754,120,2460,,,,,,
0,13.934881,18.93,4805,130,2740,,,,,,
0,13.644951,19.39,4820,140,2960,,,,,,
0,15.116275,20.47,4842,150,3180,,,,,,
0,14.694934,19.57,4876,160,3420,,,,,,
0,16.12074,20.89,4895,170,3680,,,,,,
0,16.511566,21.18,4880,180,3860,,,,,,
0,16.14182,20.42,4848,190,3980,,,,,,
0,16.442013,20.54,4787,200,4200,,,,,,
0,17.530052,20.72,4816,210,4460,,,,,,
0,18.028797,21.02,4840,220,4660,,,,,,
1,18.19545,21.29,4815,230,4820,,,,,,
1,18.48601,21.14,4824,240,5000,,,,,,
1,17.243912,20.3,4798,250,5160,,,,,,
1,17.516403,20.69,4797,260,5360,,,,,,
1,16.03391,19.41,4832,270,5600,,,,,,
1,15.099487,19.12,4808,280,5820,,,,,,
1,15.73986,19.5,4814,290,6100,,,,,,
1,15.64494,19.84,4819,300,6340,,,,,,
1,15.2080345,20.05,4810,310,6580,,,,,,
1,16.030375,20.63,4804,320,6720,,,,,,
1,15.606773,20.85,4826,330,6960,,,,,,
1,15.442073,21.02,4862,340,7200,,,,,,
1,15.557269,21.28,4913,350,7480,,,,,,
1,18.02197,22.57,4911,360,7660,,,,,,
1,18.736217,22.92,4936,370,7940,,,,,,
1,19.644083,23.52,4931,380,8100,,,,,,
1,19.16649,23.41,4935,390,8340,,,,,,
1,20.016512,23.6,4933,400,8520,,,,,,
1,19.259174,23.33,4949,410,8760,,,,,,
1,18.212568,22.18,4948,420,8940,,,,,,
1,19.20375,22.76,4944,430,9180,,,,,,
1,19.161741,22.37,4947,440,9420,,,,,,
1,18.974697,22.23,4953,450,9560,,,,,,
1,17.375093,21.61,4968,460,9780,,,,,,
7,16.806078,21.31,1287,470,10060,7.233684539794922,-2.1085619926452637,2,-0.0004949775175191462,0.0001,0.9999000430107117
8,16.204433,20.68,1277,480,10300,6.331328392028809,-2.5390872955322266,14,-0.006586731411516666,0.0001,0.9986995458602905
8,16.586668,21.01,1269,490,10480,5.41546630859375,-2.747201442718506,23,-0.011121444404125214,0.0001,0.9977982044219971
8,17.697052,21.58,1263,500,10700,4.157036781311035,-3.096895456314087,34,-0.016676560044288635,0.0001,0.9966974854469299
8,17.961435,21.32,1256,510,10980,3.1672868728637695,-3.5107603073120117,48,-0.023786872625350952,0.0001,0.9952980875968933
8,18.699171,22.55,1252,520,11140,2.745293140411377,-3.7723937034606934,56,-0.027769746258854866,0.0001,0.9944992661476135
9,17.622522,21.8,1246,530,11320,2.3182058334350586,-4.13449764251709,65,-0.03232772648334503,0.0001,0.9936013221740723
9,17.039759,21.88,1241,540,11560,2.3905086517333984,-4.392039775848389,77,-0.03838109225034714,0.0001,0.9924058318138123
9,17.8755,22.21,1237,550,11760,1.7179079055786133,-4.554216384887695,87,-0.04336543381214142,0.0001,0.9914117455482483
9,17.633385,21.71,1233,560,11900,1.8689149618148804,-4.675779819488525,94,-0.04672878980636597,0.0001,0.9907167553901672
9,17.593891,21.65,1229,570,12140,2.176046848297119,-4.748364448547363,106,-0.05308154970407486,0.0001,0.9895269274711609
10,17.462322,21.6,1226,580,12340,1.4153766632080078,-4.950892448425293,116,-0.05833977088332176,0.0001,0.9885357618331909
10,17.479717,21.38,1224,590,12600,1.1787937879562378,-4.955503463745117,129,-0.06450241804122925,0.0001,0.9872493743896484
10,15.4797325,20.26,1223,600,12760,1.5135183334350586,-5.065334320068359,137,-0.06923975795507431,0.0001,0.9864593744277954
10,16.433147,21.08,1221,610,12920,1.7608983516693115,-5.225421905517578,145,-0.07281544804573059,0.0001,0.9856693148612976
10,15.55015,19.9,1220,620,13180,1.154705286026001,-5.269621849060059,158,-0.07951974868774414,0.0001,0.9843868017196655
10,15.929334,20.26,1221,630,13400,1.509729027748108,-5.527083396911621,169,-0.0846366360783577,0.0001,0.9833030700683594
11,16.171757,20.15,1221,640,13640,1.1652350425720215,-5.455492973327637,181,-0.09128119051456451,0.0001,0.9821222424507141
