time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
0,10.54169,13.5,4790,10,340,,,,,,
0,12.646027,15.85,5086,20,500,,,,,,
0,13.01069,17.21875,5561,30,800,,,,,,
0,12.786069,17.6,5641,40,1000,,,,,,
0,13.756345,18.627450980392158,5758,50,1240,,,,,,
0,15.398044,19.403225806451612,5575,60,1420,,,,,,
0,16.514215,19.985714285714284,5483,70,1640,,,,,,
0,16.184906,19.625,5344,80,1880,,,,,,
0,17.547398,20.42222222222222,5230,90,2120,,,,,,
0,17.499178,20.46,5141,100,2280,,,,,,
0,17.700855,21.07,5147,110,2560,,,,,,
0,18.234133,21.61,5177,120,2780,,,,,,
0,18.55935,21.76,5166,130,3060,,,,,,
0,20.462175,22.51,5116,140,3280,,,,,,
0,20.467287,23.04,5103,150,3580,,,,,,
0,20.331326,23.2,5031,160,3720,,,,,,
0,19.408606,22.87,4976,170,4020,,,,,,
0,20.670591,23.7,4921,180,4120,,,,,,
0,19.228476,22.8,4891,190,4400,,,,,,
0,18.732067,22.36,4896,200,4640,,,,,,
0,20.922043,23.33,4855,210,4840,,,,,,
1,20.503847,23.03,4885,220,5100,,,,,,
1,20.615566,23.06,4861,230,5260,,,,,,
1,20.898235,23.14,4875,240,5540,,,,,,
1,20.838352,22.52,4853,250,5740,,,,,,
1,20.781504,22.4,4776,260,5940,,,,,,
1,21.047571,22.38,4760,270,6180,,,,,,
1,19.718653,22.01,4725,280,6300,,,,,,
1,20.102697,22.19,4788,290,6660,,,,,,
1,20.474556,22.97,4787,300,6820,,,,,,
1,18.299522,22.0,4794,310,7000,,,,,,
1,18.468616,22.14,4818,320,7220,,,,,,
1,17.925547,21.61,4829,330,7440,,,,,,
1,18.109486,21.93,4817,340,7620,,,,,,
1,16.195728,21.06,4807,350,7760,,,,,,
1,15.595277,20.7,4808,360,7940,,,,,,
1,14.966198,20.14,4825,370,8220,,,,,,
1,15.45599,20.13,4813,380,8400,,,,,,
1,15.021642,19.91,4829,390,8600,,,,,,
1,14.843515,19.58,4836,400,8840,,,,,,
1,16.154085,20.06,4838,410,9020,,,,,,
1,16.20127,20.25,4855,420,9280,,,,,,
1,16.641577,20.49,4840,430,9460,,,,,,
2,16.41045,20.52,4825,440,9760,,,,,,
2,16.465233,20.58,4812,450,9960,,,,,,
2,16.716398,20.6,4414,460,10240,6.662300109863281,-2.3936924934387207,11,-0.004995222203433514,0.0001,0.9989997148513794
2,18.107668,21.75,4183,470,10420,5.61283016204834,-2.671494960784912,20,-0.009572903625667095,0.0001,0.9980985522270203
2,17.89809,22.01,3962,480,10620,4.619582176208496,-2.978367328643799,30,-0.014614986255764961,0.0001,0.9970976114273071
2,18.148985,22.15,3699,490,10960,3.168318271636963,-3.505277156829834,47,-0.023347079753875732,0.0001,0.9953973293304443
