rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss
13.5,320,8.421928,0,1539,10,,,,,,
17.1,640,11.209076,0,1969,20,,,,,,
20.096774193548388,860,13.859119,0,2168,30,,,,,,
19.878048780487806,1080,14.287367,0,1612,40,,,,,,
20.9,1280,15.457285,0,1737,50,,,,,,
20.75,1520,15.124623,0,1867,60,,,,,,
21.041666666666668,1780,15.460807,0,1988,70,,,,,,
21.34567901234568,1960,15.743338,0,2064,80,,,,,,
20.847826086956523,2220,15.331949,1,2169,90,,,,,,
21.41,2340,16.684116,1,2201,100,,,,,,
22.02,2600,17.265356,1,2292,110,,,,,,
22.0,2820,17.33972,1,2347,120,,,,,,
21.61,3060,17.500175,1,2393,130,,,,,,
22.29,3220,17.886616,1,2406,140,,,,,,
21.67,3480,17.319912,1,2467,150,,,,,,
21.69,3720,17.21807,1,2522,160,,,,,,
21.6,3880,17.10848,1,2546,170,,,,,,
21.99,4080,17.849272,1,2578,180,,,,,,
21.56,4280,17.384607,1,2605,190,,,,,,
21.29,4500,16.711712,1,2641,200,,,,,,
21.16,4760,16.538227,1,2689,210,,,,,,
21.14,4940,16.617779,1,2714,220,,,,,,
21.76,5180,17.699812,1,2758,230,,,,,,
21.05,5340,16.880714,1,2784,240,,,,,,
21.3,5620,16.968023,1,2827,250,,,,,,
21.37,5860,17.315815,2,2860,260,,,,,,
21.53,5980,17.880394,2,2861,270,,,,,,
21.34,6180,17.306646,2,2885,280,,,,,,
20.72,6420,16.362904,2,2915,290,,,,,,
20.83,6680,16.21059,2,2954,300,,,,,,
21.11,6940,16.74086,2,2980,310,,,,,,
22.04,7100,16.960402,2,2996,320,,,,,,
21.29,7300,15.561726,2,3014,330,,,,,,
21.19,7520,15.598527,2,3026,340,,,,,,
21.04,7680,15.41729,2,3031,350,,,,,,
20.95,7880,15.348705,2,3049,360,,,,,,
20.52,8120,14.871028,2,3073,370,,,,,,
20.62,8360,14.998926,2,3106,380,,,,,,
21.62,8600,16.822807,2,3138,390,,,,,,
21.81,8820,17.956015,2,3172,400,,,,,,
22.17,9100,18.289637,2,3218,410,,,,,,
21.28,9260,18.009024,2,3239,420,,,,,,
22.12,9580,18.769072,2,3291,430,,,,,,
22.54,9760,19.299894,2,3311,440,,,,,,
22.96,9980,19.762522,2,3340,450,,,,,,
22.72,10200,19.495922,22,458,460,9,6.749163627624512,0.00012742749857031334,0.9989803433418274,-0.005106950178742409,-2.4028677940368652
22.69,10400,19.142717,22,459,470,19,5.128826141357422,0.00012742749857031334,0.9977051615715027,-0.011554013006389141,-2.795395851135254
23.46,10660,20.358122,23,462,480,32,3.6309151649475098,0.00012742749857031334,0.996048629283905,-0.019927512854337692,-3.2558846473693848
22.65,10940,19.192627,23,467,490,46,2.2800092697143555,0.00012742749857031334,0.9942672848701477,-0.028854921460151672,-3.8871426582336426
23.07,11100,18.894493,23,470,500,54,2.0943336486816406,0.00012742749857031334,0.9932510852813721,-0.034175049513578415,-4.18056058883667
22.71,11340,18.480621,23,474,510,66,1.6573665142059326,0.00012742749857031334,0.9917287826538086,-0.04189116507768631,-4.506587505340576
22.21,11560,18.254816,24,479,520,77,1.4606631994247437,0.00012742749857031334,0.9903358221054077,-0.04882875829935074,-4.654547691345215
21.81,11760,17.254675,24,482,530,87,1.6136763095855713,0.00012742749857031334,0.9890727996826172,-0.05530311167240143,-4.821882247924805
22.09,11880,18.019642,24,484,540,93,1.9094196557998657,0.00012742749857031334,0.9883159399032593,-0.05892449989914894,-4.863137245178223
21.7,12100,17.94929,24,488,550,104,1.0795161724090576,0.00012742749857031334,0.986930787563324,-0.06662449240684509,-4.887281894683838
21.86,12340,17.831068,25,493,560,116,1.5440895557403564,0.00012742749857031334,0.9854196906089783,-0.07425469160079956,-5.166214942932129
21.8,12600,17.96104,25,497,570,129,1.04841148853302,0.00012742749857031334,0.9837858080863953,-0.0821651741862297,-5.170344352722168
20.85,12700,16.162188,25,499,580,134,1.4153410196304321,0.00012742749857031334,0.9831587076187134,-0.08555169403553009,-5.254837989807129
20.74,12940,15.810507,25,503,590,146,1.284119725227356,0.00012742749857031334,0.9816545844078064,-0.09366339445114136,-5.321962356567383
20.05,13180,15.398883,25,507,600,158,1.0662710666656494,0.00012742749857031334,0.9801520705223083,-0.1016322672367096,-5.542514801025391
20.3,13440,15.841272,26,511,610,171,1.2229247093200684,0.00012742749857031334,0.9785270094871521,-0.10908634960651398,-5.679361343383789
21.18,13640,17.62621,26,514,620,181,1.311968445777893,0.00012742749857031334,0.9772791862487793,-0.11614599823951721,-5.642040729522705
20.99,13800,17.710247,26,516,630,189,1.232749342918396,0.00012742749857031334,0.9762818217277527,-0.12070430815219879,-5.744779586791992
20.31,14020,16.4881,26,519,640,200,1.1532127857208252,0.00012742749857031334,0.974912703037262,-0.12811988592147827,-5.893527030944824
21.14,14180,17.32328,27,521,650,208,1.4287598133087158,0.00012742749857031334,0.9739187955856323,-0.13343802094459534,-5.8070878982543945
20.71,14420,17.119059,27,525,660,220,1.3476682901382446,0.00012742749857031334,0.9724299907684326,-0.1410900056362152,-6.026063442230225
20.74,14580,17.409922,27,527,670,228,0.8879860639572144,0.00012742749857031334,0.9714388847351074,-0.1457473337650299,-6.20498514175415
20.41,14900,17.185392,28,531,680,244,1.1074814796447754,0.00012742749857031334,0.969460129737854,-0.15655216574668884,-6.2573957443237305
20.96,15140,18.191628,28,535,690,256,1.105661153793335,0.00012742749857031334,0.9679787755012512,-0.1646239161491394,-6.411251068115234
22.08,15360,19.806215,28,538,700,267,1.2009973526000977,0.00012742749857031334,0.9666220545768738,-0.17100022733211517,-6.458700656890869
22.84,15640,20.660622,28,541,710,281,0.5815790891647339,0.00012742749857031334,0.964897871017456,-0.17857448756694794,-6.554605484008789
22.1,15880,19.170809,29,545,720,293,0.827692449092865,0.00012742749857031334,0.963424801826477,-0.1887160688638687,-6.79434871673584
22.49,16100,20.125374,29,548,730,304,0.8950968384742737,0.00012742749857031334,0.962076723575592,-0.1941201388835907,-6.769776821136475
22.44,16280,20.006115,29,550,740,313,1.1762627363204956,0.00012742749857031334,0.9609743356704712,-0.20030620694160461,-6.994278430938721
21.75,16500,19.620884,29,552,750,324,1.4705426692962646,0.00012742749857031334,0.9596298336982727,-0.20822086930274963,-6.872989654541016
22.53,16780,21.032093,30,556,760,338,1.1356201171875,0.00012742749857031334,0.9579223394393921,-0.21619850397109985,-7.192802906036377
22.84,17020,21.13626,30,558,770,350,0.984271764755249,0.00012742749857031334,0.9564604759216309,-0.2240225225687027,-7.199373245239258
23.81,17380,22.834358,30,563,780,368,0.9396777153015137,0.00012742749857031334,0.9542725086212158,-0.23688441514968872,-7.465851783752441
25.49,17660,26.282768,31,567,790,382,0.9106665849685669,0.00012742749857031334,0.9525727033615112,-0.24248257279396057,-7.837679862976074
24.4,17900,24.691387,31,570,800,394,0.6212100982666016,0.00012742749857031334,0.95112144947052,-0.2523200511932373,-7.740067005157471
24.19,18220,24.440685,31,574,810,410,1.2516573667526245,0.00012742749857031334,0.9491916298866272,-0.2639077305793762,-7.843995094299316
24.88,18480,25.846169,31,577,820,423,1.7538456916809082,0.00012742749857031334,0.9476245641708374,-0.2699199914932251,-8.124929428100586
25.02,18620,25.468977,32,579,830,430,1.2020716667175293,0.00012742749857031334,0.9467815160751343,-0.27390608191490173,-7.9499053955078125
26.01,18880,27.078188,32,583,840,443,1.711243987083435,0.00012742749857031334,0.9452235102653503,-0.281826913356781,-8.190109252929688
25.99,19180,26.83578,32,586,850,458,1.1400582790374756,0.00012742749857031334,0.9434271454811096,-0.2928600013256073,-8.400793075561523
26.78,19540,27.697363,33,590,860,476,1.1386706829071045,0.00012742749857031334,0.9412746429443359,-0.3029688894748688,-8.510343551635742
27.84,19840,30.00709,33,594,870,491,2.217343330383301,0.00012742749857031334,0.9394878149032593,-0.30981749296188354,-8.66330623626709
28.15,20040,30.331144,39,506,880,501,1.7074861526489258,0.00012742749857031334,0.9382995963096619,-0.3148917257785797,-8.661865234375
27.26,20300,27.576061,39,508,890,514,1.5894601345062256,0.00012742749857031334,0.9367576837539673,-0.32400327920913696,-8.995695114135742
