rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss
14.5,340,10.242195,0,2892,10,,,,,,
17.0,600,12.962794,0,3382,20,,,,,,
19.6,820,14.290228,0,3579,30,,,,,,
19.804878048780488,1040,14.209953,0,3646,40,,,,,,
19.6,1200,13.721391,0,3689,50,,,,,,
20.183333333333334,1520,16.046896,0,3957,60,,,,,,
20.885714285714286,1700,16.581861,0,4025,70,,,,,,
20.45,1940,16.37113,0,4104,80,,,,,,
19.88888888888889,2260,15.649967,0,4183,90,,,,,,
20.53,2400,16.214947,0,4188,100,,,,,,
22.36,2680,18.411829,0,4204,110,,,,,,
22.57,2920,18.274794,0,4250,120,,,,,,
23.11,3060,19.044281,0,4167,130,,,,,,
22.81,3300,19.030672,0,4176,140,,,,,,
23.05,3480,19.489801,0,4205,150,,,,,,
22.86,3760,18.132685,0,4280,160,,,,,,
22.34,4020,17.794737,0,4284,170,,,,,,
23.1,4320,18.113962,1,4260,180,,,,,,
24.19,4500,19.274473,1,4242,190,,,,,,
24.27,4740,20.26961,1,4303,200,,,,,,
23.7,4960,19.541965,1,4329,210,,,,,,
22.71,5120,19.142838,1,4321,220,,,,,,
22.02,5320,18.765907,1,4347,230,,,,,,
22.31,5600,19.242617,1,4352,240,,,,,,
22.54,5760,19.517448,1,4337,250,,,,,,
22.21,5960,19.587543,1,4333,260,,,,,,
22.51,6200,19.677055,1,4314,270,,,,,,
22.03,6360,19.262524,1,4318,280,,,,,,
21.15,6540,18.169659,1,4299,290,,,,,,
20.6,6780,17.025017,1,4292,300,,,,,,
20.55,6940,16.513664,1,4265,310,,,,,,
19.7,7180,15.203348,1,4277,320,,,,,,
20.55,7400,15.772083,1,4292,330,,,,,,
20.32,7580,15.258653,1,4304,340,,,,,,
20.0,7760,14.966417,1,4304,350,,,,,,
19.95,7980,15.046806,1,4302,360,,,,,,
19.34,8240,14.833524,1,4297,370,,,,,,
19.97,8400,15.788778,1,4290,380,,,,,,
20.31,8580,16.21727,1,4292,390,,,,,,
20.62,8780,16.543589,2,4292,400,,,,,,
20.45,9060,16.587744,2,4303,410,,,,,,
21.09,9360,17.22813,2,4336,420,,,,,,
