time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss
10,13.23076923076923,9.686249,0,1499,320,,,,,,
20,16.0,11.415498,0,1395,580,,,,,,
30,18.193548387096776,13.553179,0,1604,820,,,,,,
40,19.325,13.604202,0,1436,980,,,,,,
50,19.0,12.967018,0,1550,1140,,,,,,
60,19.133333333333333,13.809867,0,1686,1380,,,,,,
70,19.1,13.667275,0,1762,1520,,,,,,
80,18.975,13.99115,0,1893,1760,,,,,,
90,19.186813186813186,14.302619,1,1999,2000,,,,,,
100,19.27,14.574793,1,2060,2220,,,,,,
110,20.87,17.009735,1,2141,2460,,,,,,
120,21.16,17.914455,1,2235,2760,,,,,,
130,21.06,18.216639,1,2239,2860,,,,,,
140,20.92,18.44035,1,2290,3100,,,,,,
150,21.35,19.289833,1,2338,3320,,,,,,
160,21.62,18.815432,1,2380,3540,,,,,,
170,21.61,18.320078,1,2434,3820,,,,,,
180,22.44,18.733213,1,2479,4020,,,,,,
190,22.44,18.574244,1,2514,4260,,,,,,
200,22.93,18.732254,1,2537,4440,,,,,,
210,22.13,16.93561,1,2570,4620,,,,,,
220,21.96,16.567211,1,2571,4820,,,,,,
230,21.56,14.868443,1,2609,5100,,,,,,
240,21.63,15.009006,2,2646,5300,,,,,,
250,21.31,14.357596,2,2667,5540,,,,,,
260,21.19,14.835553,2,2700,5780,,,,,,
270,21.32,14.933345,2,2719,6000,,,,,,
280,21.12,15.181196,2,2745,6240,,,,,,
290,21.83,16.810814,2,2756,6380,,,,,,
300,21.11,16.024181,2,2785,6640,,,,,,
310,22.2,17.940376,2,2817,6900,,,,,,
320,22.41,18.09269,2,2852,7140,,,,,,
330,22.26,18.283,2,2879,7380,,,,,,
340,23.03,19.193672,2,2904,7620,,,,,,
350,23.32,20.296444,2,2930,7880,,,,,,
360,23.37,19.910734,2,2938,8020,,,,,,
370,23.14,19.918625,2,2959,8240,,,,,,
380,22.59,19.483688,2,2978,8460,,,,,,
390,22.11,18.818754,2,2992,8680,,,,,,
400,23.28,20.853422,2,3014,8900,,,,,,
410,22.42,18.488022,3,3032,9140,,,,,,
420,22.71,18.836203,3,3042,9320,,,,,,
430,22.32,18.415613,3,3062,9560,,,,,,
440,21.56,17.702587,3,3072,9740,,,,,,
450,21.25,17.320496,3,3091,9980,,,,,,
460,21.32,17.313175,21,469,10120,0.0001623776739188721,5,0.9993504285812378,-0.003250922542065382,6.66241455078125,-2.3329849243164062
470,20.98,16.881523,21,472,10340,0.0001623776739188721,16,0.997563362121582,-0.01225237362086773,4.828435897827148,-2.821704387664795
480,20.96,16.656689,22,476,10520,0.0001623776739188721,25,0.9961028099060059,-0.01978565938770771,3.5355095863342285,-3.3173041343688965
490,20.25,15.27498,22,480,10760,0.0001623776739188721,37,0.9941584467887878,-0.029553381726145744,2.190335750579834,-3.8704447746276855
500,20.58,14.829975,22,485,11040,0.0001623776739188721,51,0.9918950200080872,-0.04119858145713806,1.8136059045791626,-4.540377616882324
510,20.87,15.694801,22,488,11160,0.0001623776739188721,57,0.9909265041351318,-0.0459996834397316,1.5846925973892212,-4.698428630828857
520,20.02,15.075813,23,491,11420,0.0001623776739188721,70,0.988832414150238,-0.05695343762636185,1.409070372581482,-4.865917682647705
530,21.26,16.200642,23,495,11640,0.0001623776739188721,81,0.9870645403862,-0.06587165594100952,1.4414408206939697,-4.825478553771973
540,21.38,16.74955,23,496,11800,0.0001623776739188721,89,0.9857809543609619,-0.07261477410793304,1.1710095405578613,-4.9190673828125
550,21.25,16.408876,24,500,12020,0.0001623776739188721,100,0.984019935131073,-0.08105039596557617,1.5007609128952026,-5.083158016204834
560,21.09,16.434816,24,504,12240,0.0001623776739188721,111,0.9822618365287781,-0.09013767540454865,1.4279109239578247,-5.156505584716797
570,21.36,16.949879,24,506,12440,0.0001623776739188721,121,0.9806650876998901,-0.09818107634782791,1.3613157272338867,-5.139308929443359
580,21.54,17.209702,24,510,12640,0.0001623776739188721,131,0.9790723323822021,-0.10685848444700241,1.0108420848846436,-5.357256889343262
590,22.17,18.415533,25,513,12840,0.0001623776739188721,141,0.9774819016456604,-0.11496254801750183,0.8608272075653076,-5.494284152984619
600,20.7,16.917881,25,515,13000,0.0001623776739188721,149,0.9762107133865356,-0.12125854194164276,0.7832503318786621,-5.555730819702148
610,20.48,16.749884,25,519,13280,0.0001623776739188721,163,0.9739910364151001,-0.1332833617925644,0.9052094221115112,-5.615453243255615
620,20.86,16.981989,25,522,13480,0.0001623776739188721,173,0.9724082946777344,-0.14102470874786377,0.8443965911865234,-5.799625873565674
630,20.92,18.019344,26,526,13760,0.0001623776739188721,187,0.9701970815658569,-0.1529432237148285,1.093977689743042,-5.838122367858887
640,20.72,17.17224,26,529,14020,0.0001623776739188721,200,0.9681482315063477,-0.16327665746212006,0.8402355313301086,-5.991615295410156
650,21.43,18.054468,26,532,14200,0.0001623776739188721,209,0.9667335152626038,-0.17115658521652222,0.801776647567749,-6.158634185791016
660,21.92,18.572279,26,536,14440,0.0001623776739188721,221,0.9648508429527283,-0.18089617788791656,0.8490386009216309,-6.221185684204102
670,21.68,18.253996,27,537,14560,0.0001623776739188721,227,0.9639110565185547,-0.18576152622699738,0.557202935218811,-6.283790588378906
680,21.62,18.531578,27,541,14840,0.0001623776739188721,241,0.961721658706665,-0.1958291083574295,0.8489183783531189,-6.336457252502441
690,21.38,18.163404,27,545,15100,0.0001623776739188721,254,0.9596948623657227,-0.2074701339006424,0.9867512583732605,-6.513980865478516
700,22.31,19.758429,27,548,15340,0.0001623776739188721,266,0.9578268527984619,-0.21786367893218994,1.152818202972412,-6.584690570831299
710,22.69,19.72591,28,551,15600,0.0001623776739188721,279,0.9558072686195374,-0.2307012975215912,0.7310235500335693,-6.654420852661133
720,23.39,20.889101,28,554,15860,0.0001623776739188721,292,0.9537925124168396,-0.23791202902793884,0.46587440371513367,-6.843034744262695
730,22.71,19.8567,28,558,16100,0.0001623776739188721,304,0.9519372582435608,-0.247319757938385,1.1319457292556763,-6.900636196136475
740,22.74,20.154064,29,561,16320,0.0001623776739188721,315,0.9502406120300293,-0.2578348219394684,0.9713393449783325,-7.0749053955078125
750,23.66,22.729576,29,564,16540,0.0001623776739188721,326,0.9485491514205933,-0.266350656747818,0.9893507361412048,-7.15234375
760,22.44,21.139612,29,567,16840,0.0001623776739188721,341,0.9462472796440125,-0.27723604440689087,1.0384695529937744,-7.3046956062316895
770,23.89,23.766539,29,570,17080,0.0001623776739188721,353,0.9444091320037842,-0.287048876285553,0.694466233253479,-7.605676651000977
780,24.42,24.169815,30,573,17400,0.0001623776739188721,369,0.9419634938240051,-0.30119162797927856,0.8790202140808105,-7.535855293273926
790,25.22,24.884705,30,576,17740,0.0001623776739188721,386,0.939372181892395,-0.3160538077354431,0.7924693822860718,-7.847687721252441
800,26.13,25.931877,31,579,17980,0.0001623776739188721,398,0.9375512003898621,-0.3176678419113159,1.4903473854064941,-7.8181352615356445
810,25.82,26.238777,31,581,18220,0.0001623776739188721,410,0.9357370138168335,-0.3356354534626007,1.1838452816009521,-8.086799621582031
820,25.79,26.676826,31,583,18440,0.0001623776739188721,421,0.9340732097625732,-0.34251952171325684,0.8618788123130798,-8.049068450927734
830,26.09,26.74033,31,588,18800,0.0001623776739188721,439,0.9313609600067139,-0.3545896112918854,0.9528785347938538,-8.336088180541992
840,27.31,29.526894,32,593,19140,0.0001623776739188721,456,0.9288087487220764,-0.36847376823425293,1.1641473770141602,-8.210865020751953
850,27.54,29.323065,32,597,19520,0.0001623776739188721,475,0.9259675741195679,-0.3852079212665558,1.1436963081359863,-8.55234432220459
860,28.84,30.762318,33,599,19800,0.0001623776739188721,489,0.9238788485527039,-0.3945726752281189,1.3974385261535645,-8.655838012695312
870,29.03,31.820873,38,528,20140,0.0001623776739188721,506,0.9213491082191467,-0.40682339668273926,0.9828764200210571,-8.961801528930664
880,29.92,33.46874,38,531,20420,0.0001623776739188721,520,0.919270396232605,-0.4250665605068207,2.891342878341675,-9.154422760009766
890,30.02,34.097164,38,535,20880,0.0001623776739188721,543,0.9158688187599182,-0.4406442642211914,0.9584720730781555,-9.197413444519043
900,30.1,34.802444,39,539,21220,0.0001623776739188721,560,0.9133632779121399,-0.44875001907348633,1.3068087100982666,-9.60916519165039
910,31.13,37.46409,39,543,21660,0.0001623776739188721,582,0.9101414680480957,-0.46514010429382324,1.5438728332519531,-9.577217102050781
920,32.07,38.63852,40,546,22020,0.0001623776739188721,600,0.9075222015380859,-0.4818631410598755,1.4139007329940796,-9.956668853759766
930,33.92,41.007824,40,551,22520,0.0001623776739188721,625,0.9038869142532349,-0.49315428733825684,1.8007640838623047,-10.324591636657715
