time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss
10,12.545454545454545,8.979292,0,2469,320,,,,,,
20,14.80952380952381,11.295336,0,2630,500,,,,,,
30,16.1,12.846994,0,2876,660,,,,,,
40,16.073170731707318,12.037582,0,3068,820,,,,,,
50,16.64,12.7993965,0,3208,980,,,,,,
60,16.322580645161292,12.652719,0,3479,1240,,,,,,
70,16.67142857142857,12.727787,0,3551,1380,,,,,,
80,17.0875,13.130659,0,3641,1560,,,,,,
90,17.582417582417584,13.897821,0,3741,1840,,,,,,
100,18.05,14.30168,0,3813,2140,,,,,,
110,19.14,15.515063,0,3787,2280,,,,,,
120,19.55,15.805697,0,3795,2520,,,,,,
130,19.79,15.822584,0,3853,2760,,,,,,
140,20.78,17.069086,0,3843,2940,,,,,,
150,21.07,17.061213,0,3892,3300,,,,,,
160,22.09,17.799873,0,3933,3540,,,,,,
170,22.79,18.064938,0,3997,3800,,,,,,
180,22.66,17.990072,0,4014,4000,,,,,,
190,22.93,18.399128,1,4046,4260,,,,,,
200,22.59,18.086578,1,4053,4480,,,,,,
210,23.05,19.085556,1,4069,4660,,,,,,
220,22.83,19.309755,1,4085,4840,,,,,,
230,23.64,21.261423,1,4080,5040,,,,,,
240,22.91,20.583473,1,4031,5160,,,,,,
250,22.55,20.3445,1,3969,5380,,,,,,
260,21.9,20.006124,1,3914,5580,,,,,,
270,20.95,19.562256,1,3853,5780,,,,,,
280,21.11,19.566315,1,3790,5980,,,,,,
290,21.3,19.517248,1,3715,6220,,,,,,
300,20.79,18.615435,1,3688,6300,,,,,,
310,20.09,16.963968,1,3677,6640,,,,,,
320,20.58,17.057005,1,3610,6840,,,,,,
330,20.14,14.963378,1,3581,7160,,,,,,
340,20.55,15.045685,2,3589,7400,,,,,,
350,21.14,15.009463,2,3569,7640,,,,,,
360,21.65,15.171976,2,3565,7860,,,,,,
370,22.49,16.467653,2,3558,8140,,,,,,
380,22.85,16.979752,2,3524,8280,,,,,,
390,23.3,18.520733,2,3493,8480,,,,,,
400,22.71,18.030066,2,3475,8660,,,,,,
410,22.9,18.56717,2,3468,8840,,,,,,
420,22.3,18.012318,2,3457,9000,,,,,,
430,21.53,17.81408,2,3462,9180,,,,,,
440,20.61,17.152847,2,3473,9380,,,,,,
450,20.55,17.809572,2,3465,9560,,,,,,
460,20.13,17.627111,2,3471,9760,,,,,,
470,19.21,16.082071,2,3451,9900,,,,,,
480,19.16,16.153471,3,3129,10200,0.0001623776739188721,9,0.9987004399299622,-0.006494160275906324,5.807026386260986,-2.513711452484131
490,18.77,14.760564,3,2965,10380,0.0001623776739188721,18,0.9972383379936218,-0.013865703716874123,4.313730716705322,-2.9302492141723633
500,19.25,15.310736,3,2693,10620,0.0001623776739188721,30,0.9952913522720337,-0.023755483329296112,2.8116366863250732,-3.580404043197632
510,19.55,14.976911,4,2582,10820,0.0001623776739188721,40,0.9936711192131042,-0.03203653544187546,2.4081332683563232,-4.035373687744141
520,19.91,15.53598,4,2453,11080,0.0001623776739188721,53,0.9915692806243896,-0.04264470934867859,1.789553165435791,-4.509008407592773
530,20.48,16.153618,4,2375,11280,0.0001623776739188721,63,0.9899562001228333,-0.05091783031821251,1.3036532402038574,-4.815790176391602
540,20.59,16.237621,5,2284,11480,0.0001623776739188721,73,0.9883453845977783,-0.059150196611881256,1.4594016075134277,-4.762473106384277
550,20.43,15.773927,5,2226,11660,0.0001623776739188721,82,0.9868996739387512,-0.06616568565368652,1.216871738433838,-4.85246467590332
560,21.23,17.100561,5,2166,11840,0.0001623776739188721,91,0.9854561686515808,-0.07361337542533875,1.1324843168258667,-4.942245960235596
570,21.38,17.368849,5,2093,12060,0.0001623776739188721,102,0.9836964011192322,-0.08264266699552536,1.010549783706665,-4.965296268463135
580,20.63,16.2264,6,2035,12220,0.0001623776739188721,110,0.9824178814888,-0.09013710170984268,1.1545593738555908,-5.2477874755859375
590,20.37,16.311365,6,1970,12460,0.0001623776739188721,122,0.9805023074150085,-0.09900914132595062,1.216590166091919,-5.229394912719727
600,20.55,16.29824,6,1933,12660,0.0001623776739188721,132,0.9789095520973206,-0.10742101073265076,1.1006885766983032,-5.417072772979736
610,20.41,16.229643,6,1893,12880,0.0001623776739188721,143,0.9771603345870972,-0.11667563021183014,0.7530994415283203,-5.479784965515137
620,19.96,15.79908,6,1863,13000,0.0001623776739188721,149,0.9762071371078491,-0.1208212822675705,1.0402538776397705,-5.57267951965332
630,20.41,16.766693,7,1812,13260,0.0001623776739188721,162,0.9741466641426086,-0.13240806758403778,0.5675521492958069,-5.673190116882324
640,20.31,16.809746,7,1778,13460,0.0001623776739188721,172,0.9725639224052429,-0.14017169177532196,0.9409687519073486,-5.758465766906738
650,20.3,17.076967,7,1746,13700,0.0001623776739188721,184,0.9706677198410034,-0.15131959319114685,0.8161987662315369,-5.8578948974609375
660,19.94,16.642065,8,1712,14020,0.0001623776739188721,200,0.968145489692688,-0.16336360573768616,0.8234079480171204,-5.990091323852539
