time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
380,0,10,9.766291,1126,14.9,,,,,,
600,0,20,11.529919,1352,17.6,,,,,,
820,0,30,12.5210705,1582,18.258064516129032,,,,,,
960,0,40,13.624809,1430,18.225,,,,,,
1160,0,50,15.461049,1554,19.058823529411764,,,,,,
1380,0,60,14.734663,1709,18.616666666666667,,,,,,
1640,0,70,15.266111,1876,19.042857142857144,,,,,,
1800,0,80,14.798667,1936,18.987654320987655,,,,,,
2060,1,90,14.918052,2023,19.3,,,,,,
2240,1,100,15.769284,2085,20.2,,,,,,
2460,1,110,16.316435,2146,20.61,,,,,,
2660,1,120,16.075695,2173,20.5,,,,,,
2960,1,130,16.656487,2256,20.71,,,,,,
3200,1,140,18.107391,2304,22.03,,,,,,
3380,1,150,17.681248,2336,21.82,,,,,,
3520,1,160,17.922684,2363,22.2,,,,,,
3780,1,170,17.910795,2415,22.12,,,,,,
4040,1,180,17.97753,2462,22.53,,,,,,
4240,1,190,18.133427,2488,22.66,,,,,,
4460,1,200,16.779425,2510,21.77,,,,,,
4660,1,210,17.331457,2514,22.06,,,,,,
4940,1,220,17.440998,2572,22.34,,,,,,
5140,1,230,16.822674,2604,22.14,,,,,,
5480,2,240,16.662128,2653,22.16,,,,,,
5640,2,250,16.124409,2667,22.11,,,,,,
5780,2,260,17.332256,2679,22.96,,,,,,
6000,2,270,16.374554,2698,22.14,,,,,,
6180,2,280,16.340124,2721,21.79,,,,,,
6380,2,290,16.149107,2742,21.41,,,,,,
6560,2,300,16.554474,2761,21.58,,,,,,
6740,2,310,15.548755,2783,21.12,,,,,,
6980,2,320,15.483149,2810,20.63,,,,,,
7220,2,330,15.355461,2840,20.7,,,,,,
7500,2,340,15.575959,2867,20.62,,,,,,
7780,2,350,15.032332,2898,20.59,,,,,,
8000,2,360,15.408312,2919,20.98,,,,,,
8180,2,370,16.092464,2937,21.64,,,,,,
8500,2,380,16.512636,2973,21.95,,,,,,
8660,2,390,16.77682,2979,22.31,,,,,,
8820,2,400,16.812325,2987,22.2,,,,,,
9000,3,410,16.664658,2997,21.79,,,,,,
9240,3,420,18.088306,3017,22.67,,,,,,
9460,3,430,19.10605,3034,23.15,,,,,,
9700,3,440,18.162886,3055,22.51,,,,,,
9900,3,450,18.641682,3077,22.45,,,,,,
10040,22,460,17.670195,443,21.46,0.00020691380811147902,7.0896430015563965,1,-2.0619029998779297,1.0,0.0
