time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
380,0,10,11.839767,2801,15.8,,,,,,
660,0,20,14.199945,3357,19.047619047619047,,,,,,
840,0,30,14.212521,3415,19.875,,,,,,
1080,0,40,13.746817,3668,19.75,,,,,,
1220,0,50,14.896216,3581,20.235294117647058,,,,,,
1440,0,60,15.298554,3400,20.316666666666666,,,,,,
1740,0,70,16.140234,3323,20.428571428571427,,,,,,
2040,0,80,16.732359,3409,20.75609756097561,,,,,,
2220,0,90,17.486786,3389,21.08888888888889,,,,,,
2500,0,100,19.325682,3404,22.02,,,,,,
2700,0,110,19.74231,3472,22.41,,,,,,
2900,0,120,20.848293,3496,23.09,,,,,,
3120,0,130,21.07421,3530,22.84,,,,,,
3360,0,140,21.092596,3575,22.85,,,,,,
3540,0,150,20.627083,3598,22.65,,,,,,
3780,1,160,21.25876,3612,22.97,,,,,,
3960,1,170,21.23242,3601,23.35,,,,,,
4240,1,180,20.304466,3654,23.08,,,,,,
4480,1,190,20.430866,3693,23.21,,,,,,
4700,1,200,18.663593,3716,22.47,,,,,,
4900,1,210,18.363379,3731,22.47,,,,,,
5080,1,220,17.154327,3737,21.58,,,,,,
5240,1,230,17.379059,3734,21.91,,,,,,
5480,1,240,17.36294,3764,21.63,,,,,,
5700,1,250,18.1665,3795,22.11,,,,,,
5860,1,260,17.082516,3775,21.23,,,,,,
6060,1,270,16.440062,3777,20.57,,,,,,
6280,1,280,16.8144,3728,20.63,,,,,,
6500,1,290,16.705114,3736,20.69,,,,,,
6680,1,300,16.434328,3743,20.26,,,,,,
6960,1,310,16.844166,3773,20.51,,,,,,
7220,1,320,17.408157,3737,20.95,,,,,,
7440,1,330,17.659056,3753,20.98,,,,,,
7620,2,340,17.512247,3769,21.07,,,,,,
7780,2,350,17.577295,3765,21.32,,,,,,
8020,2,360,17.623678,3790,21.46,,,,,,
8260,2,370,17.446386,3813,21.52,,,,,,
8500,2,380,17.283123,3803,21.54,,,,,,
8740,2,390,17.744047,3800,21.88,,,,,,
8940,2,400,17.840263,3799,22.29,,,,,,
9160,2,410,17.813576,3807,22.07,,,,,,
9420,2,420,18.466673,3812,22.03,,,,,,
9600,2,430,17.986565,3826,21.85,,,,,,
9820,2,440,18.52724,3841,22.07,,,,,,
10020,2,450,18.32525,3836,21.83,,,,,,
10220,2,460,18.355644,3540,21.87,0.00020691380811147902,5.42279052734375,10,-2.6719961166381836,0.9981375336647034,-0.009386744350194931
10400,3,470,18.846283,3328,22.15,0.00020691380811147902,3.972310781478882,19,-3.221951484680176,0.9962773323059082,-0.018808765336871147
10600,3,480,18.58911,3130,22.04,0.00020691380811147902,2.1022117137908936,29,-3.8773128986358643,0.9942135214805603,-0.029278840869665146
10880,3,490,17.683517,2918,21.29,0.00020691380811147902,1.7685199975967407,43,-4.693490028381348,0.9913308024406433,-0.043792497366666794
11100,3,500,17.865135,2793,21.3,0.00020691380811147902,1.5290249586105347,54,-4.822811603546143,0.9890720248222351,-0.055537931621074677
11300,4,510,17.871367,2666,21.37,0.00020691380811147902,1.2483611106872559,64,-4.818357944488525,0.9870224595069885,-0.06607271730899811
11520,4,520,17.87776,2551,21.6,0.00020691380811147902,1.0172162055969238,75,-4.8855462074279785,0.9847729206085205,-0.07771381735801697
11760,4,530,17.201754,2458,21.58,0.00020691380811147902,0.9929525256156921,87,-5.102168083190918,0.9823262095451355,-0.08957257866859436
11940,4,540,16.893284,2390,21.28,0.00020691380811147902,0.858606219291687,96,-5.1824140548706055,0.9804967045783997,-0.09899485856294632
12180,5,550,17.319523,2310,21.26,0.00020691380811147902,1.0478997230529785,108,-5.240916728973389,0.9780638217926025,-0.11195328831672668
12380,5,560,17.439447,2257,21.45,0.00020691380811147902,0.859130859375,118,-5.336179256439209,0.9760394096374512,-0.12239786237478256
12620,5,570,17.161152,2166,21.37,0.00020691380811147902,0.9542731046676636,130,-5.5126519203186035,0.9736156463623047,-0.13411274552345276
12840,6,580,17.440985,2109,21.31,0.00020691380811147902,0.6882952451705933,141,-5.625967025756836,0.9713993072509766,-0.14636728167533875
13020,6,590,17.058659,2073,21.33,0.00020691380811147902,0.7109926342964172,150,-5.75121545791626,0.9695886373519897,-0.1557314693927765
13240,6,600,18.845833,2032,21.98,0.00020691380811147902,0.8978968858718872,161,-5.7250165939331055,0.9673810601234436,-0.1673004925251007
13540,6,610,18.426,1986,21.61,0.00020691380811147902,0.6628695130348206,176,-5.877258777618408,0.9643792510032654,-0.18307237327098846
13720,7,620,18.81473,1958,22.0,0.00020691380811147902,0.5768855810165405,185,-6.018218040466309,0.9625827670097351,-0.19151687622070312
14040,7,630,18.748777,1911,21.91,0.00020691380811147902,0.7141957879066467,201,-6.073117256164551,0.9593981504440308,-0.20922806859016418
14200,7,640,19.841871,1893,22.63,0.00020691380811147902,0.6648471355438232,209,-6.139016628265381,0.9578105807304382,-0.2174069583415985
14460,7,650,19.56241,1858,22.84,0.00020691380811147902,0.6307852268218994,222,-6.368061065673828,0.9552378058433533,-0.2302829623222351
14660,7,660,19.441092,1835,22.73,0.00020691380811147902,0.5836199522018433,232,-6.379903316497803,0.9532638192176819,-0.24125739932060242
