#{"t_start": 1692369330.6772969, "env_id": null}
r,l,t
6.134812,9,14.174554
4.3819976,10,14.180624
8.386692,13,14.190694
10.101056,15,14.198738
14.825145,16,14.204101
19.122004,17,14.209013
13.176191,18,14.216616
17.558674,18,14.218182
11.312725,18,14.219182
10.752871,18,14.220332
17.376034,20,14.237597
16.742447,21,14.241748
3.047027,12,14.246582
9.372223,22,14.247606
10.293953,17,14.347466
8.379631,12,14.426833
8.861278,12,14.44676
28.176472,28,14.447751
26.936995,29,14.464352
38.367706,29,14.465426
9.310394,12,14.477193
16.858952,31,14.4854
14.665833,15,14.506888
8.263262,12,14.517298
31.93849,34,14.518183
12.293218,14,14.525314
6.925263,17,14.526273
15.676718,17,14.534549
25.539791,39,14.544857
10.963161,21,14.547977
7.0321536,11,14.556194
12.131285,20,14.566885
12.128626,31,14.577686
6.0103216,9,14.578739
9.85109,16,14.584497
7.962461,13,14.60255
11.881705,16,14.60374
8.551266,12,14.604776
68.1116,51,14.674612
20.310472,24,14.681831
25.300339,21,14.688766
7.356046,25,14.698805
8.482463,12,14.704321
6.38261,29,14.705238
6.4958706,18,14.710592
18.216688,31,14.711321
14.368862,24,14.718117
10.723596,18,14.718954
50.171688,37,14.751568
38.786793,30,14.762326
8.199161,15,14.763235
23.430857,22,14.778805
17.371492,24,14.779767
15.940264,30,14.780483
13.143138,14,14.790179
25.856136,24,14.797625
10.253325,15,14.798652
5.424195,20,14.810204
4.656136,26,14.812513
5.689361,17,14.819584
7.3630285,17,14.820765
6.901613,9,14.821667
4.339997,18,14.833432
4.928577,8,14.840059
6.434104,10,14.841042
21.076488,20,14.849042
82.1415,60,14.849972
18.829762,36,14.862083
12.562049,13,14.87308
10.115202,15,14.897223
24.667517,31,14.898181
13.469407,15,14.910894
13.565029,16,14.917136
7.3111916,12,14.921411
16.063478,16,14.922293
6.8195014,23,14.93326
10.913861,18,14.934204
17.080359,25,14.934976
7.4853415,23,14.940427
9.641006,24,14.949106
19.021627,21,14.949985
17.8493,20,14.95606
21.538755,21,14.966071
26.243319,23,14.977049
8.330424,12,14.989445
13.790935,15,14.990544
135.66397,66,15.010196
11.759867,13,15.0173
10.441903,11,15.018299
58.34993,59,15.024248
28.6915,30,15.025764
17.85878,21,15.040999
