rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
11.575216,10,2700,0,15.2,360,,,,,,
14.165296,20,1534,0,17.7,580,,,,,,
14.524701,30,1693,0,18.866666666666667,780,,,,,,
14.992801,40,1748,0,19.225,1040,,,,,,
15.572473,50,1982,0,20.176470588235293,1340,,,,,,
15.003639,60,2014,0,20.112903225806452,1480,,,,,,
15.708744,70,2120,0,20.535211267605632,1720,,,,,,
15.267798,80,2202,0,20.382716049382715,1900,,,,,,
17.24562,90,2344,0,21.10989010989011,2200,,,,,,
17.238575,100,2438,1,21.38,2460,,,,,,
17.926123,110,2462,1,21.93,2600,,,,,,
18.31639,120,2497,1,21.99,2780,,,,,,
17.627113,130,2541,1,21.33,2980,,,,,,
17.982475,140,2581,1,21.48,3180,,,,,,
17.826328,150,2637,1,20.99,3400,,,,,,
18.608109,160,2654,1,21.61,3540,,,,,,
17.957726,170,2710,1,21.16,3760,,,,,,
18.009172,180,2727,1,20.89,3900,,,,,,
15.988023,190,2766,1,19.82,4120,,,,,,
16.23404,200,2819,1,19.63,4380,,,,,,
15.304387,210,2848,1,19.42,4560,,,,,,
15.231747,220,2830,1,19.49,4760,,,,,,
15.721799,230,2862,1,20.07,4960,,,,,,
14.969134,240,2869,1,19.59,5120,,,,,,
15.164324,250,2888,1,19.51,5320,,,,,,
14.64087,260,2909,1,18.69,5500,,,,,,
15.199721,270,2930,1,19.04,5700,,,,,,
15.342878,280,2941,1,19.06,5860,,,,,,
15.402736,290,2967,2,19.24,6080,,,,,,
15.309092,300,2971,2,19.53,6220,,,,,,
15.103741,310,2981,2,18.98,6400,,,,,,
15.197794,320,3002,2,18.79,6640,,,,,,
15.049535,330,3007,2,18.64,6760,,,,,,
14.942356,340,3011,2,18.62,6920,,,,,,
14.393911,350,3034,2,18.48,7200,,,,,,
14.734946,360,3052,2,18.85,7420,,,,,,
16.13893,370,3077,2,19.77,7700,,,,,,
16.364182,380,3081,2,19.97,7840,,,,,,
16.84296,390,3096,2,20.33,8060,,,,,,
16.600306,400,3109,2,20.05,8260,,,,,,
16.69092,410,3119,2,20.35,8480,,,,,,
16.783865,420,3134,2,20.83,8700,,,,,,
17.53222,430,3153,2,21.2,8960,,,,,,
17.53137,440,3157,2,21.37,9080,,,,,,
17.363548,450,3173,2,21.43,9320,,,,,,
17.332262,460,3192,2,21.58,9520,,,,,,
16.085808,470,3202,3,20.85,9700,,,,,,
15.5308695,480,3183,3,20.68,9880,,,,,,
15.442745,490,385,26,20.7,10160,-2.6528666019439697,-0.007972306571900845,0.00026366508987303583,7,0.9984182119369507,5.971074104309082
15.579331,500,389,26,20.71,10400,-3.553682804107666,-0.02388024516403675,0.00026366508987303583,19,0.9952595829963684,2.8314645290374756
15.234197,510,393,26,20.49,10600,-4.36125373840332,-0.037312135100364685,0.00026366508987303583,29,0.9926339983940125,1.879457712173462
15.666774,520,399,27,20.63,10880,-4.767752170562744,-0.05590147152543068,0.00026366508987303583,43,0.9889690279960632,1.7006927728652954
15.676112,530,401,27,21.0,11060,-4.6818437576293945,-0.06779436767101288,0.00026366508987303583,52,0.9866201281547546,1.2650254964828491
16.496386,540,404,27,21.48,11240,-4.834987163543701,-0.08077213913202286,0.00026366508987303583,61,0.9842774271965027,1.5344655513763428
16.084356,550,407,28,21.13,11460,-4.870769500732422,-0.09419231116771698,0.00026366508987303583,72,0.9814207553863525,0.9776432514190674
16.217514,560,410,28,21.0,11680,-5.080447196960449,-0.10994233191013336,0.00026366508987303583,83,0.9785734415054321,0.874650239944458
16.49125,570,413,28,21.12,11840,-5.142057418823242,-0.11913416534662247,0.00026366508987303583,91,0.9765085577964783,0.8819306492805481
16.231436,580,417,28,21.12,12100,-5.29975700378418,-0.1382727026939392,0.00026366508987303583,104,0.9731658697128296,0.8445050716400146
16.061972,590,420,29,20.72,12340,-5.3739190101623535,-0.15333127975463867,0.00026366508987303583,116,0.9700862765312195,0.8873602747917175
15.539826,600,423,29,20.39,12520,-5.445034980773926,-0.16435478627681732,0.00026366508987303583,125,0.9677843451499939,0.6836739182472229
16.805305,610,427,29,21.11,12780,-5.590684413909912,-0.18335182964801788,0.00026366508987303583,138,0.9644711017608643,0.7673581838607788
16.325918,620,429,30,21.02,12940,-5.640687465667725,-0.19323745369911194,0.00026366508987303583,146,0.9624360203742981,0.55999755859375
18.310558,630,433,30,21.41,13200,-5.779060363769531,-0.21062874794006348,0.00026366508987303583,159,0.9591389298439026,0.5460788011550903
17.805035,640,437,30,21.02,13460,-5.897227764129639,-0.2266063392162323,0.00026366508987303583,172,0.9558529853820801,0.6917041540145874
18.17547,650,442,31,21.51,13760,-6.012434959411621,-0.2477256953716278,0.00026366508987303583,187,0.9520758986473083,0.38497138023376465
19.871407,660,445,31,22.69,14020,-6.140052795410156,-0.264268159866333,0.00026366508987303583,200,0.9488160610198975,0.5138604640960693
19.464392,670,449,31,22.67,14260,-6.225547790527344,-0.28183406591415405,0.00026366508987303583,212,0.9458200335502625,0.6541223526000977
20.926096,680,452,32,23.57,14540,-6.3692851066589355,-0.29940593242645264,0.00026366508987303583,226,0.9423375725746155,0.6775540113449097
22.371332,690,456,32,24.95,14840,-6.4069366455078125,-0.3172110319137573,0.00026366508987303583,241,0.9386203289031982,0.5936264991760254
24.09452,700,460,32,26.03,15100,-6.6794867515563965,-0.33679014444351196,0.00026366508987303583,254,0.9354157447814941,0.6107192635536194
24.609303,710,464,33,26.4,15420,-6.652637958526611,-0.3564438819885254,0.00026366508987303583,270,0.9314829707145691,0.9112221002578735
24.642727,720,466,33,26.47,15620,-6.657120704650879,-0.371218204498291,0.00026366508987303583,280,0.9290351867675781,0.6645539999008179
23.598162,730,472,33,26.65,16040,-7.0564961433410645,-0.400071382522583,0.00026366508987303583,301,0.9239170551300049,0.41980448365211487
24.741096,740,475,34,27.39,16220,-6.995913505554199,-0.4086742401123047,0.00026366508987303583,310,0.9217311143875122,0.7046496868133545
25.723232,750,477,34,27.8,16420,-7.11460018157959,-0.4219813346862793,0.00026366508987303583,320,0.9193123579025269,0.793950617313385
