rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
9.475041,10,2103,0,13.7,340,,,,,,
11.954312,20,2866,0,17.952380952380953,640,,,,,,
13.807897,30,2940,0,19.166666666666668,760,,,,,,
14.304367,40,3158,0,18.775,980,,,,,,
14.1680765,50,3234,0,18.8,1180,,,,,,
14.25807,60,3265,0,19.116666666666667,1340,,,,,,
14.7621155,70,3364,0,19.366197183098592,1660,,,,,,
15.157709,80,3378,0,19.65,1820,,,,,,
15.513689,90,3491,0,19.81111111111111,2060,,,,,,
15.684839,100,3378,0,20.31,2280,,,,,,
16.3749,110,3373,0,21.03,2480,,,,,,
16.694733,120,3294,0,21.07,2700,,,,,,
16.246681,130,3234,0,20.86,2880,,,,,,
15.789526,140,3242,0,20.69,3060,,,,,,
17.067507,150,3256,1,21.43,3300,,,,,,
16.917261,160,3238,1,21.23,3460,,,,,,
16.419464,170,3212,1,21.0,3640,,,,,,
16.44188,180,3249,1,20.85,3920,,,,,,
16.420567,190,3304,1,20.8,4120,,,,,,
16.001236,200,3302,1,20.16,4360,,,,,,
15.748197,210,3359,1,19.87,4560,,,,,,
15.549417,220,3419,1,19.57,4860,,,,,,
16.61666,230,3425,1,19.99,5100,,,,,,
18.275919,240,3472,1,21.05,5360,,,,,,
19.51444,250,3536,1,21.94,5660,,,,,,
20.563696,260,3521,1,22.79,5900,,,,,,
21.65925,270,3529,1,23.46,6120,,,,,,
22.707674,280,3531,1,24.07,6300,,,,,,
22.20134,290,3508,1,24.06,6500,,,,,,
22.674637,300,3447,1,24.48,6760,,,,,,
22.407381,310,3406,2,24.35,6960,,,,,,
22.371206,320,3387,2,24.61,7140,,,,,,
21.188747,330,3390,2,24.18,7380,,,,,,
21.2927,340,3406,2,24.46,7620,,,,,,
18.181072,350,3418,2,22.27,7860,,,,,,
17.89275,360,3434,2,22.01,8120,,,,,,
18.039839,370,3434,2,22.28,8240,,,,,,
16.93495,380,3455,2,21.93,8500,,,,,,
16.769785,390,3472,2,21.71,8720,,,,,,
17.618742,400,3486,2,22.21,8940,,,,,,
17.85623,410,3490,2,22.32,9120,,,,,,
18.177914,420,3501,2,22.31,9520,,,,,,
18.58111,430,3504,2,22.64,9680,,,,,,
17.953264,440,3513,2,22.85,9880,,,,,,
18.159811,450,2799,3,23.27,10100,-2.3862175941467285,-0.003967729397118092,0.00026366508987303583,4,0.9992091059684753,6.892167568206787
17.843468,460,2558,4,23.01,10340,-3.300363540649414,-0.019862059503793716,0.00026366508987303583,16,0.996047854423523,3.336055040359497
16.99598,470,2430,4,22.34,10540,-4.0885748863220215,-0.033287014812231064,0.00026366508987303583,26,0.9934204816818237,1.9178142547607422
17.064417,480,2222,4,22.31,10760,-4.706480979919434,-0.047999776899814606,0.00026366508987303583,37,0.9905372858047485,2.0016303062438965
17.139599,490,2129,5,22.22,11020,-4.7570953369140625,-0.06547840684652328,0.00026366508987303583,50,0.9871400594711304,1.113031029701233
17.783272,500,2067,5,22.78,11240,-4.8956146240234375,-0.08086619526147842,0.00026366508987303583,61,0.9842751026153564,1.0578303337097168
17.451685,510,2008,5,22.46,11440,-5.0010986328125,-0.09348377585411072,0.00026366508987303583,71,0.9816766977310181,1.065630555152893
17.258858,520,1954,5,22.52,11660,-5.100478172302246,-0.10737785696983337,0.00026366508987303583,82,0.9788291454315186,0.932403564453125
17.285517,530,1914,6,22.01,11860,-5.220285415649414,-0.1213630884885788,0.00026366508987303583,92,0.976249635219574,0.888256847858429
18.373451,540,1871,6,21.89,12080,-5.383424758911133,-0.13586416840553284,0.00026366508987303583,103,0.9734221696853638,0.9375557899475098
17.898317,550,1824,6,21.27,12320,-5.392281532287598,-0.15140891075134277,0.00026366508987303583,115,0.9703435897827148,0.8589050769805908
18.25332,560,1797,6,21.48,12480,-5.532520771026611,-0.1621863842010498,0.00026366508987303583,123,0.968296468257904,0.8682045340538025
18.349602,570,1757,7,21.45,12680,-5.5519280433654785,-0.17588558793067932,0.00026366508987303583,133,0.9657439589500427,0.4707125127315521
18.323929,580,1722,7,21.87,12940,-5.687333106994629,-0.19288010895252228,0.00026366508987303583,146,0.9624339938163757,0.7211340069770813
18.473017,590,1699,7,21.92,13140,-5.797610282897949,-0.20644088089466095,0.00026366508987303583,156,0.9598957896232605,0.6089864373207092
18.780994,600,1671,8,21.6,13420,-5.936622142791748,-0.22535577416419983,0.00026366508987303583,170,0.9563552737236023,0.4144366383552551
19.069614,610,1642,8,22.32,13680,-5.792741775512695,-0.24170178174972534,0.00026366508987303583,183,0.953078031539917,0.7274680137634277
