rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
14.363636363636363,0,8.770798,360,767,10,,,,,,
17.714285714285715,0,12.410475,600,1118,20,,,,,,
18.133333333333333,0,13.204768,740,1283,30,,,,,,
17.6,0,12.755812,1000,1094,40,,,,,,
18.24,0,12.873824,1220,1243,50,,,,,,
18.6,1,12.871464,1520,1433,60,,,,,,
20.09722222222222,1,15.0104065,1760,1554,70,,,,,,
20.97530864197531,1,16.032808,1980,1638,80,,,,,,
20.68888888888889,1,15.6737995,2160,1695,90,,,,,,
21.52,1,16.80036,2360,1772,100,,,,,,
21.72,1,17.160183,2640,1881,110,,,,,,
22.25,1,18.246,2860,1948,120,,,,,,
21.97,1,17.693409,3100,2011,130,,,,,,
23.14,1,19.17807,3420,2104,140,,,,,,
23.67,1,20.164604,3600,2145,150,,,,,,
24.91,1,22.321918,3880,2225,160,,,,,,
23.77,1,20.566765,4060,2264,170,,,,,,
23.19,1,19.99695,4300,2312,180,,,,,,
23.94,1,21.236012,4540,2362,190,,,,,,
23.42,1,20.409151,4720,2395,200,,,,,,
23.95,2,20.700945,5020,2455,210,,,,,,
23.93,2,20.486801,5200,2484,220,,,,,,
24.09,2,20.689651,5380,2519,230,,,,,,
23.43,2,19.496464,5640,2556,240,,,,,,
23.1,2,18.983908,5940,2600,250,,,,,,
22.33,2,17.951824,6080,2610,260,,,,,,
22.92,2,19.090712,6380,2654,270,,,,,,
22.82,2,18.737026,6580,2675,280,,,,,,
22.93,2,19.043629,6880,2712,290,,,,,,
23.27,2,19.711447,7100,2729,300,,,,,,
23.44,2,20.226,7300,2744,310,,,,,,
23.61,2,20.390305,7520,2761,320,,,,,,
23.67,2,20.210194,7820,2789,330,,,,,,
24.08,2,21.020523,7940,2790,340,,,,,,
23.79,2,20.641823,8220,2821,350,,,,,,
23.12,2,19.659721,8400,2829,360,,,,,,
22.57,3,18.726511,8660,2852,370,,,,,,
22.91,3,19.537285,8800,2855,380,,,,,,
22.69,3,18.51248,9120,2884,390,,,,,,
22.17,3,17.964483,9200,2880,400,,,,,,
21.77,3,17.285713,9520,2912,410,,,,,,
21.24,3,16.679445,9760,2929,420,,,,,,
21.62,3,17.53072,9960,2945,430,,,,,,
20.86,26,16.380295,10200,381,440,4.782106876373291,0.9973131418228149,9,-0.013549001887440681,0.0003359818286283781,-2.945387363433838
21.17,27,16.478378,10400,384,450,2.1021885871887207,0.9939632415771484,19,-0.03042365238070488,0.0003359818286283781,-3.9440526962280273
21.56,27,17.059175,10600,388,460,1.5153429508209229,0.9906245470046997,29,-0.04757016524672508,0.0003359818286283781,-4.782164573669434
21.51,27,17.271156,10880,393,470,1.429166555404663,0.985967218875885,43,-0.0711255893111229,0.0003359818286283781,-4.773548603057861
