rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
14.3,0,10.703239,380,2656,10,,,,,,
16.7,0,12.700506,580,2917,20,,,,,,
19.266666666666666,0,16.900837,780,3070,30,,,,,,
18.55,0,15.653143,980,3124,40,,,,,,
19.36,0,15.576825,1240,3247,50,,,,,,
20.43548387096774,0,17.047188,1480,3354,60,,,,,,
20.589041095890412,0,17.370499,1700,3448,70,,,,,,
20.333333333333332,0,16.949295,1880,3515,80,,,,,,
20.24175824175824,0,16.84419,2180,3609,90,,,,,,
21.19,0,17.435347,2380,3602,100,,,,,,
21.99,0,18.288904,2580,3557,110,,,,,,
22.1,0,18.096073,2780,3570,120,,,,,,
21.38,0,16.8762,3000,3584,130,,,,,,
22.28,0,18.064236,3260,3637,140,,,,,,
22.37,0,18.426424,3460,3680,150,,,,,,
21.77,0,17.791143,3640,3710,160,,,,,,
22.12,1,18.370369,3860,3729,170,,,,,,
22.73,1,18.863941,4180,3773,180,,,,,,
23.46,1,19.525717,4420,3789,190,,,,,,
22.46,1,19.011065,4640,3823,200,,,,,,
22.57,1,19.171566,4880,3839,210,,,,,,
22.92,1,19.645056,5040,3845,220,,,,,,
23.03,1,19.643536,5280,3872,230,,,,,,
22.95,1,19.37098,5500,3894,240,,,,,,
22.82,1,19.40814,5720,3925,250,,,,,,
22.81,1,19.17489,6040,3966,260,,,,,,
22.59,1,18.294651,6200,3974,270,,,,,,
23.17,1,18.914661,6500,3976,280,,,,,,
22.52,1,18.38363,6680,3937,290,,,,,,
22.58,1,18.401304,6920,3913,300,,,,,,
21.79,1,17.568014,7160,3895,310,,,,,,
22.24,1,18.319618,7420,3901,320,,,,,,
22.81,1,18.490883,7620,3892,330,,,,,,
23.08,2,18.462532,7880,3902,340,,,,,,
23.45,2,18.800085,8100,3895,350,,,,,,
23.6,2,19.183891,8340,3899,360,,,,,,
23.95,2,19.231464,8600,3921,370,,,,,,
23.52,2,18.461666,8880,3935,380,,,,,,
23.63,2,18.326378,9060,3935,390,,,,,,
23.76,2,18.640549,9300,3942,400,,,,,,
23.78,2,19.128773,9600,3965,410,,,,,,
24.62,2,19.436264,9760,3979,420,,,,,,
24.27,2,19.359068,9960,4003,430,,,,,,
23.92,2,19.234007,10220,3635,440,4.34660530090332,0.9969779849052429,10,-0.015151540748775005,0.0003359818286283781,-3.0124287605285645
23.54,3,18.87363,10420,3407,450,2.0415542125701904,0.9936286807060242,20,-0.032122112810611725,0.0003359818286283781,-4.056251525878906
23.2,3,18.485174,10660,3158,460,1.1946866512298584,0.9896242022514343,32,-0.05250634253025055,0.0003359818286283781,-4.8079142570495605
22.94,3,18.982555,10820,3015,470,0.9942444562911987,0.9869622588157654,40,-0.06611111015081406,0.0003359818286283781,-4.683626651763916
22.13,3,18.212854,11100,2807,480,1.196183443069458,0.9823205471038818,54,-0.09002712368965149,0.0003359818286283781,-4.836038589477539
22.2,4,18.716276,11300,2700,490,1.0363426208496094,0.9790204763412476,64,-0.10668380558490753,0.0003359818286283781,-5.108587741851807
21.76,4,17.942337,11540,2543,500,0.5950146317481995,0.975075364112854,76,-0.127139151096344,0.0003359818286283781,-5.1485595703125
22.07,4,17.911829,11720,2451,510,0.6691578030586243,0.9721274971961975,85,-0.14212219417095184,0.0003359818286283781,-5.19575834274292
21.22,5,17.639416,11960,2347,520,0.6839311718940735,0.9682126045227051,97,-0.16198578476905823,0.0003359818286283781,-5.309514999389648
21.42,5,17.859884,12220,2266,530,0.681605339050293,0.9639893174171448,110,-0.1861698180437088,0.0003359818286283781,-5.519608020782471
22.16,5,19.34682,12440,2199,540,0.47227007150650024,0.9604275226593018,121,-0.2032794952392578,0.0003359818286283781,-5.511199474334717
22.44,5,19.776733,12660,2147,550,0.3532137870788574,0.9568809866905212,132,-0.22141793370246887,0.0003359818286283781,-5.718607425689697
22.74,6,19.486786,12900,2093,560,0.5459782481193542,0.9530265927314758,144,-0.24212566018104553,0.0003359818286283781,-5.746612548828125
22.29,6,18.75045,13040,2062,570,0.46625834703445435,0.9507851600646973,151,-0.2557809054851532,0.0003359818286283781,-5.826051712036133
22.75,6,19.518023,13300,1991,580,0.44167888164520264,0.9466389417648315,164,-0.27641361951828003,0.0003359818286283781,-5.944746017456055
22.79,7,19.278763,13680,1901,590,0.4070650339126587,0.9406044483184814,183,-0.3069601058959961,0.0003359818286283781,-6.099902629852295
24.74,7,22.34507,13960,1846,600,0.4651865065097809,0.9361867308616638,197,-0.3330491781234741,0.0003359818286283781,-6.035794734954834
24.73,7,22.145988,14220,1801,610,0.661788821220398,0.9321067333221436,210,-0.3535767197608948,0.0003359818286283781,-6.254015922546387
25.35,8,23.128077,14440,1780,620,0.5913474559783936,0.9286707043647766,221,-0.374454528093338,0.0003359818286283781,-6.418060302734375
25.1,8,23.01729,14600,1756,630,0.5307039022445679,0.9261786937713623,229,-0.38699251413345337,0.0003359818286283781,-6.411355018615723
24.42,8,21.660131,15020,1710,640,0.5967807173728943,0.9196728467941284,250,-0.4199412167072296,0.0003359818286283781,-6.457701683044434
25.24,9,22.422651,15360,1672,650,0.7011606693267822,0.9144423604011536,267,-0.4490480422973633,0.0003359818286283781,-6.763969421386719
25.91,9,23.72356,15600,1656,660,0.5146283507347107,0.9107686877250671,279,-0.47596752643585205,0.0003359818286283781,-6.739218711853027
26.9,9,25.155502,16100,1618,670,0.7286745309829712,0.9031658172607422,304,-0.510079026222229,0.0003359818286283781,-6.991186141967773
27.82,10,26.711922,16300,1599,680,0.5457669496536255,0.9001433849334717,314,-0.5273112058639526,0.0003359818286283781,-7.081942558288574
28.83,10,28.801292,16460,1590,690,1.0231268405914307,0.8977357745170593,322,-0.5413597822189331,0.0003359818286283781,-7.155618190765381
27.81,10,27.778864,16700,1573,700,0.6110009551048279,0.8941338062286377,334,-0.568402886390686,0.0003359818286283781,-7.3165082931518555
27.89,10,28.503294,17060,1555,710,0.7462189197540283,0.8887604475021362,352,-0.58984375,0.0003359818286283781,-7.478540420532227
27.44,11,27.134192,17380,1535,720,0.5047722458839417,0.8840128183364868,368,-0.6228494048118591,0.0003359818286283781,-7.672913551330566
29.95,11,30.48559,17660,1513,730,0.4670863747596741,0.8798749446868896,382,-0.636318564414978,0.0003359818286283781,-7.823206901550293
