time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss,train/critic_loss
320,12.363636363636363,0,7.9254475,10,1986,,,,,,
560,14.636363636363637,0,9.259133,20,2363,,,,,,
800,16.666666666666668,0,11.602818,30,2544,,,,,,
1080,18.095238095238095,0,12.9640665,40,2561,,,,,,
1280,18.333333333333332,0,12.879413,50,2704,,,,,,
1460,21.383333333333333,0,16.96439,60,2757,,,,,,
1680,21.0,0,16.244999,70,2827,,,,,,
1860,21.0875,0,16.001886,80,2844,,,,,,
1980,20.24175824175824,0,15.293862,90,2854,,,,,,
2220,19.67,0,14.795606,100,2896,,,,,,
2420,20.32,0,15.602556,110,2937,,,,,,
2620,21.31,0,17.179722,120,2976,,,,,,
2800,20.77,0,16.755713,130,3009,,,,,,
3000,20.54,0,16.73454,140,3059,,,,,,
3220,20.95,1,17.349371,150,3094,,,,,,
3400,18.96,1,14.727221,160,3114,,,,,,
3600,18.97,1,15.086353,170,3142,,,,,,
3720,18.72,1,15.172772,180,3144,,,,,,
3940,18.97,1,15.439846,190,3183,,,,,,
4120,19.33,1,15.356306,200,3191,,,,,,
4420,19.33,1,15.277223,210,3230,,,,,,
4620,18.82,1,14.632837,220,3252,,,,,,
4880,19.81,1,16.03885,230,3284,,,,,,
5120,20.27,1,16.347803,240,3308,,,,,,
5320,20.69,1,16.16324,250,3317,,,,,,
5540,21.31,1,16.602407,260,3332,,,,,,
5780,21.34,1,16.451618,270,3347,,,,,,
5960,21.82,1,16.88225,280,3353,,,,,,
6220,22.08,1,17.085394,290,3370,,,,,,
6520,22.66,1,18.000658,300,3394,,,,,,
6680,22.87,1,18.395233,310,3391,,,,,,
6920,22.6,2,17.786514,320,3402,,,,,,
7180,22.42,2,17.534443,330,3414,,,,,,
7400,22.79,2,18.75423,340,3415,,,,,,
7740,22.38,2,19.075977,350,3440,,,,,,
7960,22.47,2,19.459982,360,3453,,,,,,
8180,22.1,2,19.058756,370,3460,,,,,,
8480,22.74,2,20.3191,380,3479,,,,,,
8760,23.64,2,22.036915,390,3496,,,,,,
8960,24.46,2,24.501005,400,3506,,,,,,
9180,24.32,2,23.745491,410,3510,,,,,,
9400,25.31,2,25.484825,420,3524,,,,,,
9620,25.21,2,25.270124,430,3539,,,,,,
9820,24.67,2,23.747028,440,3557,,,,,,
9980,24.83,2,23.968325,450,3573,,,,,,
10280,24.13,25,23.25506,460,399,0.00042813323987193956,0.9948700070381165,-0.026005491614341736,13,-3.720740795135498,2.495692253112793
10400,25.14,25,23.995857,470,400,0.00042813323987193956,0.9923130869865417,-0.03875739127397537,19,-4.522400856018066,1.9196183681488037
10600,24.02,26,22.002745,480,404,0.00042813323987193956,0.9880679249763489,-0.060688987374305725,29,-4.986384391784668,1.5251545906066895
10920,23.16,26,20.443785,490,410,0.00042813323987193956,0.9813115000724792,-0.09529785811901093,45,-4.738655090332031,0.9478803873062134
11060,21.95,26,17.735567,500,413,0.00042813323987193956,0.978370189666748,-0.10983917862176895,52,-5.002287864685059,0.8870227336883545
11280,22.02,26,18.217245,510,417,0.00042813323987193956,0.9737658500671387,-0.13405098021030426,63,-5.149576187133789,0.8636179566383362
11520,20.61,27,16.108624,520,421,0.00042813323987193956,0.9687654972076416,-0.16043350100517273,75,-5.259219169616699,0.7112985849380493
11700,20.74,27,16.033463,530,424,0.00042813323987193956,0.965035617351532,-0.1792965531349182,84,-5.369845867156982,0.7320008277893066
11920,21.1,27,16.6209,540,427,0.00042813323987193956,0.9604976177215576,-0.20236021280288696,95,-5.3761749267578125,0.48387521505355835
12140,20.57,28,15.835315,550,431,0.00042813323987193956,0.9559861421585083,-0.22755220532417297,106,-5.523515224456787,0.38090744614601135
12400,21.42,28,17.18783,560,435,0.00042813323987193956,0.9506742358207703,-0.2560669779777527,119,-5.558520317077637,0.42187291383743286
12600,21.51,28,18.014494,570,438,0.00042813323987193956,0.9466086030006409,-0.2754388153553009,129,-5.607876300811768,0.5673724412918091
12860,21.79,29,18.129864,580,442,0.00042813323987193956,0.9413512945175171,-0.3036196231842041,142,-5.762705326080322,0.5423671007156372
13160,22.18,29,18.207434,590,446,0.00042813323987193956,0.9353210926055908,-0.3354072570800781,157,-5.89591646194458,0.47944045066833496
13380,22.33,29,19.021233,600,450,0.00042813323987193956,0.9309239983558655,-0.36304154992103577,168,-6.0003132820129395,0.47381460666656494
13740,22.91,30,19.34888,610,455,0.00042813323987193956,0.9237669706344604,-0.3995189666748047,186,-6.145066738128662,0.5319743752479553
14060,24.65,30,21.149336,620,460,0.00042813323987193956,0.9174585938453674,-0.43462321162223816,202,-6.2349772453308105,0.4665531814098358
14220,25.23,30,22.350628,630,463,0.00042813323987193956,0.914323627948761,-0.45143285393714905,210,-6.2266154289245605,0.8652158379554749
14500,25.81,31,23.879133,640,467,0.00042813323987193956,0.9088656902313232,-0.4790659546852112,224,-6.435600280761719,0.49470674991607666
14920,26.03,31,24.194788,650,472,0.00042813323987193956,0.9007421135902405,-0.5224704742431641,245,-6.450958251953125,0.6968621611595154
15140,26.48,31,24.30209,660,475,0.00042813323987193956,0.8965223431587219,-0.5511116981506348,256,-6.770807266235352,0.365760862827301
15540,27.19,32,25.691072,670,480,0.00042813323987193956,0.8888962864875793,-0.5918149352073669,276,-6.797319412231445,0.925119936466217
15920,27.86,32,27.319622,680,486,0.00042813323987193956,0.8817182779312134,-0.6297867298126221,295,-6.94628381729126,0.6595346927642822
16060,29.97,32,31.645636,690,488,0.00042813323987193956,0.8790890574455261,-0.648284912109375,302,-7.068382263183594,0.6102901101112366
16400,29.87,33,30.935158,700,492,0.00042813323987193956,0.8727356791496277,-0.6801825761795044,319,-7.166942596435547,0.8824199438095093
16660,29.92,33,32.183727,710,495,0.00042813323987193956,0.8679126501083374,-0.7077204585075378,332,-7.113260746002197,0.5576921701431274
17000,30.32,34,33.771156,720,499,0.00042813323987193956,0.8616524338722229,-0.7435120344161987,349,-7.329151153564453,1.2738962173461914
17300,29.75,34,32.316704,730,503,0.00042813323987193956,0.8561680316925049,-0.774794340133667,364,-7.40091609954834,0.7182494401931763
17660,29.19,34,31.029509,740,507,0.00042813323987193956,0.8496308922767639,-0.8083532452583313,382,-7.675342559814453,0.5298793315887451
17920,31.02,35,34.549965,750,510,0.00042813323987193956,0.8449439406394958,-0.8423432111740112,395,-7.8156609535217285,0.8035062551498413
18260,30.91,35,34.61196,760,514,0.00042813323987193956,0.8388556241989136,-0.878845751285553,412,-7.888819694519043,0.8585131168365479
18640,30.97,35,34.15886,770,518,0.00042813323987193956,0.8321085572242737,-0.9042104482650757,431,-8.155813217163086,0.6451548337936401
19120,32.44,36,36.76832,780,524,0.00042813323987193956,0.8237048983573914,-0.9549026489257812,455,-8.104442596435547,1.5389807224273682
19420,31.56,36,34.191444,790,527,0.00042813323987193956,0.818487823009491,-0.9951013922691345,470,-8.39195442199707,0.569819450378418
19760,33.41,37,37.59895,800,531,0.00042813323987193956,0.8126108050346375,-1.0257165431976318,487,-8.539799690246582,0.6692761182785034
20180,33.84,43,37.75943,810,466,0.00042813323987193956,0.8054105639457703,-1.0712499618530273,508,-8.6874361038208,0.7284971475601196
