time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss,train/critic_loss
400,15.2,0,10.822922,10,2545,,,,,,
620,18.4,0,14.646574,20,2533,,,,,,
840,19.3,0,14.41913,30,2650,,,,,,
1140,20.414634146341463,0,15.837697,40,2886,,,,,,
1340,20.54901960784314,0,15.964153,50,2991,,,,,,
1580,21.677419354838708,0,17.124884,60,3102,,,,,,
1860,21.442857142857143,0,16.491293,70,3237,,,,,,
2080,22.05,0,17.056692,80,3315,,,,,,
2320,22.76923076923077,0,17.766544,90,3387,,,,,,
2580,22.96,0,18.03532,100,3482,,,,,,
2720,22.99,0,18.077845,110,3480,,,,,,
2940,23.14,0,17.874823,120,3447,,,,,,
3280,23.06,0,18.202204,130,3500,,,,,,
3420,22.8,0,17.918266,140,3506,,,,,,
3660,23.07,1,19.185564,150,3547,,,,,,
3840,23.0,1,19.175112,160,3586,,,,,,
4020,23.1,1,19.64637,170,3614,,,,,,
4280,22.55,1,19.408323,180,3668,,,,,,
4460,22.18,1,19.228413,190,3681,,,,,,
4700,21.77,1,18.531975,200,3698,,,,,,
4940,21.93,1,18.666344,210,3730,,,,,,
5120,22.1,1,19.100012,220,3742,,,,,,
5240,21.55,1,18.513771,230,3741,,,,,,
5540,21.76,1,18.759401,240,3784,,,,,,
5780,21.49,1,17.521374,250,3803,,,,,,
5980,21.1,1,16.653465,260,3810,,,,,,
6180,20.78,1,16.2836,270,3839,,,,,,
6340,20.96,1,16.267942,280,3840,,,,,,
6600,20.93,1,16.545097,290,3866,,,,,,
6800,20.96,1,16.81158,300,3878,,,,,,
6960,21.1,1,17.118484,310,3853,,,,,,
7220,20.35,1,16.367409,320,3819,,,,,,
7420,21.18,1,17.346006,330,3817,,,,,,
7600,20.93,1,17.23117,340,3812,,,,,,
7840,21.25,2,17.450434,350,3823,,,,,,
8060,21.2,2,17.641903,360,3827,,,,,,
8260,21.2,2,17.711494,370,3828,,,,,,
8560,21.39,2,18.137823,380,3849,,,,,,
8760,20.98,2,17.356606,390,3856,,,,,,
8980,21.05,2,17.485222,400,3863,,,,,,
9200,22.25,2,18.966965,410,3871,,,,,,
9420,22.6,2,19.215544,420,3884,,,,,,
9620,22.02,2,18.394459,430,3891,,,,,,
9860,21.95,2,17.814877,440,3910,,,,,,
10080,21.82,2,18.10671,450,3588,0.00042813323987193956,0.9991439580917358,-0.004293438047170639,3,-2.4535717964172363,6.502199172973633
10320,21.78,3,17.942438,460,3305,0.00042813323987193956,0.9940184354782104,-0.030172210186719894,15,-3.9671988487243652,2.1273858547210693
10500,21.99,3,18.365189,470,3138,0.00042813323987193956,0.9901894330978394,-0.049550652503967285,24,-4.801810264587402,1.4790759086608887
10700,21.58,3,17.48014,480,2991,0.00042813323987193956,0.9859530925750732,-0.07111102342605591,34,-4.678603172302246,1.1522996425628662
11040,22.5,3,18.856964,490,2769,0.00042813323987193956,0.9787912964820862,-0.10871720314025879,51,-4.9905805587768555,0.7650966644287109
11140,22.91,4,19.534702,500,2715,0.00042813323987193956,0.9766944050788879,-0.11869388818740845,56,-5.010941505432129,0.9066362380981445
11420,21.79,4,18.097488,510,2565,0.00042813323987193956,0.9708473086357117,-0.15006648004055023,70,-5.197731971740723,0.6574894785881042
11640,22.2,4,18.52745,520,2472,0.00042813323987193956,0.9662762880325317,-0.17337247729301453,81,-5.313468933105469,0.46933820843696594
11840,22.07,4,18.587574,530,2374,0.00042813323987193956,0.9621418714523315,-0.19364246726036072,91,-5.310184478759766,0.5059819221496582
12060,22.79,5,19.967848,540,2303,0.00042813323987193956,0.9576212167739868,-0.21825265884399414,102,-5.497223854064941,0.4535660445690155
12220,22.56,5,19.761255,550,2255,0.00042813323987193956,0.9543426036834717,-0.23723579943180084,110,-5.580458641052246,0.3477482795715332
12500,22.23,5,19.44428,560,2177,0.00042813323987193956,0.9486314058303833,-0.26705437898635864,124,-5.621582984924316,0.48396849632263184
12660,22.7,5,20.127295,570,2126,0.00042813323987193956,0.9453845620155334,-0.28311002254486084,132,-5.728152275085449,0.6705590486526489
12920,22.45,6,20.13632,580,2053,0.00042813323987193956,0.9401308298110962,-0.3114284873008728,145,-5.77252197265625,0.4733711779117584
13080,21.63,6,18.82764,590,2017,0.00042813323987193956,0.9369129538536072,-0.32646825909614563,153,-5.664531707763672,0.6732332706451416
13440,21.24,6,18.287653,600,1942,0.00042813323987193956,0.9297150373458862,-0.3665938377380371,171,-5.85768461227417,0.6940469145774841
13680,22.39,7,18.679502,610,1898,0.00042813323987193956,0.9249446988105774,-0.3923951983451843,183,-6.0208659172058105,0.6098141074180603
13980,22.8,7,19.520828,620,1839,0.00042813323987193956,0.9190170764923096,-0.42577219009399414,198,-6.01241397857666,0.6094450354576111
14200,23.23,7,19.931952,630,1799,0.00042813323987193956,0.914702832698822,-0.4491802453994751,209,-6.289198398590088,0.5516300201416016
14480,22.89,8,19.554255,640,1769,0.00042813323987193956,0.9092429280281067,-0.4777030944824219,223,-6.365249156951904,0.597785234451294
14760,23.72,8,20.95246,650,1741,0.00042813323987193956,0.9038144946098328,-0.5093337297439575,237,-6.536235332489014,0.5129901170730591
15060,24.47,8,21.653303,660,1715,0.00042813323987193956,0.8980374932289124,-0.5439543724060059,252,-6.648634910583496,0.5929864645004272
15400,25.24,9,22.756084,670,1690,0.00042813323987193956,0.8915325403213501,-0.5813301801681519,269,-6.7564849853515625,0.7236964702606201
