#{"t_start": 1692369651.7622483, "env_id": null}
r,l,t
8.9358015,11,0.250067
12.065724,13,0.261401
10.114208,14,0.267188
11.220634,16,0.280084
6.1013875,16,0.280987
11.349246,16,0.281738
20.26782,19,0.301136
14.163005,19,0.301981
15.898908,21,0.311812
9.915955,24,0.32462
12.358936,24,0.325804
9.398765,13,0.326912
10.475611,24,0.329054
26.681803,25,0.336478
18.331049,25,0.337464
5.7929683,26,0.343757
11.213101,26,0.344896
34.152584,27,0.348897
18.545977,27,0.349818
10.764893,28,0.35391
13.833209,28,0.354851
7.9381633,13,0.359762
18.832891,18,0.369255
11.439289,14,0.373333
10.542575,17,0.374324
7.3765836,21,0.378773
7.7706738,11,0.385388
9.161272,14,0.386327
6.858746,12,0.390698
14.294138,15,0.412501
8.738701,13,0.413928
15.973096,17,0.430022
13.217016,20,0.431062
27.017294,28,0.431931
9.985823,13,0.437968
13.11831,22,0.446942
8.010053,19,0.447785
9.05288,13,0.454835
24.004028,29,0.460197
8.969814,14,0.46686
22.62594,23,0.467879
8.5592,16,0.476846
13.069884,17,0.485449
11.0044,21,0.489194
11.934116,30,0.493922
9.13257,12,0.499102
8.175071,11,0.507122
26.027824,29,0.507904
13.430297,14,0.516161
9.038464,20,0.52232
12.288145,13,0.523201
17.169899,17,0.523924
10.4252,14,0.533312
5.653468,10,0.544167
50.73857,40,0.550156
31.43272,38,0.55966
29.688047,33,0.561819
8.695576,12,0.5627
20.516632,26,0.567614
23.233484,24,0.573357
7.3318505,9,0.585104
7.944088,11,0.59515
21.697268,27,0.600934
8.534314,16,0.608318
23.87874,24,0.615022
19.938677,30,0.616053
7.583148,27,0.622798
13.787748,15,0.646151
16.539537,20,0.651785
14.056549,18,0.652716
7.705693,12,0.661186
19.243149,22,0.661882
9.587717,18,0.668675
6.53008,9,0.674838
10.910356,29,0.682003
12.300679,13,0.688631
22.196634,20,0.689563
22.897247,22,0.698814
24.250887,26,0.714616
8.5016775,12,0.720546
16.628197,19,0.726179
