time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,train/ent_coef_loss
1733,14.2,10,7.820163,400,0,,,,,,
1844,17.4,20,11.051599,540,0,,,,,,
2132,18.366666666666667,30,12.629969,800,0,,,,,,
1938,19.0,40,13.054367,1020,0,,,,,,
2090,19.54,50,13.652924,1280,0,,,,,,
2128,20.0,60,13.694047,1420,0,,,,,,
2223,19.943661971830984,70,13.945184,1660,0,,,,,,
2326,20.025,80,14.190302,1860,0,,,,,,
2460,20.766666666666666,90,15.663014,2160,0,,,,,,
2500,21.01,100,15.943207,2380,0,,,,,,
2562,21.56,110,16.791922,2620,1,,,,,,
2623,21.76,120,17.065525,2860,1,,,,,,
2693,22.3,130,17.636873,3060,1,,,,,,
2757,22.44,140,18.110909,3260,1,,,,,,
2799,22.4,150,18.25809,3420,1,,,,,,
2872,22.23,160,18.431639,3640,1,,,,,,
2890,21.98,170,18.309874,3760,1,,,,,,
2954,21.89,180,17.956793,4020,1,,,,,,
3051,21.41,190,16.586851,4360,1,,,,,,
3069,21.74,200,17.260351,4520,1,,,,,,
3118,21.85,210,17.804766,4740,1,,,,,,
3147,21.72,220,17.703938,4920,1,,,,,,
3211,21.19,230,16.380016,5220,1,,,,,,
3239,21.75,240,17.001308,5380,1,,,,,,
3269,21.21,250,16.492882,5540,1,,,,,,
3318,20.98,260,16.06788,5780,1,,,,,,
3359,21.56,270,16.64589,5980,1,,,,,,
3394,21.5,280,17.002361,6180,1,,,,,,
3445,21.42,290,17.4687,6420,1,,,,,,
3464,20.72,300,16.028889,6560,1,,,,,,
3524,20.3,310,15.254608,6840,1,,,,,,
3544,20.91,320,16.080673,7000,1,,,,,,
3585,21.14,330,16.714306,7240,2,,,,,,
3596,20.0,340,15.1987,7360,2,,,,,,
3621,20.18,350,15.07345,7600,2,,,,,,
3644,20.67,360,15.699288,7800,2,,,,,,
3669,20.36,370,15.408003,8020,2,,,,,,
3544,20.66,380,15.407863,8160,2,,,,,,
3567,20.25,390,14.806158,8460,2,,,,,,
3582,20.61,400,15.335998,8660,2,,,,,,
3594,20.62,410,15.114862,8800,2,,,,,,
3628,20.03,420,14.361263,9060,2,,,,,,
3652,19.7,430,14.419818,9340,2,,,,,,
3666,20.53,440,15.517547,9560,2,,,,,,
3674,21.7,450,18.054419,9740,2,,,,,,
455,21.49,460,17.637394,10020,21,,,,,,
448,21.81,470,17.956158,10160,22,0.000545559478116852,7,3.8825297355651855,-3.1597678661346436,0.9967293739318848,-0.01643529161810875
453,21.34,480,17.59538,10400,22,0.000545559478116852,19,1.6019229888916016,-4.797401428222656,0.9902148842811584,-0.049510322511196136
457,21.79,490,18.459078,10600,23,0.000545559478116852,29,1.2823295593261719,-4.643379211425781,0.9848201274871826,-0.07704181969165802
462,21.81,500,18.711369,10840,23,0.000545559478116852,41,0.7867267727851868,-4.783988952636719,0.9783833622932434,-0.11040997505187988
466,22.0,510,18.729176,11060,23,0.000545559478116852,52,0.6915298104286194,-5.0154500007629395,0.972516655921936,-0.14057205617427826
469,22.2,520,19.134188,11240,23,0.000545559478116852,61,0.6690261363983154,-5.084343910217285,0.9677422046661377,-0.16625136137008667
472,22.02,530,18.760359,11440,24,0.000545559478116852,71,0.5799921751022339,-5.152565956115723,0.9624636173248291,-0.19179338216781616
476,21.88,540,18.462536,11680,24,0.000545559478116852,83,0.5388401746749878,-5.275415897369385,0.9561737775802612,-0.22795185446739197
479,20.87,550,16.586403,11860,24,0.000545559478116852,92,0.5279808044433594,-5.315097332000732,0.951483428478241,-0.25017884373664856
482,21.17,560,17.241442,12100,25,0.000545559478116852,104,0.5493163466453552,-5.422772407531738,0.9452730417251587,-0.285767138004303
484,20.62,570,16.777805,12280,25,0.000545559478116852,113,0.34348857402801514,-5.56881046295166,0.9406349658966064,-0.3085084855556488
488,20.73,580,16.390654,12520,25,0.000545559478116852,125,0.3092525005340576,-5.536642551422119,0.9344867467880249,-0.3400023877620697
492,21.29,590,17.378445,12720,25,0.000545559478116852,135,0.4928032159805298,-5.561062812805176,0.9293990731239319,-0.3693074584007263
496,21.6,600,16.925234,12980,26,0.000545559478116852,148,0.5619305968284607,-5.697727203369141,0.9228240847587585,-0.4059619605541229
499,21.06,610,16.66611,13220,26,0.000545559478116852,160,0.4934307932853699,-5.737123489379883,0.9168000221252441,-0.4366952180862427
503,20.98,620,16.405746,13480,26,0.000545559478116852,173,0.5181350708007812,-5.8572587966918945,0.9103174209594727,-0.4743883013725281
508,22.06,630,18.208433,13820,27,0.000545559478116852,190,0.40535736083984375,-6.040668964385986,0.901910126209259,-0.5249457955360413
512,23.16,640,20.057152,14060,27,0.000545559478116852,202,0.5006349086761475,-6.028132438659668,0.896026611328125,-0.554356575012207
515,24.26,650,21.165686,14260,27,0.000545559478116852,212,0.48780956864356995,-6.141863822937012,0.891157329082489,-0.5813388824462891
518,24.48,660,21.192205,14600,28,0.000545559478116852,229,0.35998600721359253,-6.228060722351074,0.882943332195282,-0.6277389526367188
522,25.04,670,22.387835,14960,28,0.000545559478116852,247,0.6846802234649658,-6.417444229125977,0.8743312954902649,-0.6747044324874878
526,26.68,680,24.81155,15360,29,0.000545559478116852,267,0.6122492551803589,-6.505934238433838,0.864861249923706,-0.7301130294799805
529,27.5,690,25.901312,15600,29,0.000545559478116852,279,0.33746621012687683,-6.572341442108154,0.8592237830162048,-0.7705850601196289
534,28.45,700,28.574644,15980,29,0.000545559478116852,298,0.5069212913513184,-6.663295745849609,0.8503888845443726,-0.8145686984062195
538,28.8,710,28.845276,16240,30,0.000545559478116852,311,0.9251505136489868,-6.7954936027526855,0.8443945050239563,-0.8444421887397766
540,29.85,720,30.741959,16500,30,0.000545559478116852,324,0.5022403001785278,-7.019250869750977,0.8384459018707275,-0.8844565153121948
545,30.19,730,32.80785,16900,30,0.000545559478116852,344,0.7296650409698486,-7.006969928741455,0.8293732404708862,-0.9276119470596313
548,29.78,740,31.186037,17180,31,0.000545559478116852,358,0.5369980335235596,-7.246737957000732,0.8230924010276794,-0.9744231700897217
552,29.84,750,32.098568,17520,31,0.000545559478116852,375,0.7201987504959106,-7.318532466888428,0.8155289888381958,-1.0207417011260986
555,31.68,760,34.67433,17860,32,0.000545559478116852,392,0.8044251799583435,-7.492137432098389,0.8080341815948486,-1.0618399381637573
558,31.83,770,34.35531,18240,32,0.000545559478116852,411,0.8394975662231445,-7.631253242492676,0.7997787594795227,-1.117260456085205
563,32.2,780,35.160603,18720,33,0.000545559478116852,435,0.5210552215576172,-7.828270435333252,0.7894468903541565,-1.1800318956375122
566,34.33,790,38.646156,19100,33,0.000545559478116852,454,0.7454226016998291,-8.021276473999023,0.7813743948936462,-1.2318155765533447
570,34.3,800,38.425274,19460,34,0.000545559478116852,472,0.7508003115653992,-8.053346633911133,0.7738049030303955,-1.2539119720458984
575,35.23,810,40.497593,19980,34,0.000545559478116852,498,0.9477907419204712,-8.096720695495605,0.7630396485328674,-1.3272695541381836
509,37.4,820,43.11618,20300,39,0.000545559478116852,514,0.6962848901748657,-8.371889114379883,0.7565081119537354,-1.3742467164993286
513,37.77,830,42.877785,20680,40,0.000545559478116852,533,0.6814756989479065,-8.613361358642578,0.7487980723381042,-1.4330896139144897
518,39.35,840,46.025425,21180,40,0.000545559478116852,558,0.6304501295089722,-9.148984909057617,0.7387914061546326,-1.497767448425293
524,41.59,850,49.17889,21740,41,0.000545559478116852,586,1.7779428958892822,-8.808839797973633,0.727753221988678,-1.5592232942581177
526,42.84,860,52.603363,22100,41,0.000545559478116852,604,1.6609671115875244,-8.978008270263672,0.720760703086853,-1.627155065536499
533,44.26,870,54.746063,22700,42,0.000545559478116852,634,1.6006263494491577,-9.307765007019043,0.7092443704605103,-1.6537413597106934
539,45.07,880,56.43833,23400,43,0.000545559478116852,669,0.5362973213195801,-9.830373764038086,0.6961237788200378,-1.76317298412323
543,46.02,890,57.876694,23820,43,0.000545559478116852,690,0.49179038405418396,-10.049622535705566,0.6883667707443237,-1.7936646938323975
547,47.95,900,62.19641,24420,44,0.000545559478116852,720,1.5494470596313477,-10.246532440185547,0.6774545311927795,-1.8973318338394165
553,49.26,910,65.2038,25080,45,0.000545559478116852,753,1.0297930240631104,-10.600545883178711,0.6657111644744873,-1.924339771270752
556,51.38,920,68.587616,25480,45,0.000545559478116852,773,1.0274816751480103,-10.686681747436523,0.6587181687355042,-2.0367848873138428
561,52.92,930,71.53896,26080,46,0.000545559478116852,803,3.7537460327148438,-11.180171012878418,0.648373544216156,-2.08107328414917
565,53.26,940,72.48872,26520,46,0.000545559478116852,825,1.0247142314910889,-11.191232681274414,0.6408755779266357,-2.097219228744507
569,53.57,950,75.84934,27060,47,0.000545559478116852,852,1.4125587940216064,-11.376747131347656,0.631820797920227,-2.13438081741333
575,52.88,960,75.12344,27760,48,0.000545559478116852,887,1.8896963596343994,-11.444799423217773,0.6203224062919617,-2.267983913421631
580,55.34,970,80.33322,28380,48,0.000545559478116852,918,4.456875324249268,-11.904889106750488,0.6103143692016602,-2.2821526527404785
582,55.81,980,83.54077,28760,49,0.000545559478116852,937,2.125885486602783,-12.061468124389648,0.6043016314506531,-2.310098648071289
