time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,train/ent_coef_loss
2984,17.692307692307693,10,11.7127695,480,0,,,,,,
3004,21.047619047619047,20,13.884838,560,0,,,,,,
3338,19.032258064516128,30,12.726923,820,0,,,,,,
3272,19.21951219512195,40,13.329484,980,0,,,,,,
3433,19.0,50,13.198823,1220,0,,,,,,
3355,19.75,60,14.4453745,1360,0,,,,,,
3345,19.742857142857144,70,14.400204,1620,0,,,,,,
3367,19.5625,80,14.401731,1860,0,,,,,,
3395,19.433333333333334,90,14.395006,2000,0,,,,,,
3465,20.32,100,15.406961,2300,0,,,,,,
3502,20.86,110,16.151821,2500,0,,,,,,
3565,20.53,120,16.05791,2720,0,,,,,,
3559,20.98,130,16.487598,2840,0,,,,,,
3595,21.23,140,16.55213,3060,0,,,,,,
3622,20.9,150,16.524298,3300,0,,,,,,
3618,21.07,160,16.057562,3480,0,,,,,,
3659,20.83,170,16.1511,3800,1,,,,,,
3660,21.17,180,16.23629,3960,1,,,,,,
3676,21.58,190,16.712013,4220,1,,,,,,
3716,21.31,200,16.346409,4460,1,,,,,,
3703,21.37,210,16.967052,4620,1,,,,,,
3657,20.89,220,16.790716,4840,1,,,,,,
3678,20.75,230,16.967691,5160,1,,,,,,
3691,21.81,240,18.123089,5320,1,,,,,,
3691,22.33,250,18.708168,5480,1,,,,,,
3707,21.83,260,18.42656,5720,1,,,,,,
3716,22.1,270,18.208996,5920,1,,,,,,
3718,21.6,280,17.877718,6120,1,,,,,,
3695,21.38,290,17.748167,6260,1,,,,,,
3686,21.27,300,17.804832,6480,1,,,,,,
3692,20.23,310,16.436726,6760,1,,,,,,
3688,21.16,320,17.095963,6960,1,,,,,,
3701,21.08,330,17.128029,7240,1,,,,,,
3719,20.53,340,16.353216,7480,2,,,,,,
3721,21.01,350,16.251463,7620,2,,,,,,
3743,21.17,360,16.322208,7860,2,,,,,,
3752,21.82,370,18.459688,8060,2,,,,,,
3765,22.09,380,18.691792,8260,2,,,,,,
3754,22.27,390,18.377327,8440,2,,,,,,
3763,21.88,400,17.804623,8660,2,,,,,,
3770,22.18,410,17.966772,8900,2,,,,,,
3784,21.54,420,16.867455,9080,2,,,,,,
3797,21.86,430,16.581867,9320,2,,,,,,
3803,21.75,440,17.030516,9480,2,,,,,,
3827,21.75,450,17.234821,9740,2,,,,,,
3836,21.64,460,17.120972,9940,2,,,,,,
3537,20.72,470,14.92746,10140,2,0.000545559478116852,6,4.237003803253174,-2.9925756454467773,0.9972739815711975,-0.0137246772646904
3291,20.99,480,15.252033,10380,3,0.000545559478116852,18,1.7560628652572632,-4.9173688888549805,0.9907560348510742,-0.04662763327360153
3115,20.72,490,15.307944,10580,3,0.000545559478116852,28,1.2170252799987793,-4.596297264099121,0.9853577613830566,-0.07408146560192108
2933,20.81,500,15.379475,10820,3,0.000545559478116852,40,0.9157268404960632,-4.770429611206055,0.9789183735847473,-0.10762982070446014
2808,22.01,510,16.930367,11040,3,0.000545559478116852,51,0.7937353849411011,-5.028738498687744,0.9730527400970459,-0.13860607147216797
2620,21.12,520,16.4022,11240,4,0.000545559478116852,61,0.6787413358688354,-5.0708723068237305,0.9677517414093018,-0.16639600694179535
2380,20.96,530,16.714907,11480,4,0.000545559478116852,73,0.8202884197235107,-5.262955665588379,0.9614248275756836,-0.19939696788787842
2194,21.11,540,16.156967,11720,5,0.000545559478116852,85,0.49951818585395813,-5.228483200073242,0.9551452994346619,-0.23091793060302734
2105,21.18,550,16.648504,11880,5,0.000545559478116852,93,0.5758770704269409,-5.37082052230835,0.9509806036949158,-0.2531127631664276
2040,21.66,560,17.701254,12120,5,0.000545559478116852,105,0.43824103474617004,-5.47355842590332,0.9447751045227051,-0.2873753309249878
1982,21.75,570,17.57612,12400,6,0.000545559478116852,119,0.6080834269523621,-5.532066345214844,0.9375767707824707,-0.32495224475860596
1918,22.04,580,18.12634,12660,6,0.000545559478116852,132,0.3636888265609741,-5.678866863250732,0.930945873260498,-0.359353244304657
1879,22.68,590,18.913849,12880,6,0.000545559478116852,143,0.4764394164085388,-5.625524520874023,0.9253709316253662,-0.3927808105945587
1839,23.36,600,19.219788,13100,7,0.000545559478116852,154,0.459348201751709,-5.731069564819336,0.919829249382019,-0.4187718629837036
1788,22.44,610,18.131237,13320,7,0.000545559478116852,165,0.46235358715057373,-5.865242004394531,0.9143272638320923,-0.45469945669174194
1728,23.59,620,19.820734,13680,7,0.000545559478116852,183,0.4282771348953247,-5.8668293952941895,0.9053868651390076,-0.497212290763855
1677,24.34,630,20.21876,14000,8,0.000545559478116852,199,0.38694480061531067,-6.029960632324219,0.897517204284668,-0.5403686761856079
1650,24.39,640,20.734037,14220,8,0.000545559478116852,210,0.4250602126121521,-6.095728874206543,0.8921505808830261,-0.5766054391860962
1617,24.03,650,19.993486,14540,8,0.000545559478116852,226,0.46728163957595825,-6.258118629455566,0.8844015598297119,-0.6181868314743042
1593,25.11,660,21.62065,14780,9,0.000545559478116852,238,0.5746946930885315,-6.164876461029053,0.8786336779594421,-0.6481243371963501
1564,26.62,670,23.699335,15060,9,0.000545559478116852,252,0.4902603030204773,-6.396273612976074,0.8719660639762878,-0.6923321485519409
1525,27.08,680,24.65387,15420,10,0.000545559478116852,270,0.33531999588012695,-6.570191383361816,0.8634637594223022,-0.739439845085144
1505,27.76,690,25.540255,15740,10,0.000545559478116852,286,0.4281846880912781,-6.652228355407715,0.8559734225273132,-0.7762551307678223
1483,29.04,700,27.553074,16180,10,0.000545559478116852,308,0.8171718120574951,-6.74585485458374,0.8457945585250854,-0.8382700681686401
1468,29.61,710,28.057985,16480,11,0.000545559478116852,323,0.43318116664886475,-6.982719898223877,0.8389264941215515,-0.8832303285598755
1449,30.02,720,28.961285,16820,11,0.000545559478116852,340,0.9260624051094055,-6.940676689147949,0.8312036395072937,-0.9267286062240601
1429,31.06,730,30.380705,17240,12,0.000545559478116852,361,0.4596734046936035,-7.215371131896973,0.8217889070510864,-0.9826432466506958
1414,32.24,740,33.270653,17660,12,0.000545559478116852,382,0.8672964572906494,-7.291131496429443,0.8124621510505676,-1.0337496995925903
1391,34.36,750,35.32878,18120,13,0.000545559478116852,405,0.7431783676147461,-7.407679557800293,0.8023896813392639,-1.111283302307129
1376,35.0,760,35.77277,18560,13,0.000545559478116852,427,0.7875393629074097,-7.778727054595947,0.7928823232650757,-1.1566486358642578
1367,35.65,770,37.20598,18800,13,0.000545559478116852,439,1.0946455001831055,-7.788212776184082,0.7877470254898071,-1.180784821510315
1351,37.46,780,39.958794,19280,14,0.000545559478116852,463,0.7532936334609985,-7.867237567901611,0.7775805592536926,-1.2387003898620605
1337,38.01,790,41.13091,19680,14,0.000545559478116852,483,0.6534927487373352,-8.125324249267578,0.7692199349403381,-1.2837936878204346
1322,38.25,800,42.832397,20140,15,0.000545559478116852,506,0.5420761108398438,-8.43720817565918,0.7597243189811707,-1.3522462844848633
1311,39.41,810,44.72708,20560,15,0.000545559478116852,527,0.9955440759658813,-8.698558807373047,0.7511456608772278,-1.4058122634887695
1296,40.49,820,44.813343,21120,16,0.000545559478116852,555,0.48594826459884644,-8.76339054107666,0.7398855090141296,-1.4822726249694824
1280,41.1,830,46.015594,21760,16,0.000545559478116852,587,1.0583109855651855,-8.884658813476562,0.727249026298523,-1.5526679754257202
1266,41.75,840,46.22196,22220,17,0.000545559478116852,610,1.3085509538650513,-8.994739532470703,0.7183151245117188,-1.606208324432373
