time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss
1500,12.0,10,0,7.9084344,280,,,,,,
2148,13.7,20,0,8.904844,580,,,,,,
2213,17.0,30,0,11.383322,740,,,,,,
2133,17.097560975609756,40,0,11.803726,960,,,,,,
2373,18.568627450980394,50,0,13.373846,1200,,,,,,
2420,19.16393442622951,60,0,13.7244625,1340,,,,,,
2525,19.04225352112676,70,0,13.942945,1580,,,,,,
2576,19.24390243902439,80,0,14.289582,1900,,,,,,
1922,19.533333333333335,90,1,14.397621,2000,,,,,,
1386,20.02,100,1,14.781041,2220,,,,,,
1464,20.84,110,1,15.508859,2500,,,,,,
1510,21.24,120,1,15.545896,2700,,,,,,
1558,21.12,130,1,16.271547,2860,,,,,,
1629,21.25,140,1,16.304241,3080,,,,,,
1707,21.01,150,1,16.208475,3360,,,,,,
1773,20.96,160,2,16.359606,3580,,,,,,
1842,21.56,170,2,16.78742,3820,,,,,,
1897,22.48,180,2,18.317959,4060,,,,,,
1935,22.12,190,2,18.168095,4280,,,,,,
1975,21.79,200,2,18.32059,4480,,,,,,
2028,22.49,210,2,19.131042,4720,,,,,,
2085,22.85,220,2,19.776398,4980,,,,,,
2120,22.99,230,2,19.692633,5180,,,,,,
2152,23.21,240,2,20.174614,5360,,,,,,
2219,22.89,250,2,19.753685,5700,,,,,,
2235,23.43,260,2,20.878391,5820,,,,,,
2274,22.8,270,2,20.120682,6060,,,,,,
2303,22.02,280,2,18.993462,6260,,,,,,
2310,22.42,290,2,19.734259,6400,,,,,,
2328,22.58,300,2,19.314165,6580,,,,,,
2357,21.83,310,2,18.255991,6820,,,,,,
2295,21.38,320,3,17.820175,7040,,,,,,
2276,20.9,330,3,17.407263,7320,,,,,,
2280,21.12,340,3,17.317696,7480,,,,,,
2313,21.29,350,3,17.368372,7720,,,,,,
2329,20.85,360,3,15.877629,7900,,,,,,
2353,21.29,370,3,16.048988,8180,,,,,,
2367,21.18,380,3,15.392295,8380,,,,,,
2383,20.69,390,3,14.490719,8580,,,,,,
2397,21.2,400,3,14.663277,8820,,,,,,
2404,20.72,410,3,14.374484,8980,,,,,,
2413,21.32,420,3,15.125902,9160,,,,,,
2433,21.43,430,3,14.803661,9400,,,,,,
2447,21.25,440,3,15.095255,9580,,,,,,
2464,21.34,450,3,15.452297,9840,,,,,,
369,21.11,460,27,15.491086,10080,3,-0.00698064174503088,5.637787342071533,0.0006951927961775605,0.9986101984977722,-2.7053070068359375
373,21.35,470,27,15.745993,10320,15,-0.0489443801343441,1.663388967514038,0.0006951927961775605,0.9903057217597961,-4.897216796875
375,21.83,480,27,16.079643,10480,23,-0.07713419198989868,1.0948262214660645,0.0006951927961775605,0.9848042130470276,-4.720256805419922
379,21.76,490,28,16.14129,10680,33,-0.11252543330192566,0.945153534412384,0.0006951927961775605,0.977971076965332,-4.603158473968506
384,21.26,500,28,16.1015,10960,47,-0.16173899173736572,0.5484374761581421,0.0006951927961775605,0.9684775471687317,-5.039862155914307
387,21.79,510,28,16.558254,11100,54,-0.1861468404531479,0.6133796572685242,0.0006951927961775605,0.9637659788131714,-4.9419755935668945
392,21.04,520,28,15.740959,11360,67,-0.23188641667366028,0.4539591073989868,0.0006951927961775605,0.9550766348838806,-5.176647186279297
395,21.12,530,29,16.244684,11540,76,-0.26310110092163086,0.2628824710845947,0.0006951927961775605,0.9491080641746521,-5.212724685668945
399,21.4,540,29,16.050396,11740,86,-0.29781779646873474,0.415280818939209,0.0006951927961775605,0.9425238370895386,-5.29598331451416
400,21.49,550,29,15.869192,11860,92,-0.319209486246109,0.5138866901397705,0.0006951927961775605,0.9385969638824463,-5.283087730407715
404,21.09,560,29,15.671282,12100,104,-0.36434268951416016,0.3552646040916443,0.0006951927961775605,0.9307999014854431,-5.46003532409668
409,20.82,570,30,15.77795,12400,119,-0.41681694984436035,0.5204963684082031,0.0006951927961775605,0.9211310744285583,-5.659440040588379
412,20.74,580,30,16.425951,12580,128,-0.44387149810791016,0.4011159837245941,0.0006951927961775605,0.9153778553009033,-5.530830383300781
414,20.95,590,30,16.543852,12740,136,-0.4717007279396057,0.4228048026561737,0.0006951927961775605,0.9102973341941833,-5.514325141906738
418,21.17,600,30,16.569271,12980,148,-0.5167520046234131,0.4039485454559326,0.0006951927961775605,0.9027290344238281,-5.650252342224121
421,20.83,610,31,16.628798,13240,161,-0.561454713344574,0.3542512059211731,0.0006951927961775605,0.8946087956428528,-5.742839813232422
428,21.45,620,31,16.916683,13620,180,-0.6279711723327637,0.509108304977417,0.0006951927961775605,0.8828659653663635,-5.816851615905762
432,22.88,630,32,19.088276,13920,195,-0.6805519461631775,0.4599931240081787,0.0006951927961775605,0.8737080693244934,-5.898031234741211
436,23.26,640,32,19.69627,14160,207,-0.7171840667724609,0.3343461751937866,0.0006951927961775605,0.866451621055603,-5.98181676864624
441,23.73,650,32,20.359037,14500,224,-0.7765392065048218,0.5939737558364868,0.0006951927961775605,0.8562909364700317,-6.123283863067627
445,24.9,660,33,22.345894,14820,240,-0.8302315473556519,0.45801860094070435,0.0006951927961775605,0.8468330502510071,-6.161416530609131
449,26.22,670,33,24.101164,15100,254,-0.8901169896125793,0.40057888627052307,0.0006951927961775605,0.8386491537094116,-6.5070953369140625
457,26.63,680,34,24.560968,15580,278,-0.9676414132118225,0.3671121597290039,0.0006951927961775605,0.8248082399368286,-6.429436683654785
462,29.28,690,34,28.96821,15980,298,-1.0377284288406372,0.5798238515853882,0.0006951927961775605,0.813462495803833,-6.732163906097412
466,30.94,700,34,32.2672,16240,311,-1.0730006694793701,0.5472027659416199,0.0006951927961775605,0.8061662912368774,-6.7733659744262695
468,31.96,710,35,34.069576,16480,323,-1.1218678951263428,0.5518738031387329,0.0006951927961775605,0.7995004653930664,-6.97980260848999
