time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss
2532,13.636363636363637,10,0,9.776839,300,,,,,,
2940,14.9,20,0,11.221231,540,,,,,,
3117,16.64516129032258,30,0,12.792952,720,,,,,,
3343,18.175,40,0,14.76649,980,,,,,,
3324,18.52,50,0,14.764736,1120,,,,,,
3395,18.639344262295083,60,0,15.084695,1360,,,,,,
3482,19.414285714285715,70,0,15.385477,1540,,,,,,
3527,18.9875,80,0,14.844211,1740,,,,,,
3589,19.01086956521739,90,0,14.668412,2020,,,,,,
3552,19.37,100,0,15.241289,2160,,,,,,
3637,20.48,110,0,15.868872,2460,,,,,,
3686,21.32,120,0,16.53873,2780,,,,,,
3745,22.32,130,0,17.428127,3080,,,,,,
3733,22.25,140,0,17.537006,3240,,,,,,
3690,22.89,150,0,18.20017,3520,,,,,,
3728,23.05,160,1,17.90281,3820,,,,,,
3732,22.81,170,1,17.952785,3980,,,,,,
3755,24.52,180,1,20.261925,4220,,,,,,
3756,24.96,190,1,21.1418,4400,,,,,,
3741,24.9,200,1,20.942245,4640,,,,,,
3731,24.32,210,1,20.899673,4920,,,,,,
3728,24.44,220,1,20.94793,5100,,,,,,
3714,23.45,230,1,20.128736,5320,,,,,,
3725,23.16,240,1,19.549837,5580,,,,,,
3699,22.59,250,1,19.205004,5720,,,,,,
3710,22.62,260,1,19.372898,6000,,,,,,
3719,23.04,270,1,19.858028,6160,,,,,,
3757,22.92,280,1,19.486431,6460,,,,,,
3762,21.71,290,1,17.72004,6640,,,,,,
3774,21.59,300,1,17.549227,6800,,,,,,
3777,21.86,310,1,17.610565,7040,,,,,,
3778,21.58,320,1,17.266254,7240,,,,,,
3784,21.55,330,1,17.210165,7400,,,,,,
3795,21.09,340,2,16.906567,7640,,,,,,
3800,21.15,350,2,17.122011,7800,,,,,,
3833,20.62,360,2,16.373217,8100,,,,,,
3840,20.66,370,2,16.346458,8240,,,,,,
3866,20.37,380,2,16.123262,8500,,,,,,
3870,20.07,390,2,15.901992,8700,,,,,,
3878,20.78,400,2,16.895432,8880,,,,,,
3887,20.5,410,2,16.543585,9020,,,,,,
3912,20.23,420,2,16.554062,9260,,,,,,
3923,20.4,430,2,16.246778,9460,,,,,,
3944,20.79,440,2,16.508898,9700,,,,,,
3954,20.79,450,2,16.6474,9880,,,,,,
3798,20.7,460,2,16.632101,10080,3,-0.006997345946729183,6.180550575256348,0.0006951927961775605,0.9986101984977722,-2.6701018810272217
3453,20.84,470,2,16.665634,10360,17,-0.05610842630267143,2.019786834716797,0.0006951927961775605,0.98892742395401,-5.19101619720459
3340,21.13,480,3,17.029022,10500,24,-0.08021226525306702,1.0052995681762695,0.0006951927961775605,0.9841215014457703,-4.683372497558594
3178,20.76,490,3,16.560738,10700,34,-0.11605855822563171,1.0193142890930176,0.0006951927961775605,0.9772962331771851,-4.632322311401367
2931,20.62,500,3,16.231909,10980,48,-0.16490879654884338,0.7161284685134888,0.0006951927961775605,0.9678120017051697,-5.010576248168945
2709,20.73,510,4,16.076038,11120,55,-0.18942752480506897,0.5321641564369202,0.0006951927961775605,0.9631040096282959,-4.9689130783081055
2362,20.68,520,4,15.887638,11380,68,-0.2351866066455841,0.4593987762928009,0.0006951927961775605,0.9544212222099304,-5.2132673263549805
2219,21.2,530,5,16.570066,11640,81,-0.28160640597343445,0.3736509680747986,0.0006951927961775605,0.9458216428756714,-5.313129901885986
2155,21.26,540,5,17.01313,11780,88,-0.3062133491039276,0.41369909048080444,0.0006951927961775605,0.941223680973053,-5.275269031524658
2082,21.32,550,5,16.758356,12060,102,-0.35433143377304077,0.44971537590026855,0.0006951927961775605,0.932101845741272,-5.376054763793945
1982,21.73,560,6,17.277987,12360,117,-0.40710967779159546,0.38529282808303833,0.0006951927961775605,0.9224184155464172,-5.505609512329102
1922,21.32,570,6,17.236258,12620,130,-0.4509560465812683,0.41946354508399963,0.0006951927961775605,0.9141138792037964,-5.545492649078369
1895,22.19,580,6,18.435444,12720,135,-0.4703075587749481,0.3823038339614868,0.0006951927961775605,0.910940408706665,-5.61899471282959
1832,22.47,590,7,18.520786,13020,150,-0.5194247961044312,0.274901807308197,0.0006951927961775605,0.9014808535575867,-5.822293758392334
1771,22.58,600,7,18.595793,13300,164,-0.5734346508979797,0.3906700015068054,0.0006951927961775605,0.8927476406097412,-5.873879432678223
1726,23.21,610,7,19.619513,13580,178,-0.6193107962608337,0.4051051735877991,0.0006951927961775605,0.8840907216072083,-5.854243755340576
1671,24.53,620,8,20.93176,13960,197,-0.6880749464035034,0.5602844953536987,0.0006951927961775605,0.8724860548973083,-5.93411922454834
1651,24.65,630,8,21.175255,14120,205,-0.711258053779602,0.4334884285926819,0.0006951927961775605,0.867648720741272,-6.143133163452148
1611,25.08,640,8,21.615501,14480,223,-0.7703989744186401,0.40329068899154663,0.0006951927961775605,0.8568739891052246,-6.189260482788086
