time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
1779,0,400,14.4,11.2750635,10,,,,,,
2204,0,660,18.45,13.521196,20,,,,,,
2311,0,900,20.258064516129032,14.37062,30,,,,,,
2122,0,1040,22.0,16.668606,40,,,,,,
2395,0,1360,21.7,15.840563,50,,,,,,
2341,0,1540,21.65573770491803,15.487714,60,,,,,,
2491,0,1780,21.625,15.139999,70,,,,,,
2625,0,2020,21.7,15.815595,80,,,,,,
2624,0,2220,21.666666666666668,15.631364,90,,,,,,
2761,0,2540,21.94,16.645668,100,,,,,,
2834,0,2760,23.44,18.440224,110,,,,,,
2914,1,3000,23.45,18.557846,120,,,,,,
2982,1,3240,23.46,18.613962,130,,,,,,
3027,1,3460,23.58,19.081776,140,,,,,,
3054,1,3660,23.77,19.499071,150,,,,,,
3064,1,3860,23.29,19.127317,160,,,,,,
3056,1,4080,23.44,19.469807,170,,,,,,
2888,1,4280,23.1,18.414824,180,,,,,,
2819,1,4520,23.12,18.368956,190,,,,,,
2769,1,4640,22.67,17.422485,200,,,,,,
2801,1,4880,22.04,16.801245,210,,,,,,
2827,1,5060,21.38,15.9775305,220,,,,,,
2855,1,5300,20.97,15.644789,230,,,,,,
2898,1,5600,20.58,15.141563,240,,,,,,
2905,1,5780,21.0,15.503162,250,,,,,,
2911,2,5940,20.98,15.731462,260,,,,,,
2915,2,6180,20.82,16.07084,270,,,,,,
2929,2,6440,20.77,16.322657,280,,,,,,
2921,2,6620,21.26,16.805635,290,,,,,,
2943,2,6840,21.04,16.312641,300,,,,,,
2951,2,7000,20.78,16.178553,310,,,,,,
2953,2,7240,21.2,16.84939,320,,,,,,
2955,2,7380,21.43,17.745377,330,,,,,,
2965,2,7560,20.28,16.417461,340,,,,,,
2973,2,7720,19.97,16.165455,350,,,,,,
3005,2,7980,19.89,15.771726,360,,,,,,
3048,2,8280,20.05,15.714299,370,,,,,,
3071,2,8480,21.01,17.353567,380,,,,,,
3091,2,8680,20.4,17.280354,390,,,,,,
3105,2,8840,20.57,17.660265,400,,,,,,
3134,2,9080,20.05,16.534462,410,,,,,,
3162,2,9340,20.87,18.20824,420,,,,,,
3171,2,9480,21.08,17.901087,430,,,,,,
3189,3,9680,21.61,18.257225,440,,,,,,
406,24,10000,21.66,18.046938,450,,,,,,
405,25,10200,21.92,18.697947,460,0.9929339289665222,-0.035568997263908386,0.0008858667904100823,2.171797752380371,-4.417203903198242,9
408,25,10400,21.63,17.281027,470,0.9841641187667847,-0.08009189367294312,0.0008858667904100823,1.4561657905578613,-4.769054412841797,19
411,25,10580,21.4,17.378145,480,0.9763397574424744,-0.12039404362440109,0.0008858667904100823,0.9591708779335022,-4.448214054107666,28
418,26,10880,21.25,17.139015,490,0.9634324312210083,-0.18762275576591492,0.0008858667904100823,0.6184490323066711,-4.965675354003906,43
421,26,11080,21.99,17.92483,500,0.9549194574356079,-0.2327713966369629,0.0008858667904100823,0.5116320252418518,-5.038451194763184,53
426,26,11320,22.62,18.9481,510,0.944801926612854,-0.2857401967048645,0.0008858667904100823,0.46860694885253906,-5.175622940063477,65
429,26,11500,21.75,17.186583,520,0.9372851252555847,-0.32319772243499756,0.0008858667904100823,0.43444570899009705,-5.144689559936523,74
433,27,11740,21.64,16.696636,530,0.9273669123649597,-0.3795514702796936,0.0008858667904100823,0.3397665023803711,-5.248422622680664,86
436,27,11920,22.22,17.964214,540,0.9199953675270081,-0.41744592785835266,0.0008858667904100823,0.5160068869590759,-5.328847408294678,95
440,27,12140,22.19,18.206755,550,0.9110726118087769,-0.4715000092983246,0.0008858667904100823,0.3155510127544403,-5.493464469909668,106
443,27,12380,22.62,18.361353,560,0.9014251232147217,-0.5228888988494873,0.0008858667904100823,0.4849157929420471,-5.448162078857422,118
447,28,12620,22.11,18.722588,570,0.8918882608413696,-0.5737868547439575,0.0008858667904100823,0.4801258444786072,-5.439554691314697,130
452,28,12920,22.32,18.467096,580,0.8801101446151733,-0.6436819434165955,0.0008858667904100823,0.3863789141178131,-5.636094093322754,145
456,28,13220,23.4,19.99641,590,0.8684906959533691,-0.7062344551086426,0.0008858667904100823,0.4686416685581207,-5.757122993469238,160
