time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
2160,0,420,15.545454545454545,13.179669,10,,,,,,
2332,0,640,18.428571428571427,15.038295,20,,,,,,
2663,0,920,18.967741935483872,15.837365,30,,,,,,
2755,0,1120,19.925,15.718233,40,,,,,,
3028,0,1400,20.38,17.073387,50,,,,,,
3172,0,1620,21.75,18.179058,60,,,,,,
3249,0,2000,22.142857142857142,18.369427,70,,,,,,
3262,0,2140,23.4125,21.107992,80,,,,,,
3315,0,2400,23.744444444444444,21.424816,90,,,,,,
3434,0,2680,23.92,21.517698,100,,,,,,
3459,0,2880,24.66,22.168428,110,,,,,,
3513,0,3120,24.48,21.970152,120,,,,,,
3479,0,3360,25.08,22.223614,130,,,,,,
3448,1,3520,25.14,22.756113,140,,,,,,
3460,1,3780,25.06,22.345364,150,,,,,,
3473,1,3960,24.13,21.454796,160,,,,,,
3559,1,4260,23.77,20.853527,170,,,,,,
3620,1,4620,22.25,18.182768,180,,,,,,
3625,1,4820,22.83,18.756237,190,,,,,,
3647,1,5040,23.96,19.928682,200,,,,,,
3628,1,5300,24.31,20.759071,210,,,,,,
3629,1,5520,23.97,20.44371,220,,,,,,
3650,1,5760,23.5,20.3681,230,,,,,,
3667,1,5960,23.68,20.489653,240,,,,,,
3679,1,6160,24.26,21.70295,250,,,,,,
3720,1,6440,23.85,21.34566,260,,,,,,
3726,1,6680,24.61,22.76129,270,,,,,,
3729,1,7000,25.26,23.709743,280,,,,,,
3719,1,7220,24.4,22.982124,290,,,,,,
3701,1,7360,23.23,21.678717,300,,,,,,
3680,2,7620,22.64,20.684189,310,,,,,,
3689,2,7880,22.48,20.282272,320,,,,,,
3702,2,8080,23.1,21.719166,330,,,,,,
3700,2,8320,23.04,21.76355,340,,,,,,
3691,2,8420,23.24,21.65285,350,,,,,,
3678,2,8640,23.09,21.774563,360,,,,,,
3690,2,8840,22.54,21.396824,370,,,,,,
3691,2,9020,21.67,20.286762,380,,,,,,
3702,2,9240,21.41,19.763649,390,,,,,,
3708,2,9500,21.08,19.232218,400,,,,,,
3708,2,9640,21.2,19.572433,410,,,,,,
3706,2,9880,21.77,19.84469,420,,,,,,
3625,2,10060,21.12,18.282982,430,0.9991145730018616,-0.004454036708921194,0.0008858667904100823,6.747766494750977,-2.602293014526367,2
