rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates,train/actor_loss
12.034665,0,400,16.3,2428,10,,,,,,
14.225261,0,660,19.9,2739,20,,,,,,
15.891428,0,880,20.3,2902,30,,,,,,
15.455652,0,1020,19.925,2606,40,,,,,,
14.474032,0,1220,19.28,2724,50,,,,,,
14.506585,0,1520,19.78688524590164,2928,60,,,,,,
14.842432,0,1740,20.62857142857143,3031,70,,,,,,
15.771698,0,1960,21.1625,3122,80,,,,,,
15.047791,0,2220,20.877777777777776,3245,90,,,,,,
15.092556,0,2380,21.14,3277,100,,,,,,
15.492173,0,2680,21.37,3381,110,,,,,,
16.445545,0,2900,21.98,3397,120,,,,,,
16.51328,0,3100,22.33,3407,130,,,,,,
16.622059,0,3400,22.55,3450,140,,,,,,
16.82417,1,3600,22.98,3499,150,,,,,,
17.54668,1,3860,23.28,3548,160,,,,,,
18.634743,1,4000,23.93,3560,170,,,,,,
18.104572,1,4260,23.25,3599,180,,,,,,
18.288212,1,4420,23.14,3617,190,,,,,,
18.016773,1,4700,22.8,3659,200,,,,,,
18.134409,1,4860,22.96,3674,210,,,,,,
17.420088,1,5080,22.08,3691,220,,,,,,
17.106478,1,5300,21.91,3707,230,,,,,,
17.14529,1,5460,22.21,3633,240,,,,,,
17.187687,1,5760,21.83,3625,250,,,,,,
17.661654,1,5940,22.15,3628,260,,,,,,
15.501949,1,6160,20.15,3638,270,,,,,,
15.850153,1,6300,20.59,3633,280,,,,,,
17.30618,1,6700,21.51,3653,290,,,,,,
17.602787,1,6860,22.13,3658,300,,,,,,
18.010592,1,7060,22.3,3660,310,,,,,,
17.899534,1,7300,22.63,3669,320,,,,,,
17.242321,2,7480,22.13,3668,330,,,,,,
18.14836,2,7780,22.17,3676,340,,,,,,
18.383293,2,8020,22.72,3679,350,,,,,,
19.209606,2,8160,22.92,3671,360,,,,,,
19.256285,2,8440,23.39,3677,370,,,,,,
19.10899,2,8620,23.2,3675,380,,,,,,
