rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates,train/actor_loss
11.112333,0,380,14.8,2099,10,,,,,,
13.662061,0,580,18.35,2397,20,,,,,,
14.773409,0,820,18.6,2730,30,,,,,,
14.939339,0,1020,18.625,2843,40,,,,,,
14.660953,0,1160,19.03921568627451,2905,50,,,,,,
14.698092,0,1380,19.131147540983605,3011,60,,,,,,
14.354587,0,1540,18.857142857142858,3046,70,,,,,,
15.111155,0,1820,19.075,3115,80,,,,,,
15.032381,0,2000,19.054945054945055,3139,90,,,,,,
16.185196,0,2200,20.21,3181,100,,,,,,
16.20195,0,2360,20.12,3201,110,,,,,,
16.053461,0,2580,19.87,3286,120,,,,,,
15.6174135,0,2800,19.63,3310,130,,,,,,
15.82073,0,2980,20.27,3317,140,,,,,,
16.341246,0,3160,20.49,3313,150,,,,,,
16.254179,1,3420,20.52,3337,160,,,,,,
16.26992,1,3640,20.48,3337,170,,,,,,
15.4804325,1,3860,20.56,3360,180,,,,,,
15.874673,1,4000,20.84,3340,190,,,,,,
15.145524,1,4280,20.08,3381,200,,,,,,
15.872136,1,4440,20.67,3364,210,,,,,,
16.676207,1,4700,21.18,3386,220,,,,,,
17.13076,1,4980,21.48,3401,230,,,,,,
16.858461,1,5080,21.24,3399,240,,,,,,
16.721886,1,5340,21.28,3415,250,,,,,,
16.73798,1,5540,21.04,3411,260,,,,,,
17.290583,1,5660,21.17,3402,270,,,,,,
18.510307,1,5980,21.45,3410,280,,,,,,
18.090828,1,6220,21.12,3409,290,,,,,,
17.591284,1,6480,20.89,3415,300,,,,,,
17.736284,1,6720,21.51,3404,310,,,,,,
18.549824,2,6940,22.01,3407,320,,,,,,
18.880041,2,7180,22.49,3419,330,,,,,,
19.02803,2,7360,22.36,3412,340,,,,,,
19.455994,2,7640,22.81,3428,350,,,,,,
19.470959,2,7820,22.84,3434,360,,,,,,
19.217068,2,7960,23.15,3437,370,,,,,,
17.956795,2,8160,22.47,3441,380,,,,,,
17.83328,2,8420,22.41,3451,390,,,,,,
18.12026,2,8660,22.57,3466,400,,,,,,
17.21163,2,8920,21.76,3481,410,,,,,,
16.855455,2,9080,21.57,3473,420,,,,,,
16.435295,2,9420,21.15,3490,430,,,,,,
16.946627,2,9620,21.97,3489,440,,,,,,
17.612093,2,9820,22.09,3491,450,,,,,,
17.936598,3,10040,22.07,3139,460,0.0011288378916846883,1.0,0.0,7.336819648742676,1,-2.309548854827881
18.010704,3,10280,22.17,2904,470,0.0011288378916846883,0.9865347146987915,-0.06870317459106445,1.7154350280761719,13,-5.0879669189453125
18.345474,3,10420,22.55,2800,480,0.0011288378916846883,0.9787582755088806,-0.107908234000206,1.0169446468353271,20,-4.307755947113037
18.187868,4,10640,22.68,2657,490,0.0011288378916846883,0.9666592478752136,-0.1702650785446167,0.7103367447853088,31,-5.036952018737793
18.595793,4,10980,22.95,2471,500,0.0011288378916846883,0.948254406452179,-0.26805806159973145,0.4017108082771301,48,-5.009212970733643
17.977184,4,11120,22.61,2388,510,0.0011288378916846883,0.940772294998169,-0.3080684542655945,0.38654860854148865,55,-5.1070051193237305
