time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
300,12.9,9.249109,10,2557,0,,,,,,
560,17.2,11.925956,20,2912,0,,,,,,
840,18.8125,12.891134,30,3093,0,,,,,,
1000,18.525,12.400709,40,2793,0,,,,,,
1200,18.923076923076923,13.126751,50,2868,0,,,,,,
1400,18.866666666666667,13.437923,60,2952,0,,,,,,
1700,19.338028169014084,14.468759,70,3072,0,,,,,,
1780,18.987654320987655,14.1185465,80,3041,0,,,,,,
2000,19.488888888888887,14.903227,90,3124,0,,,,,,
2240,19.11,14.325801,100,3202,0,,,,,,
2420,20.74,16.710888,110,3219,0,,,,,,
2680,20.12,16.464441,120,3285,0,,,,,,
2880,20.96,17.387907,130,3307,0,,,,,,
3120,21.22,17.61082,140,3345,0,,,,,,
3300,20.88,17.338655,150,3360,0,,,,,,
3540,21.48,18.037952,160,3372,1,,,,,,
3740,21.53,18.00176,170,3392,1,,,,,,
3940,21.59,18.177555,180,3424,1,,,,,,
4120,21.32,17.547552,190,3445,1,,,,,,
4400,22.13,19.03787,200,3518,1,,,,,,
4620,21.22,17.382698,210,3560,1,,,,,,
4820,22.28,18.777153,220,3596,1,,,,,,
5040,21.36,18.291079,230,3637,1,,,,,,
5280,21.45,18.414528,240,3673,1,,,,,,
5540,21.59,18.45161,250,3727,1,,,,,,
5800,22.15,19.091167,260,3768,1,,,,,,
6140,22.34,19.161192,270,3811,1,,,,,,
6360,23.74,20.39256,280,3812,1,,,,,,
6620,24.02,20.593216,290,3821,1,,,,,,
6760,24.33,21.122187,300,3818,1,,,,,,
6940,24.33,20.7444,310,3830,1,,,,,,
7200,23.81,19.996204,320,3858,1,,,,,,
7380,23.79,20.154003,330,3872,1,,,,,,
7560,23.5,19.968561,340,3892,1,,,,,,
7780,23.44,20.016739,350,3920,1,,,,,,
8040,22.71,19.03489,360,3944,2,,,,,,
8220,22.03,18.358612,370,3947,2,,,,,,
8380,20.99,17.233654,380,3961,2,,,,,,
8580,20.47,16.673529,390,3970,2,,,,,,
8740,19.73,15.078627,400,3975,2,,,,,,
8980,19.83,15.632748,410,3993,2,,,,,,
9260,19.9,15.336113,420,4000,2,,,,,,
9480,20.8,16.071306,430,4005,2,,,,,,
9640,20.33,15.537825,440,4002,2,,,,,,
9820,20.78,15.701642,450,4006,2,,,,,,
10040,20.23,14.691131,460,466,21,0.0,0.0014384498882876629,1,-2.3882360458374023,7.384966850280762,1.0
10280,20.27,14.52743,470,469,21,-0.08708515763282776,0.0014384498882876629,13,-4.658734321594238,1.410083293914795,0.9828699827194214
10520,20.22,14.55236,480,471,22,-0.17522242665290833,0.0014384498882876629,25,-4.950765132904053,0.9332190752029419,0.9660070538520813
10700,21.27,16.692032,490,474,22,-0.23983211815357208,0.0014384498882876629,34,-4.854488372802734,0.632556140422821,0.9535567164421082
11000,21.58,16.800667,500,480,22,-0.3480851650238037,0.0014384498882876629,49,-4.998085975646973,0.5042322874069214,0.9331590533256531
