time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
380,14.8,11.982586,10,2920,0,,,,,,
620,17.05,12.936801,20,3245,0,,,,,,
880,19.225806451612904,13.545298,30,3481,0,,,,,,
1140,20.70731707317073,15.636087,40,3442,0,,,,,,
1340,20.6,15.330508,50,3474,0,,,,,,
1600,21.5,16.570127,60,3500,0,,,,,,
1820,21.40277777777778,16.16061,70,3478,0,,,,,,
1980,22.1375,17.185148,80,3458,0,,,,,,
2180,21.522222222222222,16.782784,90,3463,0,,,,,,
2400,21.92,17.32849,100,3442,0,,,,,,
2680,22.67,17.944523,110,3397,0,,,,,,
2780,22.63,17.92798,120,3398,0,,,,,,
3040,22.04,17.666328,130,3398,0,,,,,,
3260,21.79,17.10881,140,3427,0,,,,,,
3520,21.54,17.335108,150,3452,1,,,,,,
3680,21.61,17.141214,160,3468,1,,,,,,
3840,21.66,17.764599,170,3466,1,,,,,,
4000,20.48,16.75078,180,3459,1,,,,,,
4260,20.74,16.683998,190,3487,1,,,,,,
4460,20.5,16.353449,200,3501,1,,,,,,
4660,20.27,16.240261,210,3509,1,,,,,,
4880,20.56,16.450384,220,3508,1,,,,,,
5140,21.05,17.031797,230,3522,1,,,,,,
5300,20.89,16.708694,240,3517,1,,,,,,
5520,20.34,16.301374,250,3498,1,,,,,,
5680,20.25,16.423208,260,3479,1,,,,,,
5980,19.83,15.7268095,270,3465,1,,,,,,
6240,20.87,16.170572,280,3466,1,,,,,,
6460,21.65,17.02491,290,3464,1,,,,,,
6680,21.59,17.257545,300,3453,1,,,,,,
6940,21.58,16.997896,310,3466,2,,,,,,
7120,21.89,17.94539,320,3476,2,,,,,,
7300,21.78,17.836084,330,3475,2,,,,,,
7560,21.54,17.82078,340,3491,2,,,,,,
7760,22.15,18.12982,350,3501,2,,,,,,
7900,22.07,17.889656,360,3506,2,,,,,,
8100,22.54,18.860577,370,3516,2,,,,,,
8320,21.49,18.134161,380,3515,2,,,,,,
8620,21.04,17.187172,390,3521,2,,,,,,
8840,21.33,17.484886,400,3532,2,,,,,,
9020,20.96,17.144499,410,3527,2,,,,,,
9240,20.98,17.030659,420,3522,2,,,,,,
9400,21.59,17.709438,430,3527,2,,,,,,
9580,21.31,17.380917,440,3525,2,,,,,,
9800,20.98,16.949696,450,3530,2,,,,,,
10000,20.96,16.671656,460,3545,2,,,,,,
10260,20.86,16.007536,470,3006,3,-0.07940909266471863,0.0014384498882876629,12,-4.793280601501465,1.5025205612182617,0.9842897057533264
10460,21.49,16.360546,480,2833,3,-0.15198132395744324,0.0014384498882876629,22,-4.552985668182373,0.8048216104507446,0.9702074527740479
10660,21.26,16.221283,490,2691,3,-0.22505152225494385,0.0014384498882876629,32,-4.919093608856201,0.5029691457748413,0.956322431564331
10920,20.94,16.134832,500,2524,4,-0.3198655843734741,0.0014384498882876629,45,-5.130579948425293,0.48945990204811096,0.9385679960250854
11100,21.54,16.951292,510,2410,4,-0.3852252662181854,0.0014384498882876629,54,-5.094705581665039,0.3460429012775421,0.9264700412750244
11340,20.52,15.787884,520,2314,4,-0.4740946590900421,0.0014384498882876629,66,-5.151366233825684,0.4395846128463745,0.9105732440948486
11560,20.27,15.199193,530,2229,5,-0.5507408380508423,0.0014384498882876629,77,-5.20739221572876,0.3935616612434387,0.8962385058403015
11780,21.07,16.07983,540,2173,5,-0.6345136165618896,0.0014384498882876629,88,-5.228881359100342,0.34439101815223694,0.8821464776992798
11960,21.68,17.108797,550,2111,5,-0.6933268904685974,0.0014384498882876629,97,-5.194643497467041,0.35408133268356323,0.870789647102356
12200,21.87,17.457125,560,2045,5,-0.7828719615936279,0.0014384498882876629,109,-5.236473083496094,0.3619639277458191,0.8558794260025024
12500,21.57,17.469547,570,1974,6,-0.8924978375434875,0.0014384498882876629,124,-5.254828453063965,0.4085855782032013,0.837571382522583
12680,22.35,18.967293,580,1933,6,-0.9556196928024292,0.0014384498882876629,133,-5.360563278198242,0.24436593055725098,0.8268011212348938
12920,22.32,18.683002,590,1875,6,-1.047284722328186,0.0014384498882876629,145,-5.444354057312012,0.3461366295814514,0.8126567602157593
13220,22.56,18.85529,600,1830,7,-1.1487412452697754,0.0014384498882876629,160,-5.47103214263916,0.28824594616889954,0.7953036427497864
13400,22.07,18.032042,610,1801,7,-1.2192078828811646,0.0014384498882876629,169,-5.4574079513549805,0.4968671500682831,0.7850655913352966
13760,23.36,20.153112,620,1757,7,-1.3496904373168945,0.0014384498882876629,187,-5.523211479187012,0.3190794587135315,0.7649750113487244
14020,24.0,21.206484,630,1718,8,-1.4388458728790283,0.0014384498882876629,200,-5.694526672363281,0.3145231008529663,0.7507936954498291
14280,24.78,22.863642,640,1678,8,-1.5272471904754639,0.0014384498882876629,213,-5.573548316955566,0.28909724950790405,0.736903727054596
14540,25.42,23.516417,650,1654,8,-1.6321824789047241,0.0014384498882876629,226,-5.681199073791504,0.3311617970466614,0.7232773900032043
14880,25.59,24.603865,660,1621,9,-1.7523860931396484,0.0014384498882876629,243,-5.758671283721924,0.45581427216529846,0.7058293223381042
15220,26.42,25.307888,670,1587,9,-1.8787697553634644,0.0014384498882876629,260,-5.68717098236084,0.46827128529548645,0.6888392567634583
15520,27.5,26.94234,680,1557,9,-1.9669684171676636,0.0014384498882876629,275,-6.062586784362793,0.24829162657260895,0.6741618514060974
15980,28.64,28.421297,690,1523,10,-2.1426563262939453,0.0014384498882876629,298,-6.048126220703125,0.31633108854293823,0.6523099541664124
16200,30.0,30.492987,700,1508,10,-2.209418296813965,0.0014384498882876629,309,-6.0988078117370605,0.41253477334976196,0.642108678817749
16440,30.6,31.240728,710,1492,11,-2.306440591812134,0.0014384498882876629,321,-6.022016525268555,0.4257318079471588,0.6311911344528198
16960,30.38,31.351831,720,1460,11,-2.466892719268799,0.0014384498882876629,347,-6.176969528198242,0.395888090133667,0.6081697940826416
17580,31.18,32.16389,730,1427,12,-2.6833279132843018,0.0014384498882876629,378,-6.359206676483154,0.2781254053115845,0.5818666815757751
17900,34.21,36.902264,740,1414,12,-2.7933130264282227,0.0014384498882876629,394,-6.116879463195801,0.7515691518783569,0.5687398910522461
18520,35.85,38.42119,750,1390,13,-3.039151191711426,0.0014384498882876629,425,-6.622945308685303,0.5490471124649048,0.5442176461219788
19120,39.16,43.971798,760,1368,13,-3.1400861740112305,0.0014384498882876629,455,-6.768278121948242,1.1628700494766235,0.5215953588485718
19860,40.78,47.713497,770,1334,14,-3.5004358291625977,0.0014384498882876629,492,-7.157100677490234,0.21675118803977966,0.49510154128074646
20360,44.04,52.383255,780,1314,15,-3.587857246398926,0.0014384498882876629,517,-6.954154014587402,0.5559906959533691,0.47798943519592285
20920,45.76,56.24145,790,1297,16,-3.761699676513672,0.0014384498882876629,545,-7.421550750732422,0.5300642251968384,0.4595858156681061
21500,48.31,59.341488,800,1279,16,-3.973546266555786,0.0014384498882876629,574,-7.439976692199707,0.3887087106704712,0.4413098394870758
22080,51.74,64.90551,810,1267,17,-4.161429405212402,0.0014384498882876629,603,-7.692254066467285,0.33073487877845764,0.4238669276237488
22860,56.32,70.97761,820,1248,18,-4.366257667541504,0.0014384498882876629,642,-8.21075439453125,0.49288851022720337,0.40154507756233215
23360,59.47,77.51546,830,1236,18,-4.516726493835449,0.0014384498882876629,667,-8.293261528015137,0.814613401889801,0.3880217969417572
23940,59.27,78.14704,840,1225,19,-4.4673752784729,0.0014384498882876629,696,-8.316630363464355,0.4824187457561493,0.37290146946907043
24500,61.01,83.45327,850,1215,20,-4.818604469299316,0.0014384498882876629,724,-8.641908645629883,0.17960402369499207,0.3589089810848236
25080,60.16,82.475494,860,1203,20,-4.803443908691406,0.0014384498882876629,753,-8.72535514831543,1.0903878211975098,0.34515756368637085
25440,61.1,84.84311,870,1197,21,-4.884855270385742,0.0014384498882876629,771,-8.91403865814209,0.6776000261306763,0.33695366978645325
26100,58.99,84.36337,880,1191,21,-5.053033828735352,0.0014384498882876629,804,-9.205463409423828,0.609809398651123,0.32238152623176575
27300,60.45,88.31172,890,1173,23,-5.427898406982422,0.0014384498882876629,864,-8.874591827392578,0.8957407474517822,0.2976436913013458
28140,63.83,99.47961,900,1161,24,-5.517083168029785,0.0014384498882876629,906,-10.005655288696289,0.3279798626899719,0.28182825446128845
29020,66.87,109.35704,910,1152,25,-5.292868137359619,0.0014384498882876629,950,-10.725005149841309,1.111295223236084,0.2663143575191498
29900,69.88,119.47387,920,1142,26,-5.595128059387207,0.0014384498882876629,994,-11.147496223449707,0.6019300222396851,0.25187793374061584
30660,71.92,127.872345,930,1135,26,-5.155357360839844,0.0014384498882876629,1032,-11.041648864746094,1.4191985130310059,0.24051478505134583
31660,75.05,138.46918,940,1126,28,-6.242219924926758,0.0014384498882876629,1082,-11.349458694458008,1.2049994468688965,0.22637513279914856
32460,78.09,148.11758,950,1122,28,-5.295397758483887,0.0014384498882876629,1122,-11.73916244506836,1.1838421821594238,0.2158205807209015
33400,81.79,160.49756,960,1113,29,-6.060196876525879,0.0014384498882876629,1169,-12.555892944335938,1.182299256324768,0.20413663983345032
34360,85.52,172.16273,970,1109,30,-6.3736114501953125,0.0014384498882876629,1217,-13.01331615447998,0.9448522329330444,0.19300562143325806
35140,89.72,182.84126,980,1104,31,-6.022215843200684,0.0014384498882876629,1256,-13.004583358764648,0.9020687937736511,0.1845460832118988
36160,91.67,190.08865,990,1099,32,-5.3340253829956055,0.0014384498882876629,1307,-13.656983375549316,1.391390085220337,0.1742190420627594
36900,91.41,191.29706,1000,1094,33,-5.743793487548828,0.0014384498882876629,1344,-14.439321517944336,0.5309528112411499,0.16729114949703217
37900,90.85,191.94664,1010,1091,34,-5.7002949714660645,0.0014384498882876629,1394,-13.872302055358887,1.9401044845581055,0.15859206020832062
38680,89.07,191.349,1020,1087,35,-5.6807861328125,0.0014384498882876629,1433,-15.167299270629883,1.841052770614624,0.15206597745418549
39640,89.63,192.981,1030,1084,36,-6.844481468200684,0.0014384498882876629,1481,-16.029888153076172,0.6949345469474792,0.14465029537677765
40400,89.18,192.25642,1040,1082,37,-5.545083999633789,0.0014384498882876629,1519,-16.065013885498047,1.758259654045105,0.13901953399181366
41340,88.53,190.98172,1050,1077,38,-6.01570987701416,0.0014384498882876629,1566,-16.877037048339844,1.1777362823486328,0.13256679475307465
42240,88.24,190.13641,1060,1073,39,-6.680254936218262,0.0014384498882876629,1611,-17.23701286315918,2.5517144203186035,0.12657225131988525
43020,87.7,188.75085,1070,1070,40,-5.614712715148926,0.0014384498882876629,1650,-18.471460342407227,0.8305084705352783,0.12176278978586197
43900,87.08,187.71863,1080,1067,41,-6.630102157592773,0.0014384498882876629,1694,-17.957534790039062,0.8965319395065308,0.11662809550762177
44740,86.73,187.23103,1090,1066,41,-4.938032150268555,0.0014384498882876629,1736,-18.409284591674805,3.2197837829589844,0.11183765530586243
45700,86.51,186.87486,1100,1061,43,-4.895382881164551,0.0014384498882876629,1784,-18.748445510864258,2.2599945068359375,0.10669491440057755
46500,86.51,187.13687,1110,1059,43,-5.198115348815918,0.0014384498882876629,1824,-19.105010986328125,2.90675687789917,0.10262934118509293
47380,86.09,185.88141,1120,1054,44,-5.765071868896484,0.0014384498882876629,1868,-19.480648040771484,2.0963878631591797,0.09836097806692123
48200,85.68,184.82666,1130,1052,45,-5.444843769073486,0.0014384498882876629,1909,-20.1888484954834,2.749575138092041,0.09474344551563263
49080,85.47,184.47566,1140,1048,46,-5.611990928649902,0.0014384498882876629,1953,-20.544631958007812,2.0178236961364746,0.09088943153619766
49860,85.42,184.51785,1150,1049,47,-4.65740966796875,0.0014384498882876629,1992,-20.724300384521484,0.5816986560821533,0.08777545392513275
