rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates
15.363636363636363,400,10,0,1820,10.278319,,,,,,
16.952380952380953,580,20,0,1284,12.681269,,,,,,
17.451612903225808,780,30,0,1528,14.475037,,,,,,
17.425,1020,40,0,1675,14.668234,,,,,,
19.333333333333332,1240,50,0,1832,17.49689,,,,,,
20.114754098360656,1460,60,0,1977,18.045183,,,,,,
19.97142857142857,1660,70,0,2085,17.843588,,,,,,
20.4,1840,80,0,2175,18.685608,,,,,,
20.61111111111111,2040,90,0,2255,18.580149,,,,,,
20.46,2340,100,0,2393,18.245625,,,,,,
20.41,2500,110,1,2446,18.457628,,,,,,
21.13,2680,120,1,2503,19.6888,,,,,,
21.46,2900,130,1,2578,19.636219,,,,,,
21.23,3100,140,1,2648,19.371338,,,,,,
21.0,3300,150,1,2711,18.315933,,,,,,
20.58,3520,160,1,2759,17.43593,,,,,,
20.35,3740,170,1,2799,16.930763,,,,,,
20.34,3940,180,1,2827,16.045786,,,,,,
20.02,4140,190,1,2859,15.909309,,,,,,
20.33,4340,200,1,2906,16.087566,,,,,,
20.77,4520,210,1,2940,15.934387,,,,,,
20.39,4740,220,1,2984,15.484995,,,,,,
20.33,4960,230,1,3021,15.173734,,,,,,
20.56,5100,240,1,3044,15.118955,,,,,,
20.82,5320,250,1,3082,15.201595,,,,,,
20.73,5480,260,1,3103,15.7042055,,,,,,
20.7,5720,270,1,3136,15.531571,,,,,,
20.13,5920,280,1,3165,15.486475,,,,,,
20.08,6140,290,1,3193,15.278373,,,,,,
20.23,6300,300,2,3140,15.429154,,,,,,
19.95,6480,310,2,3154,15.353869,,,,,,
19.85,6660,320,2,3163,15.030459,,,,,,
19.57,6880,330,2,3178,15.008497,,,,,,
19.16,7120,340,2,3192,14.791973,,,,,,
19.19,7360,350,2,3202,14.978608,,,,,,
19.74,7640,360,2,3229,15.480578,,,,,,
21.0,7840,370,2,3227,17.02375,,,,,,
21.43,8080,380,2,3241,17.947454,,,,,,
21.21,8220,390,2,3238,18.015223,,,,,,
21.33,8460,400,2,3250,18.214813,,,,,,
21.7,8620,410,2,3252,18.542833,,,,,,
21.34,8880,420,2,3265,17.673653,,,,,,
21.86,9100,430,2,3277,18.024233,,,,,,
21.94,9320,440,2,3284,18.414133,,,,,,
21.51,9460,450,2,3287,18.024712,,,,,,
21.01,9680,460,2,3294,17.100586,,,,,,
20.91,9900,470,2,3302,17.089127,,,,,,
20.39,10100,480,22,445,16.199783,0.0018329807108324356,2.379349946975708,0.9945147037506104,-0.02741861343383789,-4.128156661987305,4
20.24,10340,490,22,450,15.432842,0.0018329807108324356,0.9814715385437012,0.9728511571884155,-0.13875991106033325,-4.264204025268555,16
19.78,10500,500,23,453,14.831437,0.0018329807108324356,0.9060494899749756,0.9586564898490906,-0.21267318725585938,-5.0351972579956055,24
20.12,10840,510,23,459,15.453311,0.0018329807108324356,0.381856232881546,0.929172158241272,-0.37082767486572266,-5.10338830947876,41
21.23,11100,520,23,463,17.709436,0.0018329807108324356,0.28358739614486694,0.9072350263595581,-0.49226605892181396,-5.182335376739502,54
21.64,11360,530,24,467,18.449566,0.0018329807108324356,0.4369901120662689,0.8858091235160828,-0.6112363934516907,-5.2082200050354,67
21.72,11560,540,24,471,18.27749,0.0018329807108324356,0.3431733250617981,0.8696776628494263,-0.7020379304885864,-5.294979572296143,77
22.22,11860,550,24,476,18.731958,0.0018329807108324356,0.4503649175167084,0.8460513353347778,-0.8433278799057007,-5.101337432861328,92
22.99,12040,560,25,478,19.95422,0.0018329807108324356,0.24328622221946716,0.8322017192840576,-0.9284437894821167,-5.144965171813965,101
22.74,12340,570,25,483,19.632353,0.0018329807108324356,0.2522975206375122,0.809599757194519,-1.0679571628570557,-5.28706169128418,116
23.81,12620,580,25,487,21.588684,0.0018329807108324356,0.4559040069580078,0.7890567183494568,-1.1868197917938232,-5.180681228637695,130
24.23,12780,590,26,490,22.589598,0.0018329807108324356,0.2993152439594269,0.7775656580924988,-1.2698355913162231,-5.152187824249268,138
25.39,13040,600,26,494,24.500984,0.0018329807108324356,0.43813127279281616,0.7592410445213318,-1.392792820930481,-5.365633964538574,151
24.99,13400,610,26,500,23.964624,0.0018329807108324356,0.3268764019012451,0.7346198558807373,-1.554811716079712,-5.485477447509766,169
25.8,13700,620,27,505,24.762636,0.0018329807108324356,0.5007767081260681,0.7147096991539001,-1.6912131309509277,-5.567043304443359,184
26.69,13960,630,27,509,25.98562,0.0018329807108324356,0.4023208022117615,0.6979123950004578,-1.810438871383667,-5.421920299530029,197
26.79,14300,640,27,514,26.615551,0.0018329807108324356,0.2731682360172272,0.676565408706665,-1.9608886241912842,-5.428047180175781,214
28.43,14660,650,28,519,29.265663,0.0018329807108324356,0.3420976996421814,0.6546533107757568,-2.1040825843811035,-5.604318618774414,232
28.86,15020,660,28,524,31.103949,0.0018329807108324356,0.3520810604095459,0.6335054636001587,-2.278465747833252,-5.721284866333008,250
29.66,15440,670,29,530,33.281578,0.0018329807108324356,0.2655990719795227,0.6096553206443787,-2.4525814056396484,-5.899741172790527,271
30.97,15840,680,29,535,34.91423,0.0018329807108324356,0.3532959818840027,0.5878292918205261,-2.6514291763305664,-5.960371971130371,291
34.3,16420,690,30,543,40.43759,0.0018329807108324356,0.4261745512485504,0.5576428174972534,-2.874976634979248,-5.93665885925293,320
35.45,16860,700,30,548,42.609364,0.0018329807108324356,0.37901487946510315,0.5358766913414001,-3.1109206676483154,-6.0517144203186035,342
37.87,17360,710,31,554,46.244957,0.0018329807108324356,0.37969404458999634,0.5121477842330933,-3.295947313308716,-6.387207984924316,367
39.54,17860,720,31,560,49.843422,0.0018329807108324356,0.5739216208457947,0.48955991864204407,-3.46150803565979,-6.55121374130249,392
41.56,18340,730,32,566,52.40423,0.0018329807108324356,0.626053512096405,0.4689877927303314,-3.6697373390197754,-6.189909934997559,416
