rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates
14.5,340,10,0,3088,10.086425,,,,,,
16.05,520,20,0,3259,11.229472,,,,,,
17.516129032258064,760,30,0,3690,11.608297,,,,,,
18.575,980,40,0,3942,12.023691,,,,,,
19.215686274509803,1240,50,0,4067,12.91469,,,,,,
19.633333333333333,1460,60,0,4127,14.253896,,,,,,
20.571428571428573,1700,70,0,4269,15.389167,,,,,,
20.25,1860,80,0,4284,15.376648,,,,,,
20.544444444444444,2140,90,0,4261,15.518326,,,,,,
21.06,2340,100,0,4251,15.873784,,,,,,
21.59,2560,110,0,4292,16.273018,,,,,,
22.12,2760,120,0,4296,16.741228,,,,,,
21.94,2980,130,0,4349,16.980265,,,,,,
21.48,3220,140,0,4361,16.814898,,,,,,
21.69,3460,150,0,4384,17.160166,,,,,,
22.54,3660,160,0,4392,17.121288,,,,,,
21.97,3900,170,0,4393,16.282213,,,,,,
21.69,4100,180,0,4411,16.056643,,,,,,
22.22,4380,190,0,4441,17.121841,,,,,,
21.87,4540,200,1,4425,17.10042,,,,,,
22.3,4760,210,1,4372,17.80987,,,,,,
22.23,5060,220,1,4343,17.699848,,,,,,
22.95,5220,230,1,4305,18.103796,,,,,,
22.74,5500,240,1,4317,17.73459,,,,,,
23.19,5780,250,1,4322,17.883976,,,,,,
22.92,5980,260,1,4339,18.209291,,,,,,
23.22,6160,270,1,4339,19.11321,,,,,,
23.19,6380,280,1,4332,18.652359,,,,,,
22.53,6600,290,1,4336,17.797901,,,,,,
22.28,6760,300,1,4317,17.479134,,,,,,
21.78,7040,310,1,4334,16.879284,,,,,,
22.2,7260,320,1,4324,17.352173,,,,,,
22.18,7460,330,1,4313,17.34388,,,,,,
22.63,7660,340,1,4308,17.967087,,,,,,
21.79,7820,350,1,4288,17.172836,,,,,,
20.68,8020,360,1,4262,16.23541,,,,,,
20.24,8240,370,1,4241,15.588644,,,,,,
20.7,8380,380,1,4217,16.247442,,,,,,
20.75,8600,390,2,4197,16.188341,,,,,,
20.55,8860,400,2,4178,15.872254,,,,,,
20.96,9100,410,2,4163,16.127934,,,,,,
20.76,9320,420,2,4140,15.936307,,,,,,
20.37,9600,430,2,4155,15.902482,,,,,,
20.08,9780,440,2,4139,15.310001,,,,,,
20.53,10000,450,2,4145,16.320997,,,,,,
21.42,10220,460,7,1296,17.459616,0.0018329807108324356,1.6142048835754395,0.9836256504058838,-0.08217951655387878,-4.747323036193848,10
22.04,10400,470,8,1269,18.238811,0.0018329807108324356,0.86125648021698,0.9675071239471436,-0.1660347282886505,-4.565014839172363,19
21.47,10660,480,8,1235,17.498234,0.0018329807108324356,0.518156886100769,0.9446702003479004,-0.2861398756504059,-4.724421501159668,32
22.11,10820,490,8,1215,18.31735,0.0018329807108324356,0.40465056896209717,0.9308781623840332,-0.36103561520576477,-5.078776836395264,40
22.48,11080,500,9,1176,18.542473,0.0018329807108324356,0.4090976417064667,0.9088944792747498,-0.4826781451702118,-5.08087158203125,53
21.58,11320,510,9,1152,17.997498,0.0018329807108324356,0.29655206203460693,0.8890581727027893,-0.5926064252853394,-5.1211748123168945,65
21.37,11620,520,10,1102,17.546175,0.0018329807108324356,0.2797930836677551,0.8648712635040283,-0.732448935508728,-5.098073959350586,80
21.91,11820,530,10,1091,18.318323,0.0018329807108324356,0.3374081254005432,0.8491246104240417,-0.8220136165618896,-5.135065078735352,90
21.94,12060,540,11,1079,18.669136,0.0018329807108324356,0.3213866949081421,0.8306365609169006,-0.9326866865158081,-5.213029861450195,102
23.58,12300,550,11,1071,21.065804,0.0018329807108324356,0.31885939836502075,0.812542200088501,-1.0455070734024048,-5.225737571716309,114
23.39,12540,560,11,1061,20.488266,0.0018329807108324356,0.38207316398620605,0.7948344945907593,-1.1565461158752441,-5.368515968322754,126
23.13,12760,570,12,1054,19.957243,0.0018329807108324356,0.5110772848129272,0.778956413269043,-1.2577602863311768,-5.258358955383301,137
23.43,13040,580,12,1049,20.373463,0.0018329807108324356,0.283303827047348,0.759217381477356,-1.3906689882278442,-5.355058670043945,151
23.5,13340,590,12,1040,20.694687,0.0018329807108324356,0.3988278806209564,0.7386226058006287,-1.5258721113204956,-5.172848701477051,166
24.58,13720,600,13,1030,22.597141,0.0018329807108324356,0.3121064007282257,0.7133224606513977,-1.6884095668792725,-5.301329612731934,185
26.99,14080,610,13,1021,25.201633,0.0018329807108324356,0.2469247430562973,0.6901899576187134,-1.8589553833007812,-5.411865234375,203
27.28,14360,620,14,1015,25.457666,0.0018329807108324356,0.37369105219841003,0.6727310419082642,-1.9960355758666992,-5.355969429016113,217
28.07,14780,630,14,1012,28.008738,0.0018329807108324356,0.30534738302230835,0.6473484635353088,-2.17242169380188,-5.5222296714782715,238
29.19,15180,640,15,1006,29.083237,0.0018329807108324356,0.3447955846786499,0.6241453289985657,-2.354688882827759,-5.756661415100098,258
29.61,15720,650,15,1000,30.246496,0.0018329807108324356,0.2973374128341675,0.5941504240036011,-2.609398365020752,-5.642238616943359,285
34.03,16280,660,16,993,37.43538,0.0018329807108324356,0.39819827675819397,0.5645908117294312,-2.8474159240722656,-5.821955680847168,313
36.58,16460,670,16,992,41.640133,0.0018329807108324356,0.3462575078010559,0.5554136037826538,-2.9103822708129883,-5.822885513305664,322
37.2,16860,680,17,988,43.03845,0.0018329807108324356,0.42879217863082886,0.5356190204620361,-3.1226863861083984,-5.984396934509277,342
38.22,17600,690,17,984,44.860207,0.0018329807108324356,0.37589147686958313,0.5009244680404663,-3.45566987991333,-6.027806758880615,379
40.81,17840,700,18,984,50.097446,0.0018329807108324356,0.48024535179138184,0.49014121294021606,-3.504697322845459,-6.03066349029541,391
40.37,18260,710,18,979,50.303417,0.0018329807108324356,0.16890422999858856,0.47186386585235596,-3.6921749114990234,-6.477313041687012,412
43.34,19020,720,19,972,55.25712,0.0018329807108324356,0.2886105179786682,0.4407150149345398,-3.9983391761779785,-6.703476905822754,450
46.08,19540,730,20,968,59.09215,0.0018329807108324356,0.4531557559967041,0.42077401280403137,-4.1251020431518555,-6.90440559387207,476
49.71,20240,740,20,963,66.29397,0.0018329807108324356,0.19670960307121277,0.39540886878967285,-4.520589351654053,-6.87714147567749,511
50.67,21120,750,21,962,68.08436,0.0018329807108324356,0.3088175058364868,0.36592456698417664,-4.832880020141602,-7.318029403686523,555
51.46,21580,760,22,963,70.67377,0.0018329807108324356,0.284385085105896,0.35146379470825195,-4.896728515625,-7.185704231262207,578
55.78,22380,770,23,959,79.10672,0.0018329807108324356,0.9063971638679504,0.3278047740459442,-5.1814866065979,-7.768258094787598,618
58.87,22980,780,23,958,86.15255,0.0018329807108324356,0.2952316701412201,0.3114634156227112,-5.314037322998047,-7.614557266235352,648
61.49,23600,790,24,955,92.06037,0.0018329807108324356,0.21812772750854492,0.2953462302684784,-5.3482890129089355,-8.201510429382324,679
62.53,24420,800,25,953,95.370056,0.0018329807108324356,0.9602019190788269,0.2755185663700104,-5.659350395202637,-8.098267555236816,720
65.99,25180,810,26,954,105.08053,0.0018329807108324356,0.5896220207214355,0.2585434019565582,-5.885336399078369,-8.636289596557617,758
70.47,26360,820,27,951,118.40649,0.0018329807108324356,0.4088081419467926,0.2349313646554947,-6.591314315795898,-9.226970672607422,817
74.47,27100,830,28,947,130.10234,0.0018329807108324356,0.8481354713439941,0.22153303027153015,-6.010917663574219,-9.408381462097168,854
76.72,28040,840,29,946,139.37915,0.0018329807108324356,0.7347100973129272,0.20573806762695312,-6.105623245239258,-10.381047248840332,901
