time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss
10,9.281636,300,13.2,929,0,,,,,,
20,10.867654,520,15.6,1146,0,,,,,,
30,10.551816,760,15.966666666666667,1399,0,,,,,,
40,10.69064,940,16.925,1550,0,,,,,,
50,12.843037,1240,18.23076923076923,1532,0,,,,,,
60,14.333422,1500,19.262295081967213,1676,0,,,,,,
70,14.936578,1700,19.414285714285715,1754,0,,,,,,
80,15.199435,1880,19.7125,1793,1,,,,,,
90,16.784567,2120,20.4,1867,1,,,,,,
100,17.248756,2360,20.7,1925,1,,,,,,
110,17.655855,2640,21.57,2015,1,,,,,,
120,18.088282,2840,22.13,2053,1,,,,,,
130,18.809015,3060,23.03,2110,1,,,,,,
140,19.053411,3300,23.25,2152,1,,,,,,
150,19.496964,3520,23.62,2194,1,,,,,,
160,18.827545,3820,23.17,2252,1,,,,,,
170,19.146704,3980,23.45,2270,1,,,,,,
180,18.863981,4180,23.61,2294,1,,,,,,
190,16.93285,4400,22.71,2323,1,,,,,,
200,15.873815,4560,22.41,2332,1,,,,,,
210,15.617849,4740,21.82,2345,2,,,,,,
220,16.681992,5000,22.03,2357,2,,,,,,
230,16.047552,5180,21.62,2375,2,,,,,,
240,17.192682,5480,21.92,2419,2,,,,,,
250,16.37794,5680,21.55,2446,2,,,,,,
260,16.2352,5900,21.56,2471,2,,,,,,
270,16.953941,6200,22.13,2509,2,,,,,,
280,16.804852,6400,21.81,2525,2,,,,,,
290,17.506624,6640,22.25,2541,2,,,,,,
300,18.570154,6900,22.41,2560,2,,,,,,
310,20.382864,7160,23.75,2582,2,,,,,,
320,20.426573,7380,23.82,2599,2,,,,,,
330,20.787844,7560,23.8,2613,2,,,,,,
340,19.610136,7800,23.14,2634,2,,,,,,
350,19.990458,8040,23.06,2657,3,,,,,,
360,19.835915,8260,23.2,2681,3,,,,,,
370,19.106081,8480,22.36,2702,3,,,,,,
380,18.526838,8660,22.0,2714,3,,,,,,
390,19.575739,8920,22.71,2739,3,,,,,,
400,20.555672,9120,23.16,2762,3,,,,,,
410,20.099085,9320,22.39,2783,3,,,,,,
420,18.62141,9540,21.45,2810,3,,,,,,
430,18.689655,9720,21.42,2834,3,,,,,,
440,19.321274,10020,22.36,403,24,,,,,,
450,19.152887,10280,22.48,396,25,-4.218911647796631,-0.14141252636909485,0.002335721469090121,0.9723296761512756,13,1.067493200302124
460,19.48117,10520,22.34,399,26,-4.834561347961426,-0.2835915684700012,0.002335721469090121,0.9453889727592468,25,0.43054506182670593
470,20.005882,10760,22.95,402,26,-4.949754238128662,-0.4245983362197876,0.002335721469090121,0.9191805124282837,37,0.2722221314907074
480,20.668049,11020,23.45,407,27,-4.99000358581543,-0.5785507559776306,0.002335721469090121,0.8916001319885254,50,0.26106512546539307
490,20.132626,11240,23.08,411,27,-4.982210159301758,-0.7149052023887634,0.002335721469090121,0.8689053058624268,61,0.3124677538871765
500,18.706781,11500,22.76,414,27,-5.10727596282959,-0.856525182723999,0.002335721469090121,0.8428181409835815,74,0.28847354650497437
510,18.869688,11720,23.42,418,28,-5.08478307723999,-0.9924377202987671,0.002335721469090121,0.8213926553726196,85,0.31688034534454346
520,18.932457,11880,23.63,420,28,-5.040683269500732,-1.0849573612213135,0.002335721469090121,0.8061525821685791,93,0.23735491931438446
530,20.675285,12260,24.89,426,28,-5.0348801612854,-1.3150904178619385,0.002335721469090121,0.7711214423179626,112,0.24724248051643372
540,20.068405,12480,24.61,429,29,-4.976870059967041,-1.4368693828582764,0.002335721469090121,0.7515208721160889,123,0.2706252336502075
550,20.677208,12700,24.58,433,29,-5.333345890045166,-1.576312780380249,0.002335721469090121,0.7324418425559998,134,0.19228844344615936
560,21.02117,12980,25.13,437,29,-5.0687360763549805,-1.7375719547271729,0.002335721469090121,0.7088596820831299,148,0.20771348476409912
570,20.618633,13360,24.73,443,30,-5.224460601806641,-1.9445719718933105,0.002335721469090121,0.678091824054718,167,0.2683606445789337
580,23.1683,13500,26.0,445,30,-5.158596038818359,-2.0478005409240723,0.002335721469090121,0.6671051979064941,174,0.3195890784263611
590,22.875717,13960,25.84,448,31,-5.102916717529297,-2.3110647201538086,0.002335721469090121,0.6322572827339172,197,0.2676991820335388
600,26.917469,14300,27.68,454,31,-5.112476825714111,-2.4847962856292725,0.002335721469090121,0.6077097654342651,214,0.2159496247768402
610,26.93896,14600,27.94,458,31,-5.347540855407715,-2.675654411315918,0.002335721469090121,0.586887001991272,229,0.1917712390422821
620,29.588999,15020,29.27,464,32,-5.425128936767578,-2.8880722522735596,0.002335721469090121,0.5589559078216553,250,0.19218085706233978
630,29.480066,15520,29.4,471,32,-5.354933261871338,-3.146378755569458,0.002335721469090121,0.527417004108429,275,0.26294636726379395
640,33.64756,15860,31.51,475,33,-5.347858428955078,-3.3836264610290527,0.002335721469090121,0.5070773959159851,292,0.28572577238082886
650,36.877354,16420,33.85,483,33,-5.196591854095459,-3.669981002807617,0.002335721469090121,0.4753497838973999,320,0.24213847517967224
660,44.20501,17140,37.49,492,34,-5.750730514526367,-4.113390922546387,0.002335721469090121,0.43763941526412964,356,0.3272542953491211
670,51.503307,17680,41.45,498,35,-5.754980087280273,-4.332269668579102,0.002335721469090121,0.4114241898059845,383,0.4292895793914795
680,54.994617,18220,43.44,504,36,-5.873988151550293,-4.654896259307861,0.002335721469090121,0.3869243264198303,410,0.1428801715373993
690,61.666737,19060,47.64,513,37,-6.393204212188721,-4.903847694396973,0.002335721469090121,0.35195615887641907,452,0.169560045003891
700,65.33192,19460,49.64,517,37,-6.548601150512695,-4.944592475891113,0.002335721469090121,0.33660048246383667,472,0.4376380443572998
710,69.55605,20340,51.66,488,41,-6.042744159698486,-5.345545768737793,0.002335721469090121,0.3054262399673462,516,0.6398809552192688
720,72.933395,20780,53.67,493,42,-6.826714515686035,-5.655367851257324,0.002335721469090121,0.29109346866607666,538,0.38919103145599365
730,78.31845,21380,56.38,499,42,-7.022047996520996,-5.838292121887207,0.002335721469090121,0.27283498644828796,568,0.43702733516693115
740,82.41033,21740,58.31,503,43,-6.729794979095459,-6.246396541595459,0.002335721469090121,0.26270127296447754,586,0.436568021774292
750,84.73176,22300,58.73,509,43,-7.07359504699707,-6.154392242431641,0.002335721469090121,0.24750854074954987,614,0.8926010131835938
760,89.05468,23540,59.62,520,45,-8.066011428833008,-5.957414627075195,0.002335721469090121,0.2178443819284439,676,0.3259546756744385
770,97.80527,23940,62.12,523,45,-7.741158962249756,-6.131269931793213,0.002335721469090121,0.2093677818775177,696,0.5404622554779053
780,106.27024,24760,64.62,531,46,-8.097105026245117,-6.093730926513672,0.002335721469090121,0.1930456906557083,737,0.3583928346633911
790,116.0692,25700,66.32,539,47,-8.81096076965332,-6.329472541809082,0.002335721469090121,0.17643938958644867,784,1.0963518619537354
800,126.58951,26340,69.0,545,48,-8.864879608154297,-7.285092830657959,0.002335721469090121,0.16616900265216827,816,0.7905665636062622
810,137.37447,27420,72.05,553,49,-9.610876083374023,-6.094649314880371,0.002335721469090121,0.150331050157547,870,0.7714682221412659
820,147.88188,28080,75.3,558,50,-9.972465515136719,-5.795360565185547,0.002335721469090121,0.1416275054216385,903,0.37091830372810364
830,159.20038,29140,78.08,565,51,-10.55945873260498,-7.236664295196533,0.002335721469090121,0.1293584704399109,956,0.6926867961883545
840,166.38736,29760,79.39,569,52,-10.912820816040039,-5.490736961364746,0.002335721469090121,0.12277007848024368,987,1.338862419128418
850,176.71846,30860,82.8,510,60,-11.593506813049316,-5.835061073303223,0.002335721469090121,0.1123180016875267,1042,0.5615389347076416
860,182.56604,31380,84.76,513,61,-11.868717193603516,-6.199416160583496,0.002335721469090121,0.10778111964464188,1068,1.1250386238098145
870,182.22803,32580,84.33,522,62,-12.128125190734863,-7.077365875244141,0.002335721469090121,0.09803131967782974,1128,1.2967497110366821
880,185.33446,33120,85.06,525,63,-12.049101829528809,-6.4105682373046875,0.002335721469090121,0.09404432028532028,1155,0.982025146484375
890,184.18994,34240,85.25,531,64,-12.782938003540039,-6.645270347595215,0.002335721469090121,0.08681753277778625,1211,2.513237953186035
900,183.40659,34820,85.18,535,65,-13.35738754272461,-6.0625386238098145,0.002335721469090121,0.08304013311862946,1240,2.2877748012542725
910,182.66136,35860,85.22,541,66,-14.501104354858398,-6.456842422485352,0.002335721469090121,0.07726253569126129,1292,2.131664991378784
920,182.18867,36480,85.11,545,66,-14.057090759277344,-4.487820625305176,0.002335721469090121,0.07397396862506866,1323,1.6540796756744385
