time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss
10,9.522787,300,12.5,2349,0,,,,,,
20,11.666584,520,15.85,2746,0,,,,,,
30,12.357378,700,16.34375,2882,0,,,,,,
40,12.753288,920,17.125,3169,0,,,,,,
50,13.293114,1100,17.48,3280,0,,,,,,
60,13.376296,1360,17.966666666666665,3489,0,,,,,,
70,13.434367,1520,18.242857142857144,3494,0,,,,,,
80,13.196698,1780,17.9125,3589,0,,,,,,
90,14.631604,2040,19.043956043956044,3674,0,,,,,,
100,14.600015,2220,19.28,3579,0,,,,,,
110,15.337591,2500,20.03,3559,0,,,,,,
120,15.937348,2760,20.73,3624,0,,,,,,
130,16.702797,3040,21.66,3721,0,,,,,,
140,17.075548,3160,21.96,3702,0,,,,,,
150,19.05156,3480,22.99,3793,0,,,,,,
160,19.304842,3720,23.04,3841,0,,,,,,
170,19.711468,3960,23.34,3835,1,,,,,,
180,20.350452,4220,24.44,3866,1,,,,,,
190,20.601404,4560,24.57,3891,1,,,,,,
200,20.863071,4740,24.81,3876,1,,,,,,
210,21.402136,5040,25.7,3886,1,,,,,,
220,21.676506,5300,25.69,3869,1,,,,,,
230,22.009022,5440,25.62,3857,1,,,,,,
240,23.056746,5660,25.9,3875,1,,,,,,
250,20.548286,5860,24.37,3892,1,,,,,,
260,20.367682,6080,24.07,3913,1,,,,,,
270,19.943035,6300,23.7,3898,1,,,,,,
280,19.45456,6600,22.82,3877,1,,,,,,
290,20.255161,6760,23.1,3878,1,,,,,,
300,21.28677,6980,23.47,3884,1,,,,,,
310,20.583033,7220,22.57,3901,1,,,,,,
320,20.272453,7440,22.28,3910,1,,,,,,
330,19.589903,7600,21.63,3919,1,,,,,,
340,18.615679,7840,21.14,3940,1,,,,,,
350,19.256033,8000,21.94,3929,2,,,,,,
360,19.332298,8240,21.83,3935,2,,,,,,
