rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
9.04509,0,10,15.083333333333334,1075,380,,,,,,
10.985934,0,20,16.6,1178,500,,,,,,
10.575307,0,30,16.766666666666666,1442,780,,,,,,
12.5386915,0,40,18.6,1438,1000,,,,,,
13.4485035,0,50,19.38,1608,1220,,,,,,
14.207416,0,60,19.770491803278688,1708,1420,,,,,,
13.694683,0,70,19.12857142857143,1822,1660,,,,,,
13.924425,0,80,19.675,1896,1880,,,,,,
15.215762,1,90,20.141304347826086,1962,2160,,,,,,
15.400722,1,100,20.35,2021,2400,,,,,,
16.181532,1,110,20.88,2096,2700,,,,,,
17.808609,1,120,21.95,2160,2960,,,,,,
18.869556,1,130,22.75,2208,3160,,,,,,
18.638857,1,140,22.33,2238,3340,,,,,,
19.830338,1,150,22.97,2292,3640,,,,,,
22.403671,1,160,24.08,2301,3800,,,,,,
22.11677,1,170,24.24,2335,4020,,,,,,
21.787884,1,180,23.72,2372,4240,,,,,,
21.496138,1,190,23.71,2391,4440,,,,,,
21.150337,1,200,23.2,2418,4660,,,,,,
21.769032,1,210,23.5,2440,4860,,,,,,
21.242134,2,220,22.86,2443,5040,,,,,,
21.167768,2,230,22.31,2447,5260,,,,,,
19.42642,2,240,21.4,2484,5580,,,,,,
20.047855,2,250,22.2,2508,5800,,,,,,
17.784657,2,260,21.6,2529,6000,,,,,,
17.551826,2,270,21.44,2558,6220,,,,,,
17.07687,2,280,21.35,2578,6420,,,,,,
16.820074,2,290,21.02,2595,6680,,,,,,
17.135548,2,300,21.69,2612,6920,,,,,,
18.468948,2,310,22.59,2622,7100,,,,,,
17.458965,2,320,22.32,2641,7320,,,,,,
17.332787,2,330,22.78,2641,7440,,,,,,
16.994217,2,340,22.16,2664,7680,,,,,,
16.305077,2,350,21.37,2681,7880,,,,,,
15.751289,2,360,20.64,2701,8100,,,,,,
15.687976,3,370,20.58,2726,8320,,,,,,
17.379583,3,380,21.41,2752,8600,,,,,,
18.600006,3,390,22.35,2782,8900,,,,,,
19.52331,3,400,22.33,2802,9140,,,,,,
17.848553,3,410,21.71,2827,9380,,,,,,
17.907028,3,420,21.6,2844,9540,,,,,,
19.695215,3,430,22.16,2864,9720,,,,,,
20.948896,3,440,22.82,2883,9920,,,,,,
21.2376,25,450,23.01,394,10160,-4.64055061340332,7,1.5206412076950073,0.9822916984558105,-0.08898080140352249,0.002976351441631319
21.406567,26,460,23.24,397,10420,-4.904073715209961,20,0.46311286091804504,0.9448845982551575,-0.28465932607650757,0.002976351441631319
21.704357,26,470,23.33,400,10600,-4.9963884353637695,29,0.3544977307319641,0.9198049306869507,-0.42154887318611145,0.002976351441631319
21.840591,26,480,23.67,405,10920,-4.917702674865723,45,0.23762494325637817,0.8768412470817566,-0.6626718044281006,0.002976351441631319
20.45889,27,490,23.19,407,11080,-5.007082939147949,53,0.2850661873817444,0.8561244606971741,-0.7834246158599854,0.002976351441631319
20.027357,27,500,23.07,411,11320,-4.844304084777832,65,0.4424072504043579,0.8259776830673218,-0.9628851413726807,0.002976351441631319
18.948357,27,510,22.17,415,11580,-5.000162601470947,78,0.27495628595352173,0.7945463061332703,-1.1570520401000977,0.002976351441631319
