rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
9.235071,10,14.2,360,0,1011,,,,,,
12.634874,20,18.45,660,1,511,,,,,,
14.648263,30,20.75,900,1,610,,,,,,
15.582187,40,21.925,1060,1,644,,,,,,
15.060155,50,21.22,1340,1,762,,,,,,
16.045864,60,21.62295081967213,1500,1,819,,,,,,
15.653205,70,21.208333333333332,1700,1,894,,,,,,
15.253186,80,20.675,1960,1,996,,,,,,
15.4863405,90,21.197802197802197,2280,2,1111,,,,,,
16.643349,100,22.28,2500,2,1172,,,,,,
17.203087,110,22.78,2700,2,1224,,,,,,
17.971178,120,22.97,2900,2,1275,,,,,,
17.228436,130,22.1,3160,2,1331,,,,,,
17.536106,140,22.48,3400,2,1378,,,,,,
18.881712,150,23.1,3680,2,1434,,,,,,
19.30718,160,23.86,3940,2,1491,,,,,,
19.28607,170,24.0,4080,2,1512,,,,,,
19.643675,180,24.27,4300,2,1553,,,,,,
19.660385,190,24.1,4540,2,1593,,,,,,
18.585058,200,22.96,4740,2,1623,,,,,,
18.103685,210,22.61,5000,2,1670,,,,,,
17.742783,220,22.36,5180,3,1696,,,,,,
16.851778,230,21.67,5440,3,1739,,,,,,
16.693583,240,21.39,5620,3,1762,,,,,,
14.960762,250,20.44,5840,3,1789,,,,,,
16.560942,260,20.8,6020,3,1807,,,,,,
16.848299,270,20.7,6300,3,1827,,,,,,
16.546564,280,21.09,6480,3,1850,,,,,,
16.08938,290,20.69,6640,3,1870,,,,,,
16.0713,300,20.21,6840,3,1892,,,,,,
17.864779,310,21.21,7020,3,1911,,,,,,
17.179913,320,20.88,7220,3,1928,,,,,,
17.727194,330,21.46,7420,3,1947,,,,,,
17.709774,340,21.03,7660,3,1974,,,,,,
18.424326,350,21.62,7860,3,1989,,,,,,
15.568389,360,20.23,7980,3,1997,,,,,,
15.140394,370,19.99,8240,4,2022,,,,,,
15.330537,380,19.77,8480,4,2043,,,,,,
17.23038,390,20.34,8620,4,2055,,,,,,
17.733538,400,20.82,8860,4,2077,,,,,,
16.312311,410,20.09,9060,4,2100,,,,,,
17.373018,420,20.74,9320,4,2127,,,,,,
18.131699,430,20.68,9540,4,2148,,,,,,
18.458576,440,21.09,9740,4,2163,,,,,,
18.80163,450,21.34,9980,4,2186,,,,,,
19.087923,460,21.41,10160,27,375,0.00379269019073225,0.9774941802024841,7,-4.4314446449279785,-0.11388944089412689,0.9634839296340942
19.667933,470,21.96,10400,27,378,0.00379269019073225,0.933810293674469,19,-4.694948673248291,-0.3446947932243347,0.43444517254829407
18.947035,480,21.87,10580,27,381,0.00379269019073225,0.9022833704948425,28,-4.719045639038086,-0.5165753364562988,0.3013349175453186
17.331041,490,21.22,10820,28,385,0.00379269019073225,0.8619075417518616,40,-4.963155746459961,-0.7480010986328125,0.3002240061759949
17.653728,500,21.75,11080,28,389,0.00379269019073225,0.8202390074729919,53,-4.825234413146973,-0.9986814260482788,0.21044018864631653
17.98897,510,22.28,11300,28,393,0.00379269019073225,0.7865724563598633,64,-4.72860050201416,-1.2130224704742432,0.32854801416397095
16.516163,520,21.58,11540,29,397,0.00379269019073225,0.7514500617980957,76,-4.839498519897461,-1.4361371994018555,0.2727847695350647
16.5746,530,21.9,11840,29,401,0.00379269019073225,0.7097878456115723,91,-4.607913970947266,-1.7234387397766113,0.26552799344062805
17.135614,540,22.08,12020,29,404,0.00379269019073225,0.6859474182128906,100,-4.777441024780273,-1.8891866207122803,0.20952850580215454
18.22762,550,22.44,12260,29,408,0.00379269019073225,0.6553941369056702,112,-4.724171161651611,-2.1436452865600586,0.25547969341278076
19.916725,560,22.99,12580,30,413,0.00379269019073225,0.6167515516281128,128,-4.565308570861816,-2.430894136428833,0.19823166728019714
21.59983,570,23.96,12900,30,418,0.00379269019073225,0.5804539322853088,144,-4.556469917297363,-2.7266335487365723,0.17252671718597412
21.934582,580,24.77,13240,31,423,0.00379269019073225,0.5442729592323303,161,-4.48335599899292,-3.0540316104888916,0.174649178981781
25.092606,590,26.46,13660,31,429,0.00379269019073225,0.5026863217353821,182,-4.491879463195801,-3.398881435394287,0.15347743034362793
26.993824,600,27.89,14100,32,433,0.00379269019073225,0.46270158886909485,204,-4.489515781402588,-3.843810558319092,0.18023861944675446
29.600107,610,29.78,14700,33,442,0.00379269019073225,0.4133606255054474,234,-4.610515117645264,-4.415085792541504,0.1654318869113922
36.19645,620,33.38,15260,33,450,0.00379269019073225,0.37235867977142334,262,-4.722192764282227,-4.843968391418457,0.14507746696472168
42.856674,630,37.93,15880,34,458,0.00379269019073225,0.3319689929485321,293,-4.885377883911133,-5.345202445983887,0.19393453001976013
