rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
10.172277,10,13.3,320,0,3345,,,,,,
12.256108,20,15.80952380952381,520,0,3318,,,,,,
12.385604,30,15.612903225806452,720,0,3522,,,,,,
14.652057,40,17.375,960,0,3803,,,,,,
15.451572,50,18.62,1140,0,3826,,,,,,
14.97671,60,18.6,1280,0,3734,,,,,,
14.278631,70,18.114285714285714,1560,0,3903,,,,,,
14.672017,80,18.246913580246915,1780,0,3955,,,,,,
15.346986,90,18.692307692307693,2020,0,3983,,,,,,
15.830013,100,19.19,2200,0,3961,,,,,,
16.609102,110,20.07,2540,0,4009,,,,,,
19.05987,120,21.66,2740,0,4000,,,,,,
19.493694,130,22.15,3020,0,3948,,,,,,
20.098637,140,22.64,3260,0,3832,,,,,,
20.554384,150,23.35,3420,0,3782,,,,,,
20.404274,160,23.13,3740,1,3552,,,,,,
20.815569,170,23.57,3940,1,3489,,,,,,
21.029387,180,23.79,4160,1,3467,,,,,,
20.663454,190,24.17,4440,1,3452,,,,,,
21.364264,200,24.85,4620,1,3402,,,,,,
20.617687,210,24.57,4900,1,3334,,,,,,
18.852919,220,23.83,5160,1,3309,,,,,,
19.050032,230,24.16,5360,1,3281,,,,,,
18.323936,240,23.33,5480,1,3285,,,,,,
17.62833,250,22.49,5760,1,3319,,,,,,
17.813778,260,22.82,5980,1,3354,,,,,,
18.219156,270,23.15,6240,1,3397,,,,,,
18.060709,280,23.22,6440,1,3412,,,,,,
17.911453,290,22.8,6640,1,3391,,,,,,
16.425188,300,21.23,6900,2,3405,,,,,,
17.238708,310,21.73,7140,2,3425,,,,,,
18.107449,320,22.06,7240,2,3417,,,,,,
17.707603,330,21.75,7520,2,3439,,,,,,
17.4601,340,21.54,7780,2,3434,,,,,,
17.506882,350,21.72,7920,2,3409,,,,,,
17.953886,360,22.01,8080,2,3401,,,,,,
17.741877,370,21.45,8380,2,3421,,,,,,
17.318731,380,21.4,8580,2,3433,,,,,,
18.02902,390,21.91,8860,2,3456,,,,,,
19.305544,400,22.93,9020,2,3469,,,,,,
18.308943,410,22.09,9240,2,3481,,,,,,
18.014526,420,21.87,9500,2,3501,,,,,,
18.134436,430,22.26,9700,2,3504,,,,,,
17.447868,440,21.77,9960,2,3501,,,,,,
18.352386,450,22.46,10220,3,3094,0.00379269019073225,0.9664026498794556,10,-4.225610733032227,-0.17049506306648254,1.1381020545959473
18.648453,460,22.54,10420,3,2913,0.00379269019073225,0.9302970170974731,20,-4.614051342010498,-0.3642091453075409,0.5916043519973755
18.360615,470,22.6,10680,4,2668,0.00379269019073225,0.885313093662262,33,-4.7150492668151855,-0.616430401802063,0.22482119500637054
18.66027,480,22.76,10940,4,2516,0.00379269019073225,0.8425040245056152,46,-4.923118591308594,-0.8618475198745728,0.22452297806739807
18.356834,490,22.48,11120,4,2438,0.00379269019073225,0.8141040205955505,55,-4.8979997634887695,-1.0394086837768555,0.2692593038082123
18.421124,500,22.28,11360,4,2338,0.00379269019073225,0.7777345180511475,67,-4.816939353942871,-1.267408847808838,0.16553179919719696
19.065514,510,22.73,11580,5,2267,0.00379269019073225,0.7458401918411255,78,-4.712790489196777,-1.4725708961486816,0.3999687433242798
19.66927,520,23.25,11840,5,2195,0.00379269019073225,0.709863543510437,91,-4.751339435577393,-1.726410150527954,0.26308512687683105
20.50481,530,23.59,12020,5,2135,0.00379269019073225,0.6860097050666809,100,-4.627228736877441,-1.8919658660888672,0.32038336992263794
20.447737,540,23.66,12320,6,2052,0.00379269019073225,0.6480002403259277,115,-4.618731498718262,-2.1818366050720215,0.3940148651599884
19.98513,550,23.2,12620,6,1990,0.00379269019073225,0.612104594707489,130,-4.624601364135742,-2.4533987045288086,0.2362975776195526
20.567894,560,23.71,12740,6,1961,0.00379269019073225,0.5983279347419739,136,-4.670888423919678,-2.5775060653686523,0.19690477848052979
21.604563,570,24.39,13260,7,1840,0.00379269019073225,0.5421971678733826,162,-4.575216293334961,-3.072291135787964,0.23800906538963318
23.41414,580,25.31,13640,7,1773,0.00379269019073225,0.5045680403709412,181,-4.5341081619262695,-3.431471109390259,0.15559649467468262
26.947987,590,27.56,14040,8,1683,0.00379269019073225,0.46782371401786804,201,-4.613941192626953,-3.794717311859131,0.17651501297950745
27.350384,600,28.52,14400,8,1628,0.00379269019073225,0.43715590238571167,219,-4.574431419372559,-4.126266956329346,0.17098048329353333
29.54839,610,29.64,14940,9,1558,0.00379269019073225,0.3949728310108185,246,-4.560373306274414,-4.590428829193115,0.2561019957065582
32.916874,620,31.42,15300,10,1506,0.00379269019073225,0.3692416548728943,264,-4.475766181945801,-4.938294410705566,0.28938961029052734
39.56832,630,35.79,16060,11,1412,0.00379269019073225,0.32040321826934814,302,-4.655651092529297,-5.572491645812988,0.5188330411911011
44.78682,640,38.35,16440,11,1376,0.00379269019073225,0.298604816198349,321,-4.700815200805664,-5.847497463226318,0.30565881729125977
51.44103,650,41.82,17120,12,1336,0.00379269019073225,0.2637048363685608,355,-5.31475830078125,-6.36170768737793,0.17160674929618835
57.24735,660,44.79,17740,13,1272,0.00379269019073225,0.23575985431671143,386,-5.100977420806885,-6.951537132263184,0.14117179811000824
61.84616,670,46.8,18320,14,1247,0.00379269019073225,0.21271637082099915,415,-5.31085205078125,-7.306606292724609,0.17071962356567383
66.86153,680,49.75,18820,15,1230,0.00379269019073225,0.19479268789291382,440,-5.151556491851807,-7.4918928146362305,0.19487807154655457
70.13686,690,51.26,19400,16,1207,0.00379269019073225,0.17627066373825073,469,-5.158092975616455,-6.692142486572266,0.42603111267089844
72.8907,700,51.78,19720,16,1199,0.00379269019073225,0.16696767508983612,485,-5.549020290374756,-6.780914306640625,0.11138731241226196
76.69917,710,53.98,20380,17,1179,0.00379269019073225,0.14966556429862976,518,-5.587770938873291,-7.62502384185791,0.20348694920539856
80.49509,720,55.88,21140,18,1154,0.00379269019073225,0.13253827393054962,556,-5.882664203643799,-8.08778190612793,0.24138271808624268
85.199265,730,56.03,21500,18,1146,0.00379269019073225,0.12517476081848145,574,-6.143632888793945,-8.382919311523438,0.5532815456390381
88.398415,740,56.83,22080,19,1135,0.00379269019073225,0.11462076753377914,603,-6.191839694976807,-6.791151523590088,0.18843679130077362
90.4216,750,56.74,22600,20,1124,0.00379269019073225,0.10633430629968643,629,-6.866625785827637,-9.72547721862793,0.2649359703063965
89.36328,760,55.13,22800,20,1119,0.00379269019073225,0.10323429852724075,639,-6.545738697052002,-5.551104545593262,0.5675702691078186
98.095795,770,57.5,24080,21,1099,0.00379269019073225,0.08693352341651917,703,-7.057887554168701,-6.587964057922363,0.2919970452785492
104.55456,780,59.15,24300,22,1096,0.00379269019073225,0.08447020500898361,714,-7.561467170715332,-8.275633811950684,0.3058762848377228
105.261566,790,57.71,25320,23,1082,0.00379269019073225,0.07423461973667145,765,-7.737452983856201,-6.116389751434326,0.46646130084991455
114.85557,800,61.47,25760,23,1076,0.00379269019073225,0.07025723904371262,787,-8.067193031311035,-5.383756160736084,1.2875547409057617
122.67129,810,63.41,26880,25,1061,0.00379269019073225,0.06234061345458031,843,-7.960143089294434,-5.2157697677612305,2.0337352752685547
129.28024,820,64.78,27340,25,1055,0.00379269019073225,0.05948815494775772,866,-8.85970687866211,-6.424427509307861,0.4935719668865204
131.2957,830,65.59,28480,27,1045,0.00379269019073225,0.05314962565898895,923,-9.366620063781738,-1.9963635206222534,0.5718147158622742
