time/fps,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef
2541,360,14.0,10,9.776777,0,,,,,,
2542,480,15.85,20,10.525488,0,,,,,,
2716,780,16.566666666666666,30,11.358371,0,,,,,,
2722,1000,18.6,40,14.317495,0,,,,,,
2774,1200,19.274509803921568,50,14.904585,0,,,,,,
2880,1460,19.183333333333334,60,14.633407,0,,,,,,
2919,1660,19.7,70,14.389351,0,,,,,,
2962,1880,20.34567901234568,80,15.568129,0,,,,,,
2964,2040,20.63736263736264,90,15.318426,0,,,,,,
2947,2260,20.36,100,15.058849,0,,,,,,
2928,2420,20.91,110,15.220026,0,,,,,,
2949,2660,21.17,120,15.667316,0,,,,,,
2971,2880,21.39,130,15.467604,0,,,,,,
2985,3060,20.73,140,14.367716,1,,,,,,
3003,3420,21.41,150,14.975288,1,,,,,,
2997,3600,22.19,160,15.703419,1,,,,,,
2994,3760,21.8,170,15.851008,1,,,,,,
3010,4020,21.37,180,15.225102,1,,,,,,
3013,4220,21.32,190,15.657517,1,,,,,,
3019,4420,21.43,200,15.581444,1,,,,,,
3031,4680,21.21,210,15.725181,1,,,,,,
3033,4860,21.85,220,16.674849,1,,,,,,
3038,5060,21.54,230,16.55761,1,,,,,,
3034,5240,21.61,240,17.066769,1,,,,,,
3032,5400,21.09,250,16.92439,1,,,,,,
3038,5620,20.23,260,16.123981,1,,,,,,
3041,5840,20.32,270,16.224665,1,,,,,,
3011,6080,20.29,280,16.25695,2,,,,,,
2956,6240,20.02,290,16.31393,2,,,,,,
2919,6400,20.44,300,17.229559,2,,,,,,
2885,6640,20.31,310,17.103743,2,,,,,,
2849,6800,19.72,320,16.14714,2,,,,,,
2824,7040,19.33,330,15.895202,2,,,,,,
2796,7260,18.59,340,15.148426,2,,,,,,
2775,7500,19.27,350,16.267138,2,,,,,,
2739,7700,19.84,360,17.215494,2,,,,,,
2722,8020,20.8,370,18.727863,2,,,,,,
2703,8280,21.63,380,19.463867,3,,,,,,
2683,8440,22.19,390,20.517666,3,,,,,,
2666,8720,21.52,400,19.646477,3,,,,,,
2655,8860,22.63,410,20.878696,3,,,,,,
2641,9040,22.8,420,21.725595,3,,,,,,
2630,9220,23.32,430,22.47337,3,,,,,,
2618,9440,23.43,440,21.902319,3,,,,,,
2597,9660,22.85,450,20.926231,3,,,,,,
2577,9880,22.64,460,20.572004,3,,,,,,
584,10080,21.52,470,18.691002,17,-4.749398231506348,3,0.004832930238571752,-0.0468752384185791,2.6798620223999023,0.9903948903083801
576,10200,21.02,480,18.123804,17,-4.451076507568359,9,0.004832930238571752,-0.1935485601425171,1.0120172500610352,0.9620226621627808
575,10420,20.26,490,16.238136,18,-4.787720680236816,20,0.004832930238571752,-0.46486300230026245,0.33400532603263855,0.911933422088623
578,10660,20.21,500,16.068243,18,-4.718740463256836,32,0.004832930238571752,-0.7572864890098572,0.3761538565158844,0.8602193593978882
585,10980,19.36,510,15.072798,18,-4.578428268432617,48,0.004832930238571752,-1.1538809537887573,0.36448967456817627,0.7958360910415649
588,11180,19.34,520,14.254644,18,-4.642703056335449,58,0.004832930238571752,-1.3921828269958496,0.2285427749156952,0.758087694644928
590,11360,20.19,530,15.511936,19,-4.661691665649414,67,0.004832930238571752,-1.6152044534683228,0.21432766318321228,0.725655734539032
593,11640,20.65,540,15.858502,19,-4.487213134765625,81,0.004832930238571752,-1.9587002992630005,0.2053864598274231,0.6780105233192444
595,11900,21.69,550,17.24492,19,-4.434767723083496,94,0.004832930238571752,-2.256974697113037,0.23437267541885376,0.636613130569458
599,12220,21.98,560,17.591461,20,-4.371410846710205,110,0.004832930238571752,-2.6825225353240967,0.2114187479019165,0.5892341732978821
604,12520,23.28,570,19.67941,20,-4.2727837562561035,125,0.004832930238571752,-3.0001277923583984,0.19165322184562683,0.5479687452316284
606,12700,24.09,580,20.839516,20,-4.267735481262207,134,0.004832930238571752,-3.24912166595459,0.16026028990745544,0.5246638059616089
613,13220,24.88,590,21.878748,21,-4.192383766174316,160,0.004832930238571752,-3.8364477157592773,0.18114186823368073,0.4628680944442749
616,13680,26.52,600,24.675852,22,-4.327574253082275,183,0.004832930238571752,-4.321314811706543,0.23075076937675476,0.41439011693000793
625,14400,29.91,610,30.898184,23,-4.127691268920898,219,0.004832930238571752,-5.178246021270752,0.24897059798240662,0.3488538861274719
629,14900,34.57,620,37.976425,23,-4.308917045593262,244,0.004832930238571752,-5.661609172821045,0.15199479460716248,0.309772253036499
635,15640,37.32,630,40.927643,24,-4.275667190551758,281,0.004832930238571752,-6.3608598709106445,0.23809638619422913,0.26039326190948486
636,15980,40.92,640,47.08121,25,-4.1836652755737305,298,0.004832930238571752,-6.609374046325684,0.1489855796098709,0.2406381070613861
639,16500,43.92,650,52.153316,25,-4.5940656661987305,324,0.004832930238571752,-7.046710014343262,0.10552120953798294,0.2137841284275055
643,17020,47.02,660,58.024765,26,-4.861665725708008,350,0.004832930238571752,-7.884263038635254,0.31429097056388855,0.19032955169677734
646,17580,48.47,670,63.528797,27,-4.539480209350586,378,0.004832930238571752,-7.430002212524414,0.33077922463417053,0.16823840141296387
648,17920,50.2,680,67.29261,27,-4.784595489501953,395,0.004832930238571752,-6.975909233093262,0.11161549389362335,0.1562170833349228
