time/fps,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef
2374,320,12.909090909090908,10,9.82938,0,,,,,,
2633,540,15.75,20,11.810295,0,,,,,,
2944,840,18.225806451612904,30,13.412649,0,,,,,,
3074,1060,19.35,40,14.468478,0,,,,,,
3208,1280,21.0,50,16.63642,0,,,,,,
3312,1460,20.80327868852459,60,16.326149,0,,,,,,
3494,1740,20.714285714285715,70,16.324615,0,,,,,,
3545,1940,20.8875,80,16.545,0,,,,,,
3566,2160,20.827956989247312,90,16.238052,0,,,,,,
3426,2400,21.3,100,16.536982,0,,,,,,
3368,2600,22.26,110,17.932903,0,,,,,,
3362,2760,22.26,120,17.931555,0,,,,,,
3380,2940,21.96,130,17.851202,0,,,,,,
3412,3140,21.48,140,17.440157,0,,,,,,
3480,3500,21.06,150,17.036463,1,,,,,,
3523,3780,21.77,160,17.871412,1,,,,,,
3565,4100,22.28,170,18.93047,1,,,,,,
3555,4200,22.88,180,19.64004,1,,,,,,
3575,4400,22.85,190,19.718262,1,,,,,,
3600,4660,22.47,200,19.344183,1,,,,,,
3598,4900,22.1,210,18.19026,1,,,,,,
3614,5120,22.05,220,18.226696,1,,,,,,
3642,5340,22.93,230,19.128065,1,,,,,,
3658,5580,22.88,240,19.27255,1,,,,,,
3672,5860,22.65,250,19.172096,1,,,,,,
3665,6000,23.12,260,19.912025,1,,,,,,
3677,6260,23.12,270,19.357962,1,,,,,,
3682,6460,22.29,280,18.461803,1,,,,,,
3663,6680,23.0,290,19.142511,1,,,,,,
3677,6860,22.25,300,18.701881,1,,,,,,
3656,7100,21.96,310,18.573473,1,,,,,,
3646,7380,22.59,320,19.91528,2,,,,,,
3625,7540,22.36,330,19.966934,2,,,,,,
3616,7800,23.42,340,20.71405,2,,,,,,
3607,8080,23.2,350,20.361895,2,,,,,,
3608,8300,22.84,360,19.224266,2,,,,,,
3614,8540,22.29,370,18.521889,2,,,,,,
3615,8740,22.88,380,19.109495,2,,,,,,
3600,8880,23.03,390,19.305187,2,,,,,,
3601,9140,23.16,400,19.225739,2,,,,,,
3595,9380,23.28,410,19.25833,2,,,,,,
3590,9560,22.61,420,18.02928,2,,,,,,
3582,9800,22.18,430,17.126606,2,,,,,,
