time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
400,3710,9.949291,0,10,15.0,,,,,,
600,3889,14.691582,0,20,19.05,,,,,,
880,4001,15.586477,0,30,20.903225806451612,,,,,,
1020,3811,15.045224,0,40,20.658536585365855,,,,,,
1280,3566,15.033104,0,50,20.46,,,,,,
1440,3511,14.985333,0,60,20.266666666666666,,,,,,
1740,3499,16.263815,0,70,20.845070422535212,,,,,,
1960,3455,15.326764,0,80,20.3855421686747,,,,,,
2180,3442,15.229881,0,90,20.32967032967033,,,,,,
2360,3407,15.451376,0,100,20.41,,,,,,
2540,3386,16.425364,0,110,21.07,,,,,,
2800,3362,16.480738,0,120,21.07,,,,,,
3040,3353,16.76195,0,130,20.89,,,,,,
3340,3349,16.859375,0,140,21.29,,,,,,
3500,3310,18.897236,1,150,22.31,,,,,,
3780,3291,19.31966,1,160,22.96,,,,,,
4020,3270,18.205385,1,170,22.49,,,,,,
4180,3256,19.397354,1,180,22.82,,,,,,
4400,3257,20.822292,1,190,23.33,,,,,,
4640,3226,20.719355,1,200,23.33,,,,,,
4820,3219,20.501799,1,210,23.51,,,,,,
5080,3225,19.575441,1,220,22.81,,,,,,
5260,3214,20.00663,1,230,23.29,,,,,,
5460,3212,19.493498,1,240,22.75,,,,,,
5640,3206,17.5857,1,250,21.89,,,,,,
5920,3206,17.51752,1,260,21.36,,,,,,
6000,3187,17.448292,1,270,21.36,,,,,,
6280,3191,16.443317,1,280,20.96,,,,,,
6520,3193,15.340599,2,290,20.8,,,,,,
6680,3190,15.875263,2,300,21.18,,,,,,
6900,3192,15.810522,2,310,20.85,,,,,,
7140,3181,16.39283,2,320,21.1,,,,,,
7300,3125,15.597057,2,330,20.23,,,,,,
7520,3083,16.093475,2,340,20.59,,,,,,
7800,3048,16.024525,2,350,20.43,,,,,,
7900,3008,16.418135,2,360,20.84,,,,,,
8180,2966,16.678854,2,370,20.72,,,,,,
8400,2942,16.727589,2,380,20.64,,,,,,
8580,2915,16.822355,2,390,20.54,,,,,,
8800,2889,16.433844,3,400,20.44,,,,,,
9020,2857,16.340857,3,410,20.45,,,,,,
9240,2836,17.303854,3,420,21.73,,,,,,
9460,2806,17.287766,3,430,21.78,,,,,,
9640,2788,17.14432,3,440,21.62,,,,,,
9820,2762,16.924486,3,450,21.67,,,,,,
