time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
420,3431,11.889287,0,10,16.615384615384617,,,,,,
680,3704,13.981758,0,20,17.6,,,,,,
860,3667,14.020078,0,30,18.866666666666667,,,,,,
1200,3989,17.455648,0,40,20.714285714285715,,,,,,
1380,4056,18.462605,0,50,21.26,,,,,,
1560,4050,20.649382,0,60,22.672131147540984,,,,,,
1820,4155,20.060608,0,70,22.3,,,,,,
2080,4175,20.318249,0,80,22.641975308641975,,,,,,
2300,4245,20.178806,0,90,23.122222222222224,,,,,,
2520,4243,19.558315,0,100,22.71,,,,,,
2700,4167,19.522436,0,110,22.85,,,,,,
2940,4091,19.97976,0,120,23.49,,,,,,
3200,4077,20.021719,0,130,23.35,,,,,,
3420,4083,18.95008,0,140,23.49,,,,,,
3680,4070,18.538902,0,150,23.29,,,,,,
3840,4074,16.724556,0,160,22.15,,,,,,
4140,4112,17.69752,1,170,22.75,,,,,,
4380,4107,17.485195,1,180,22.86,,,,,,
4640,4056,17.326653,1,190,22.46,,,,,,
4900,4025,17.091047,1,200,22.56,,,,,,
5180,3904,19.104998,1,210,23.86,,,,,,
5400,3821,18.53835,1,220,23.61,,,,,,
5640,3769,19.904594,1,230,24.52,,,,,,
5860,3734,20.62642,1,240,24.71,,,,,,
6120,3726,20.238354,1,250,24.57,,,,,,
6300,3739,20.758333,1,260,25.19,,,,,,
6560,3736,19.733496,1,270,24.38,,,,,,
6680,3708,19.524225,1,280,24.17,,,,,,
6900,3702,19.127914,1,290,23.76,,,,,,
7160,3679,19.602612,1,300,23.77,,,,,,
7400,3625,18.30499,2,310,22.93,,,,,,
7600,3597,17.690489,2,320,22.26,,,,,,
8000,3594,17.520107,2,330,21.84,,,,,,
8180,3565,18.514297,2,340,22.23,,,,,,
8440,3551,19.487995,2,350,22.59,,,,,,
8780,3593,18.97934,2,360,22.05,,,,,,
9060,3615,21.31468,2,370,23.71,,,,,,
9240,3623,21.697046,2,380,24.1,,,,,,
9440,3612,23.7278,2,390,24.85,,,,,,
9620,3598,23.37332,2,400,25.07,,,,,,
9800,3581,23.038952,2,410,24.6,,,,,,
10080,3452,24.133278,2,420,25.2,0.9878329038619995,0.00615848211066026,-4.257570266723633,-0.058622971177101135,1.3738219738006592,3
10240,3240,23.336006,3,430,25.05,0.9402087330818176,0.00615848211066026,-4.902082443237305,-0.3067842721939087,0.4756510257720947,11
10420,2965,21.091404,3,440,23.74,0.8890433311462402,0.00615848211066026,-4.742061614990234,-0.5916619300842285,0.2865443527698517,20
10660,2734,19.656134,3,450,22.63,0.8250730037689209,0.00615848211066026,-4.6733503341674805,-0.9704924821853638,0.2572844922542572,32
10960,2504,20.14235,4,460,22.98,0.7516201138496399,0.00615848211066026,-4.462772369384766,-1.4428060054779053,0.21478219330310822,47
11220,2295,17.7714,4,470,21.91,0.6933631300926208,0.00615848211066026,-4.373004913330078,-1.8535125255584717,0.1908038854598999,60
11480,2140,16.986681,5,480,21.05,0.6396687030792236,0.00615848211066026,-4.377405643463135,-2.2583322525024414,0.1786855161190033,73
11740,1952,17.395002,6,490,22.27,0.5902389287948608,0.00615848211066026,-4.268887042999268,-2.6570379734039307,0.19602538645267487,86
11940,1894,17.928677,6,500,22.13,0.554857611656189,0.00615848211066026,-4.1826019287109375,-2.9609484672546387,0.13498468697071075,96
12300,1820,18.888252,6,510,23.25,0.49655672907829285,0.00615848211066026,-4.065740585327148,-3.498903751373291,0.25263136625289917,114
12560,1781,20.196606,7,520,24.23,0.4583090841770172,0.00615848211066026,-4.071052551269531,-3.9299135208129883,0.10952721536159515,127
12820,1729,21.541868,7,530,24.75,0.4230518043041229,0.00615848211066026,-4.045111656188965,-4.3128767013549805,0.1996675431728363,140
13300,1668,23.750942,7,540,25.96,0.36512047052383423,0.00615848211066026,-3.932459831237793,-5.036754131317139,0.17925475537776947,164
13960,1593,27.814316,8,550,28.27,0.29850301146507263,0.00615848211066026,-3.8963875770568848,-5.9161787033081055,0.1921658217906952,197
