rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef
12.4,2641,7.74161,320,0,10,,,,,,
14.047619047619047,2841,8.680505,640,0,20,,,,,,
17.833333333333332,2969,12.210155,880,0,30,,,,,,
20.902439024390244,2873,16.655384,1020,0,40,,,,,,
20.22,2946,15.416626,1260,0,50,,,,,,
19.933333333333334,2968,15.002291,1460,0,60,,,,,,
19.87323943661972,3004,14.494779,1720,0,70,,,,,,
19.75,3017,14.495775,1880,0,80,,,,,,
20.355555555555554,3032,15.751564,2100,0,90,,,,,,
20.96,3059,17.144388,2400,0,100,,,,,,
22.23,3052,18.324144,2580,0,110,,,,,,
22.93,3085,19.619366,2860,0,120,,,,,,
23.27,3087,19.987171,3060,0,130,,,,,,
21.95,3062,18.283432,3300,1,140,,,,,,
22.24,3045,18.956623,3460,1,150,,,,,,
22.4,3070,19.29641,3720,1,160,,,,,,
22.48,3061,19.62065,3920,1,170,,,,,,
22.68,3070,20.085747,4180,1,180,,,,,,
22.54,3071,19.528698,4380,1,190,,,,,,
22.78,3079,19.52293,4620,1,200,,,,,,
22.32,3068,19.337877,4820,1,210,,,,,,
22.18,3066,18.476706,5000,1,220,,,,,,
21.45,3084,17.77891,5280,1,230,,,,,,
22.05,3089,17.923529,5520,1,240,,,,,,
21.93,3088,17.63366,5700,1,250,,,,,,
22.25,3064,17.714252,5900,1,260,,,,,,
22.49,3006,17.780537,6080,2,270,,,,,,
21.93,2972,16.897974,6340,2,280,,,,,,
21.86,2912,16.778301,6540,2,290,,,,,,
21.42,2883,15.247678,6820,2,300,,,,,,
22.15,2845,15.700164,6960,2,310,,,,,,
21.5,2810,15.257,7160,2,320,,,,,,
21.14,2790,14.996631,7440,2,330,,,,,,
20.68,2765,15.185055,7620,2,340,,,,,,
20.64,2746,15.458483,7900,2,350,,,,,,
20.6,2729,15.6693535,8080,2,360,,,,,,
20.78,2707,16.374056,8380,3,370,,,,,,
22.11,2684,18.705956,8560,3,380,,,,,,
22.77,2679,19.81501,8760,3,390,,,,,,
22.15,2665,19.357748,8880,3,400,,,,,,
20.9,2653,18.607023,9140,3,410,,,,,,
21.64,2637,19.364859,9360,3,420,,,,,,
21.61,2626,19.434502,9600,3,430,,,,,,
22.26,2603,19.87923,9840,3,440,,,,,,
23.06,578,21.094606,10060,17,450,-0.02323843352496624,0.007847599703514606,-1.368345022201538,11.113547325134277,2,0.9921831488609314
22.48,578,20.184752,10260,17,460,-0.43333661556243896,0.007847599703514606,-4.434545040130615,0.672950267791748,12,0.9175757765769958
22.02,574,19.719988,10440,18,470,-0.7942543029785156,0.007847599703514606,-4.751084804534912,0.6036315560340881,21,0.854175865650177
21.36,577,18.022121,10680,18,480,-1.277256727218628,0.007847599703514606,-4.467618942260742,0.2956339120864868,33,0.7763741612434387
20.6,577,16.923607,11000,19,490,-1.9137592315673828,0.007847599703514606,-4.186325550079346,0.25380080938339233,49,0.6837445497512817
21.48,581,17.919601,11260,19,500,-2.4460415840148926,0.007847599703514606,-4.188368320465088,0.22144931554794312,62,0.6168348789215088
22.22,584,18.484047,11540,19,510,-2.9859018325805664,0.007847599703514606,-3.977269411087036,0.24946229159832,76,0.5521340370178223
22.64,588,19.555387,11800,20,520,-3.5226330757141113,0.007847599703514606,-3.7921714782714844,0.17053338885307312,89,0.4982811510562897
24.21,591,22.093891,12040,20,530,-3.969580888748169,0.007847599703514606,-3.8858401775360107,0.14800766110420227,101,0.4533090889453888
24.7,594,22.739832,12300,20,540,-4.4770636558532715,0.007847599703514606,-3.800781011581421,0.20656146109104156,114,0.40924686193466187
24.84,601,23.224573,12760,21,550,-5.367450714111328,0.007847599703514606,-3.7389779090881348,0.14447486400604248,137,0.34164896607398987
26.95,606,26.243752,13200,21,560,-6.165086269378662,0.007847599703514606,-3.5957272052764893,0.09171713143587112,159,0.2878316044807434
29.38,611,31.20749,13540,22,570,-6.5869903564453125,0.007847599703514606,-3.6074163913726807,0.24539896845817566,176,0.25233930349349976
31.69,616,35.99867,13980,22,580,-7.278043746948242,0.007847599703514606,-3.6109936237335205,0.09772619605064392,198,0.2132991999387741
33.81,621,40.222645,14540,23,590,-7.907104969024658,0.007847599703514606,-3.461238145828247,0.13810038566589355,226,0.17278532683849335
35.46,624,44.974804,15000,24,600,-8.942532539367676,0.007847599703514606,-3.6615471839904785,0.1805896759033203,249,0.14615748822689056
37.56,628,49.524273,15420,24,610,-8.229671478271484,0.007847599703514606,-3.610358238220215,0.24897679686546326,270,0.12613023817539215
39.65,628,53.739746,15740,25,620,-7.8877973556518555,0.007847599703514606,-3.7807652950286865,0.12558843195438385,286,0.11335691809654236
40.1,629,54.958076,15980,25,630,-7.941350936889648,0.007847599703514606,-3.6017723083496094,0.23954451084136963,298,0.10487453639507294
39.91,630,56.377148,16220,25,640,-8.920391082763672,0.007847599703514606,-4.192150592803955,0.12589702010154724,310,0.09708410501480103
40.21,633,58.733295,16600,26,650,-8.100794792175293,0.007847599703514606,-3.7458853721618652,0.298086941242218,329,0.08644114434719086
39.6,635,59.828613,16900,26,660,-7.108015537261963,0.007847599703514606,-4.3091044425964355,0.15223562717437744,344,0.07911401242017746
36.89,636,56.742462,17180,26,670,-8.50949478149414,0.007847599703514606,-4.103071212768555,0.25742673873901367,358,0.07330882549285889
36.06,637,56.09102,17360,27,680,-5.9017839431762695,0.007847599703514606,-4.3356475830078125,0.28095757961273193,367,0.06980353593826294
34.49,641,55.221245,17860,27,690,-9.830408096313477,0.007847599703514606,-4.304092884063721,0.13902992010116577,392,0.06181462109088898
34.62,643,57.083656,18300,28,700,-5.165190696716309,0.007847599703514606,-4.757325172424316,0.15663322806358337,414,0.05610014498233795
33.12,643,56.247135,18380,28,710,-9.995119094848633,0.007847599703514606,-4.759738445281982,0.20020678639411926,418,0.05528859421610832
31.5,646,54.86129,18800,29,720,-7.817970275878906,0.007847599703514606,-5.310011863708496,0.2275570034980774,439,0.05038418620824814
30.53,647,54.95703,19000,29,730,-5.376507759094238,0.007847599703514606,-5.104134559631348,0.3453162908554077,449,0.04826413840055466
34.92,518,65.56419,20360,39,740,-4.421924114227295,0.007847599703514606,-4.9998321533203125,0.34387341141700745,517,0.03875691816210747
40.12,520,76.91229,20600,39,750,-1.0007555484771729,0.007847599703514606,-5.726781845092773,0.5311818718910217,529,0.03751101717352867
42.33,526,82.46987,21320,40,760,-4.340738296508789,0.007847599703514606,-6.0449113845825195,0.5707637667655945,565,0.03487947955727577
44.56,530,87.21069,21680,40,770,-0.9558972120285034,0.007847599703514606,-6.40533447265625,0.6317064762115479,583,0.03373144939541817
49.19,536,97.204254,22800,42,780,2.014199733734131,0.007847599703514606,-6.484341144561768,0.6218103766441345,639,0.030682913959026337
52.61,539,104.42654,23300,43,790,-4.364413738250732,0.007847599703514606,-6.828113555908203,0.5237894058227539,664,0.029285311698913574
56.11,542,111.700195,24240,44,800,4.44917106628418,0.007847599703514606,-7.802088260650635,0.3459436297416687,711,0.027730220928788185
59.89,545,119.51949,24920,45,810,1.3996593952178955,0.007847599703514606,-8.191498756408691,0.7732474207878113,745,0.027160705998539925
65.11,551,130.54117,25800,46,820,-0.6221137642860413,0.007847599703514606,-7.884249687194824,0.6930458545684814,789,0.027363363653421402
70.52,555,142.14111,26540,47,830,-3.3139073848724365,0.007847599703514606,-8.558553695678711,0.41660988330841064,826,0.02720937691628933
71.09,562,142.9897,27420,48,840,-5.294873237609863,0.007847599703514606,-9.05167007446289,0.37066328525543213,870,0.025849513709545135
71.08,567,142.78226,28140,49,850,4.069496154785156,0.007847599703514606,-9.200824737548828,0.9654228091239929,906,0.024760311469435692
