rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef
15.272727272727273,2431,10.018937,380,0,10,,,,,,
18.15,2870,13.189005,640,0,20,,,,,,
18.5,2996,13.517925,840,0,30,,,,,,
20.375,3041,15.511408,1000,0,40,,,,,,
20.16,3189,15.249258,1200,0,50,,,,,,
19.9,3233,15.257522,1380,0,60,,,,,,
19.357142857142858,3273,14.764684,1540,0,70,,,,,,
19.275,3413,14.779111,1800,0,80,,,,,,
19.366666666666667,3510,14.841199,2080,0,90,,,,,,
20.04,3497,15.414132,2280,0,100,,,,,,
20.75,3532,15.921457,2500,0,110,,,,,,
20.9,3550,17.029032,2640,0,120,,,,,,
20.8,3568,17.13805,2860,0,130,,,,,,
20.87,3583,17.197752,3160,0,140,,,,,,
21.0,3610,17.449083,3340,0,150,,,,,,
21.54,3660,17.835707,3620,0,160,,,,,,
21.5,3662,17.735434,3780,1,170,,,,,,
21.64,3697,17.96994,4040,1,180,,,,,,
22.29,3682,19.035192,4320,1,190,,,,,,
22.38,3682,19.225368,4500,1,200,,,,,,
22.33,3666,19.313293,4700,1,210,,,,,,
22.52,3656,18.887499,4980,1,220,,,,,,
22.86,3636,18.98407,5200,1,230,,,,,,
22.36,3621,18.289356,5460,1,240,,,,,,
22.33,3601,18.20727,5640,1,250,,,,,,
22.39,3587,18.235384,5880,1,260,,,,,,
23.95,3591,20.79427,6120,1,270,,,,,,
23.65,3603,20.462635,6340,1,280,,,,,,
23.5,3597,20.232906,6560,1,290,,,,,,
23.17,3605,19.987564,6760,1,300,,,,,,
22.44,3602,19.132956,6940,1,310,,,,,,
21.87,3606,18.533485,7200,1,320,,,,,,
21.68,3594,18.326748,7340,2,330,,,,,,
21.72,3597,18.523026,7520,2,340,,,,,,
21.82,3595,18.664497,7760,2,350,,,,,,
21.2,3614,17.962507,7960,2,360,,,,,,
20.14,3624,16.018997,8100,2,370,,,,,,
20.27,3640,16.369532,8340,2,380,,,,,,
20.1,3669,15.767194,8560,2,390,,,,,,
20.23,3689,15.571943,8760,2,400,,,,,,
20.05,3708,15.957423,8940,2,410,,,,,,
19.95,3744,15.328669,9200,2,420,,,,,,
20.35,3749,16.734034,9360,2,430,,,,,,
20.28,3763,16.400772,9560,2,440,,,,,,
20.45,3772,16.779034,9740,2,450,,,,,,
20.3,3721,16.78285,10060,2,460,-0.026072656735777855,0.007847599703514606,-1.8701016902923584,8.081689834594727,2,0.9921831488609314
20.04,3497,16.679367,10220,2,470,-0.3493953049182892,0.007847599703514606,-4.829484939575195,1.525390386581421,10,0.9319942593574524
20.44,3248,16.707401,10420,3,480,-0.7562543153762817,0.007847599703514606,-4.956150531768799,0.35071346163749695,20,0.8608469367027283
20.64,2995,16.759638,10700,3,490,-1.319906234741211,0.007847599703514606,-4.416815757751465,0.27370595932006836,34,0.7701367735862732
20.87,2786,17.514563,10980,3,500,-1.8849509954452515,0.007847599703514606,-4.298715591430664,0.2010917365550995,48,0.6891224980354309
22.1,2680,18.723732,11160,4,510,-2.2420122623443604,0.007847599703514606,-4.255780220031738,0.16253669559955597,57,0.6416826844215393
22.04,2533,18.86333,11400,4,520,-2.731113910675049,0.007847599703514606,-3.953141212463379,0.22206661105155945,69,0.5835191011428833
21.86,2373,17.828987,11640,4,530,-3.200467586517334,0.007847599703514606,-3.9432291984558105,0.1775558888912201,81,0.5307462215423584
22.0,2257,18.47477,11880,5,540,-3.6582019329071045,0.007847599703514606,-3.8256654739379883,0.21110326051712036,93,0.4828183054924011
22.54,2180,18.858212,12140,5,550,-4.175589561462402,0.007847599703514606,-3.707188367843628,0.23329737782478333,106,0.4359046518802643
23.72,2097,20.491838,12400,5,560,-4.72370719909668,0.007847599703514606,-3.7265915870666504,0.12517325580120087,119,0.3935149610042572
24.42,2016,21.584673,12720,6,570,-5.337358474731445,0.007847599703514606,-3.5004940032958984,0.16319234669208527,135,0.3470746576786041
25.88,1932,23.76435,13160,6,580,-6.061711311340332,0.007847599703514606,-3.4976139068603516,0.15263934433460236,157,0.29224318265914917
27.1,1856,26.678957,13540,7,590,-6.66615629196167,0.007847599703514606,-3.4500732421875,0.09928657114505768,176,0.2521227300167084
29.92,1757,31.691618,14060,7,600,-7.807308197021484,0.007847599703514606,-3.390016555786133,0.15115126967430115,202,0.2065797597169876
31.4,1714,35.16581,14420,8,610,-8.034374237060547,0.007847599703514606,-3.4321093559265137,0.1597316563129425,220,0.18014365434646606
33.95,1641,40.04778,15000,9,620,-8.63573169708252,0.007847599703514606,-3.3973960876464844,0.10759025812149048,249,0.14533104002475739
36.56,1595,45.10604,15460,9,630,-8.797067642211914,0.007847599703514606,-3.581369638442993,0.11106978356838226,272,0.12314862757921219
38.11,1561,48.46845,15820,10,640,-7.498481750488281,0.007847599703514606,-3.523909330368042,0.15939843654632568,290,0.10841137170791626
40.78,1518,53.392616,16340,10,650,-9.540020942687988,0.007847599703514606,-3.8850350379943848,0.08372637629508972,316,0.09121851623058319
41.37,1500,55.042877,16540,11,660,-8.221441268920898,0.007847599703514606,-3.8418493270874023,0.34231919050216675,326,0.08540193736553192
41.86,1468,57.403824,16980,11,670,-6.5174455642700195,0.007847599703514606,-3.71505069732666,0.3258303701877594,348,0.07458643615245819
42.1,1452,59.62913,17220,11,680,-7.070679664611816,0.007847599703514606,-4.333763599395752,0.2768794298171997,360,0.06969938427209854
41.73,1433,59.745827,17520,12,690,-10.129329681396484,0.007847599703514606,-4.50486946105957,0.16303488612174988,375,0.06442773342132568
40.18,1419,58.201157,17740,12,700,-7.491747856140137,0.007847599703514606,-4.315830230712891,0.14691108465194702,386,0.06065192073583603
37.79,1399,55.89849,18120,12,710,-3.7802724838256836,0.007847599703514606,-4.591890335083008,0.4811936914920807,405,0.05483601987361908
36.25,1382,54.507027,18300,13,720,-9.945974349975586,0.007847599703514606,-4.715362548828125,0.37113648653030396,414,0.052786935120821
33.78,1368,51.95318,18620,13,730,-9.831432342529297,0.007847599703514606,-4.30700159072876,0.11450831592082977,430,0.049068648368120193
