time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/n_updates
380,10,0,15.6,11.558479,2738,,,,,,
640,20,0,16.5,11.55023,3309,,,,,,
960,30,0,19.612903225806452,16.120117,3520,,,,,,
1180,40,0,22.175,18.448307,3816,,,,,,
1440,50,0,21.86,17.820808,4037,,,,,,
1660,60,0,23.683333333333334,22.242378,4176,,,,,,
1880,70,0,23.385714285714286,22.190323,4331,,,,,,
2220,80,0,23.125,21.483011,4533,,,,,,
2340,90,0,22.78021978021978,21.039375,4509,,,,,,
2540,100,0,22.66,20.600506,4515,,,,,,
2780,110,0,23.28,21.137358,4566,,,,,,
3000,120,0,24.0,21.880896,4510,,,,,,
3120,130,0,23.62,21.317392,4453,,,,,,
3320,140,0,22.1,19.893684,4054,,,,,,
3500,150,0,21.98,19.533852,4094,,,,,,
3740,160,0,20.45,16.31984,4124,,,,,,
3880,170,0,20.07,15.527644,4147,,,,,,
4140,180,0,19.94,15.395891,4224,,,,,,
4320,190,1,19.63,14.670432,4260,,,,,,
4520,200,1,19.92,15.603868,4294,,,,,,
4740,210,1,20.04,15.532295,4335,,,,,,
5040,220,1,20.35,16.29478,4369,,,,,,
5220,230,1,20.17,15.648543,4374,,,,,,
5440,240,1,20.86,16.298069,4421,,,,,,
5640,250,1,20.67,15.972723,4426,,,,,,
5840,260,1,21.02,16.312096,4432,,,,,,
6140,270,1,21.37,16.498802,4482,,,,,,
6300,280,1,22.39,17.085152,4489,,,,,,
6480,290,1,22.72,17.070555,4499,,,,,,
6700,300,1,22.1,15.714694,4498,,,,,,
6960,310,1,21.74,15.429417,4497,,,,,,
7160,320,1,21.55,14.734937,4496,,,,,,
7340,330,1,21.42,15.059734,4502,,,,,,
7560,340,1,21.17,14.8074255,4511,,,,,,
7860,350,1,21.36,15.377516,4544,,,,,,
8040,360,1,21.92,16.34761,4555,,,,,,
8240,370,1,22.16,17.023636,4560,,,,,,
8380,380,1,20.82,15.817009,4557,,,,,,
8640,390,1,21.11,16.208427,4572,,,,,,
8860,400,1,21.39,17.34878,4571,,,,,,
9060,410,1,21.48,17.917675,4575,,,,,,
9220,420,2,20.6,17.16991,4577,,,,,,
9520,430,2,20.61,16.918922,4601,,,,,,
9720,440,2,21.03,17.817093,4597,,,,,,
10000,450,7,21.85,19.010937,1344,,,,,,
10200,460,7,21.79,18.79923,1319,0.01,-2.780292272567749,0.9257315993309021,4.261878967285156,-0.3856518864631653,9
10420,470,8,21.54,18.715935,1301,0.01,-3.8006134033203125,0.8281879425048828,0.763897180557251,-0.9453805685043335,20
10660,480,8,21.8,19.019468,1280,0.01,-4.31944465637207,0.7329831123352051,0.6027575731277466,-1.562102198600769,32
10940,490,8,22.14,19.725979,1276,0.01,-4.047904968261719,0.6357107162475586,0.1351948082447052,-2.2757654190063477,46
11100,500,8,22.5,19.982925,1274,0.01,-3.893331289291382,0.5861383676528931,0.20607393980026245,-2.6998977661132812,54
11280,510,8,22.3,19.402489,1272,0.01,-3.7783594131469727,0.5350466966629028,0.1972232609987259,-3.150386095046997,63
11600,520,9,22.84,19.527895,1271,0.01,-3.6345129013061523,0.45517104864120483,0.2060130387544632,-3.9486770629882812,79
11860,530,9,23.78,21.584007,1271,0.01,-3.4514284133911133,0.3993123769760132,0.20368032157421112,-4.609307289123535,92
12040,540,9,23.96,21.650703,1269,0.01,-3.4393067359924316,0.3647877275943756,0.12056592106819153,-5.057482719421387,101
12440,550,9,23.58,20.76974,1273,0.01,-3.377619743347168,0.2985140383243561,0.12856514751911163,-6.034213066101074,121
12780,560,10,24.21,22.575851,1275,0.01,-3.3355469703674316,0.2519306242465973,0.12063992768526077,-6.762592315673828,138
13240,570,10,26.33,26.760847,1274,0.01,-3.218782901763916,0.2008298933506012,0.11614206433296204,-7.923872470855713,161
13560,580,10,28.88,32.188507,1275,0.01,-3.1202874183654785,0.17172598838806152,0.13470055162906647,-8.273294448852539,177
13940,590,10,30.16,35.73595,1268,0.01,-3.1535611152648926,0.14336565136909485,0.19742214679718018,-8.509770393371582,196
14240,600,11,30.61,39.061005,1265,0.01,-3.340775489807129,0.12506890296936035,0.08175785094499588,-9.480518341064453,211
14540,610,11,31.68,42.52502,1265,0.01,-3.3194339275360107,0.10950072109699249,0.06629052758216858,-9.387958526611328,226
14800,620,11,32.84,46.202477,1266,0.01,-3.5514402389526367,0.09790168702602386,0.21354159712791443,-8.726785659790039,239
15140,630,12,32.53,47.640625,1259,0.01,-3.5662121772766113,0.08533049374818802,0.15601710975170135,-8.855436325073242,256
15480,640,12,32.58,49.730545,1256,0.01,-3.604140043258667,0.07453936338424683,0.203995481133461,-9.202038764953613,273
15740,650,12,33.21,52.859444,1258,0.01,-3.9534287452697754,0.06794098764657974,0.09164012968540192,-10.230667114257812,286
15980,660,12,33.06,53.996395,1259,0.01,-4.079864978790283,0.06273648142814636,0.11252592504024506,-7.237874984741211,298
16260,670,12,31.32,52.114803,1258,0.01,-3.8463549613952637,0.05768360570073128,0.20602284371852875,-6.647004127502441,312
16460,680,13,29.49,50.14982,1250,0.01,-3.9751901626586914,0.05453958734869957,0.15545649826526642,-6.512879848480225,322
16680,690,13,28.71,48.596474,1242,0.01,-4.1209588050842285,0.05118841305375099,0.2932855486869812,-7.35588264465332,333
16920,700,13,27.91,47.487637,1230,0.01,-3.7989821434020996,0.04790502414107323,0.24276743829250336,-8.028961181640625,345
17240,710,14,27.3,46.80504,1231,0.01,-4.208635330200195,0.04378877207636833,0.22667044401168823,-4.468600749969482,361
17420,720,14,26.66,46.344982,1231,0.01,-4.466498374938965,0.042057767510414124,0.3083765208721161,-7.143921852111816,370
17740,730,14,26.0,45.582134,1230,0.01,-4.334227561950684,0.03913220763206482,0.22255221009254456,-6.6681036949157715,386
17900,740,14,25.79,45.53541,1230,0.01,-4.426708698272705,0.037720512598752975,0.1891760379076004,-6.710011005401611,394
18180,750,14,25.37,45.042202,1230,0.01,-4.423065662384033,0.03561241924762726,0.3931153118610382,-7.416262149810791,408
18400,760,14,24.72,44.386032,1230,0.01,-4.694363594055176,0.03388761356472969,0.22603081166744232,-3.055305004119873,419
