time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/n_updates
420,10,0,16.4,12.10771,3937,,,,,,
600,20,0,20.25,15.222798,3891,,,,,,
840,30,0,19.8,14.4848,4054,,,,,,
1040,40,0,20.24390243902439,14.38337,3986,,,,,,
1260,50,0,20.1,14.80838,3982,,,,,,
1460,60,0,19.65573770491803,14.892799,4043,,,,,,
1720,70,0,19.732394366197184,15.228792,4203,,,,,,
1960,80,0,20.555555555555557,15.653296,4332,,,,,,
2200,90,0,20.755555555555556,15.805288,4415,,,,,,
2320,100,0,20.77,15.986641,4408,,,,,,
2600,110,0,21.48,17.20628,4502,,,,,,
2800,120,0,21.63,18.367163,4508,,,,,,
3000,130,0,21.95,18.753658,4434,,,,,,
3260,140,0,22.11,18.96792,4499,,,,,,
3340,150,0,21.52,18.433971,4456,,,,,,
3540,160,0,21.67,18.052252,4479,,,,,,
3720,170,0,21.22,17.715073,4496,,,,,,
3980,180,0,20.71,17.355528,4561,,,,,,
4140,190,0,20.44,16.83536,4570,,,,,,
4420,200,0,20.61,16.96316,4493,,,,,,
4660,210,1,21.34,17.797655,4422,,,,,,
4860,220,1,20.25,15.603804,4336,,,,,,
5040,230,1,20.3,15.3213005,4355,,,,,,
5280,240,1,20.62,16.174175,4322,,,,,,
5560,250,1,21.03,16.616041,4275,,,,,,
5800,260,1,21.37,17.021881,4218,,,,,,
5980,270,1,22.46,18.423134,4162,,,,,,
6340,280,1,22.24,18.376118,4145,,,,,,
6540,290,1,23.14,20.14494,4107,,,,,,
6780,300,1,24.02,21.392334,4096,,,,,,
7020,310,1,23.14,20.119097,4086,,,,,,
7220,320,1,24.09,21.188744,4071,,,,,,
7440,330,1,23.54,21.3532,4080,,,,,,
7780,340,1,23.05,20.884079,4141,,,,,,
8040,350,1,24.26,22.166733,4177,,,,,,
8200,360,1,24.69,22.812637,4182,,,,,,
8500,370,2,24.53,22.783823,4221,,,,,,
8620,380,2,25.02,23.04901,4215,,,,,,
8880,390,2,24.25,21.716167,4243,,,,,,
9080,400,2,22.97,20.170412,4253,,,,,,
9400,410,2,23.33,20.76307,4267,,,,,,
9560,420,2,22.93,19.786633,4247,,,,,,
9840,430,2,23.59,20.111378,4233,,,,,,
10060,440,2,23.56,19.656317,4087,0.01,-0.6042770147323608,0.9900498390197754,20.3520565032959,-0.02299010194838047,2
10300,450,2,23.12,19.852783,3768,0.01,-4.726646900177002,0.8791185617446899,2.0985589027404785,-0.6497832536697388,14
10600,460,3,22.29,19.001457,3530,0.01,-4.168337821960449,0.7549206614494324,0.5271806120872498,-1.4151062965393066,29
10800,470,3,22.86,19.12287,3372,0.01,-4.306132793426514,0.6820263862609863,0.3980424404144287,-1.9220929145812988,39
11000,480,3,23.41,20.42565,3234,0.01,-3.9626946449279785,0.6162558794021606,0.3812118470668793,-2.4337358474731445,49
11160,490,3,22.92,19.918148,3129,0.01,-3.837456226348877,0.5683102607727051,0.2957087755203247,-2.8484914302825928,57
11440,500,3,22.86,19.725574,2990,0.01,-3.783813953399658,0.4933238625526428,0.1898307204246521,-3.5674829483032227,71
11640,510,4,23.17,19.95249,2904,0.01,-3.59919810295105,0.44600769877433777,0.18902450799942017,-4.075111389160156,81
11860,520,4,22.82,20.057692,2814,0.01,-3.5241384506225586,0.39922887086868286,0.16531960666179657,-4.623437404632568,92
12040,530,4,23.28,20.915049,2751,0.01,-3.3782835006713867,0.36469393968582153,0.18837308883666992,-5.077261447906494,101
12380,540,4,22.57,19.549816,2636,0.01,-3.354095697402954,0.30743321776390076,0.1503145396709442,-5.939027786254883,118
12660,550,5,22.95,20.516827,2528,0.01,-3.2391176223754883,0.26718878746032715,0.17300844192504883,-6.600613594055176,132
13060,560,5,24.05,21.167217,2420,0.01,-3.3346633911132812,0.21886995434761047,0.10814548283815384,-7.6078901290893555,152
13420,570,5,25.63,25.431883,2343,0.01,-3.270035743713379,0.18309353291988373,0.13187986612319946,-8.22944164276123,170
13760,580,6,26.27,26.087578,2273,0.01,-3.157252788543701,0.15498660504817963,0.16545872390270233,-8.872791290283203,187
14240,590,6,27.89,29.573318,2197,0.01,-3.3144922256469727,0.1231190413236618,0.17416322231292725,-10.073330879211426,211
14660,600,6,30.53,35.696922,2132,0.01,-3.1805336475372314,0.10087378323078156,0.16552439332008362,-9.41073989868164,232
14940,610,7,32.75,40.689972,2094,0.01,-3.3499326705932617,0.08922719210386276,0.15540438890457153,-9.288580894470215,246
15300,620,7,33.39,43.192825,2054,0.01,-3.2750635147094727,0.07659666985273361,0.16267278790473938,-8.603985786437988,264
15620,630,7,33.8,45.94892,2011,0.01,-3.4199013710021973,0.06765155494213104,0.19872713088989258,-11.196480751037598,280
15980,640,8,35.25,49.952003,1978,0.01,-3.893380641937256,0.05931432172656059,0.10811270028352737,-10.945854187011719,298
16300,650,8,35.77,52.32017,1948,0.01,-3.7653369903564453,0.05307532101869583,0.1830541491508484,-8.544136047363281,314
16660,660,8,36.57,55.96553,1916,0.01,-3.979003667831421,0.047691281884908676,0.2647072672843933,-5.207590103149414,332
16860,670,8,36.35,55.57211,1897,0.01,-4.103476524353027,0.045350559055805206,0.17285674810409546,-10.404254913330078,342
17480,680,9,35.69,56.87621,1818,0.01,-4.097032070159912,0.03829885646700859,0.23561862111091614,-5.490403175354004,373
17600,690,9,35.73,58.30381,1810,0.01,-4.434068202972412,0.03726387768983841,0.09583310037851334,-8.691246032714844,379
17980,700,10,34.87,57.2139,1792,0.01,-4.756511211395264,0.03449401259422302,0.17786191403865814,-4.25244140625,398
18100,710,10,33.21,55.55341,1784,0.01,-4.432693004608154,0.033813316375017166,0.2558647096157074,-1.4632856845855713,404
18540,720,10,32.8,55.075974,1753,0.01,-4.742364406585693,0.03131576254963875,0.20122088491916656,0.009236067533493042,426
18660,730,10,32.12,53.885754,1746,0.01,-4.417148590087891,0.030908579006791115,0.3132845163345337,-10.39693546295166,432
19220,740,11,32.13,54.298897,1720,0.01,-4.854935646057129,0.028348764404654503,0.3198527693748474,-0.23932833969593048,460
19660,750,11,32.22,54.751842,1694,0.01,-4.7989583015441895,0.02726169303059578,0.3672916293144226,2.316192150115967,482
19980,760,11,31.7,54.993584,1682,0.01,-5.560937881469727,0.02662927471101284,0.22969505190849304,-1.7444086074829102,498
21360,770,13,37.08,68.39434,1638,0.01,-5.732863426208496,0.02433844842016697,0.18156814575195312,1.8692333698272705,567
21660,780,13,41.16,77.1207,1629,0.01,-5.853899955749512,0.02365100383758545,0.7179563641548157,3.7913010120391846,582
22020,790,13,43.44,82.59814,1620,0.01,-5.770951271057129,0.023423826321959496,0.3954947292804718,0.7903292775154114,600
22260,800,13,42.88,81.6798,1613,0.01,-5.6130266189575195,0.023125339299440384,0.558749258518219,2.646486759185791,612
23740,810,15,47.86,92.243965,1561,0.01,-6.73197078704834,0.02231450006365776,0.4678138494491577,-0.7678656578063965,686
23920,820,15,53.37,103.867645,1557,0.01,-6.9310302734375,0.02224954031407833,0.49820640683174133,-6.126193046569824,695
25460,830,16,58.75,115.43801,1514,0.01,-7.583669662475586,0.021895548328757286,0.25826311111450195,-4.244016647338867,772
25600,840,16,64.13,126.86045,1511,0.01,-8.072662353515625,0.021631857380270958,0.4434387683868408,0.004186674952507019,779
27160,850,18,68.99,137.43616,1478,0.01,-8.631311416625977,0.02173713967204094,0.7196156978607178,4.415472984313965,857
27300,860,18,74.25,148.61589,1471,0.01,-7.496355056762695,0.021829204633831978,0.6642771363258362,0.9515843391418457,864
28860,870,19,75.35,150.64723,1443,0.01,-8.413228034973145,0.021024508401751518,0.9667465686798096,-0.8167781233787537,942
29040,880,20,75.48,150.80672,1440,0.01,-8.907776832580566,0.020774397999048233,1.3035669326782227,-1.96260666847229,951
30580,890,21,77.71,155.29472,1421,0.01,-9.476075172424316,0.020545780658721924,0.9084000587463379,3.4548840522766113,1028
30760,900,21,83.87,168.33704,1419,0.01,-9.913227081298828,0.020981788635253906,0.5287367105484009,4.197995662689209,1037
